ID	Rec_domain	Curr_domain	Tox_type	unknown_flag	evol_type	signif_flag	omega_b	omega_f	Num_tox	Num_rec_pars	Num_recs_pars_all	best_site_model	Sites_pos	Sites_cons	Sites_rel	Best_branc_site	Brsites_pos	Brsites_cons	Brsites_rel	Passed_flag	Orders_flag	Simpson_species
0	domain3	domain3	Rec	known	non-signif	non-signif	0.33299999999999996	0.679	10	1	2	positive	0	0	0	mB	0	0	0	passed	NA	NA
0	domain3	domain3	Par	known	non-signif	non-signif	0.333	0.685	10	1	2	positive	0	0	0	mB	0	0	0	passed	NA	NA
0	domain3	domain1	Rec	known	non-signif	non-signif	0.162	4.12	7	1	2	relaxation	0	0	1	mB	0	53	0	passed	NA	NA
0	domain3	domain1	Par	known	non-signif	non-signif	0.162	4.12	7	1	2	relaxation	0	0	1	mB	0	53	0	passed	NA	NA
0	domain3	domain2	Rec	known	non-signif	non-signif	0.332	0.752	7	1	4	positive	1	0	0	mB	0	0	0	passed	NA	NA
2	domain3	domain3	Rec	known	non-signif	non-signif	0.23399999999999999	0.235	44	1	18	positive	1	1	0	mB	0	53	0	passed	Different	1.0
2	domain3	domain3	Par	known	purifying	signif	0.216	0.407	44	17	18	positive	1	1	0	mB	2	29	0	passed	Different	1.0
2	domain3	domain2	Rec	known	purifying	non-signif	0.157	0.205	12	1	4	positive	2	0	0	mB	1	31	0	passed	Different	1.0
2	domain3	domain2	Par	known	non-signif	non-signif	0.159	0.244	12	3	4	positive	2	0	0	mB	0	31	0	passed	Different	1.0
3	domain3	domain3	Rec	known	purifying	non-signif	0.546	0.159	8	1	2	positive	1	0	0	mB	0	0	0	passed	NA	NA
3	domain3	domain3	Par	known	purifying	signif	0.548	0.127	8	1	2	positive	1	0	0	mB	0	0	0	passed	NA	NA
3	domain3	domain1	Rec	known	non-signif	signif	0.2	99.0	8	1	2	positive	1	0	0	mB	5	4	0	passed	NA	NA
3	domain3	domain1	Par	known	non-signif	signif	0.2	0.939	8	1	2	positive	1	0	0	mB	3	0	0	passed	NA	NA
3	domain3	domain2	Rec	known	non-signif	signif	0.332	10.985999999999999	8	1	2	positive	1	0	0	mB	0	27	0	passed	NA	NA
3	domain3	domain2	Par	known	non-signif	signif	0.326	99.0	8	1	2	positive	1	0	0	mB	5	16	0	passed	NA	NA
6	domain3	domain3	Rec	known	purifying	signif	0.331	0.054000000000000006	8	1	2	positive	1	0	0	mB	150	0	0	not_passed	Same	0.0
