ID	Cluster	Cluster_method
0	1	fl3_cos_roll_hclust
3	1	fl3_cos_roll_hclust
13	1	fl3_cos_roll_hclust
14	1	fl3_cos_roll_hclust
17	1	fl3_cos_roll_hclust
24	1	fl3_cos_roll_hclust
32	1	fl3_cos_roll_hclust
36	1	fl3_cos_roll_hclust
71	1	fl3_cos_roll_hclust
98	1	fl3_cos_roll_hclust
2	2	fl3_cos_roll_hclust
10	2	fl3_cos_roll_hclust
52	2	fl3_cos_roll_hclust
6	3	fl3_cos_roll_hclust
27	3	fl3_cos_roll_hclust
28	3	fl3_cos_roll_hclust
44	3	fl3_cos_roll_hclust
109	3	fl3_cos_roll_hclust
19	4	fl3_cos_roll_hclust
49	4	fl3_cos_roll_hclust
23	5	fl3_cos_roll_hclust
29	5	fl3_cos_roll_hclust
37	5	fl3_cos_roll_hclust
39	5	fl3_cos_roll_hclust
112	5	fl3_cos_roll_hclust
51	6	fl3_cos_roll_hclust
60	6	fl3_cos_roll_hclust
34	1	fl2_cos_roll_hclust
38	1	fl2_cos_roll_hclust
47	1	fl2_cos_roll_hclust
62	1	fl2_cos_roll_hclust
84	1	fl2_cos_roll_hclust
87	1	fl2_cos_roll_hclust
95	1	fl2_cos_roll_hclust
119	1	fl2_cos_roll_hclust
96	2	fl2_cos_roll_hclust
71	2	fl2_cos_roll_hclust
