Num	Tox_type	Domain	Unknown_type	Dataset
1	Rec	domain3	no	filt_partials
1	Min	domain3	no	filt_partials
1	Maj	domain3	no	filt_partials
1	Rec	domain3	no	raw_data
1	Min	domain3	no	raw_data
1	Maj	domain3	no	raw_data
10	Rec	domain1	no	filt_partials
4	Min	domain1	no	filt_partials
1	Maj	domain1	no	filt_partials
10	Rec	domain1	no	raw_data
4	Min	domain1	no	raw_data
1	Maj	domain1	no	raw_data
1	Rec	domain3	no	filt_partials
2	Min	domain3	no	filt_partials
3	Maj	domain3	no	filt_partials
1	Rec	domain3	no	raw_data
2	Min	domain3	no	raw_data
3	Maj	domain3	no	raw_data
1	Rec	domain3	no	filt_partials
1	Min	domain3	no	filt_partials
1	Maj	domain3	no	filt_partials
1	Rec	domain3	no	raw_data
1	Min	domain3	no	raw_data
1	Maj	domain3	no	raw_data
1	Rec	domain3	no	filt_partials
1	Min	domain3	no	filt_partials
3	Maj	domain3	no	filt_partials
1	Rec	domain3	no	raw_data
1	Min	domain3	no	raw_data
3	Maj	domain3	no	raw_data
3	Rec	domain3	no	filt_partials
1	Min	domain3	no	filt_partials
3	Maj	domain3	no	filt_partials
3	Rec	domain3	no	raw_data
1	Min	domain3	no	raw_data
3	Maj	domain3	no	raw_data
1	Rec	domain3	no	filt_partials
1	Min	domain3	no	filt_partials
1	Maj	domain3	no	filt_partials
1	Rec	domain3	no	raw_data
1	Min	domain3	no	raw_data
1	Maj	domain3	no	raw_data
3	Rec	domain3	minor	filt_partials
0	Min	domain3	minor	filt_partials
1	Maj	domain3	minor	filt_partials
3	Rec	domain3	minor	raw_data
0	Min	domain3	minor	raw_data
1	Maj	domain3	minor	raw_data
1	Rec	domain3	no	filt_partials
1	Min	domain3	no	filt_partials
1	Maj	domain3	no	filt_partials
1	Rec	domain3	no	raw_data
1	Min	domain3	no	raw_data
1	Maj	domain3	no	raw_data
1	Rec	domain3	no	filt_partials
1	Min	domain3	no	filt_partials
