ID	Tox_type	Num_tox	Domain	Unknown_type	tile_fac
0	Recs	1	domain3	no	fac
0	Mins	1	domain3	no	fac
0	Majs	1	domain3	no	fac
0	Dom1	1	domain3	no	fac
0	Dom2	1	domain3	no	fac
0	Dom3	1	domain3	no	fac
2	Recs	1	domain3	no	fac
2	Mins	9	domain3	no	fac
2	Majs	1	domain3	no	fac
2	Dom1	19	domain3	no	fac
2	Dom2	1	domain3	no	fac
2	Dom3	9	domain3	no	fac
3	Recs	1	domain3	no	fac
3	Mins	1	domain3	no	fac
3	Majs	1	domain3	no	fac
3	Dom1	1	domain3	no	fac
3	Dom2	1	domain3	no	fac
3	Dom3	1	domain3	no	fac
6	Recs	1	domain3	no	fac
6	Mins	1	domain3	no	fac
6	Majs	1	domain3	no	fac
6	Dom1	1	domain3	no	fac
6	Dom2	1	domain3	no	fac
6	Dom3	1	domain3	no	fac
8	Recs	1	domain3	no	fac
8	Mins	1	domain3	no	fac
8	Majs	1	domain3	no	fac
8	Dom1	1	domain3	no	fac
8	Dom2	1	domain3	no	fac
8	Dom3	1	domain3	no	fac
10	Recs	1	domain3	no	fac
10	Mins	1	domain3	no	fac
10	Majs	1	domain3	no	fac
10	Dom1	1	domain3	no	fac
10	Dom2	1	domain3	no	fac
10	Dom3	1	domain3	no	fac
13	Recs	1	domain3	no	fac
13	Mins	1	domain3	no	fac
13	Majs	1	domain3	no	fac
13	Dom1	1	domain3	no	fac
13	Dom2	1	domain3	no	fac
13	Dom3	1	domain3	no	fac
14	Recs	1	domain3	no	fac
14	Mins	4	domain3	no	fac
14	Majs	1	domain3	no	fac
14	Dom1	1	domain3	no	fac
14	Dom2	1	domain3	no	fac
14	Dom3	4	domain3	no	fac
17	Recs	1	domain3	no	fac
17	Mins	2	domain3	no	fac
17	Majs	1	domain3	no	fac
17	Dom1	1	domain3	no	fac
17	Dom2	1	domain3	no	fac
17	Dom3	2	domain3	no	fac
19	Recs	1	domain3	no	fac
19	Mins	2	domain3	no	fac
19	Majs	1	domain3	no	fac
19	Dom1	1	domain3	no	fac
19	Dom2	1	domain3	no	fac
19	Dom3	2	domain3	no	fac
22	Recs	1	domain2	major	fac
22	Mins	1	domain2	major	fac
22	Majs	0	domain2	major	fac
22	Dom1	2	domain2	major	fac
22	Dom2	1	domain2	major	fac
22	Dom3	1	domain2	major	fac
23	Recs	1	domain3	no	fac
23	Mins	2	domain3	no	fac
23	Majs	1	domain3	no	fac
23	Dom1	1	domain3	no	fac
23	Dom2	2	domain3	no	fac
23	Dom3	2	domain3	no	fac
24	Recs	1	domain3	no	fac
24	Mins	1	domain3	no	fac
24	Majs	1	domain3	no	fac
24	Dom1	5	domain3	no	fac
24	Dom2	1	domain3	no	fac
24	Dom3	1	domain3	no	fac
27	Recs	1	domain3	no	fac
27	Mins	1	domain3	no	fac
27	Majs	1	domain3	no	fac
27	Dom1	1	domain3	no	fac
27	Dom2	1	domain3	no	fac
27	Dom3	1	domain3	no	fac
28	Recs	1	domain3	no	fac
28	Mins	1	domain3	no	fac
28	Majs	2	domain3	no	fac
28	Dom1	2	domain3	no	fac
28	Dom2	3	domain3	no	fac
28	Dom3	1	domain3	no	fac
29	Recs	5	domain3	no	fac
29	Mins	5	domain3	no	fac
29	Majs	1	domain3	no	fac
29	Dom1	1	domain3	no	fac
29	Dom2	1	domain3	no	fac
29	Dom3	5	domain3	no	fac
32	Recs	1	domain3	no	fac
32	Mins	2	domain3	no	fac
32	Majs	2	domain3	no	fac
32	Dom1	2	domain3	no	fac
32	Dom2	2	domain3	no	fac
32	Dom3	2	domain3	no	fac
34	Recs	1	domain1	no	fac
34	Mins	1	domain1	no	fac
34	Majs	1	domain1	no	fac
34	Dom1	1	domain1	no	fac
34	Dom2	1	domain1	no	fac
34	Dom3	1	domain1	no	fac
36	Recs	1	domain3	no	fac
36	Mins	1	domain3	no	fac
36	Majs	2	domain3	no	fac
36	Dom1	2	domain3	no	fac
36	Dom2	2	domain3	no	fac
36	Dom3	1	domain3	no	fac
37	Recs	1	domain3	no	fac
37	Mins	1	domain3	no	fac
37	Majs	1	domain3	no	fac
37	Dom1	3	domain3	no	fac
37	Dom2	1	domain3	no	fac
37	Dom3	1	domain3	no	fac
38	Recs	1	domain1	no	fac
38	Mins	7	domain1	no	fac
38	Majs	1	domain1	no	fac
38	Dom1	7	domain1	no	fac
38	Dom2	1	domain1	no	fac
38	Dom3	1	domain1	no	fac
39	Recs	1	domain3	no	fac
39	Mins	2	domain3	no	fac
39	Majs	1	domain3	no	fac
39	Dom1	1	domain3	no	fac
39	Dom2	2	domain3	no	fac
39	Dom3	2	domain3	no	fac
44	Recs	1	domain3	no	fac
44	Mins	1	domain3	no	fac
44	Majs	2	domain3	no	fac
44	Dom1	2	domain3	no	fac
44	Dom2	2	domain3	no	fac
44	Dom3	1	domain3	no	fac
45	Recs	1	domain1	no	fac
45	Mins	1	domain1	no	fac
45	Majs	0	domain1	no	fac
45	Dom1	1	domain1	no	fac
45	Dom2	3	domain1	no	fac
45	Dom3	1	domain1	no	fac
47	Recs	1	domain1	no	fac
47	Mins	1	domain1	no	fac
47	Majs	1	domain1	no	fac
47	Dom1	1	domain1	no	fac
47	Dom2	1	domain1	no	fac
47	Dom3	1	domain1	no	fac
49	Recs	1	domain3	no	fac
49	Mins	1	domain3	no	fac
49	Majs	1	domain3	no	fac
49	Dom1	1	domain3	no	fac
49	Dom2	1	domain3	no	fac
49	Dom3	1	domain3	no	fac
51	Recs	1	domain3	no	fac
51	Mins	1	domain3	no	fac
51	Majs	1	domain3	no	fac
51	Dom1	1	domain3	no	fac
51	Dom2	1	domain3	no	fac
51	Dom3	1	domain3	no	fac
52	Recs	1	domain3	no	fac
52	Mins	3	domain3	no	fac
52	Majs	1	domain3	no	fac
52	Dom1	1	domain3	no	fac
52	Dom2	1	domain3	no	fac
52	Dom3	3	domain3	no	fac
53	Recs	1	domain3	minor	fac
53	Mins	0	domain3	minor	fac
53	Majs	1	domain3	minor	fac
53	Dom1	1	domain3	minor	fac
53	Dom2	2	domain3	minor	fac
53	Dom3	0	domain3	minor	fac
56	Recs	1	domain1	minor	fac
56	Mins	0	domain1	minor	fac
56	Majs	2	domain1	minor	fac
56	Dom1	0	domain1	minor	fac
56	Dom2	2	domain1	minor	fac
56	Dom3	4	domain1	minor	fac
60	Recs	2	domain3	no	fac
60	Mins	1	domain3	no	fac
60	Majs	1	domain3	no	fac
60	Dom1	1	domain3	no	fac
60	Dom2	1	domain3	no	fac
60	Dom3	1	domain3	no	fac
62	Recs	1	domain1	no	fac
62	Mins	1	domain1	no	fac
62	Majs	1	domain1	no	fac
62	Dom1	1	domain1	no	fac
62	Dom2	2	domain1	no	fac
62	Dom3	1	domain1	no	fac
65	Recs	2	domain2	minor	fac
65	Mins	0	domain2	minor	fac
65	Majs	1	domain2	minor	fac
65	Dom1	1	domain2	minor	fac
65	Dom2	0	domain2	minor	fac
65	Dom3	1	domain2	minor	fac
71	Recs	1	domain2	no	fac
71	Mins	1	domain2	no	fac
71	Majs	2	domain2	no	fac
71	Dom1	2	domain2	no	fac
71	Dom2	1	domain2	no	fac
71	Dom3	26	domain2	no	fac
73	Recs	1	domain3	major	fac
73	Mins	1	domain3	major	fac
73	Majs	0	domain3	major	fac
73	Dom1	0	domain3	major	fac
73	Dom2	0	domain3	major	fac
73	Dom3	1	domain3	major	fac
74	Recs	1	domain3	minor	fac
74	Mins	0	domain3	minor	fac
74	Majs	0	domain3	minor	fac
74	Dom1	2	domain3	minor	fac
74	Dom2	1	domain3	minor	fac
74	Dom3	0	domain3	minor	fac
75	Recs	1	domain1	no	fac
75	Mins	1	domain1	no	fac
75	Majs	2	domain1	no	fac
75	Dom1	1	domain1	no	fac
75	Dom2	2	domain1	no	fac
75	Dom3	7	domain1	no	fac
78	Recs	1	domain1	no	fac
78	Mins	1	domain1	no	fac
78	Majs	0	domain1	no	fac
78	Dom1	1	domain1	no	fac
78	Dom2	1	domain1	no	fac
78	Dom3	3	domain1	no	fac
84	Recs	1	domain1	no	fac
84	Mins	1	domain1	no	fac
84	Majs	1	domain1	no	fac
84	Dom1	1	domain1	no	fac
84	Dom2	1	domain1	no	fac
84	Dom3	11	domain1	no	fac
87	Recs	2	domain1	no	fac
87	Mins	2	domain1	no	fac
87	Majs	1	domain1	no	fac
87	Dom1	2	domain1	no	fac
87	Dom2	2	domain1	no	fac
87	Dom3	26	domain1	no	fac
95	Recs	1	domain1	no	fac
95	Mins	1	domain1	no	fac
95	Majs	2	domain1	no	fac
95	Dom1	1	domain1	no	fac
95	Dom2	3	domain1	no	fac
95	Dom3	2	domain1	no	fac
96	Recs	1	domain1	no	fac
96	Mins	1	domain1	no	fac
96	Majs	1	domain1	no	fac
96	Dom1	1	domain1	no	fac
96	Dom2	2	domain1	no	fac
96	Dom3	1	domain1	no	fac
98	Recs	2	domain3	no	fac
98	Mins	1	domain3	no	fac
98	Majs	1	domain3	no	fac
98	Dom1	1	domain3	no	fac
98	Dom2	3	domain3	no	fac
98	Dom3	1	domain3	no	fac
103	Recs	1	domain3	minor	fac
103	Mins	0	domain3	minor	fac
103	Majs	0	domain3	minor	fac
103	Dom1	1	domain3	minor	fac
103	Dom2	3	domain3	minor	fac
103	Dom3	0	domain3	minor	fac
104	Recs	1	domain3	major	fac
104	Mins	2	domain3	major	fac
104	Majs	0	domain3	major	fac
104	Dom1	0	domain3	major	fac
104	Dom2	0	domain3	major	fac
104	Dom3	2	domain3	major	fac
107	Recs	1	domain2	major	fac
107	Mins	1	domain2	major	fac
107	Majs	0	domain2	major	fac
107	Dom1	3	domain2	major	fac
107	Dom2	1	domain2	major	fac
107	Dom3	1	domain2	major	fac
109	Recs	1	domain3	no	fac
109	Mins	2	domain3	no	fac
109	Majs	1	domain3	no	fac
109	Dom1	2	domain3	no	fac
109	Dom2	1	domain3	no	fac
109	Dom3	2	domain3	no	fac
112	Recs	1	domain3	no	fac
112	Mins	2	domain3	no	fac
112	Majs	1	domain3	no	fac
112	Dom1	1	domain3	no	fac
112	Dom2	2	domain3	no	fac
112	Dom3	2	domain3	no	fac
113	Recs	1	domain3	major	fac
113	Mins	1	domain3	major	fac
113	Majs	0	domain3	major	fac
113	Dom1	0	domain3	major	fac
113	Dom2	0	domain3	major	fac
113	Dom3	1	domain3	major	fac
119	Recs	1	domain1	no	fac
119	Mins	1	domain1	no	fac
119	Majs	1	domain1	no	fac
119	Dom1	1	domain1	no	fac
119	Dom2	1	domain1	no	fac
119	Dom3	1	domain1	no	fac
