ID	Num_tox	Tox_type	Domain	Unknown_type	Dataset
0	1	Recs	domain3	no	filt_partials
0	1	Mins	domain3	no	filt_partials
0	1	Majs	domain3	no	filt_partials
0	1	Recs	domain3	no	raw_data
0	1	Mins	domain3	no	raw_data
0	1	Majs	domain3	no	raw_data
1	10	Recs	domain1	no	filt_partials
1	4	Mins	domain1	no	filt_partials
1	1	Majs	domain1	no	filt_partials
1	10	Recs	domain1	no	raw_data
1	4	Mins	domain1	no	raw_data
1	1	Majs	domain1	no	raw_data
2	1	Recs	domain3	no	filt_partials
2	2	Mins	domain3	no	filt_partials
2	3	Majs	domain3	no	filt_partials
2	1	Recs	domain3	no	raw_data
2	2	Mins	domain3	no	raw_data
2	3	Majs	domain3	no	raw_data
3	1	Recs	domain3	no	filt_partials
3	1	Mins	domain3	no	filt_partials
3	1	Majs	domain3	no	filt_partials
3	1	Recs	domain3	no	raw_data
3	1	Mins	domain3	no	raw_data
3	1	Majs	domain3	no	raw_data
4	1	Recs	domain3	no	filt_partials
4	1	Mins	domain3	no	filt_partials
4	3	Majs	domain3	no	filt_partials
4	1	Recs	domain3	no	raw_data
4	1	Mins	domain3	no	raw_data
4	3	Majs	domain3	no	raw_data
5	3	Recs	domain3	no	filt_partials
5	1	Mins	domain3	no	filt_partials
5	3	Majs	domain3	no	filt_partials
5	3	Recs	domain3	no	raw_data
5	1	Mins	domain3	no	raw_data
5	3	Majs	domain3	no	raw_data
6	1	Recs	domain3	no	filt_partials
6	1	Mins	domain3	no	filt_partials
6	1	Majs	domain3	no	filt_partials
6	1	Recs	domain3	no	raw_data
6	1	Mins	domain3	no	raw_data
6	1	Majs	domain3	no	raw_data
7	3	Recs	domain3	minor	filt_partials
7	0	Mins	domain3	minor	filt_partials
7	1	Majs	domain3	minor	filt_partials
7	3	Recs	domain3	minor	raw_data
7	0	Mins	domain3	minor	raw_data
7	1	Majs	domain3	minor	raw_data
8	1	Recs	domain3	no	filt_partials
8	1	Mins	domain3	no	filt_partials
8	1	Majs	domain3	no	filt_partials
8	1	Recs	domain3	no	raw_data
8	1	Mins	domain3	no	raw_data
8	1	Majs	domain3	no	raw_data
9	1	Recs	domain3	no	filt_partials
9	1	Mins	domain3	no	filt_partials
9	2	Majs	domain3	no	filt_partials
9	1	Recs	domain3	no	raw_data
9	1	Mins	domain3	no	raw_data
9	2	Majs	domain3	no	raw_data
10	1	Recs	domain3	no	filt_partials
10	1	Mins	domain3	no	filt_partials
10	1	Majs	domain3	no	filt_partials
10	1	Recs	domain3	no	raw_data
10	1	Mins	domain3	no	raw_data
10	1	Majs	domain3	no	raw_data
11	3	Recs	domain3	no	filt_partials
11	1	Mins	domain3	no	filt_partials
11	1	Majs	domain3	no	filt_partials
11	3	Recs	domain3	no	raw_data
11	1	Mins	domain3	no	raw_data
11	1	Majs	domain3	no	raw_data
12	1	Recs	domain3	minor	filt_partials
12	0	Mins	domain3	minor	filt_partials
12	4	Majs	domain3	minor	filt_partials
12	1	Recs	domain3	minor	raw_data
12	0	Mins	domain3	minor	raw_data
12	4	Majs	domain3	minor	raw_data
13	1	Recs	domain3	no	filt_partials
13	1	Mins	domain3	no	filt_partials
13	1	Majs	domain3	no	filt_partials
13	1	Recs	domain3	no	raw_data
13	1	Mins	domain3	no	raw_data
13	1	Majs	domain3	no	raw_data
14	1	Recs	domain3	no	filt_partials
14	1	Mins	domain3	no	filt_partials
14	1	Majs	domain3	no	filt_partials
14	1	Recs	domain3	no	raw_data
14	1	Mins	domain3	no	raw_data
14	1	Majs	domain3	no	raw_data
15	1	Recs	domain3	minor	filt_partials
15	0	Mins	domain3	minor	filt_partials
15	3	Majs	domain3	minor	filt_partials
15	1	Recs	domain3	minor	raw_data
15	0	Mins	domain3	minor	raw_data
15	3	Majs	domain3	minor	raw_data
16	1	Recs	domain3	no	filt_partials
16	1	Mins	domain3	no	filt_partials
16	1	Majs	domain3	no	filt_partials
16	1	Recs	domain3	no	raw_data
16	1	Mins	domain3	no	raw_data
16	1	Majs	domain3	no	raw_data
17	1	Recs	domain3	no	filt_partials
17	1	Mins	domain3	no	filt_partials
17	1	Majs	domain3	no	filt_partials
17	1	Recs	domain3	no	raw_data
17	1	Mins	domain3	no	raw_data
17	1	Majs	domain3	no	raw_data
18	1	Recs	domain3	minor	filt_partials
18	0	Mins	domain3	minor	filt_partials
18	1	Majs	domain3	minor	filt_partials
18	1	Recs	domain3	minor	raw_data
18	0	Mins	domain3	minor	raw_data
18	1	Majs	domain3	minor	raw_data
19	1	Recs	domain3	no	filt_partials
19	1	Mins	domain3	no	filt_partials
19	1	Majs	domain3	no	filt_partials
19	1	Recs	domain3	no	raw_data
19	1	Mins	domain3	no	raw_data
19	1	Majs	domain3	no	raw_data
20	1	Recs	domain1	no	raw_data
20	3	Mins	domain1	no	raw_data
20	2	Majs	domain1	no	raw_data
21	1	Recs	domain3	major	filt_partials
21	9	Mins	domain3	major	filt_partials
21	0	Majs	domain3	major	filt_partials
21	1	Recs	domain3	major	raw_data
21	9	Mins	domain3	major	raw_data
21	0	Majs	domain3	major	raw_data
22	1	Recs	domain2	major	filt_partials
22	1	Mins	domain2	major	filt_partials
22	0	Majs	domain2	major	filt_partials
22	1	Recs	domain2	major	raw_data
22	1	Mins	domain2	major	raw_data
22	0	Majs	domain2	major	raw_data
23	1	Recs	domain3	no	filt_partials
23	1	Mins	domain3	no	filt_partials
23	1	Majs	domain3	no	filt_partials
23	1	Recs	domain3	no	raw_data
23	1	Mins	domain3	no	raw_data
23	1	Majs	domain3	no	raw_data
24	1	Recs	domain3	no	filt_partials
24	1	Mins	domain3	no	filt_partials
24	5	Majs	domain3	no	filt_partials
24	1	Recs	domain3	no	raw_data
24	1	Mins	domain3	no	raw_data
24	5	Majs	domain3	no	raw_data
25	1	Recs	domain3	minor	filt_partials
25	0	Mins	domain3	minor	filt_partials
25	1	Majs	domain3	minor	filt_partials
25	1	Recs	domain3	minor	raw_data
25	0	Mins	domain3	minor	raw_data
25	1	Majs	domain3	minor	raw_data
26	1	Recs	domain1	no	raw_data
26	1	Mins	domain1	no	raw_data
26	1	Majs	domain1	no	raw_data
27	1	Recs	domain3	no	filt_partials
27	1	Mins	domain3	no	filt_partials
27	1	Majs	domain3	no	filt_partials
27	1	Recs	domain3	no	raw_data
27	1	Mins	domain3	no	raw_data
27	1	Majs	domain3	no	raw_data
28	1	Recs	domain3	no	filt_partials
28	1	Mins	domain3	no	filt_partials
28	3	Majs	domain3	no	filt_partials
28	1	Recs	domain3	no	raw_data
28	1	Mins	domain3	no	raw_data
28	3	Majs	domain3	no	raw_data
29	5	Recs	domain3	no	filt_partials
29	5	Mins	domain3	no	filt_partials
29	1	Majs	domain3	no	filt_partials
29	5	Recs	domain3	no	raw_data
29	5	Mins	domain3	no	raw_data
29	1	Majs	domain3	no	raw_data
30	1	Recs	domain3	minor	filt_partials
30	0	Mins	domain3	minor	filt_partials
30	1	Majs	domain3	minor	filt_partials
30	1	Recs	domain3	minor	raw_data
30	0	Mins	domain3	minor	raw_data
30	1	Majs	domain3	minor	raw_data
31	1	Recs	domain3	minor	filt_partials
31	0	Mins	domain3	minor	filt_partials
31	2	Majs	domain3	minor	filt_partials
31	1	Recs	domain3	minor	raw_data
31	0	Mins	domain3	minor	raw_data
31	2	Majs	domain3	minor	raw_data
32	1	Recs	domain3	no	filt_partials
32	1	Mins	domain3	no	filt_partials
32	1	Majs	domain3	no	filt_partials
32	1	Recs	domain3	no	raw_data
32	1	Mins	domain3	no	raw_data
32	1	Majs	domain3	no	raw_data
33	1	Recs	domain3	minor	filt_partials
33	0	Mins	domain3	minor	filt_partials
33	3	Majs	domain3	minor	filt_partials
33	1	Recs	domain3	minor	raw_data
33	0	Mins	domain3	minor	raw_data
33	3	Majs	domain3	minor	raw_data
34	1	Recs	domain1	no	filt_partials
34	1	Mins	domain1	no	filt_partials
34	1	Majs	domain1	no	filt_partials
34	1	Recs	domain1	no	raw_data
34	1	Mins	domain1	no	raw_data
34	1	Majs	domain1	no	raw_data
35	1	Recs	domain1	no	filt_partials
35	3	Mins	domain1	no	filt_partials
35	1	Majs	domain1	no	filt_partials
35	1	Recs	domain1	no	raw_data
35	3	Mins	domain1	no	raw_data
35	1	Majs	domain1	no	raw_data
36	1	Recs	domain3	no	filt_partials
36	1	Mins	domain3	no	filt_partials
36	2	Majs	domain3	no	filt_partials
36	1	Recs	domain3	no	raw_data
36	1	Mins	domain3	no	raw_data
36	2	Majs	domain3	no	raw_data
37	1	Recs	domain3	no	filt_partials
37	1	Mins	domain3	no	filt_partials
37	1	Majs	domain3	no	filt_partials
37	1	Recs	domain3	no	raw_data
37	1	Mins	domain3	no	raw_data
37	1	Majs	domain3	no	raw_data
38	1	Recs	domain1	no	filt_partials
38	5	Mins	domain1	no	filt_partials
38	1	Majs	domain1	no	filt_partials
38	1	Recs	domain1	no	raw_data
38	5	Mins	domain1	no	raw_data
38	1	Majs	domain1	no	raw_data
39	1	Recs	domain3	no	filt_partials
39	1	Mins	domain3	no	filt_partials
39	1	Majs	domain3	no	filt_partials
39	1	Recs	domain3	no	raw_data
39	1	Mins	domain3	no	raw_data
39	1	Majs	domain3	no	raw_data
40	16	Recs	domain3	no	filt_partials
40	1	Mins	domain3	no	filt_partials
40	1	Majs	domain3	no	filt_partials
40	16	Recs	domain3	no	raw_data
40	1	Mins	domain3	no	raw_data
40	1	Majs	domain3	no	raw_data
41	1	Recs	domain3	no	filt_partials
41	2	Mins	domain3	no	filt_partials
41	2	Majs	domain3	no	filt_partials
41	1	Recs	domain3	no	raw_data
41	2	Mins	domain3	no	raw_data
41	2	Majs	domain3	no	raw_data
42	1	Recs	domain3	minor	raw_data
42	0	Mins	domain3	minor	raw_data
42	1	Majs	domain3	minor	raw_data
43	1	Recs	domain2	no	filt_partials
43	1	Mins	domain2	no	filt_partials
43	3	Majs	domain2	no	filt_partials
43	1	Recs	domain2	no	raw_data
43	1	Mins	domain2	no	raw_data
43	3	Majs	domain2	no	raw_data
44	1	Recs	domain3	no	filt_partials
44	1	Mins	domain3	no	filt_partials
44	2	Majs	domain3	no	filt_partials
44	1	Recs	domain3	no	raw_data
44	1	Mins	domain3	no	raw_data
44	2	Majs	domain3	no	raw_data
45	1	Recs	domain1	no	filt_partials
45	1	Mins	domain1	no	filt_partials
45	2	Majs	domain1	no	filt_partials
45	1	Recs	domain1	no	raw_data
45	1	Mins	domain1	no	raw_data
45	2	Majs	domain1	no	raw_data
46	1	Recs	domain3	no	filt_partials
46	1	Mins	domain3	no	filt_partials
46	1	Majs	domain3	no	filt_partials
46	1	Recs	domain3	no	raw_data
46	1	Mins	domain3	no	raw_data
46	1	Majs	domain3	no	raw_data
47	1	Recs	domain1	no	filt_partials
47	1	Mins	domain1	no	filt_partials
47	1	Majs	domain1	no	filt_partials
47	1	Recs	domain1	no	raw_data
47	1	Mins	domain1	no	raw_data
47	1	Majs	domain1	no	raw_data
48	1	Recs	domain3	minor	raw_data
48	0	Mins	domain3	minor	raw_data
48	1	Majs	domain3	minor	raw_data
49	1	Recs	domain3	no	filt_partials
49	1	Mins	domain3	no	filt_partials
49	1	Majs	domain3	no	filt_partials
49	1	Recs	domain3	no	raw_data
49	1	Mins	domain3	no	raw_data
49	1	Majs	domain3	no	raw_data
50	1	Recs	domain3	major	filt_partials
50	1	Mins	domain3	major	filt_partials
50	0	Majs	domain3	major	filt_partials
50	1	Recs	domain3	major	raw_data
50	1	Mins	domain3	major	raw_data
50	0	Majs	domain3	major	raw_data
51	1	Recs	domain3	no	filt_partials
51	1	Mins	domain3	no	filt_partials
51	1	Majs	domain3	no	filt_partials
51	1	Recs	domain3	no	raw_data
51	1	Mins	domain3	no	raw_data
51	1	Majs	domain3	no	raw_data
52	1	Recs	domain3	no	filt_partials
52	3	Mins	domain3	no	filt_partials
52	1	Majs	domain3	no	filt_partials
52	1	Recs	domain3	no	raw_data
52	3	Mins	domain3	no	raw_data
52	1	Majs	domain3	no	raw_data
53	1	Recs	domain3	minor	filt_partials
53	0	Mins	domain3	minor	filt_partials
53	1	Majs	domain3	minor	filt_partials
53	1	Recs	domain3	minor	raw_data
53	0	Mins	domain3	minor	raw_data
53	1	Majs	domain3	minor	raw_data
54	1	Recs	domain3	no	filt_partials
54	3	Mins	domain3	no	filt_partials
