Component	Value	Num	Type
1	98	1	Event_ID
1	17	1	Event_ID
1	19	1	Event_ID
1	62	1	Event_ID
1	44	1	Event_ID
1	29	1	Event_ID
1	0	1	Event_ID
1	56	1	Event_ID
1	96	1	Event_ID
1	13	1	Event_ID
1	53	1	Event_ID
1	24	1	Event_ID
1	14	1	Event_ID
1	2	1	Event_ID
1	84	1	Event_ID
1	87	1	Event_ID
1	71	1	Event_ID
1	22	1	Event_ID
1	74	1	Event_ID
1	domain3	12	Event_type
1	domain1	5	Event_type
1	domain2	2	Event_type
1	domain3	125	Link_type
1	domain1	24	Link_type
1	domain2	12	Link_type
1	recs	12	Link_type
1	domains12	17	Link_type
1	domain23	7	Link_type
1	domains13	11	Link_type
1	par	64	Node_type
1	mixed	12	Node_type
1	rec	12	Node_type
2	32	1	Event_ID
2	3	1	Event_ID
2	domain3	2	Event_type
2	domain3	4	Link_type
2	domains12	4	Link_type
2	rec	1	Node_type
2	par	2	Node_type
2	mixed	1	Node_type
3	38	1	Event_ID
3	6	1	Event_ID
3	45	1	Event_ID
3	103	1	Event_ID
3	domain1	2	Event_type
3	domain3	2	Event_type
3	domain3	1	Link_type
3	domain1	9	Link_type
3	domain23	1	Link_type
3	domains12	1	Link_type
3	domain2	6	Link_type
3	par	8	Node_type
3	rec	2	Node_type
3	mixed	1	Node_type
4	8	1	Event_ID
4	domain3	1	Event_type
4	domain3	1	Link_type
4	domains12	1	Link_type
4	par	2	Node_type
4	rec	1	Node_type
5	112	1	Event_ID
5	10	1	Event_ID
5	28	1	Event_ID
5	domain3	3	Event_type
5	domain3	4	Link_type
5	domain2	2	Link_type
5	domains12	4	Link_type
5	par	5	Node_type
5	mixed	2	Node_type
5	rec	1	Node_type
6	37	1	Event_ID
6	107	1	Event_ID
6	39	1	Event_ID
6	23	1	Event_ID
6	domain3	3	Event_type
6	domain2	1	Event_type
6	domain3	4	Link_type
6	domains12	4	Link_type
6	domain1	4	Link_type
6	domain23	2	Link_type
6	par	2	Node_type
6	mixed	3	Node_type
7	27	1	Event_ID
7	domain3	1	Event_type
7	domains12	1	Link_type
7	domain3	1	Link_type
7	par	2	Node_type
7	rec	1	Node_type
8	34	1	Event_ID
8	domain1	1	Event_type
8	domain23	1	Link_type
8	domain1	1	Link_type
8	par	2	Node_type
8	rec	1	Node_type
9	36	1	Event_ID
9	domain3	1	Event_type
9	domains12	2	Link_type
9	domain3	1	Link_type
9	par	3	Node_type
9	rec	1	Node_type
10	47	1	Event_ID
10	domain1	1	Event_type
10	domain23	1	Link_type
10	domain1	1	Link_type
10	par	2	Node_type
10	rec	1	Node_type
11	49	1	Event_ID
11	domain3	1	Event_type
11	domains12	1	Link_type
11	domain3	1	Link_type
11	rec	1	Node_type
11	par	2	Node_type
12	51	1	Event_ID
12	domain3	1	Event_type
12	domain3	1	Link_type
12	domains12	1	Link_type
12	par	2	Node_type
12	rec	1	Node_type
13	52	1	Event_ID
13	domain3	1	Event_type
13	domain3	3	Link_type
13	domains12	1	Link_type
13	par	4	Node_type
13	rec	1	Node_type
14	60	1	Event_ID
14	75	1	Event_ID
14	domain3	1	Event_type
14	domain1	1	Event_type
14	recs	1	Link_type
14	domain3	6	Link_type
14	domain23	2	Link_type
14	domains12	2	Link_type
14	domains13	1	Link_type
14	mixed	2	Node_type
14	rec	1	Node_type
14	par	6	Node_type
15	65	1	Event_ID
15	domain2	1	Event_type
15	domains13	2	Link_type
15	recs	1	Link_type
15	par	1	Node_type
15	rec	2	Node_type
16	73	1	Event_ID
16	domain3	1	Event_type
16	domain3	1	Link_type
16	par	1	Node_type
16	rec	1	Node_type
17	78	1	Event_ID
17	domain1	1	Event_type
17	domain3	3	Link_type
17	domains12	1	Link_type
17	par	4	Node_type
17	rec	1	Node_type
18	95	1	Event_ID
18	domain1	1	Event_type
18	domain1	1	Link_type
18	domain23	2	Link_type
18	domain2	1	Link_type
18	par	4	Node_type
18	rec	1	Node_type
19	104	1	Event_ID
19	domain3	1	Event_type
19	domain3	2	Link_type
19	rec	1	Node_type
19	par	2	Node_type
20	109	1	Event_ID
20	domain3	1	Event_type
20	domain3	2	Link_type
20	domain1	1	Link_type
20	domains12	1	Link_type
20	par	4	Node_type
20	rec	1	Node_type
21	113	1	Event_ID
21	domain3	1	Event_type
21	domain3	1	Link_type
21	rec	1	Node_type
21	par	1	Node_type
22	119	1	Event_ID
22	domain1	1	Event_type
22	domain23	1	Link_type
22	domain1	1	Link_type
22	rec	1	Node_type
22	par	2	Node_type
