Event	Domain	Component	Lepidoptera	Diptera	Coleoptera	Nematoda	Hemiptera	Human	Hymenoptera	Orthoptera
domain3_2	domain3	164	1	0	0	0	0	0	0	0
domain3_2	domain3	0	19959	1954	925	216	613	0	0	0
domain3_2	domain3	163	3	0	0	0	0	0	0	0
domain3_2	domain3	127	2	0	0	0	0	0	0	0
domain3_6	domain3	132	0	2	0	0	0	0	0	0
domain3_6	domain3	57	0	5	0	0	0	0	0	0
domain3_8	domain3	4	15	11	1	0	0	0	0	0
domain3_8	domain3	11	23	14	0	0	13	0	0	0
domain3_13	domain3	4	15	11	1	0	0	0	0	0
domain3_14	domain3	146	13	0	0	0	0	0	0	0
domain3_14	domain3	117	7	0	0	0	0	0	0	0
domain3_14	domain3	0	19959	1954	925	216	613	0	0	0
domain3_17	domain3	93	3	0	0	0	0	0	0	0
domain3_17	domain3	0	19959	1954	925	216	613	0	0	0
domain3_19	domain3	106	3	0	0	0	0	0	0	0
domain3_19	domain3	0	19959	1954	925	216	613	0	0	0
domain2_22	domain2	0	19959	1954	925	216	613	0	0	0
domain2_22	domain2	95	3	0	14	0	0	0	0	0
domain3_23	domain3	132	0	2	0	0	0	0	0	0
domain3_23	domain3	4	15	11	1	0	0	0	0	0
domain3_23	domain3	28	1	1	0	0	0	0	0	0
domain3_23	domain3	57	0	5	0	0	0	0	0	0
domain3_24	domain3	93	3	0	0	0	0	0	0	0
domain3_24	domain3	0	19959	1954	925	216	613	0	0	0
domain3_27	domain3	87	0	0	0	0	3	0	0	0
domain3_27	domain3	41	0	0	0	0	1	1	0	0
domain3_29	domain3	4	15	11	1	0	0	0	0	0
domain3_29	domain3	34	0	17	0	0	0	0	0	0
domain3_29	domain3	0	19959	1954	925	216	613	0	0	0
domain3_29	domain3	11	23	14	0	0	13	0	0	0
domain3_29	domain3	75	0	15	0	0	0	0	0	0
domain1_34	domain1	18	0	0	1	0	1	0	0	0
domain3_37	domain3	132	0	2	0	0	0	0	0	0
domain3_37	domain3	4	15	11	1	0	0	0	0	0
domain3_37	domain3	57	0	5	0	0	0	0	0	0
domain1_38	domain1	132	0	2	0	0	0	0	0	0
domain1_38	domain1	4	15	11	1	0	0	0	0	0
domain1_38	domain1	126	0	1	0	1	0	0	0	0
domain1_38	domain1	0	19959	1954	925	216	613	0	0	0
domain1_38	domain1	11	23	14	0	0	13	0	0	0
domain1_38	domain1	28	1	1	0	0	0	0	0	0
domain1_38	domain1	58	0	1	0	0	0	0	0	0
domain3_39	domain3	132	0	2	0	0	0	0	0	0
domain3_39	domain3	4	15	11	1	0	0	0	0	0
domain3_39	domain3	57	0	5	0	0	0	0	0	0
domain3_44	domain3	144	3	0	0	0	0	0	0	0
domain3_44	domain3	109	3	0	0	0	0	0	0	0
domain3_44	domain3	22	1	0	0	0	0	0	0	0
domain3_44	domain3	0	19959	1954	925	216	613	0	0	0
domain1_45	domain1	11	23	14	0	0	13	0	0	0
domain1_45	domain1	0	19959	1954	925	216	613	0	0	0
domain3_49	domain3	9	3	0	148	0	2	0	0	0
domain3_49	domain3	105	0	0	1	0	0	0	0	0
domain3_49	domain3	103	0	0	2	0	0	0	0	0
domain3_51	domain3	37	0	0	9	0	0	0	0	0
domain3_51	domain3	9	3	0	148	0	2	0	0	0
domain3_51	domain3	95	3	0	14	0	0	0	0	0
domain3_52	domain3	51	0	1	0	0	0	0	0	0
domain3_52	domain3	11	23	14	0	0	13	0	0	0
domain3_53	domain3	108	5	0	0	0	0	0	0	0
domain3_53	domain3	0	19959	1954	925	216	613	0	0	0
domain1_56	domain1	144	3	0	0	0	0	0	0	0
domain1_56	domain1	159	20	0	0	0	0	0	0	0
domain1_56	domain1	22	1	0	0	0	0	0	0	0
domain1_62	domain1	0	19959	1954	925	216	613	0	0	0
domain2_65	domain2	132	0	2	0	0	0	0	0	0
domain2_65	domain2	4	15	11	1	0	0	0	0	0
domain2_71	domain2	34	0	17	0	0	0	0	0	0
domain2_71	domain2	9	3	0	148	0	2	0	0	0
domain2_71	domain2	0	19959	1954	925	216	613	0	0	0
domain3_73	domain3	66	0	0	0	8	2	0	0	0
domain1_78	domain1	162	0	3	0	0	0	0	0	0
domain1_78	domain1	11	23	14	0	0	13	0	0	0
domain1_84	domain1	9	3	0	148	0	2	0	0	0
domain1_84	domain1	0	19959	1954	925	216	613	0	0	0
domain1_87	domain1	146	13	0	0	0	0	0	0	0
domain1_87	domain1	149	3	0	0	0	0	0	0	0
domain1_87	domain1	0	19959	1954	925	216	613	0	0	0
domain1_96	domain1	9	3	0	148	0	2	0	0	0
domain1_96	domain1	162	0	3	0	0	0	0	0	0
domain1_96	domain1	82	5	6	0	0	0	0	0	0
domain3_98	domain3	2	7	0	28	0	0	0	0	0
domain3_98	domain3	60	0	0	27	0	0	0	0	0
domain3_98	domain3	100	0	0	12	0	0	0	0	0
domain3_98	domain3	143	0	0	3	0	0	0	0	0
domain3_104	domain3	3	0	0	1	47	0	0	0	0
domain2_107	domain2	4	15	11	1	0	0	0	0	0
domain2_107	domain2	57	0	5	0	0	0	0	0	0
domain3_109	domain3	51	0	1	0	0	0	0	0	0
domain3_109	domain3	4	15	11	1	0	0	0	0	0
domain3_109	domain3	11	23	14	0	0	13	0	0	0
domain3_113	domain3	27	0	0	0	175	0	0	3	0
domain3_113	domain3	61	0	0	0	7	0	3	0	0
domain1_119	domain1	3	0	0	1	47	0	0	0	0
domain1_119	domain1	115	0	0	0	2	0	0	0	0
