ID	Domain	Coeff	Type
0	domain3	0.0	rec_min
0	domain3	0.0	rec_maj
0	domain3	0.0	rec_all
0	domain3	0.0	par_inter
2	domain3	0.0	rec_min
2	domain3	0.0	rec_maj
2	domain3	0.0	rec_all
2	domain3	0.0	par_inter
3	domain3	0.0	rec_min
3	domain3	0.0	rec_maj
3	domain3	0.0	rec_all
3	domain3	0.0	par_inter
6	domain3	0.0	rec_min
6	domain3	0.0	rec_maj
6	domain3	0.0	rec_all
6	domain3	0.0	par_inter
8	domain3	1.0	rec_min
8	domain3	0.0	rec_maj
8	domain3	0.5	rec_all
8	domain3	1.0	par_inter
10	domain3	0.0	rec_min
10	domain3	0.0	rec_maj
10	domain3	0.0	rec_all
10	domain3	0.0	par_inter
13	domain3	1.0	rec_min
13	domain3	0.0	rec_maj
13	domain3	0.5	rec_all
13	domain3	1.0	par_inter
14	domain3	0.3333333333333333	rec_min
14	domain3	1.0	rec_maj
14	domain3	0.3333333333333333	rec_all
14	domain3	0.3333333333333333	par_inter
17	domain3	0.5	rec_min
17	domain3	1.0	rec_maj
17	domain3	0.5	rec_all
17	domain3	0.5	par_inter
19	domain3	0.0	rec_min
19	domain3	0.0	rec_maj
19	domain3	0.0	rec_all
19	domain3	0.0	par_inter
22	domain2	0.0	rec_min
23	domain3	0.0	rec_min
23	domain3	0.0	rec_maj
23	domain3	0.0	rec_all
23	domain3	0.0	par_inter
24	domain3	0.0	rec_min
24	domain3	0.0	rec_maj
24	domain3	0.0	rec_all
24	domain3	0.0	par_inter
27	domain3	0.0	rec_min
27	domain3	1.0	rec_maj
27	domain3	0.5	rec_all
27	domain3	0.0	par_inter
28	domain3	0.0	rec_min
28	domain3	0.0	rec_maj
28	domain3	0.0	rec_all
28	domain3	0.0	par_inter
29	domain3	0.3333333333333333	rec_min
29	domain3	0.25	rec_maj
29	domain3	0.3333333333333333	rec_all
29	domain3	0.3333333333333333	par_inter
32	domain3	0.0	rec_min
32	domain3	0.0	rec_maj
32	domain3	0.0	rec_all
32	domain3	0.0	par_inter
34	domain1	1.0	rec_min
34	domain1	1.0	rec_maj
34	domain1	1.0	rec_all
34	domain1	1.0	par_inter
36	domain3	0.0	rec_min
36	domain3	0.0	rec_maj
36	domain3	0.0	rec_all
36	domain3	0.0	par_inter
37	domain3	0.0	rec_min
37	domain3	0.0	rec_maj
37	domain3	0.0	rec_all
37	domain3	0.0	par_inter
38	domain1	0.0	rec_min
38	domain1	0.0	rec_maj
38	domain1	0.0	rec_all
38	domain1	0.0	par_inter
39	domain3	0.5	rec_min
39	domain3	0.0	rec_maj
39	domain3	0.3333333333333333	rec_all
39	domain3	0.5	par_inter
44	domain3	0.0	rec_min
44	domain3	0.0	rec_maj
44	domain3	0.0	rec_all
44	domain3	0.0	par_inter
45	domain1	0.0	rec_min
47	domain1	0.0	rec_min
47	domain1	0.0	rec_maj
47	domain1	0.0	rec_all
47	domain1	0.0	par_inter
49	domain3	0.0	rec_min
49	domain3	0.0	rec_maj
49	domain3	0.0	rec_all
49	domain3	0.0	par_inter
51	domain3	0.0	rec_min
51	domain3	0.0	rec_maj
51	domain3	0.0	rec_all
51	domain3	0.0	par_inter
52	domain3	0.5	rec_min
52	domain3	0.0	rec_maj
52	domain3	0.3333333333333333	rec_all
52	domain3	0.5	par_inter
53	domain3	0.0	rec_maj
56	domain1	0.0	rec_maj
60	domain3	0.0	rec_min
60	domain3	0.0	rec_maj
60	domain3	0.0	rec_all
60	domain3	0.0	par_inter
62	domain1	1.0	rec_min
62	domain1	1.0	rec_maj
62	domain1	1.0	rec_all
62	domain1	1.0	par_inter
65	domain2	0.0	rec_maj
71	domain2	0.0	rec_min
71	domain2	0.0	rec_maj
71	domain2	0.0	rec_all
71	domain2	0.0	par_inter
73	domain3	1.0	rec_min
75	domain1	0.0	rec_min
75	domain1	0.0	rec_maj
75	domain1	0.0	rec_all
75	domain1	0.0	par_inter
78	domain1	0.0	rec_min
84	domain1	0.0	rec_min
84	domain1	0.0	rec_maj
84	domain1	0.0	rec_all
84	domain1	0.0	par_inter
87	domain1	0.3333333333333333	rec_min
87	domain1	0.5	rec_maj
87	domain1	0.3333333333333333	rec_all
87	domain1	0.3333333333333333	par_inter
96	domain1	0.0	rec_min
96	domain1	0.0	rec_maj
96	domain1	0.0	rec_all
96	domain1	0.0	par_inter
98	domain3	0.0	rec_min
98	domain3	0.0	rec_maj
98	domain3	0.0	rec_all
98	domain3	0.0	par_inter
104	domain3	0.5	rec_min
107	domain2	0.0	rec_min
109	domain3	0.5	rec_min
109	domain3	0.0	rec_maj
109	domain3	0.3333333333333333	rec_all
109	domain3	0.5	par_inter
112	domain3	0.0	rec_min
112	domain3	0.0	rec_maj
112	domain3	0.0	rec_all
112	domain3	0.0	par_inter
113	domain3	0.0	rec_min
119	domain1	0.0	rec_min
119	domain1	0.0	rec_maj
119	domain1	0.0	rec_all
119	domain1	0.0	par_inter
