ID	Change_flag	Domain	Tox_type	Host	Mode	Num_recs	Num_mins	Num_majs
8	Same	domain3	Rec	Lepidoptera	Rank4	1	1	1
8	Same	domain3	Min	Lepidoptera	Rank4	1	1	1
8	Same	domain3	Maj	Lepidoptera	Rank4	1	1	1
14	Different	domain3	Rec	Hemiptera	Rank4	1	4	1
14	Different	domain3	Min	Lepidoptera	Rank4	1	4	1
14	Different	domain3	Min	Lepidoptera	Rank4	1	4	1
14	Different	domain3	Min	Lepidoptera	Rank4	1	4	1
14	Different	domain3	Min	Lepidoptera	Rank4	1	4	1
14	Different	domain3	Min	Lepidoptera	Rank4	1	4	1
14	Different	domain3	Min	Lepidoptera	Rank4	1	4	1
14	Different	domain3	Maj	Unknown	Rank4	1	4	1
17	Same	domain3	Rec	Lepidoptera	Rank4	1	2	1
17	Same	domain3	Rec	Lepidoptera	Rank4	1	2	1
17	Same	domain3	Min	Lepidoptera	Rank4	1	2	1
17	Same	domain3	Min	Lepidoptera	Rank4	1	2	1
17	Same	domain3	Min	Lepidoptera	Rank4	1	2	1
17	Same	domain3	Maj	Lepidoptera	Rank4	1	2	1
19	Same	domain3	Rec	Lepidoptera	Rank4	1	2	1
19	Same	domain3	Rec	Lepidoptera	Rank4	1	2	1
19	Same	domain3	Rec	Lepidoptera	Rank4	1	2	1
19	Same	domain3	Min	Lepidoptera	Rank4	1	2	1
19	Same	domain3	Maj	Lepidoptera	Rank4	1	2	1
23	Different	domain3	Rec	Diptera	Rank4	1	2	1
23	Different	domain3	Min	Lepidoptera	Rank4	1	2	1
23	Different	domain3	Maj	Unknown	Rank4	1	2	1
27	Different	domain3	Rec	Human	Rank4	1	1	1
27	Different	domain3	Rec	Hemiptera	Rank4	1	1	1
27	Different	domain3	Min	Unknown	Rank4	1	1	1
27	Different	domain3	Maj	Human	Rank4	1	1	1
29	Different	domain3	Rec	Diptera	Rank4	5	5	1
29	Different	domain3	Rec	Diptera	Rank4	5	5	1
29	Different	domain3	Rec	Diptera	Rank4	5	5	1
29	Different	domain3	Rec	Diptera	Rank4	5	5	1
29	Different	domain3	Rec	Diptera	Rank4	5	5	1
29	Different	domain3	Rec	Diptera	Rank4	5	5	1
29	Different	domain3	Rec	Diptera	Rank4	5	5	1
29	Different	domain3	Rec	Diptera	Rank4	5	5	1
29	Different	domain3	Min	Lepidoptera	Rank4	5	5	1
29	Different	domain3	Min	Lepidoptera	Rank4	5	5	1
29	Different	domain3	Min	Lepidoptera	Rank4	5	5	1
29	Different	domain3	Min	Diptera	Rank4	5	5	1
29	Different	domain3	Min	Lepidoptera	Rank4	5	5	1
29	Different	domain3	Min	Diptera	Rank4	5	5	1
29	Different	domain3	Maj	Diptera	Rank4	5	5	1
29	Different	domain3	Maj	Diptera	Rank4	5	5	1
34	Different	domain1	Rec	Hemiptera	Rank4	1	1	1
34	Different	domain1	Rec	Coleoptera	Rank4	1	1	1
34	Different	domain1	Min	Unknown	Rank4	1	1	1
34	Different	domain1	Maj	Hemiptera	Rank4	1	1	1
38	Different	domain1	Rec	Lepidoptera	Rank4	1	7	1
38	Different	domain1	Rec	Diptera	Rank4	1	7	1
38	Different	domain1	Min	Diptera	Rank4	1	7	1
38	Different	domain1	Maj	Unknown	Rank4	1	7	1
44	Same	domain3	Rec	Lepidoptera	Rank4	1	1	2
44	Same	domain3	Rec	Lepidoptera	Rank4	1	1	2
44	Same	domain3	Min	Lepidoptera	Rank4	1	1	2
44	Same	domain3	Min	Lepidoptera	Rank4	1	1	2
44	Same	domain3	Maj	Lepidoptera	Rank4	1	1	2
44	Same	domain3	Maj	Lepidoptera	Rank4	1	1	2
44	Same	domain3	Maj	Lepidoptera	Rank4	1	1	2
52	Different	domain3	Rec	Lepidoptera	Rank4	1	3	1
52	Different	domain3	Rec	Hemiptera	Rank4	1	3	1
52	Different	domain3	Rec	Lepidoptera	Rank4	1	3	1
52	Different	domain3	Rec	Hemiptera	Rank4	1	3	1
52	Different	domain3	Min	Lepidoptera	Rank4	1	3	1
52	Different	domain3	Min	Lepidoptera	Rank4	1	3	1
52	Different	domain3	Maj	Unknown	Rank4	1	3	1
53	Same	domain3	Rec	Lepidoptera	Rank4	1	1	1
53	Same	domain3	Min	Unknown	Rank4	1	1	1
53	Same	domain3	Maj	Lepidoptera	Rank4	1	1	1
53	Same	domain3	Maj	Lepidoptera	Rank4	1	1	1
56	Same	domain1	Rec	Lepidoptera	Rank4	1	1	2
56	Same	domain1	Rec	Lepidoptera	Rank4	1	1	2
56	Same	domain1	Rec	Lepidoptera	Rank4	1	1	2
56	Same	domain1	Rec	Lepidoptera	Rank4	1	1	2
56	Same	domain1	Rec	Lepidoptera	Rank4	1	1	2
56	Same	domain1	Rec	Lepidoptera	Rank4	1	1	2
56	Same	domain1	Rec	Lepidoptera	Rank4	1	1	2
56	Same	domain1	Rec	Lepidoptera	Rank4	1	1	2
56	Same	domain1	Rec	Lepidoptera	Rank4	1	1	2
56	Same	domain1	Rec	Lepidoptera	Rank4	1	1	2
56	Same	domain1	Rec	Lepidoptera	Rank4	1	1	2
56	Same	domain1	Min	Unknown	Rank4	1	1	2
56	Same	domain1	Maj	Lepidoptera	Rank4	1	1	2
56	Same	domain1	Maj	Lepidoptera	Rank4	1	1	2
56	Same	domain1	Maj	Lepidoptera	Rank4	1	1	2
71	Different	domain2	Rec	Diptera	Rank4	1	1	2
71	Different	domain2	Rec	Diptera	Rank4	1	1	2
71	Different	domain2	Min	Unknown	Rank4	1	1	2
71	Different	domain2	Maj	Lepidoptera	Rank4	1	1	2
71	Different	domain2	Maj	Lepidoptera	Rank4	1	1	2
71	Different	domain2	Maj	Hemiptera	Rank4	1	1	2
71	Different	domain2	Maj	Lepidoptera	Rank4	1	1	2
71	Different	domain2	Maj	Lepidoptera	Rank4	1	1	2
