ID	Rec_num	Par_num	Comon_num	Coeff	Dataset	Par_type
0	1	6	0.0	Jaccard	Strains	Strict
0	1	6	0.0	Simpson	Strains	Strict
0	1	6	0.0	Braun	Strains	Strict
0	1	6	0.0	Rec_coeff	Strains	Strict
0	1	6	0.6666666666666666	Par_coeff	Strains	Strict
0	1	6	0.0	Jaccard	Strains	All
0	1	6	0.0	Simpson	Strains	All
0	1	6	0.0	Braun	Strains	All
0	1	6	0.0	Rec_coeff	Strains	All
0	1	6	0.6666666666666666	Par_coeff	Strains	All
2	1	45	0.0	Jaccard	Strains	Strict
2	1	45	0.0	Simpson	Strains	Strict
2	1	45	0.0	Braun	Strains	Strict
2	1	45	0.0	Rec_coeff	Strains	Strict
2	1	45	0.5111111111111111	Par_coeff	Strains	Strict
2	1	56	0.0	Jaccard	Strains	All
2	1	56	0.0	Simpson	Strains	All
2	1	45	0.0	Braun	Strains	All
2	1	45	0.0	Rec_coeff	Strains	All
2	1	45	0.8035714285714286	Par_coeff	Strains	All
3	7	3	0.0	Jaccard	Strains	Strict
3	7	3	0.0	Simpson	Strains	Strict
3	7	3	0.0	Braun	Strains	Strict
3	7	3	0.0	Rec_coeff	Strains	Strict
3	7	3	0.0	Par_coeff	Strains	Strict
3	7	3	0.0	Jaccard	Strains	All
3	7	3	0.0	Simpson	Strains	All
3	7	3	0.0	Braun	Strains	All
3	7	3	0.0	Rec_coeff	Strains	All
3	7	3	0.0	Par_coeff	Strains	All
6	5	5	0.0	Jaccard	Strains	Strict
6	5	5	0.0	Simpson	Strains	Strict
6	5	5	0.0	Braun	Strains	Strict
6	5	5	0.0	Rec_coeff	Strains	Strict
6	5	5	0.0	Par_coeff	Strains	Strict
6	5	5	0.0	Jaccard	Strains	All
6	5	5	0.0	Simpson	Strains	All
6	5	5	0.0	Braun	Strains	All
6	5	5	0.0	Rec_coeff	Strains	All
6	5	5	0.0	Par_coeff	Strains	All
8	10	20	0.5	Jaccard	Strains	Strict
8	10	20	1.0	Simpson	Strains	Strict
8	10	20	0.5	Braun	Strains	Strict
8	10	20	1.0	Rec_coeff	Strains	Strict
8	10	20	0.0	Par_coeff	Strains	Strict
8	10	20	0.5	Jaccard	Strains	All
8	10	20	1.0	Simpson	Strains	All
8	10	20	0.5	Braun	Strains	All
8	10	20	1.0	Rec_coeff	Strains	All
8	10	20	0.0	Par_coeff	Strains	All
10	1	3	0.0	Jaccard	Strains	Strict
10	1	3	0.0	Simpson	Strains	Strict
10	1	3	0.0	Braun	Strains	Strict
10	1	3	0.0	Rec_coeff	Strains	Strict
10	1	3	0.0	Par_coeff	Strains	Strict
10	1	3	0.0	Jaccard	Strains	All
10	1	3	0.0	Simpson	Strains	All
10	1	3	0.0	Braun	Strains	All
10	1	3	0.0	Rec_coeff	Strains	All
10	1	3	0.0	Par_coeff	Strains	All
13	3	16	0.05555555555555555	Jaccard	Strains	Strict
