Strain	Num	Rank
14-1	1	Rank4
14-1	1	Rank3
ARP050	1	Rank4
ARP050	1	Rank3
MHB10.6	1	Rank4
MHB10.6	1	Rank3
NRRL B-18679	3	Rank4
NRRL B-18679	2	Rank3
G25-46	2	Rank4
G25-46	2	Rank3
AFS020602	1	Rank4
AFS020602	1	Rank3
IBL02897	9	Rank4
IBL02897	9	Rank3
BGSC 4N1	9	Rank4
BGSC 4N1	9	Rank3
AFS057244	1	Rank4
AFS057244	1	Rank3
IBL00090	9	Rank4
IBL00090	9	Rank3
IBL00171	9	Rank4
IBL00171	9	Rank3
AFS065666	1	Rank4
AFS065666	1	Rank3
IBL 200	11	Rank4
IBL 200	10	Rank3
NB18	1	Rank4
NB18	1	Rank3
BT HMM-AND7B	1	Rank4
BT HMM-AND7B	1	Rank3
BT HMM	2	Rank4
BT HMM	2	Rank3
BT HMM-BRT2A	1	Rank4
BT HMM-BRT2A	1	Rank3
FH21	4	Rank4
FH21	4	Rank3
BTy41	6	Rank4
BTy41	6	Rank3
SC-7	1	Rank4
SC-7	1	Rank3
SC-13	1	Rank4
SC-13	1	Rank3
Bt-ICA/UNMSM10RA	1	Rank4
Bt-ICA/UNMSM10RA	1	Rank3
2B	2	Rank4
2B	2	Rank3
QZL121	1	Rank4
QZL121	1	Rank3
HD73	2	Rank4
HD73	1	Rank3
27	4	Rank4
27	4	Rank3
4E7	1	Rank4
4E7	1	Rank3
DSIR732	1	Rank4
DSIR732	1	Rank3
GC-91	6	Rank4
GC-91	6	Rank3
1905	4	Rank4
1905	4	Rank3
YBT-1520	6	Rank4
YBT-1520	5	Rank3
T03a001	1	Rank4
T03a001	1	Rank3
BGSC 4X1	4	Rank4
BGSC 4X1	4	Rank3
T07019	7	Rank4
T07019	7	Rank3
SY27.1	5	Rank4
SY27.1	5	Rank3
40000000	1	Rank4
40000000	1	Rank3
AFS099341	1	Rank4
AFS099341	1	Rank3
Bt9	1	Rank4
Bt9	1	Rank3
DS415	1	Rank4
DS415	1	Rank3
kenyae	1	Rank4
kenyae	1	Rank3
HS18-1	19	Rank4
HS18-1	10	Rank3
A-19-31	3	Rank4
A-19-31	3	Rank3
S2160-1	10	Rank4
S2160-1	7	Rank3
FU-2-7	1	Rank4
FU-2-7	1	Rank3
G25-42	1	Rank4
G25-42	1	Rank3
XL6	7	Rank4
XL6	7	Rank3
BGSC 4AT1	4	Rank4
BGSC 4AT1	4	Rank3
BGSC 4AR1	4	Rank4
BGSC 4AR1	4	Rank3
PS46L	1	Rank4
PS46L	1	Rank3
QZL144-1	1	Rank4
QZL144-1	1	Rank3
G25-3	2	Rank4
G25-3	2	Rank3
BGSC 4B2	2	Rank4
BGSC 4B2	2	Rank3
4B1	2	Rank4
4B1	2	Rank3
IBL00971	2	Rank4
IBL00971	2	Rank3
BGSC 4BR1	2	Rank4
BGSC 4BR1	2	Rank3
YBT-020	4	Rank4
YBT-020	2	Rank3
HD12	15	Rank4
HD12	11	Rank3
WBT-2	14	Rank4
WBT-2	10	Rank3
btsu4	3	Rank4
btsu4	3	Rank3
BGSC 4J4	5	Rank4
BGSC 4J4	4	Rank3
G03	5	Rank4
G03	5	Rank3
CVUAS2492	5	Rank4
CVUAS2492	5	Rank3
CH_65	5	Rank4
CH_65	5	Rank3
14-2	3	Rank4
14-2	3	Rank3
Leapi01	4	Rank4
