Accession	Dataset	Tox_type	Total_tox_num
14-1	Strains	par_strict	1
14-1	Strains	par_all	1
ARP050	Strains	ref_no_rec	1
MHB10.6	Strains	par_strict	1
MHB10.6	Strains	par_all	1
NRRL B-18679	Strains	par_strict	2
NRRL B-18679	Strains	par_all	2
NRRL B-18679	Strains	par_strict	2
NRRL B-18679	Strains	par_all	2
G25-46	Strains	par_strict	2
G25-46	Strains	par_all	2
G25-46	Strains	par_strict	2
G25-46	Strains	par_all	2
AFS020602	Strains	ref_no_rec	1
IBL02897	Strains	ref_no_rec	9
IBL02897	Strains	par_strict	9
IBL02897	Strains	par_all	9
IBL02897	Strains	par_strict	9
IBL02897	Strains	par_all	9
IBL02897	Strains	par_strict	9
IBL02897	Strains	par_all	9
IBL02897	Strains	ref_no_rec	9
IBL02897	Strains	par_strict	9
IBL02897	Strains	par_all	9
IBL02897	Strains	ref_no_rec	9
IBL02897	Strains	par_all	9
IBL02897	Strains	par_all	9
BGSC 4N1	Strains	ref_no_rec	9
BGSC 4N1	Strains	par_strict	9
BGSC 4N1	Strains	par_all	9
BGSC 4N1	Strains	par_strict	9
BGSC 4N1	Strains	par_all	9
BGSC 4N1	Strains	par_strict	9
BGSC 4N1	Strains	par_all	9
BGSC 4N1	Strains	ref_no_rec	9
BGSC 4N1	Strains	par_strict	9
BGSC 4N1	Strains	par_all	9
BGSC 4N1	Strains	ref_no_rec	9
BGSC 4N1	Strains	par_all	9
BGSC 4N1	Strains	par_all	9
AFS057244	Strains	ref_no_rec	1
IBL00090	Strains	ref_no_rec	9
IBL00090	Strains	par_strict	9
IBL00090	Strains	par_all	9
IBL00090	Strains	par_strict	9
IBL00090	Strains	par_all	9
IBL00090	Strains	par_strict	9
IBL00090	Strains	par_all	9
IBL00090	Strains	ref_no_rec	9
IBL00090	Strains	par_strict	9
IBL00090	Strains	par_all	9
IBL00090	Strains	ref_no_rec	9
IBL00090	Strains	par_all	9
IBL00090	Strains	par_all	9
IBL00171	Strains	ref_no_rec	9
IBL00171	Strains	par_strict	9
IBL00171	Strains	par_all	9
IBL00171	Strains	par_strict	9
IBL00171	Strains	par_all	9
IBL00171	Strains	par_strict	9
IBL00171	Strains	par_all	9
IBL00171	Strains	ref_no_rec	9
IBL00171	Strains	par_strict	9
IBL00171	Strains	par_all	9
IBL00171	Strains	ref_no_rec	9
IBL00171	Strains	par_all	9
IBL00171	Strains	par_all	9
AFS065666	Strains	ref_no_rec	1
IBL 200	Strains	ref_no_rec	10
IBL 200	Strains	par_strict	10
IBL 200	Strains	par_all	10
IBL 200	Strains	rec	10
IBL 200	Strains	par_strict	10
IBL 200	Strains	par_all	10
IBL 200	Strains	ref_no_rec	10
IBL 200	Strains	par_strict	10
IBL 200	Strains	par_all	10
IBL 200	Strains	par_strict	10
IBL 200	Strains	par_all	10
IBL 200	Strains	ref_no_rec	10
IBL 200	Strains	par_all	10
IBL 200	Strains	par_all	10
NB18	Strains	par_strict	1
NB18	Strains	par_all	1
BT HMM-AND7B	Strains	ref_no_rec	1
BT HMM	Strains	ref_no_rec	2
BT HMM	Strains	par_strict	2
BT HMM	Strains	par_all	2
BT HMM-BRT2A	Strains	ref_no_rec	1
FH21	Strains	par_all	4
FH21	Strains	par_strict	4
FH21	Strains	par_all	4
FH21	Strains	par_strict	4
FH21	Strains	par_all	4
FH21	Strains	par_all	4
BTy41	Strains	ref_no_rec	6
BTy41	Strains	par_strict	6
BTy41	Strains	par_all	6
BTy41	Strains	ref_no_rec	6
BTy41	Strains	rec	6
BTy41	Strains	par_all	6
BTy41	Strains	both	6
BTy41	Strains	par_strict	6
BTy41	Strains	par_all	6
BTy41	Strains	both	6
SC-7	Strains	par_strict	1
SC-7	Strains	par_all	1
SC-13	Strains	par_strict	1
SC-13	Strains	par_all	1
Bt-ICA/UNMSM10RA	Strains	par_all	1
2B	Strains	par_strict	2
2B	Strains	par_all	2
2B	Strains	par_all	2
QZL121	Strains	par_all	1
HD73	Strains	par_all	1
27	Strains	par_strict	4
27	Strains	par_all	4
27	Strains	par_all	4
27	Strains	ref_no_rec	4
27	Strains	par_strict	4
27	Strains	par_all	4
4E7	Strains	par_all	1
DSIR732	Strains	par_all	1
GC-91	Strains	par_all	6
GC-91	Strains	par_strict	6
GC-91	Strains	par_all	6
GC-91	Strains	par_all	6
GC-91	Strains	par_strict	6
GC-91	Strains	par_all	6
GC-91	Strains	par_strict	6
GC-91	Strains	par_all	6
GC-91	Strains	par_strict	6
GC-91	Strains	par_all	6
1905	Strains	par_strict	4
1905	Strains	par_all	4
1905	Strains	par_all	4
1905	Strains	par_strict	4
1905	Strains	par_all	4
1905	Strains	par_strict	4
1905	Strains	par_all	4
YBT-1520	Strains	par_all	5
YBT-1520	Strains	par_strict	5
YBT-1520	Strains	par_all	5
YBT-1520	Strains	par_strict	5
YBT-1520	Strains	par_all	5
YBT-1520	Strains	par_strict	5
YBT-1520	Strains	par_all	5
YBT-1520	Strains	par_strict	5
YBT-1520	Strains	par_all	5
T03a001	Strains	par_all	1
BGSC 4X1	Strains	par_strict	4
BGSC 4X1	Strains	par_all	4
BGSC 4X1	Strains	par_all	4
BGSC 4X1	Strains	par_strict	4
BGSC 4X1	Strains	par_all	4
BGSC 4X1	Strains	par_strict	4
BGSC 4X1	Strains	par_all	4
T07019	Strains	par_all	7
T07019	Strains	par_strict	7
T07019	Strains	par_all	7
T07019	Strains	par_all	7
T07019	Strains	par_strict	7
T07019	Strains	par_all	7
T07019	Strains	par_strict	7
T07019	Strains	par_all	7
T07019	Strains	par_strict	7
T07019	Strains	par_all	7
T07019	Strains	par_strict	7
T07019	Strains	par_all	7
SY27.1	Strains	par_all	5
SY27.1	Strains	par_strict	5
SY27.1	Strains	par_all	5
SY27.1	Strains	par_strict	5
