Strain/Toxin	Tox_type	Host_type	Host
BT_Cry11Aa1	Rank4	Orders	Diptera
BT_Cry11Ba1	Rank4	Orders	Diptera
BT_Cry11Bb1	Rank4	Orders	Diptera
BT_Cry12Aa1	Rank4	Orders	Nematoda
BT_Cry13Aa1	Rank4	Orders	Nematoda
BT_Cry14Aa1	Rank4	Orders	Nematoda
BT_Cry14Ab1	Rank4	Orders	Nematoda
BT_Cry18Aa1	Rank4	Orders	Coleoptera
BT_Cry19Aa1	Rank4	Orders	Diptera
BT_Cry19Ba1	Rank4	Orders	Diptera
BT_Cry1Aa10	Rank4	Orders	Lepidoptera
BT_Cry1Aa22	Rank4	Orders	Lepidoptera
BT_Cry1Aa5	Rank4	Orders	Lepidoptera
BT_Cry1Ab16	Rank4	Orders	Lepidoptera
BT_Cry1Ab17	Rank4	Orders	Lepidoptera
BT_Cry1Ab18	Rank4	Orders	Lepidoptera
BT_Cry1Ab1	Rank4	Orders	Lepidoptera
BT_Cry1Ab21	Rank4	Orders	Lepidoptera
BT_Cry1Ab26	Rank4	Orders	Lepidoptera
BT_Cry1Ab2	Rank4	Orders	Lepidoptera
BT_Cry1Ab34	Rank4	Orders	Lepidoptera
BT_Cry1Ab5	Rank4	Orders	Lepidoptera
BT_Cry1Ab6	Rank4	Orders	Lepidoptera
BT_Cry1Ab7	Rank4	Orders	Lepidoptera
BT_Cry1Ab7	Rank4	Orders	Diptera
BT_Cry1Ac17	Rank4	Orders	Lepidoptera
BT_Cry1Ac1	Rank4	Orders	Diptera
BT_Cry1Ac22	Rank4	Orders	Lepidoptera
BT_Cry1Ac24	Rank4	Orders	Lepidoptera
BT_Cry1Ac2	Rank4	Orders	Lepidoptera
BT_Cry1Ac39	Rank4	Orders	Lepidoptera
BT_Cry1Ac4	Rank4	Orders	Lepidoptera
BT_Cry1Ad1	Rank4	Orders	Lepidoptera
BT_Cry1Af1	Rank4	Orders	Lepidoptera
BT_Cry1Ah1	Rank4	Orders	Lepidoptera
BT_Cry1Ah2	Rank4	Orders	Lepidoptera
BT_Cry1Ai1	Rank4	Orders	Lepidoptera
BT_Cry1Aj1	Rank4	Orders	Lepidoptera
BT_Cry1Ba1	Rank4	Orders	Lepidoptera
BT_Cry1Ba1	Rank4	Orders	Coleoptera
BT_Cry1Ba1	Rank4	Orders	Diptera
BT_Cry1Ba3	Rank4	Orders	Lepidoptera
BT_Cry1Ba6	Rank4	Orders	Coleoptera
BT_Cry1Bb1	Rank4	Orders	Lepidoptera
BT_Cry1Bb2	Rank4	Orders	Lepidoptera
BT_Cry1Bc1	Rank4	Orders	Diptera
BT_Cry1Bd1	Rank4	Orders	Lepidoptera
BT_Cry1Bf1	Rank4	Orders	Lepidoptera
BT_Cry1Bf2	Rank4	Orders	Lepidoptera
BT_Cry1Bh1	Rank4	Orders	Lepidoptera
BT_Cry1Bh1	Rank4	Orders	Coleoptera
BT_Cry1Bi1	Rank4	Orders	Lepidoptera
BT_Cry1Bj1	Rank4	Orders	Lepidoptera
BT_Cry1Ca16	Rank4	Orders	Diptera
BT_Cry1Ca1	Rank4	Orders	Lepidoptera
BT_Cry1Ca1	Rank4	Orders	Diptera
BT_Cry1Ca2	Rank4	Orders	Lepidoptera
BT_Cry1Cb1	Rank4	Orders	Hemiptera
BT_Cry1Da1	Rank4	Orders	Lepidoptera
BT_Cry1Dd1	Rank4	Orders	Lepidoptera
BT_Cry1Ea11	Rank4	Orders	Nematoda
BT_Cry1Ea1	Rank4	Orders	Lepidoptera
BT_Cry1Eb1	Rank4	Orders	Lepidoptera
BT_Cry1Fa1	Rank4	Orders	Lepidoptera
BT_Cry1Fb1	Rank4	Orders	Lepidoptera
BT_Cry1Gb1	Rank4	Orders	Lepidoptera
BT_Cry1Gc1	Rank4	Orders	Lepidoptera
BT_Cry1Hb1	Rank4	Orders	Lepidoptera
BT_Cry1Hc1	Rank4	Orders	Lepidoptera
BT_Cry1Ia10	Rank4	Orders	Nematoda
BT_Cry1Ia12	Rank4	Orders	Lepidoptera
BT_Cry1Ia12	Rank4	Orders	Coleoptera
BT_Cry1Ia13	Rank4	Orders	Lepidoptera
BT_Cry1Ia13	Rank4	Orders	Coleoptera
BT_Cry1Ia1	Rank4	Orders	Lepidoptera
BT_Cry1Ia3	Rank4	Orders	Lepidoptera
BT_Cry1Ia7	Rank4	Orders	Lepidoptera
BT_Cry1Ia7	Rank4	Orders	Coleoptera
BT_Cry1Ia8	Rank4	Orders	Lepidoptera
BT_Cry1Ib6	Rank4	Orders	Lepidoptera
BT_Cry1Ic1	Rank4	Orders	Coleoptera
BT_Cry1Id1	Rank4	Orders	Lepidoptera
BT_Cry1Ie1	Rank4	Orders	Lepidoptera
BT_Cry1Ie4	Rank4	Orders	Lepidoptera
BT_Cry1Ie5	Rank4	Orders	Lepidoptera
BT_Cry1If1	Rank4	Orders	Lepidoptera
BT_Cry1Ig1	Rank4	Orders	Lepidoptera
BT_Cry1Ja1	Rank4	Orders	Lepidoptera
BT_Cry1Ja2	Rank4	Orders	Lepidoptera
BT_Cry1Jb1	Rank4	Orders	Lepidoptera
BT_Cry1Jc2	Rank4	Orders	Lepidoptera
BT_Cry1Jd1	Rank4	Orders	Lepidoptera
BT_Cry1La1	Rank4	Orders	Lepidoptera
BT_Cry1Na1	Rank4	Orders	Lepidoptera
BT_Cry1Na1	Rank4	Orders	Hemiptera
BT_Cry1Na3	Rank4	Orders	Lepidoptera
BT_Cry1Na3	Rank4	Orders	Coleoptera
BT_Cry1Na3	Rank4	Orders	Hemiptera
BT_Cry1Nb1	Rank4	Orders	Lepidoptera
BT_Cry20Aa1	Rank4	Orders	Diptera
BT_Cry20Ba2	Rank4	Orders	Lepidoptera
BT_Cry21Aa1	Rank4	Orders	Nematoda
BT_Cry21Aa2	Rank4	Orders	Nematoda
BT_Cry21Aa3	Rank4	Orders	Nematoda
BT_Cry21Fa1	Rank4	Orders	Nematoda
BT_Cry24Ca1	Rank4	Orders	Diptera
BT_Cry27Aa1	Rank4	Orders	Diptera
BT_Cry2Aa11	Rank4	Orders	Lepidoptera
BT_Cry2Aa12	Rank4	Orders	Lepidoptera
BT_Cry2Aa13	Rank4	Orders	Lepidoptera
BT_Cry2Aa14	Rank4	Orders	Diptera
BT_Cry2Aa17	Rank4	Orders	Lepidoptera
BT_Cry2Aa18	Rank4	Orders	Diptera
BT_Cry2Aa1	Rank4	Orders	Lepidoptera
BT_Cry2Aa1	Rank4	Orders	Diptera
BT_Cry2Aa3	Rank4	Orders	Lepidoptera
BT_Cry2Aa4	Rank4	Orders	Diptera
BT_Cry2Ab10	Rank4	Orders	Lepidoptera
BT_Cry2Ab13	Rank4	Orders	Lepidoptera
BT_Cry2Ab13	Rank4	Orders	Diptera
BT_Cry2Ab14	Rank4	Orders	Lepidoptera
BT_Cry2Ab14	Rank4	Orders	Diptera
BT_Cry2Ab1	Rank4	Orders	Lepidoptera
BT_Cry2Ab1	Rank4	Orders	Diptera
BT_Cry2Ab25	Rank4	Orders	Lepidoptera
BT_Cry2Ab25	Rank4	Orders	Diptera
BT_Cry2Ab29	Rank4	Orders	Lepidoptera
BT_Cry2Ab30	Rank4	Orders	Lepidoptera
BT_Cry2Ab32	Rank4	Orders	Lepidoptera
BT_Cry2Ab4	Rank4	Orders	Lepidoptera
BT_Cry2Ab7	Rank4	Orders	Lepidoptera
BT_Cry2Ac10	Rank4	Orders	Lepidoptera
BT_Cry2Ac11	Rank4	Orders	Diptera
BT_Cry2Ac1	Rank4	Orders	Lepidoptera
BT_Cry2Ac3	Rank4	Orders	Lepidoptera
BT_Cry2Ac5	Rank4	Orders	Diptera
BT_Cry2Ac7	Rank4	Orders	Lepidoptera
BT_Cry2Ae1	Rank4	Orders	Lepidoptera
BT_Cry2Ag1	Rank4	Orders	Lepidoptera
BT_Cry2Ag1	Rank4	Orders	Diptera
BT_Cry2Ah4	Rank4	Orders	Lepidoptera
