Event	Tox_type	Dom_type	Host_type	Coeff	Coeff_type
2	Min	domain3	Orders	1.0	Simpson
2	Min	domain3	Species	1.0	Simpson
2	Min	domain3	Orders	0.2	Jaccard
2	Min	domain3	Species	0.015151515151515152	Jaccard
2	Maj	domain3	Orders	1.0	Simpson
2	Maj	domain3	Species	1.0	Simpson
2	Maj	domain3	Orders	0.2	Jaccard
2	Maj	domain3	Species	0.015151515151515152	Jaccard
6	Min	domain3	Orders	1.0	Simpson
6	Min	domain3	Species	0.5	Simpson
6	Min	domain3	Orders	1.0	Jaccard
6	Min	domain3	Species	0.16666666666666666	Jaccard
8	Min	domain3	Orders	1.0	Simpson
8	Min	domain3	Species	1.0	Simpson
8	Min	domain3	Orders	1.0	Jaccard
8	Min	domain3	Species	1.0	Jaccard
8	Maj	domain3	Orders	0.6666666666666666	Simpson
8	Maj	domain3	Species	0.7142857142857143	Simpson
8	Maj	domain3	Orders	0.5	Jaccard
8	Maj	domain3	Species	0.35714285714285715	Jaccard
13	Min	domain3	Orders	1.0	Simpson
13	Min	domain3	Species	1.0	Simpson
13	Min	domain3	Orders	1.0	Jaccard
13	Min	domain3	Species	1.0	Jaccard
14	Min	domain3	Orders	1.0	Simpson
14	Min	domain3	Species	1.0	Simpson
14	Min	domain3	Orders	1.0	Jaccard
14	Min	domain3	Species	0.9924812030075187	Jaccard
14	Maj	domain3	Orders	1.0	Simpson
14	Maj	domain3	Species	1.0	Simpson
14	Maj	domain3	Orders	1.0	Jaccard
14	Maj	domain3	Species	1.0	Jaccard
17	Min	domain3	Orders	1.0	Simpson
17	Min	domain3	Species	1.0	Simpson
17	Min	domain3	Orders	1.0	Jaccard
17	Min	domain3	Species	1.0	Jaccard
17	Maj	domain3	Orders	1.0	Simpson
17	Maj	domain3	Species	1.0	Simpson
17	Maj	domain3	Orders	1.0	Jaccard
17	Maj	domain3	Species	1.0	Jaccard
19	Min	domain3	Orders	1.0	Simpson
19	Min	domain3	Species	1.0	Simpson
19	Min	domain3	Orders	0.2	Jaccard
19	Min	domain3	Species	0.022727272727272728	Jaccard
19	Maj	domain3	Orders	1.0	Simpson
19	Maj	domain3	Species	1.0	Simpson
19	Maj	domain3	Orders	0.2	Jaccard
19	Maj	domain3	Species	0.022727272727272728	Jaccard
22	Min	domain2	Orders	1.0	Simpson
22	Min	domain2	Species	0.5	Simpson
22	Min	domain2	Orders	0.4	Jaccard
22	Min	domain2	Species	0.014925373134328358	Jaccard
23	Min	domain3	Orders	1.0	Simpson
23	Min	domain3	Species	1.0	Simpson
23	Min	domain3	Orders	0.6666666666666666	Jaccard
23	Min	domain3	Species	0.2222222222222222	Jaccard
23	Maj	domain3	Orders	1.0	Simpson
23	Maj	domain3	Species	0.5	Simpson
23	Maj	domain3	Orders	0.5	Jaccard
23	Maj	domain3	Species	0.16666666666666666	Jaccard
24	Min	domain3	Orders	1.0	Simpson
24	Min	domain3	Species	1.0	Simpson
24	Min	domain3	Orders	0.2	Jaccard
24	Min	domain3	Species	0.022727272727272728	Jaccard
24	Maj	domain3	Orders	1.0	Simpson
24	Maj	domain3	Species	1.0	Simpson
24	Maj	domain3	Orders	0.2	Jaccard
24	Maj	domain3	Species	0.022727272727272728	Jaccard
27	Min	domain3	Orders	1.0	Simpson
27	Min	domain3	Species	1.0	Simpson
27	Min	domain3	Orders	0.5	Jaccard
27	Min	domain3	Species	0.5	Jaccard
27	Maj	domain3	Orders	1.0	Simpson
27	Maj	domain3	Species	1.0	Simpson
27	Maj	domain3	Orders	1.0	Jaccard
27	Maj	domain3	Species	1.0	Jaccard
29	Min	domain3	Orders	1.0	Simpson
29	Min	domain3	Species	0.8125	Simpson
29	Min	domain3	Orders	0.8	Jaccard
29	Min	domain3	Species	0.09558823529411764	Jaccard
29	Maj	domain3	Orders	1.0	Simpson
29	Maj	domain3	Species	1.0	Simpson
29	Maj	domain3	Orders	0.2	Jaccard
29	Maj	domain3	Species	0.03759398496240601	Jaccard
34	Min	domain1	Orders	1.0	Simpson
34	Min	domain1	Species	1.0	Simpson
34	Min	domain1	Orders	1.0	Jaccard
34	Min	domain1	Species	1.0	Jaccard
