Tox_type	Accession	Host_type	Group	Mode	Num_hosts	Trim_flag
ref_no_rec	GCA_002551615.1	Species	Rank4	Assemblies	0	Trimmed
ref_no_rec	GCA_002551615.1	Species	Rank4	Assemblies	0	Untrimmed
ref_no_rec	GCA_002552915.1	Species	Rank4	Assemblies	0	Trimmed
ref_no_rec	GCA_002552915.1	Species	Rank4	Assemblies	0	Untrimmed
ref_no_rec	GCA_002566555.1	Species	Rank4	Assemblies	0	Trimmed
ref_no_rec	GCA_002566555.1	Species	Rank4	Assemblies	0	Untrimmed
ref_no_rec	GCA_002969075.1	Species	Rank4	Assemblies	0	Trimmed
ref_no_rec	GCA_002969075.1	Species	Rank4	Assemblies	0	Untrimmed
ref_no_rec	GCA_002146395.1	Species	Rank4	Assemblies	0	Trimmed
ref_no_rec	GCA_002146395.1	Species	Rank4	Assemblies	0	Untrimmed
ref_no_rec	GCA_002552905.1	Species	Rank4	Assemblies	0	Trimmed
ref_no_rec	GCA_002552905.1	Species	Rank4	Assemblies	0	Untrimmed
ref_no_rec	GCA_003991175.1	Species	Rank4	Assemblies	7	Trimmed
ref_no_rec	GCA_003991175.1	Species	Rank4	Assemblies	7	Untrimmed
ref_no_rec	GCA_004368515.1	Species	Rank4	Assemblies	0	Trimmed
ref_no_rec	GCA_004368515.1	Species	Rank4	Assemblies	0	Untrimmed
ref_no_rec	GCA_002552985.1	Species	Rank4	Assemblies	0	Trimmed
ref_no_rec	GCA_002552985.1	Species	Rank4	Assemblies	0	Untrimmed
ref_no_rec	GCA_002585935.1	Species	Rank4	Assemblies	0	Trimmed
ref_no_rec	GCA_002585935.1	Species	Rank4	Assemblies	0	Untrimmed
ref_no_rec	GCA_002146345.1	Species	Rank4	Assemblies	0	Trimmed
ref_no_rec	GCA_002146345.1	Species	Rank4	Assemblies	0	Untrimmed
ref_no_rec	GCA_002893505.1	Species	Rank4	Assemblies	3	Trimmed
ref_no_rec	GCA_002893505.1	Species	Rank4	Assemblies	3	Untrimmed
ref_no_rec	GCA_001721165.1	Species	Rank4	Assemblies	0	Trimmed
ref_no_rec	GCA_001721165.1	Species	Rank4	Assemblies	0	Untrimmed
ref_no_rec	GCA_002148065.1	Species	Rank4	Assemblies	0	Trimmed
ref_no_rec	GCA_002148065.1	Species	Rank4	Assemblies	0	Untrimmed
ref_no_rec	GCA_002893585.1	Species	Rank4	Assemblies	3	Trimmed
ref_no_rec	GCA_002893585.1	Species	Rank4	Assemblies	3	Untrimmed
ref_no_rec	GCA_002561825.1	Species	Rank4	Assemblies	0	Trimmed
ref_no_rec	GCA_002561825.1	Species	Rank4	Assemblies	0	Untrimmed
ref_no_rec	GCA_002146785.1	Species	Rank3	Assemblies	0	Trimmed
ref_no_rec	GCA_002146785.1	Species	Rank3	Assemblies	31	Untrimmed
ref_no_rec	GCA_002566555.1	Species	Rank3	Assemblies	0	Trimmed
ref_no_rec	GCA_002566555.1	Species	Rank3	Assemblies	0	Untrimmed
ref_no_rec	GCA_002574895.1	Species	Rank3	Assemblies	0	Trimmed
ref_no_rec	GCA_002574895.1	Species	Rank3	Assemblies	15	Untrimmed
ref_no_rec	GCA_002550215.1	Species	Rank3	Assemblies	0	Trimmed
ref_no_rec	GCA_002550215.1	Species	Rank3	Assemblies	15	Untrimmed
ref_no_rec	GCA_002146625.1	Species	Rank3	Assemblies	0	Trimmed
ref_no_rec	GCA_002146625.1	Species	Rank3	Assemblies	0	Untrimmed
ref_no_rec	GCA_000161475.1	Species	Rank3	Assemblies	0	Trimmed
ref_no_rec	GCA_000161475.1	Species	Rank3	Assemblies	0	Untrimmed
ref_no_rec	GCA_002146315.1	Species	Rank3	Assemblies	26	Trimmed
ref_no_rec	GCA_002146315.1	Species	Rank3	Assemblies	73	Untrimmed
ref_no_rec	GCA_003991175.1	Species	Rank3	Assemblies	7	Trimmed
ref_no_rec	GCA_003991175.1	Species	Rank3	Assemblies	7	Untrimmed
ref_no_rec	GCA_002146905.1	Species	Rank3	Assemblies	1	Trimmed
ref_no_rec	GCA_002146905.1	Species	Rank3	Assemblies	1	Untrimmed
ref_no_rec	GCA_002571305.1	Species	Rank3	Assemblies	4	Trimmed
ref_no_rec	GCA_002571305.1	Species	Rank3	Assemblies	4	Untrimmed
ref_no_rec	GCA_002571105.1	Species	Rank3	Assemblies	0	Trimmed
ref_no_rec	GCA_002571105.1	Species	Rank3	Assemblies	15	Untrimmed
ref_no_rec	GCA_002585935.1	Species	Rank3	Assemblies	0	Trimmed
ref_no_rec	GCA_002585935.1	Species	Rank3	Assemblies	0	Untrimmed
ref_no_rec	GCA_002146405.1	Species	Rank3	Assemblies	28	Trimmed
ref_no_rec	GCA_002146405.1	Species	Rank3	Assemblies	28	Untrimmed
ref_no_rec	GCA_000161715.1	Species	Rank3	Assemblies	18	Trimmed
ref_no_rec	GCA_000161715.1	Species	Rank3	Assemblies	63	Untrimmed
ref_no_rec	GCA_002146445.1	Species	Rank3	Assemblies	20	Trimmed
ref_no_rec	GCA_002146445.1	Species	Rank3	Assemblies	20	Untrimmed
ref_no_rec	GCA_001721165.1	Species	Rank3	Assemblies	0	Trimmed
ref_no_rec	GCA_001721165.1	Species	Rank3	Assemblies	0	Untrimmed
ref_no_rec	GCA_000497525.2	Species	Rank3	Assemblies	0	Trimmed
ref_no_rec	GCA_000497525.2	Species	Rank3	Assemblies	15	Untrimmed
ref_no_rec	GCA_002146655.1	Species	Rank3	Assemblies	1	Trimmed
ref_no_rec	GCA_002146655.1	Species	Rank3	Assemblies	1	Untrimmed
ref_no_rec	GCA_002147375.1	Species	Rank3	Assemblies	26	Trimmed
ref_no_rec	GCA_002147375.1	Species	Rank3	Assemblies	73	Untrimmed
ref_no_rec	GCA_002558015.1	Species	Rank3	Assemblies	7	Trimmed
ref_no_rec	GCA_002558015.1	Species	Rank3	Assemblies	7	Untrimmed
ref_no_rec	GCA_002893565.1	Species	Rank3	Assemblies	20	Trimmed
ref_no_rec	GCA_002893565.1	Species	Rank3	Assemblies	65	Untrimmed
ref_no_rec	GCA_002564505.1	Species	Rank3	Assemblies	7	Trimmed
ref_no_rec	GCA_002564505.1	Species	Rank3	Assemblies	7	Untrimmed
ref_no_rec	GCA_002148065.1	Species	Rank3	Assemblies	0	Trimmed
ref_no_rec	GCA_002148065.1	Species	Rank3	Assemblies	0	Untrimmed
ref_no_rec	GCA_002146545.1	Species	Rank3	Assemblies	20	Trimmed
ref_no_rec	GCA_002146545.1	Species	Rank3	Assemblies	20	Untrimmed
ref_no_rec	GCA_002146495.1	Species	Rank3	Assemblies	5	Trimmed
ref_no_rec	GCA_002146495.1	Species	Rank3	Assemblies	5	Untrimmed
ref_no_rec	GCA_002560695.1	Species	Rank3	Assemblies	7	Trimmed
ref_no_rec	GCA_002560695.1	Species	Rank3	Assemblies	17	Untrimmed
ref_no_rec	GCA_002146505.1	Species	Rank3	Assemblies	1	Trimmed
ref_no_rec	GCA_002146505.1	Species	Rank3	Assemblies	1	Untrimmed
ref_no_rec	GCA_002146605.1	Species	Rank3	Assemblies	1	Trimmed
ref_no_rec	GCA_002146605.1	Species	Rank3	Assemblies	1	Untrimmed
ref_no_rec	GCA_002146615.1	Species	Rank3	Assemblies	14	Trimmed
ref_no_rec	GCA_002146615.1	Species	Rank3	Assemblies	14	Untrimmed
ref_no_rec	GCA_001182785.1	Species	Rank3	Assemblies	5	Trimmed
ref_no_rec	GCA_001182785.1	Species	Rank3	Assemblies	5	Untrimmed
ref_no_rec	GCA_000774075.2	Species	Rank3	Assemblies	0	Trimmed
ref_no_rec	GCA_000774075.2	Species	Rank3	Assemblies	0	Untrimmed
ref_no_rec	GCA_002148155.1	Species	Rank3	Assemblies	5	Trimmed
ref_no_rec	GCA_002148155.1	Species	Rank3	Assemblies	5	Untrimmed
ref_no_rec	GCA_002576585.1	Species	Rank3	Assemblies	7	Trimmed
ref_no_rec	GCA_002576585.1	Species	Rank3	Assemblies	17	Untrimmed
ref_no_rec	GCA_002173755.1	Species	Rank3	Assemblies	1	Trimmed
ref_no_rec	GCA_002173755.1	Species	Rank3	Assemblies	1	Untrimmed
ref_no_rec	GCA_002146395.1	Species	Rank3	Assemblies	0	Trimmed
ref_no_rec	GCA_002146395.1	Species	Rank3	Assemblies	0	Untrimmed
ref_no_rec	GCA_002147895.1	Species	Rank3	Assemblies	3	Trimmed
ref_no_rec	GCA_002147895.1	Species	Rank3	Assemblies	3	Untrimmed
ref_no_rec	GCA_002146325.1	Species	Rank3	Assemblies	5	Trimmed
ref_no_rec	GCA_002146325.1	Species	Rank3	Assemblies	5	Untrimmed
ref_no_rec	GCA_002147025.1	Species	Rank3	Assemblies	1	Trimmed
ref_no_rec	GCA_002147025.1	Species	Rank3	Assemblies	1	Untrimmed
ref_no_rec	GCA_002147055.1	Species	Rank3	Assemblies	4	Trimmed
ref_no_rec	GCA_002147055.1	Species	Rank3	Assemblies	4	Untrimmed
ref_no_rec	GCA_002893505.1	Species	Rank3	Assemblies	3	Trimmed
ref_no_rec	GCA_002893505.1	Species	Rank3	Assemblies	3	Untrimmed
ref_no_rec	GCA_004354265.1	Species	Rank3	Assemblies	14	Trimmed
ref_no_rec	GCA_004354265.1	Species	Rank3	Assemblies	14	Untrimmed
ref_no_rec	GCA_000161735.1	Species	Rank3	Assemblies	11	Trimmed
ref_no_rec	GCA_000161735.1	Species	Rank3	Assemblies	11	Untrimmed
ref_no_rec	GCA_002147085.1	Species	Rank3	Assemblies	26	Trimmed
ref_no_rec	GCA_002147085.1	Species	Rank3	Assemblies	73	Untrimmed
ref_no_rec	GCA_000161595.1	Species	Rank3	Assemblies	5	Trimmed
ref_no_rec	GCA_000161595.1	Species	Rank3	Assemblies	5	Untrimmed
ref_no_rec	GCA_002561825.1	Species	Rank3	Assemblies	0	Trimmed
ref_no_rec	GCA_002561825.1	Species	Rank3	Assemblies	0	Untrimmed
ref_no_rec	GCA_002146755.1	Species	Rank3	Assemblies	0	Trimmed
ref_no_rec	GCA_002146755.1	Species	Rank3	Assemblies	0	Untrimmed
ref_no_rec	GCA_000161555.1	Species	Rank3	Assemblies	3	Trimmed
ref_no_rec	GCA_000161555.1	Species	Rank3	Assemblies	3	Untrimmed
ref_no_rec	GCA_000878525.1	Species	Rank3	Assemblies	3	Trimmed
ref_no_rec	GCA_000878525.1	Species	Rank3	Assemblies	3	Untrimmed
ref_no_rec	GCA_002551615.1	Species	Rank3	Assemblies	0	Trimmed
ref_no_rec	GCA_002551615.1	Species	Rank3	Assemblies	0	Untrimmed
ref_no_rec	GCA_002147935.1	Species	Rank3	Assemblies	0	Trimmed
ref_no_rec	GCA_002147935.1	Species	Rank3	Assemblies	0	Untrimmed
ref_no_rec	GCA_000292705.1	Species	Rank3	Assemblies	14	Trimmed
ref_no_rec	GCA_000292705.1	Species	Rank3	Assemblies	14	Untrimmed
ref_no_rec	GCA_000161695.1	Species	Rank3	Assemblies	0	Trimmed
ref_no_rec	GCA_000161695.1	Species	Rank3	Assemblies	0	Untrimmed
ref_no_rec	GCA_001968805.1	Species	Rank3	Assemblies	4	Trimmed
ref_no_rec	GCA_001968805.1	Species	Rank3	Assemblies	4	Untrimmed
ref_no_rec	GCA_002969075.1	Species	Rank3	Assemblies	0	Trimmed
ref_no_rec	GCA_002969075.1	Species	Rank3	Assemblies	0	Untrimmed
ref_no_rec	GCA_000530375.1	Species	Rank3	Assemblies	2	Trimmed
ref_no_rec	GCA_000530375.1	Species	Rank3	Assemblies	2	Untrimmed
ref_no_rec	GCA_000161635.1	Species	Rank3	Assemblies	0	Trimmed
ref_no_rec	GCA_000161635.1	Species	Rank3	Assemblies	0	Untrimmed
ref_no_rec	GCA_002147315.1	Species	Rank3	Assemblies	18	Trimmed
ref_no_rec	GCA_002147315.1	Species	Rank3	Assemblies	63	Untrimmed
ref_no_rec	GCA_002147325.1	Species	Rank3	Assemblies	11	Trimmed
ref_no_rec	GCA_002147325.1	Species	Rank3	Assemblies	63	Untrimmed
ref_no_rec	GCA_004368515.1	Species	Rank3	Assemblies	0	Trimmed
ref_no_rec	GCA_004368515.1	Species	Rank3	Assemblies	0	Untrimmed
ref_no_rec	GCA_002146825.1	Species	Rank3	Assemblies	0	Trimmed
ref_no_rec	GCA_002146825.1	Species	Rank3	Assemblies	0	Untrimmed
ref_no_rec	GCA_002146345.1	Species	Rank3	Assemblies	0	Trimmed
ref_no_rec	GCA_002146345.1	Species	Rank3	Assemblies	0	Untrimmed
ref_no_rec	GCA_002558525.1	Species	Rank3	Assemblies	7	Trimmed
ref_no_rec	GCA_002558525.1	Species	Rank3	Assemblies	7	Untrimmed
ref_no_rec	GCA_002586085.1	Species	Rank3	Assemblies	4	Trimmed
ref_no_rec	GCA_002586085.1	Species	Rank3	Assemblies	4	Untrimmed
ref_no_rec	GCA_002146885.1	Species	Rank3	Assemblies	0	Trimmed
ref_no_rec	GCA_002146885.1	Species	Rank3	Assemblies	0	Untrimmed
ref_no_rec	GCA_002147105.1	Species	Rank3	Assemblies	26	Trimmed
ref_no_rec	GCA_002147105.1	Species	Rank3	Assemblies	73	Untrimmed
ref_no_rec	GCA_002893585.1	Species	Rank3	Assemblies	3	Trimmed
