Host_sp	Host_order
Acanthoscelides obtectus 	Coleoptera
Acrobeloides sp	Nematoda
Actebia fennica	Lepidoptera
Acyrthosiphon pisum	Hemiptera
Adoxophyes sp.	Lepidoptera
Aedes aegypti	Diptera
Aedes albifasciatus	Diptera
Aedes albopictus	Diptera
Aedes triseriatus	Diptera
Agelastica alni	Coleoptera
Agelastica coerulea	Coleoptera
Agrotis ipsilon	Lepidoptera
Agrotis segetum	Lepidoptera
Alphitobius diaperinus	Coleoptera
Altica tombacina	Coleoptera
Amphimallon solstitiale	Coleoptera
Ancylostoma ceylanicum	Nematoda
Anisota senatoria	Lepidoptera
Anomala corpulenta	Coleoptera
Anomala cuprea	Coleoptera
Anomala exoleta	Coleoptera
Anomala orientalis	Coleoptera
Anopheles albimanus	Diptera
Anopheles dirus	Diptera
Anopheles gambiae	Diptera
Anopheles quadrimaculatus	Diptera
Anopheles stephensi	Diptera
Anoplophora glabripennis	Coleoptera
Anthonomus grandis	Coleoptera
Anticarsia gemmatalis	Lepidoptera
Aphis glycines	Hemiptera
Aphis gossypii	Hemiptera
Apriona germari	Coleoptera
Arfogeia rapae	Lepidoptera
Argyrotaenia citrana	Lepidoptera
Ascaris suum	Nematoda
Bombyx mori	Lepidoptera
Bradysia difformis	Diptera
Brontispa longissima	Coleoptera
Bursaphelenchus xylophilus	Nematoda
Busseola fusca	Lepidoptera
Cacyreus marshalli	Lepidoptera
Caenorhabditis elegans	Nematoda
Callosobruchus maculatus 	Coleoptera
Callosobruchus maculatus	Coleoptera
Capnodis tenebrionis	Coleoptera
Chilo partellus	Lepidoptera
Chilo suppressalis	Lepidoptera
Chironomus tepperi	Diptera
Choristoneura fumiferana	Lepidoptera
Choristoneura occidentalis	Lepidoptera
Choristoneura pinus	Lepidoptera
Choristoneura pinus pinus	Lepidoptera
Choristoneura rosaceana	Lepidoptera
Chrysodeixis includens	Lepidoptera
Chrysomela scripta	Coleoptera
Chrysomela tremulae	Coleoptera
Chrysomya albiceps	Diptera
Cnaphalocrocis medinalis	Lepidoptera
Colaphellus bowringi	Coleoptera
Conogethes punctiferalis	Lepidoptera
Conopomorpha cramerella	Lepidoptera
Cotinis spp.	Coleoptera
Crioceris quaturdicerumpunctata	Coleoptera
Ctenopsuestis obliquana	Lepidoptera
Culex apicinus	Diptera
Culex pipiens	Diptera
Culex pipiens molestus	Diptera
Culex pipiens pallens	Diptera
Culex quinquefasciatus	Diptera
Culicoides variipennis	Diptera
Cyclocephala borealis	Coleoptera
Cyclocephala pasadenae	Coleoptera
Cydia pomonella	Lepidoptera
Cylas brunneus	Coleoptera
Cylas puncticollis	Coleoptera
Danaus plexippus	Lepidoptera
Diabrotica balteata	Coleoptera
Diabrotica undecimpunctata howardi	Coleoptera
Diabrotica virgifera virgifera	Coleoptera
Diaphorina citri	Hemiptera
Diatraea flavipennella	Lepidoptera
Diatraea grandiosella	Lepidoptera
Diatraea saccharalis	Lepidoptera
Diprion pini	Hymenoptera
Distolabrellus veechi	Nematoda
Ditylenchus destructor	Nematoda
Drosophila melanogaster	Diptera
Earias insulana	Lepidoptera
