Num_recs,Num_mins,Num_majs,Domain,Unknown_flag,Dataset
1,1,1,domain3,no,filt_partials
10,4,1,domain1,no,filt_partials
1,2,3,domain3,no,filt_partials
1,1,1,domain3,no,filt_partials
1,1,3,domain3,no,filt_partials
3,1,3,domain3,no,filt_partials
1,1,1,domain3,no,filt_partials
3,0,1,domain3,minor,filt_partials
1,1,1,domain3,no,filt_partials
1,1,2,domain3,no,filt_partials
1,1,1,domain3,no,filt_partials
3,1,1,domain3,no,filt_partials
1,0,4,domain3,minor,filt_partials
1,1,1,domain3,no,filt_partials
1,1,1,domain3,no,filt_partials
1,0,3,domain3,minor,filt_partials
1,1,1,domain3,no,filt_partials
1,1,1,domain3,no,filt_partials
1,0,1,domain3,minor,filt_partials
1,1,1,domain3,no,filt_partials
1,9,0,domain3,major,filt_partials
1,1,0,domain2,major,filt_partials
1,1,1,domain3,no,filt_partials
1,1,5,domain3,no,filt_partials
1,0,1,domain3,minor,filt_partials
1,1,1,domain3,no,filt_partials
1,1,3,domain3,no,filt_partials
5,5,1,domain3,no,filt_partials
1,0,1,domain3,minor,filt_partials
1,0,2,domain3,minor,filt_partials
1,1,1,domain3,no,filt_partials
1,0,3,domain3,minor,filt_partials
1,1,1,domain1,no,filt_partials
1,3,1,domain1,no,filt_partials
1,1,2,domain3,no,filt_partials
1,1,1,domain3,no,filt_partials
1,5,1,domain1,no,filt_partials
1,1,1,domain3,no,filt_partials
16,1,1,domain3,no,filt_partials
1,2,2,domain3,no,filt_partials
1,1,3,domain2,no,filt_partials
1,1,2,domain3,no,filt_partials
1,1,2,domain1,no,filt_partials
1,1,1,domain3,no,filt_partials
1,1,1,domain1,no,filt_partials
1,1,1,domain3,no,filt_partials
1,1,0,domain3,major,filt_partials
1,1,1,domain3,no,filt_partials
1,3,1,domain3,no,filt_partials
1,0,1,domain3,minor,filt_partials
1,3,1,domain3,no,filt_partials
2,2,1,domain2,no,filt_partials
1,0,2,domain1,minor,filt_partials
2,2,0,domain2,major,filt_partials
1,1,1,domain1,no,filt_partials
2,0,1,domain3,minor,filt_partials
2,1,1,domain3,no,filt_partials
1,1,1,domain1,no,filt_partials
1,2,0,domain1,major,filt_partials
2,0,1,domain2,minor,filt_partials
1,2,2,domain3,no,filt_partials
1,1,1,domain2,no,filt_partials
1,0,1,domain1,minor,filt_partials
1,1,1,domain2,no,filt_partials
1,2,0,domain3,major,filt_partials
1,1,2,domain2,no,filt_partials
1,1,0,domain3,major,filt_partials
1,0,1,domain3,minor,filt_partials
1,1,2,domain1,no,filt_partials
1,0,1,domain1,minor,filt_partials
7,3,7,domain1,no,filt_partials
1,1,3,domain1,no,filt_partials
2,0,2,domain3,minor,filt_partials
1,1,1,domain3,no,filt_partials
2,1,1,domain2,no,filt_partials
1,1,1,domain1,no,filt_partials
1,0,1,domain3,minor,filt_partials
2,2,3,domain1,no,filt_partials
1,1,2,domain3,no,filt_partials
1,0,4,domain3,minor,filt_partials
1,1,0,domain1,major,filt_partials
1,1,1,domain2,no,filt_partials
1,1,2,domain1,no,filt_partials
1,1,1,domain1,no,filt_partials
2,1,1,domain3,no,filt_partials
1,0,1,domain3,minor,filt_partials
1,0,2,domain3,minor,filt_partials
1,2,0,domain3,major,filt_partials
1,0,2,domain2,minor,filt_partials
1,0,1,domain2,minor,filt_partials
1,1,0,domain2,major,filt_partials
1,0,1,domain3,minor,filt_partials
1,2,1,domain3,no,filt_partials
1,0,1,domain2,minor,filt_partials
1,2,1,domain3,no,filt_partials
1,1,0,domain3,major,filt_partials
2,1,2,domain1,no,filt_partials
1,0,1,domain3,minor,filt_partials
1,1,2,domain1,no,filt_partials
1,1,1,domain1,no,filt_partials
1,1,1,domain3,no,filt_tree
1,9,1,domain3,no,filt_tree
1,1,1,domain3,no,filt_tree
1,1,1,domain3,no,filt_tree
1,1,1,domain3,no,filt_tree
1,1,1,domain3,no,filt_tree
1,1,1,domain3,no,filt_tree
1,4,1,domain3,no,filt_tree
1,2,1,domain3,no,filt_tree
1,2,1,domain3,no,filt_tree
1,1,0,domain2,major,filt_tree
1,2,1,domain3,no,filt_tree
1,1,1,domain3,no,filt_tree
1,1,1,domain3,no,filt_tree
1,1,2,domain3,no,filt_tree
5,5,1,domain3,no,filt_tree
1,2,2,domain3,no,filt_tree
1,1,1,domain1,no,filt_tree
1,1,2,domain3,no,filt_tree
1,1,1,domain3,no,filt_tree
1,7,1,domain1,no,filt_tree
1,2,1,domain3,no,filt_tree
1,1,2,domain3,no,filt_tree
1,1,0,domain1,no,filt_tree
1,1,1,domain1,no,filt_tree
1,1,1,domain3,no,filt_tree
1,1,1,domain3,no,filt_tree
1,3,1,domain3,no,filt_tree
1,0,1,domain3,minor,filt_tree
1,0,2,domain1,minor,filt_tree
2,1,1,domain3,no,filt_tree
1,1,1,domain1,no,filt_tree
2,0,1,domain2,minor,filt_tree
1,1,2,domain2,no,filt_tree
1,1,0,domain3,major,filt_tree
1,1,2,domain1,no,filt_tree
1,1,0,domain1,no,filt_tree
1,1,1,domain1,no,filt_tree
2,2,1,domain1,no,filt_tree
1,1,2,domain1,no,filt_tree
1,1,1,domain1,no,filt_tree
2,1,1,domain3,no,filt_tree
1,2,0,domain3,major,filt_tree
1,1,0,domain2,major,filt_tree
1,2,1,domain3,no,filt_tree
1,2,1,domain3,no,filt_tree
1,1,0,domain3,major,filt_tree
1,1,1,domain1,no,filt_tree
1,1,1,domain3,no,raw_data
10,4,1,domain1,no,raw_data
1,2,3,domain3,no,raw_data
1,1,1,domain3,no,raw_data
1,1,3,domain3,no,raw_data
3,1,3,domain3,no,raw_data
1,1,1,domain3,no,raw_data
3,0,1,domain3,minor,raw_data
1,1,1,domain3,no,raw_data
1,1,2,domain3,no,raw_data
1,1,1,domain3,no,raw_data
3,1,1,domain3,no,raw_data
1,0,4,domain3,minor,raw_data
1,1,1,domain3,no,raw_data
1,1,1,domain3,no,raw_data
1,0,3,domain3,minor,raw_data
1,1,1,domain3,no,raw_data
1,1,1,domain3,no,raw_data
1,0,1,domain3,minor,raw_data
1,1,1,domain3,no,raw_data
1,3,2,domain1,no,raw_data
1,9,0,domain3,major,raw_data
1,1,0,domain2,major,raw_data
1,1,1,domain3,no,raw_data
1,1,5,domain3,no,raw_data
1,0,1,domain3,minor,raw_data
1,1,1,domain1,no,raw_data
1,1,1,domain3,no,raw_data
1,1,3,domain3,no,raw_data
5,5,1,domain3,no,raw_data
1,0,1,domain3,minor,raw_data
1,0,2,domain3,minor,raw_data
1,1,1,domain3,no,raw_data
1,0,3,domain3,minor,raw_data
1,1,1,domain1,no,raw_data
1,3,1,domain1,no,raw_data
1,1,2,domain3,no,raw_data
1,1,1,domain3,no,raw_data
1,5,1,domain1,no,raw_data
1,1,1,domain3,no,raw_data
16,1,1,domain3,no,raw_data
1,2,2,domain3,no,raw_data
1,0,1,domain3,minor,raw_data
1,1,3,domain2,no,raw_data
1,1,2,domain3,no,raw_data
1,1,2,domain1,no,raw_data
1,1,1,domain3,no,raw_data
1,1,1,domain1,no,raw_data
1,0,1,domain3,minor,raw_data
1,1,1,domain3,no,raw_data
1,1,0,domain3,major,raw_data
1,1,1,domain3,no,raw_data
1,3,1,domain3,no,raw_data
1,0,1,domain3,minor,raw_data
1,3,1,domain3,no,raw_data
2,2,1,domain2,no,raw_data
1,0,2,domain1,minor,raw_data
2,2,0,domain2,major,raw_data
1,1,1,domain1,no,raw_data
2,0,1,domain3,minor,raw_data
2,1,1,domain3,no,raw_data
1,2,11,domain1,no,raw_data
1,1,1,domain1,no,raw_data
1,2,0,domain1,major,raw_data
2,1,0,domain3,major,raw_data
2,0,1,domain2,minor,raw_data
1,2,2,domain3,no,raw_data
1,1,1,domain2,no,raw_data
1,0,1,domain1,minor,raw_data
1,1,1,domain2,no,raw_data
1,2,0,domain3,major,raw_data
1,1,2,domain2,no,raw_data
1,0,4,domain1,minor,raw_data
1,1,0,domain3,major,raw_data
1,0,1,domain3,minor,raw_data
1,1,2,domain1,no,raw_data
1,0,1,domain1,minor,raw_data
7,3,7,domain1,no,raw_data
1,1,3,domain1,no,raw_data
2,0,2,domain3,minor,raw_data
1,1,1,domain3,no,raw_data
2,1,1,domain2,no,raw_data
1,0,1,domain3,minor,raw_data
1,1,1,domain1,no,raw_data
1,1,1,domain1,no,raw_data
2,2,1,domain3,no,raw_data
1,0,1,domain3,minor,raw_data
2,2,3,domain1,no,raw_data
2,9,1,domain3,no,raw_data
1,1,2,domain3,no,raw_data
4,2,2,domain1,no,raw_data
1,0,4,domain3,minor,raw_data
1,1,0,domain1,major,raw_data
1,1,1,domain1,no,raw_data
1,1,1,domain2,no,raw_data
