Dataset,Par_type,Domain,Ident_dif,sd
filt_partials,Major,domain1,1.06766923999388,0.47920132432455
filt_partials,Major,domain2,5.62042341934065,0.366311127866539
filt_partials,Major,domain3,12.1237090157257,0.725959260833196
filt_partials,Minor,domain1,16.8431277029503,1.04596241965382
filt_partials,Minor,domain2,12.7756205188831,0.755373527570857
filt_partials,Minor,domain3,13.4476284072674,0.511715614495735
filt_tree,Major,domain1,6.2493014834257,0.757764586260045
filt_tree,Major,domain2,5.08475164852976,0.117880721304593
filt_tree,Major,domain3,16.1835484175367,0.820029929823489
filt_tree,Minor,domain1,19.2396323966714,0.45713286219427
filt_tree,Minor,domain2,12.728173206442,0.25655186851704
filt_tree,Minor,domain3,16.0472360612356,0.504233577761605
Raw,Major,domain1,1.63725639565741,0.550805665472626
Raw,Major,domain2,5.62042341934065,0.366311127866539
Raw,Major,domain3,12.1370039035753,0.722926886459643
Raw,Minor,domain1,16.6595536660075,1.02923665958725
Raw,Minor,domain2,12.7756205188831,0.755373527570857
Raw,Minor,domain3,12.8521163712023,0.460764959723593
