Component,ID_num,IDs,Event_types,Edge_num,Edges,Node_num,Nodes
1,19,98; 17; 19; 62; 44; 29; 0; 56; 96; 13; 53; 24; 14; 2; 84; 87; 71; 22; 74,domain3:12; domain1:5; domain2:2,205,domain3:125; domain1:24; domain2:12; recs:12; domains12:17; domain23:7; domains13:11,88,par:64; mixed:12; rec:12
2,2,32; 3,domain3:2,6,domain3:4; domains12:4,4,rec:1; par:2; mixed:1
3,4,38; 6; 45; 103,domain1:2; domain3:2,14,domain3:1; domain1:9; domain23:1; domains12:1; domain2:6,11,par:8; rec:2; mixed:1
4,1,8,domain3:1,2,domain3:1; domains12:1,3,par:2; rec:1
5,3,112; 10; 28,domain3:3,10,domain3:4; domain2:2; domains12:4,8,par:5; mixed:2; rec:1
6,4,37; 107; 39; 23,domain3:3; domain2:1,10,domain3:4; domains12:4; domain1:4; domain23:2,5,par:2; mixed:3
7,1,27,domain3:1,2,domains12:1; domain3:1,3,par:2; rec:1
8,1,34,domain1:1,2,domain23:1; domain1:1,3,par:2; rec:1
9,1,36,domain3:1,3,domains12:2; domain3:1,4,par:3; rec:1
10,1,47,domain1:1,2,domain23:1; domain1:1,3,par:2; rec:1
11,1,49,domain3:1,2,domains12:1; domain3:1,3,rec:1; par:2
12,1,51,domain3:1,2,domain3:1; domains12:1,3,par:2; rec:1
13,1,52,domain3:1,4,domain3:3; domains12:1,5,par:4; rec:1
14,2,60; 75,domain3:1; domain1:1,12,recs:1; domain3:6; domain23:2; domains12:2; domains13:1,9,mixed:2; rec:1; par:6
15,1,65,domain2:1,3,domains13:2; recs:1,3,par:1; rec:2
16,1,73,domain3:1,1,domain3:1,2,par:1; rec:1
17,1,78,domain1:1,4,domain3:3; domains12:1,5,par:4; rec:1
18,1,95,domain1:1,4,domain1:1; domain23:2; domain2:1,5,par:4; rec:1
19,1,104,domain3:1,2,domain3:2,3,rec:1; par:2
20,1,109,domain3:1,4,domain3:2; domain1:1; domains12:1,5,par:4; rec:1
21,1,113,domain3:1,1,domain3:1,2,rec:1; par:1
22,1,119,domain1:1,2,domain23:1; domain1:1,3,rec:1; par:2
