Num_clusters,Silhouette_score,Distance_metric,clust_method,Flank_type
4,0.095491600975952,cos,hclust,flank2
5,0.104745879473726,cos,hclust,flank2
6,0.110962153573133,cos,hclust,flank2
4,0.08655248571029,cos,kmeans,flank2
5,0.091317047195146,cos,kmeans,flank2
6,0.121710377329665,cos,kmeans,flank2
4,0.207518188230294,cos_roll,hclust,flank2
5,0.216208296827306,cos_roll,hclust,flank2
6,0.252966936540608,cos_roll,hclust,flank2
4,0.246542041590675,cos_roll,kmeans,flank2
5,0.231107027608374,cos_roll,kmeans,flank2
6,0.223201470838764,cos_roll,kmeans,flank2
4,0.080344580490629,eucl_vec,hclust,flank2
5,0.085778419695795,eucl_vec,hclust,flank2
6,0.08920943018104,eucl_vec,hclust,flank2
4,0.041575724348894,eucl_vec,kmeans,flank2
5,0.086128237106979,eucl_vec,kmeans,flank2
6,0.086588885091677,eucl_vec,kmeans,flank2
4,0.135275742405801,eucl_vec_roll,hclust,flank2
5,0.144317464918924,eucl_vec_roll,hclust,flank2
6,0.157337064258499,eucl_vec_roll,hclust,flank2
4,0.115217773418335,eucl_vec_roll,kmeans,flank2
5,0.12773482250407,eucl_vec_roll,kmeans,flank2
6,0.153817303155746,eucl_vec_roll,kmeans,flank2
4,0.081078320372104,sub_vec,hclust,flank2
5,0.084718371022584,sub_vec,hclust,flank2
6,0.119699932417456,sub_vec,hclust,flank2
4,0.090620410886451,sub_vec,kmeans,flank2
5,0.092292933897135,sub_vec,kmeans,flank2
6,0.126278882068723,sub_vec,kmeans,flank2
4,0.167201067907606,sub_vec_roll,hclust,flank2
5,0.175655939436562,sub_vec_roll,hclust,flank2
6,0.173100685951785,sub_vec_roll,hclust,flank2
4,0.12403162899665,sub_vec_roll,kmeans,flank2
5,0.184917400242704,sub_vec_roll,kmeans,flank2
6,0.170240117439066,sub_vec_roll,kmeans,flank2
2,0.385261338433771,cos,hclust,flank1
3,0.304341124559886,cos,hclust,flank1
4,0.187654619440536,cos,hclust,flank1
2,0.385261338433771,cos,kmeans,flank1
3,0.187191532661595,cos,kmeans,flank1
4,0.187654619440536,cos,kmeans,flank1
2,0.487373831955849,cos_roll,hclust,flank1
3,0.338886975835906,cos_roll,hclust,flank1
4,0.25630938265473,cos_roll,hclust,flank1
2,0.359924600834979,cos_roll,kmeans,flank1
3,0.338886975835906,cos_roll,kmeans,flank1
4,0.25630938265473,cos_roll,kmeans,flank1
2,0.177713077427846,eucl_vec,hclust,flank1
3,0.090451504380246,eucl_vec,hclust,flank1
4,0.077872070993976,eucl_vec,hclust,flank1
2,0.177713077427846,eucl_vec,kmeans,flank1
3,0.090451504380246,eucl_vec,kmeans,flank1
4,0.077872070993976,eucl_vec,kmeans,flank1
2,0.258882626334809,eucl_vec_roll,hclust,flank1
3,0.250778943687536,eucl_vec_roll,hclust,flank1
4,0.261500808582776,eucl_vec_roll,hclust,flank1
2,0.258882626334809,eucl_vec_roll,kmeans,flank1
3,0.250778943687536,eucl_vec_roll,kmeans,flank1
4,0.261500808582776,eucl_vec_roll,kmeans,flank1
2,0.313866647144224,sub_vec,hclust,flank1
3,0.180295713413502,sub_vec,hclust,flank1
4,0.16895968257993,sub_vec,hclust,flank1
2,0.313866647144224,sub_vec,kmeans,flank1
3,0.180295713413502,sub_vec,kmeans,flank1
4,0.16895968257993,sub_vec,kmeans,flank1
2,0.3047592737195,sub_vec_roll,hclust,flank1
3,0.312942256258961,sub_vec_roll,hclust,flank1
4,0.296680380283457,sub_vec_roll,hclust,flank1
2,0.3047592737195,sub_vec_roll,kmeans,flank1
3,0.312942256258961,sub_vec_roll,kmeans,flank1
4,0.26627750758021,sub_vec_roll,kmeans,flank1
