ID,Cluster,Flank_type
34,1,flank1
38,1,flank1
47,1,flank1
62,1,flank1
71,2,flank1
84,1,flank1
87,1,flank1
95,1,flank1
96,2,flank1
119,1,flank1
34,1,flank1
38,1,flank1
47,1,flank1
62,1,flank1
71,2,flank1
84,3,flank1
87,3,flank1
95,1,flank1
96,2,flank1
119,1,flank1
34,1,flank1
38,2,flank1
47,1,flank1
62,1,flank1
71,3,flank1
84,4,flank1
87,4,flank1
95,1,flank1
96,3,flank1
119,2,flank1
0,1,flank2
2,2,flank2
3,1,flank2
6,3,flank2
10,2,flank2
13,1,flank2
14,1,flank2
17,1,flank2
19,4,flank2
23,5,flank2
24,1,flank2
27,3,flank2
28,3,flank2
29,5,flank2
32,1,flank2
36,1,flank2
37,5,flank2
39,5,flank2
44,3,flank2
49,4,flank2
51,6,flank2
52,2,flank2
60,6,flank2
71,1,flank2
98,1,flank2
109,3,flank2
112,5,flank2
