Strain/Toxin,Host_sp,Host_order,Ref,Type,Rank
147,Aedes aegypti,Diptera,10.1590/0074-02760150273,Strain,Strain
147,Spodoptera frugiperda,Lepidoptera,10.1590/0074-02760150273,Strain,Strain
163-131,Aedes aegypti,Diptera,10.1007/s002849900009,Strain,Strain
163-131,Anopheles stephensi,Diptera,10.1007/s002849900009,Strain,Strain
163-131,Culex pipiens,Diptera,10.1007/s002849900009,Strain,Strain
2173,Culex quinquefasciatus,Diptera,10.1603/0022-2585-37.4.534,Strain,Strain
47-6B,Culex quinquefasciatus,Diptera,10.1046/j.1365-2915.2003.00429.x,Strain,Strain
4M1,Haematobia irritans,Diptera,10.1603/EC10018,Strain,Strain
4M1,Stomoxys calcitrans,Diptera,10.1603/EC10018,Strain,Strain
92-KU-149-8,Bombyx mori,Lepidoptera,10.1111/j.1365-2672.1994.tb01617.x,Strain,Strain
96-OK-85-24,Aedes aegypti,Diptera,10.1046/j.1365-2672.2003.02068.x,Strain,Strain
96-OK-85-24,Anopheles stephensi,Diptera,10.1046/j.1365-2672.2003.02068.x,Strain,Strain
AM65-52,Aedes albopictus,Diptera,10.1007/s00284-019-01775-9,Strain,Strain
AM65-52,Anopheles gambiae,Diptera,10.1007/s00284-019-01775-9,Strain,Strain
AM65-52,Culex pipiens,Diptera,10.1007/s00284-019-01775-9,Strain,Strain
ATCC 14706,Popillia japonica,Coleoptera,10.11416/jibs.82.2_045,Strain,Strain
BGSC 4A4,Caenorhabditis elegans,Nematoda,10.3390/toxins6072050,Strain,Strain
BGSC 4A4,Pristionchus pacificus,Nematoda,10.3390/toxins6072050,Strain,Strain
BGSC 4AA1,Agelastica alni,Coleoptera,0.1111/j.1439-0418.1983.tb03704.x,Strain,Strain
BGSC 4AA1,Leptinotarsa decemlineata,Coleoptera,0.1111/j.1439-0418.1983.tb03704.x,Strain,Strain
BGSC 4AA1,Leptinotarsa decemlineata,Coleoptera,10.1038/nbt0188-61,Strain,Strain
BGSC 4AW1,Haematobia irritans,Diptera,10.1603/EC10018,Strain,Strain
BGSC 4AX1,Haematobia irritans,Diptera,10.1603/EC10018,Strain,Strain
BGSC 4C1,Anisota senatoria,Lepidoptera,10.1016/j.jbiotec.2016.09.015,Strain,Strain
BGSC 4C1,Heliothis virescens,Lepidoptera,10.1016/j.jbiotec.2016.09.015,Strain,Strain
BGSC 4C1,Plutella xylostella,Lepidoptera,10.1016/j.jbiotec.2016.09.015,Strain,Strain
BGSC 4C1,Trichoplusia ni,Lepidoptera,10.1016/j.jbiotec.2016.09.015,Strain,Strain
BGSC 4K1,Anthonomus grandis,Coleoptera,10.1016/j.ram.2016.12.010,Strain,Strain
BGSC 4L3,Haematobia irritans,Diptera,10.1603/EC10018,Strain,Strain
BGSC 4L3,Stomoxys calcitrans,Diptera,10.1603/EC10018,Strain,Strain
BGSC 4N1,Anthonomus grandis,Coleoptera,10.1016/j.ram.2016.12.010,Strain,Strain
BGSC 4O1,Haematobia irritans,Diptera,10.1603/EC10018,Strain,Strain
BGSC 4O1,Stomoxys calcitrans,Diptera,10.1603/EC10018,Strain,Strain
BGSC 4Q1,Haematobia irritans,Diptera,10.1603/EC10018,Strain,Strain
BGSC 4Q1,Pristionchus pacificus,Nematoda,10.3390/toxins6072050,Strain,Strain
BGSC 4U1,Lycoriella auripila,Diptera,US5512279A,Strain,Strain
BLB1,Ephestia kuehniella,Lepidoptera,10.1007/s00203-009-0458-y,Strain,Strain
BM59-2,Aedes aegypti,Diptera,10.1139/W09-120,Strain,Strain
BNS3,Drosophila melanogaster,Diptera,10.1023/a:1025016221891,Strain,Strain
BNS3,Ephestia kuehniella,Lepidoptera,10.1023/a:1025016221891,Strain,Strain
BNS3,Ostrinia nubilalis,Lepidoptera,10.1023/a:1025016221891,Strain,Strain
BNS3,Prays oleae,Lepidoptera,10.1023/a:1025016221891,Strain,Strain
BNS3,Spodoptera exigua,Lepidoptera,10.1023/a:1025016221891,Strain,Strain
B-Pr-88,Unknown,Lepidoptera,PMID:17822035,Strain,Strain
BRC-XQ12,Bursaphelenchus xylophilus,Nematoda,10.1094/PHYTO-05-17-0179-R,Strain,Strain
Bt18247,Caenorhabditis elegans,Nematoda,10.1016/j.dci.2017.04.021,Strain,Strain
Bt185,Holotrichia parallela,Coleoptera,10.1007/s00284-005-0097-8,Strain,Strain
BT62,Holotrichia serrata,Coleoptera,10.1016/j.ygeno.2021.12.012,Strain,Strain
BT_Cry10Aa,Aedes aegypti,Diptera,10.1128/AEM.00409-09,Toxin,3
BT_Cry10Aa,Anthonomus grandis,Coleoptera,10.1007/s00284-005-0502-3,Toxin,3
BT_Cry10Aa,Anthonomus grandis,Coleoptera,10.3390/toxins12070430,Toxin,3
BT_Cry11Aa1,Aedes aegypti,Diptera,10.1016/s0167-4838(98)00168-x,Toxin,4
BT_Cry11Aa1,Anopheles albimanus,Diptera,10.1016/s0167-4838(98)00168-x,Toxin,4
BT_Cry11Aa1,Anopheles stephensi,Diptera,10.1128/aem.61.7.2601-2605.1995,Toxin,4
BT_Cry11Aa1,Chironomus tepperi,Diptera,10.1016/j.jip.2004.10.004,Toxin,4
BT_Cry11Aa1,Culex pipiens,Diptera,10.1023/b:biry.0000018949.70836.dc,Toxin,4
BT_Cry11Aa1,Culex quinquefasciatus,Diptera,10.1016/j.jip.2013.10.003,Toxin,4
BT_Cry11Aa1,Culex quinquefasciatus,Diptera,10.1016/s0167-4838(98)00168-x,Toxin,4
BT_Cry11Aa1,Tipula oleracea,Diptera,10.1128/aem.61.7.2601-2605.1995,Toxin,4
BT_Cry11Aa,Acyrthosiphon pisum,Hemiptera,10.1017/S0007485309990290,Toxin,3
BT_Cry11Aa,Acyrthosiphon pisum,Hemiptera,10.1128/aem.00686-09,Toxin,3
BT_Cry11Aa,Acyrthosiphon pisum,Hemiptera,10.1128/AEM.00686-09,Toxin,3
BT_Cry11Aa,Aedes aegypti,Diptera,10.1006/jipa.1995.1075,Toxin,3
BT_Cry11Aa,Aedes aegypti,Diptera,10.1073/pnas.0505494102,Toxin,3
