Group,Strain.Toxin,Host_type,num
Rank3,BT_Cry10Aa,Orders,2
Rank3,BT_Cry10Aa,Species,2
Rank3,BT_Cry11Aa,Orders,2
Rank3,BT_Cry11Aa,Species,10
Rank3,BT_Cry11Ba,Orders,1
Rank3,BT_Cry11Ba,Species,5
Rank3,BT_Cry11Bb,Orders,1
Rank3,BT_Cry11Bb,Species,5
Rank3,BT_Cry12Aa,Orders,1
Rank3,BT_Cry12Aa,Species,2
Rank3,BT_Cry13Aa,Orders,1
Rank3,BT_Cry13Aa,Species,2
Rank3,BT_Cry14Aa,Orders,1
Rank3,BT_Cry14Aa,Species,5
Rank3,BT_Cry14Ab,Orders,1
Rank3,BT_Cry14Ab,Species,2
Rank3,BT_Cry15Aa,Orders,1
Rank3,BT_Cry15Aa,Species,3
Rank3,BT_Cry16Aa,Orders,1
Rank3,BT_Cry16Aa,Species,3
Rank3,BT_Cry18Aa,Orders,1
Rank3,BT_Cry18Aa,Species,2
Rank3,BT_Cry19Aa,Orders,1
Rank3,BT_Cry19Aa,Species,2
Rank3,BT_Cry19Ba,Orders,1
Rank3,BT_Cry19Ba,Species,2
Rank3,BT_Cry1Aa,Orders,1
Rank3,BT_Cry1Aa,Species,48
Rank3,BT_Cry1Ab,Orders,3
Rank3,BT_Cry1Ab,Species,60
Rank3,BT_Cry1Ac,Orders,3
Rank3,BT_Cry1Ac,Species,65
Rank3,BT_Cry1Ad,Orders,1
Rank3,BT_Cry1Ad,Species,6
Rank3,BT_Cry1Ae,Orders,1
Rank3,BT_Cry1Ae,Species,2
Rank3,BT_Cry1Af,Orders,1
Rank3,BT_Cry1Af,Species,1
Rank3,BT_Cry1Ah,Orders,1
Rank3,BT_Cry1Ah,Species,6
Rank3,BT_Cry1Ai,Orders,1
Rank3,BT_Cry1Ai,Species,5
Rank3,BT_Cry1Aj,Orders,1
Rank3,BT_Cry1Aj,Species,3
Rank3,BT_Cry1Ba,Orders,4
Rank3,BT_Cry1Ba,Species,36
Rank3,BT_Cry1Bb,Orders,1
Rank3,BT_Cry1Bb,Species,8
Rank3,BT_Cry1Bc,Orders,1
Rank3,BT_Cry1Bc,Species,3
Rank3,BT_Cry1Bd,Orders,1
Rank3,BT_Cry1Bd,Species,2
Rank3,BT_Cry1Be,Orders,1
Rank3,BT_Cry1Be,Species,7
Rank3,BT_Cry1Bf,Orders,1
Rank3,BT_Cry1Bf,Species,6
Rank3,BT_Cry1Bh,Orders,2
Rank3,BT_Cry1Bh,Species,5
Rank3,BT_Cry1Bi,Orders,1
Rank3,BT_Cry1Bi,Species,3
Rank3,BT_Cry1Bj,Orders,1
Rank3,BT_Cry1Bj,Species,3
Rank3,BT_Cry1Ca,Orders,2
Rank3,BT_Cry1Ca,Species,43
Rank3,BT_Cry1Cb,Orders,2
Rank3,BT_Cry1Cb,Species,4
Rank3,BT_Cry1Da,Orders,1
Rank3,BT_Cry1Da,Species,19
Rank3,BT_Cry1Db,Orders,1
Rank3,BT_Cry1Db,Species,3
Rank3,BT_Cry1Dd,Orders,1
Rank3,BT_Cry1Dd,Species,2
Rank3,BT_Cry1Ea,Orders,2
Rank3,BT_Cry1Ea,Species,19
Rank3,BT_Cry1Eb,Orders,1
Rank3,BT_Cry1Eb,Species,7
Rank3,BT_Cry1Fa,Orders,1
Rank3,BT_Cry1Fa,Species,26
Rank3,BT_Cry1Fb,Orders,1
Rank3,BT_Cry1Fb,Species,1
Rank3,BT_Cry1Gb,Orders,1
Rank3,BT_Cry1Gb,Species,2
Rank3,BT_Cry1Gc,Orders,1
Rank3,BT_Cry1Gc,Species,4
Rank3,BT_Cry1Hb,Orders,1
Rank3,BT_Cry1Hb,Species,1
Rank3,BT_Cry1Hc,Orders,1
Rank3,BT_Cry1Hc,Species,2
Rank3,BT_Cry1Ia,Orders,3
Rank3,BT_Cry1Ia,Species,18
Rank3,BT_Cry1Ib,Orders,1
Rank3,BT_Cry1Ib,Species,1
Rank3,BT_Cry1Ic,Orders,1
Rank3,BT_Cry1Ic,Species,1
Rank3,BT_Cry1Id,Orders,1
Rank3,BT_Cry1Id,Species,2
Rank3,BT_Cry1Ie,Orders,1
Rank3,BT_Cry1Ie,Species,9
Rank3,BT_Cry1If,Orders,1
Rank3,BT_Cry1If,Species,7
Rank3,BT_Cry1Ig,Orders,1
Rank3,BT_Cry1Ig,Species,3
Rank3,BT_Cry1Ja,Orders,1
Rank3,BT_Cry1Ja,Species,14
Rank3,BT_Cry1Jb,Orders,1
Rank3,BT_Cry1Jb,Species,5
Rank3,BT_Cry1Jc,Orders,1
