ID,domain,Tox_type,Num_tox,mean_ident,Same_flag,Type,Simpson_coeff
8,domain3,Maj,2,77.1293805750821,Same,Rank3,1
8,domain3,Min,2,86.1751152073733,Same,Rank3,0
14,domain3,Maj,2,90.7152089616545,Different,Rank3,0.5
14,domain3,Min,5,81.2702823813413,Different,Rank3,0.75
17,domain3,Maj,2,94.9491313945676,Same,Rank3,0.4
17,domain3,Min,3,76.844840862423,Same,Rank3,0.333333333333333
19,domain3,Maj,2,92.7710021554664,Same,Rank3,0.5
19,domain3,Min,3,67.5053144823863,Same,Rank3,0.333333333333333
23,domain3,Min,3,70.7465321091762,Different,Rank3,0
24,domain3,Maj,2,86.7641400538669,Different,Rank3,0
24,domain3,Min,2,82.3157894736842,Different,Rank3,0.666666666666667
27,domain3,Maj,2,99.347471451876,Same,Rank3,1
29,domain3,Maj,6,53.1012480524187,Different,Rank3,0.4
29,domain3,Min,10,67.313689561879,Different,Rank3,1
34,domain1,Maj,2,85.4759625879469,Different,Rank3,1
38,domain1,Min,8,70.1104771938937,Different,Rank3,0
44,domain3,Maj,3,76.5226123037263,Same,Rank3,0
44,domain3,Min,2,78.9373814041746,Same,Rank3,0.666666666666667
51,domain3,Maj,2,72.8977249767649,Different,Rank3,1
51,domain3,Min,2,66.1137440758294,Different,Rank3,0
52,domain3,Min,4,73.3963625899548,Different,Rank3,0
53,domain3,Maj,2,83.2897675734197,Same,Rank3,0
56,domain1,Maj,3,68.1589062697245,Same,Rank3,1
62,domain1,Maj,2,94.1032935182471,Same,Rank3,0
62,domain1,Min,2,91.0543130990415,Same,Rank3,0.666666666666667
71,domain2,Maj,3,53.5109357488712,Different,Rank3,0
87,domain1,Maj,3,67.0667395621587,Different,Rank3,0.777777777777778
87,domain1,Min,4,92.1121593404467,Different,Rank3,0.75
95,domain1,Maj,3,93.4996926272977,Different,Rank3,0
95,domain1,Min,2,98.5386221294363,Different,Rank3,1
98,domain3,Maj,3,65.0277608868778,Different,Rank3,0.2
98,domain3,Min,3,61.2645334090863,Different,Rank3,1
109,domain3,Min,3,62.0811287477954,Different,Rank3,0
119,domain1,Maj,2,86.5757906215921,Same,Rank3,0.5
8,domain3,Maj,2,77.1293805750821,Same,Rank4,1
8,domain3,Min,2,86.1751152073733,Same,Rank4,0
14,domain3,Min,5,81.2702823813413,Different,Rank4,0
17,domain3,Maj,2,94.9491313945676,Same,Rank4,0
17,domain3,Min,3,76.844840862423,Same,Rank4,0
19,domain3,Maj,2,92.7710021554664,Same,Rank4,0
19,domain3,Min,3,67.5053144823863,Same,Rank4,0
23,domain3,Min,3,70.7465321091762,Different,Rank4,0
27,domain3,Maj,2,99.347471451876,Same,Rank4,1
29,domain3,Maj,6,53.1012480524187,Different,Rank4,0.25
29,domain3,Min,10,67.313689561879,Different,Rank4,0.5
34,domain1,Maj,2,85.4759625879469,Different,Rank4,1
38,domain1,Min,8,70.1104771938937,Different,Rank4,0
44,domain3,Maj,3,76.5226123037263,Same,Rank4,0
44,domain3,Min,2,78.9373814041746,Same,Rank4,0.5
52,domain3,Min,4,73.3963625899548,Different,Rank4,0
53,domain3,Maj,2,83.2897675734197,Same,Rank4,0
56,domain1,Maj,3,68.1589062697245,Same,Rank4,1
71,domain2,Maj,3,53.5109357488712,Different,Rank4,0
87,domain1,Maj,3,67.0667395621587,Different,Rank4,0.333333333333333
87,domain1,Min,4,92.1121593404467,Different,Rank4,0
95,domain1,Maj,3,93.4996926272977,Different,Rank4,0
95,domain1,Min,2,98.5386221294363,Different,Rank4,1
98,domain3,Maj,3,65.0277608868778,Same,Rank4,0
98,domain3,Min,3,61.2645334090863,Same,Rank4,0.333333333333333
109,domain3,Min,3,62.0811287477954,Different,Rank4,0
119,domain1,Maj,2,86.5757906215921,Same,Rank4,0
2,domain3,Maj,2,82.0156071564522,Different,Strains,1
2,domain3,Min,10,97.6927085784291,Different,Strains,0.5
6,domain3,Min,2,94.4,Same,Strains,0
8,domain3,Maj,2,77.1293805750821,Same,Strains,1
8,domain3,Min,2,86.1751152073733,Same,Strains,0
14,domain3,Maj,2,90.7152089616545,Different,Strains,0.5
14,domain3,Min,5,81.2702823813413,Different,Strains,0.75
17,domain3,Maj,2,94.9491313945676,Same,Strains,0.4
17,domain3,Min,3,76.844840862423,Same,Strains,0.333333333333333
19,domain3,Maj,2,92.7710021554664,Same,Strains,0.5
19,domain3,Min,3,67.5053144823863,Same,Strains,0.333333333333333
23,domain3,Maj,2,70.1373900576788,Different,Strains,0
23,domain3,Min,3,70.7465321091762,Different,Strains,1
24,domain3,Maj,2,86.7641400538669,Different,Strains,0
24,domain3,Min,2,82.3157894736842,Different,Strains,0.666666666666667
27,domain3,Maj,2,99.347471451876,Same,Strains,1
29,domain3,Maj,6,53.1012480524187,Different,Strains,0.4
29,domain3,Min,10,67.313689561879,Different,Strains,1
34,domain1,Maj,2,85.4759625879469,Different,Strains,1
37,domain3,Maj,2,76.0048094186262,Different,Strains,0
37,domain3,Min,2,68.0100755667506,Different,Strains,0
38,domain1,Min,8,70.1104771938937,Different,Strains,0
44,domain3,Maj,3,76.5226123037263,Same,Strains,0
44,domain3,Min,2,78.9373814041746,Same,Strains,0.666666666666667
49,domain3,Maj,2,91.3964466216401,Same,Strains,0
49,domain3,Min,2,64.0816326530612,Same,Strains,0.5
51,domain3,Maj,2,72.8977249767649,Different,Strains,1
51,domain3,Min,2,66.1137440758294,Different,Strains,0
52,domain3,Min,4,73.3963625899548,Different,Strains,0
53,domain3,Maj,2,83.2897675734197,Same,Strains,0
56,domain1,Maj,3,68.1589062697245,Same,Strains,1
62,domain1,Maj,2,94.1032935182471,Same,Strains,0
62,domain1,Min,2,91.0543130990415,Same,Strains,0.666666666666667
71,domain2,Maj,3,53.5109357488712,Different,Strains,0
73,domain3,Min,2,76.7220902612827,Same,Strains,0
87,domain1,Maj,3,67.0667395621587,Different,Strains,0.777777777777778
87,domain1,Min,4,92.1121593404467,Different,Strains,0.75
95,domain1,Maj,3,93.4996926272977,Different,Strains,0
95,domain1,Min,2,98.5386221294363,Different,Strains,1
96,domain1,Min,2,89.2156862745098,Same,Strains,0.5
98,domain3,Maj,3,65.0277608868778,Different,Strains,0.2
98,domain3,Min,3,61.2645334090863,Different,Strains,1
104,domain3,Min,3,59.0698080279232,Same,Strains,1
107,domain2,Min,2,82.8571428571429,Different,Strains,0
109,domain3,Maj,2,68.0854629241726,Different,Strains,0
109,domain3,Min,3,62.0811287477954,Different,Strains,0
119,domain1,Maj,2,86.5757906215921,Same,Strains,1
119,domain1,Min,2,93.1645569620253,Same,Strains,0.5
