ID,Rec_num,Par_num,Comon_num,Coeff,Dataset
0,1,6,0,Jaccard,Strains
0,1,6,0.666666666666667,Par_coeff,Strains
2,1,45,0,Jaccard,Strains
2,1,45,0.511111111111111,Par_coeff,Strains
3,7,3,0,Jaccard,Strains
3,7,3,0,Par_coeff,Strains
6,5,5,0,Jaccard,Strains
6,5,5,0,Par_coeff,Strains
8,10,20,0.5,Jaccard,Strains
8,10,20,0,Par_coeff,Strains
10,1,3,0,Jaccard,Strains
10,1,3,0,Par_coeff,Strains
13,3,16,0.055555555555556,Jaccard,Strains
13,3,16,0,Par_coeff,Strains
14,19,22,0.366666666666667,Jaccard,Strains
14,19,22,0.045454545454546,Par_coeff,Strains
17,7,21,0.037037037037037,Jaccard,Strains
17,7,21,0.523809523809524,Par_coeff,Strains
19,1,19,0,Jaccard,Strains
19,1,19,0.68421052631579,Par_coeff,Strains
22,3,2,0,Jaccard,Strains
22,3,2,0,Par_coeff,Strains
23,2,12,0,Jaccard,Strains
23,2,12,0,Par_coeff,Strains
24,1,32,0,Jaccard,Strains
24,1,32,0.09375,Par_coeff,Strains
27,3,7,0.428571428571429,Jaccard,Strains
27,3,7,0,Par_coeff,Strains
28,7,5,0,Jaccard,Strains
28,7,5,0,Par_coeff,Strains
29,24,29,0.325,Jaccard,Strains
29,24,29,0.172413793103448,Par_coeff,Strains
32,1,10,0,Jaccard,Strains
32,1,10,0.7,Par_coeff,Strains
34,3,3,1,Jaccard,Strains
34,3,3,1,Par_coeff,Strains
36,4,3,0,Jaccard,Strains
36,4,3,0,Par_coeff,Strains
37,3,9,0,Jaccard,Strains
37,3,9,0,Par_coeff,Strains
38,2,38,0,Jaccard,Strains
38,2,38,0,Par_coeff,Strains
39,6,12,0.058823529411765,Jaccard,Strains
39,6,12,0,Par_coeff,Strains
44,6,4,0,Jaccard,Strains
44,6,4,0,Par_coeff,Strains
45,11,10,0,Jaccard,Strains
45,11,10,0,Par_coeff,Strains
47,1,26,0,Jaccard,Strains
47,1,26,0.192307692307692,Par_coeff,Strains
49,5,2,0,Jaccard,Strains
49,5,2,0,Par_coeff,Strains
51,7,5,0,Jaccard,Strains
51,7,5,0,Par_coeff,Strains
52,8,24,0.333333333333333,Jaccard,Strains
52,8,24,0,Par_coeff,Strains
53,2,1,0,Jaccard,Strains
53,2,1,0,Par_coeff,Strains
56,1,3,0,Jaccard,Strains
56,1,3,0,Par_coeff,Strains
60,2,2,0,Jaccard,Strains
60,2,2,0,Par_coeff,Strains
62,13,27,0.212121212121212,Jaccard,Strains
62,13,27,0.037037037037037,Par_coeff,Strains
65,10,4,0,Jaccard,Strains
65,10,4,0,Par_coeff,Strains
71,5,35,0,Jaccard,Strains
71,5,35,0,Par_coeff,Strains
73,3,3,1,Jaccard,Strains
73,3,3,0,Par_coeff,Strains
75,2,7,0,Jaccard,Strains
75,2,7,0,Par_coeff,Strains
78,5,9,0,Jaccard,Strains
78,5,9,0,Par_coeff,Strains
84,10,7,0,Jaccard,Strains
84,10,7,0,Par_coeff,Strains
87,7,20,0.038461538461539,Jaccard,Strains
87,7,20,0.05,Par_coeff,Strains
95,1,33,0,Jaccard,Strains
95,1,33,0,Par_coeff,Strains
96,5,9,0,Jaccard,Strains
96,5,9,0,Par_coeff,Strains
98,2,2,0,Jaccard,Strains
98,2,2,0,Par_coeff,Strains
104,5,8,0.625,Jaccard,Strains
104,5,8,0,Par_coeff,Strains
107,3,5,0,Jaccard,Strains
107,3,5,0,Par_coeff,Strains
109,10,24,0.03030303030303,Jaccard,Strains
109,10,24,0,Par_coeff,Strains
112,7,3,0,Jaccard,Strains
112,7,3,0,Par_coeff,Strains
113,4,3,0,Jaccard,Strains
113,4,3,0,Par_coeff,Strains
119,1,3,0,Jaccard,Strains
119,1,3,0.333333333333333,Par_coeff,Strains
0,1,4,0,Jaccard,Assemblies
0,1,4,1,Par_coeff,Assemblies
2,1,37,0,Jaccard,Assemblies
2,1,37,0.540540540540541,Par_coeff,Assemblies
3,1,3,0,Jaccard,Assemblies
3,1,3,0,Par_coeff,Assemblies
6,1,2,0,Jaccard,Assemblies
6,1,2,0,Par_coeff,Assemblies
8,9,17,0.529411764705882,Jaccard,Assemblies
8,9,17,0,Par_coeff,Assemblies
10,1,2,0,Jaccard,Assemblies
10,1,2,0,Par_coeff,Assemblies
13,1,10,0,Jaccard,Assemblies
13,1,10,0,Par_coeff,Assemblies
14,13,13,0.083333333333333,Jaccard,Assemblies
14,13,13,0,Par_coeff,Assemblies
17,6,21,0.038461538461539,Jaccard,Assemblies
17,6,21,0.523809523809524,Par_coeff,Assemblies
19,1,18,0,Jaccard,Assemblies
19,1,18,0.722222222222222,Par_coeff,Assemblies
22,3,1,0,Jaccard,Assemblies
22,3,1,0,Par_coeff,Assemblies
23,1,3,0,Jaccard,Assemblies
23,1,3,0,Par_coeff,Assemblies
24,1,23,0,Jaccard,Assemblies
24,1,23,0.086956521739131,Par_coeff,Assemblies
27,1,5,0,Jaccard,Assemblies
27,1,5,0,Par_coeff,Assemblies
28,6,5,0,Jaccard,Assemblies
28,6,5,0,Par_coeff,Assemblies
29,15,20,0.346153846153846,Jaccard,Assemblies
29,15,20,0,Par_coeff,Assemblies
32,1,4,0,Jaccard,Assemblies
32,1,4,0.25,Par_coeff,Assemblies
34,3,3,1,Jaccard,Assemblies
34,3,3,1,Par_coeff,Assemblies
36,4,3,0,Jaccard,Assemblies
36,4,3,0,Par_coeff,Assemblies
37,1,2,0,Jaccard,Assemblies
37,1,2,0,Par_coeff,Assemblies
38,1,15,0,Jaccard,Assemblies
38,1,15,0,Par_coeff,Assemblies
39,1,3,0,Jaccard,Assemblies
39,1,3,0,Par_coeff,Assemblies
44,6,3,0,Jaccard,Assemblies
44,6,3,0,Par_coeff,Assemblies
45,1,8,0,Jaccard,Assemblies
45,1,8,0,Par_coeff,Assemblies
47,1,20,0,Jaccard,Assemblies
47,1,20,0.1,Par_coeff,Assemblies
49,4,2,0,Jaccard,Assemblies
49,4,2,0,Par_coeff,Assemblies
51,4,5,0,Jaccard,Assemblies
51,4,5,0,Par_coeff,Assemblies
52,7,17,0.411764705882353,Jaccard,Assemblies
52,7,17,0,Par_coeff,Assemblies
53,1,1,0,Jaccard,Assemblies
53,1,1,0,Par_coeff,Assemblies
56,1,2,0,Jaccard,Assemblies
56,1,2,0,Par_coeff,Assemblies
60,2,2,0,Jaccard,Assemblies
60,2,2,0,Par_coeff,Assemblies
62,13,21,0.172413793103448,Jaccard,Assemblies
62,13,21,0,Par_coeff,Assemblies
65,2,1,0,Jaccard,Assemblies
65,2,1,0,Par_coeff,Assemblies
71,1,20,0,Jaccard,Assemblies
71,1,20,0,Par_coeff,Assemblies
73,3,3,1,Jaccard,Assemblies
73,3,3,0,Par_coeff,Assemblies
75,1,6,0,Jaccard,Assemblies
75,1,6,0,Par_coeff,Assemblies
78,1,8,0,Jaccard,Assemblies
78,1,8,0,Par_coeff,Assemblies
84,9,5,0,Jaccard,Assemblies
84,9,5,0,Par_coeff,Assemblies
87,2,19,0,Jaccard,Assemblies
87,2,19,0.052631578947369,Par_coeff,Assemblies
95,1,25,0,Jaccard,Assemblies
95,1,25,0,Par_coeff,Assemblies
96,1,3,0,Jaccard,Assemblies
96,1,3,0,Par_coeff,Assemblies
98,2,2,0,Jaccard,Assemblies
98,2,2,0,Par_coeff,Assemblies
104,5,6,0.833333333333333,Jaccard,Assemblies
104,5,6,0,Par_coeff,Assemblies
107,1,1,0,Jaccard,Assemblies
107,1,1,0,Par_coeff,Assemblies
109,8,18,0.04,Jaccard,Assemblies
109,8,18,0,Par_coeff,Assemblies
112,6,3,0,Jaccard,Assemblies
112,6,3,0,Par_coeff,Assemblies
113,4,3,0,Jaccard,Assemblies
113,4,3,0,Par_coeff,Assemblies
119,1,2,0,Jaccard,Assemblies
119,1,2,0,Par_coeff,Assemblies
