Group,Accession,Num,Dataset,Mode
par,14,1,Strains,soft
par,27,4,Strains,soft
par,60.5,1,Strains,soft
par,61,1,Strains,soft
par,601,1,Strains,soft
par,1905,4,Strains,soft
par,2122,4,Strains,soft
par,2124,2,Strains,soft
par,2260,1,Strains,soft
par,007983-6,5,Strains,soft
par,007986-5,6,Strains,soft
par,007989-3,6,Strains,soft
par,11-76,1,Strains,soft
par,1126_1,5,Strains,soft
par,14-1,1,Strains,soft
par,14-2,3,Strains,soft
par,146-158-01,2,Strains,soft
par,18_216,3,Strains,soft
par,18_218,3,Strains,soft
par,18_421,3,Strains,soft
par,18_614,3,Strains,soft
par,20-1,3,Strains,soft
par,21-1,3,Strains,soft
par,22-4,1,Strains,soft
par,25-6,3,Strains,soft
par,26-1,3,Strains,soft
par,261-1,1,Strains,soft
par,27-3,5,Strains,soft
par,2B,2,Strains,soft
par,30-1,3,Strains,soft
par,30-4,3,Strains,soft
par,4A,1,Strains,soft
par,4A1,2,Strains,soft
par,4A2,2,Strains,soft
par,4D2,3,Strains,soft
par,4D3,1,Strains,soft
par,4D5,3,Strains,soft
par,4F1,5,Strains,soft
par,4F3,3,Strains,soft
par,4F4,5,Strains,soft
par,4G2,6,Strains,soft
par,4G3,5,Strains,soft
par,4I5,2,Strains,soft
par,4L1,3,Strains,soft
par,4L2,3,Strains,soft
par,4L4,2,Strains,soft
par,4M5,3,Strains,soft
par,4N,3,Strains,soft
par,6/27/S,6,Strains,soft
par,67-3,1,Strains,soft
par,7-29,1,Strains,soft
par,7.1o,4,Strains,soft
par,777001-1,5,Strains,soft
par,777001F-1,5,Strains,soft
par,777002-3,5,Strains,soft
par,78-2,4,Strains,soft
par,92-KU-149-8,1,Strains,soft
par,96-OK-85-24,3,Strains,soft
par,A-19-31,3,Strains,soft
par,A1462,3,Strains,soft
par,AB88,1,Strains,soft
par,ABTS-1857,7,Strains,soft
par,ABTS-351,5,Strains,soft
par,AC-11,1,Strains,soft
par,AFS001368,1,Strains,soft
par,AFS004414,3,Strains,soft
par,AFS005140,8,Strains,soft
par,AFS013213,8,Strains,soft
par,AFS017221,1,Strains,soft
par,AFS018409,3,Strains,soft
par,AFS030866,7,Strains,soft
par,AFS031473,3,Strains,soft
par,AFS034084,3,Strains,soft
par,AFS034708,3,Strains,soft
par,AFS043930,3,Strains,soft
par,AFS045461,1,Strains,soft
par,AFS050081,3,Strains,soft
par,AFS057443,1,Strains,soft
par,AFS057829,5,Strains,soft
par,AFS059039,8,Strains,soft
