Component,Host_type,Num_sp,Comp_type,Num_strains,Num_hosts,Num_events,Num_tox_types
0,Diptera,1956,All,556,5,16,71
0,Lepidoptera,19958,All,556,5,16,71
0,Hemiptera,613,All,556,5,16,71
0,Coleoptera,925,All,556,5,16,71
0,Nematoda,215,All,556,5,16,71
0,Diptera,1956,Rec,556,5,16,71
0,Lepidoptera,19958,Rec,556,5,16,71
0,Hemiptera,613,Rec,556,5,16,71
0,Coleoptera,925,Rec,556,5,16,71
0,Nematoda,215,Rec,556,5,16,71
1,Unknown,1,All,1,0,0,1
2,Coleoptera,28,All,7,2,1,1
2,Lepidoptera,7,All,7,2,1,1
2,Coleoptera,28,Rec,7,2,1,1
2,Lepidoptera,7,Rec,7,2,1,1
3,Nematoda,47,All,7,2,2,7
3,Coleoptera,1,All,7,2,2,7
3,Nematoda,47,Rec,7,2,2,7
3,Coleoptera,1,Rec,7,2,2,7
4,Coleoptera,1,All,10,3,10,17
4,Diptera,11,All,10,3,10,17
4,Lepidoptera,15,All,10,3,10,17
4,Coleoptera,1,Rec,10,3,10,17
4,Diptera,11,Rec,10,3,10,17
4,Lepidoptera,15,Rec,10,3,10,17
5,Unknown,1,All,1,0,0,1
6,Nematoda,5,All,2,1,0,1
7,Unknown,1,All,8,0,4,7
7,Unknown,1,Rec,8,0,4,7
8,Coleoptera,1,All,1,2,0,1
8,Lepidoptera,4,All,1,2,0,1
9,Coleoptera,148,All,36,3,6,17
9,Lepidoptera,3,All,36,3,6,17
9,Hemiptera,2,All,36,3,6,17
9,Coleoptera,148,Rec,36,3,6,17
9,Lepidoptera,3,Rec,36,3,6,17
9,Hemiptera,2,Rec,36,3,6,17
10,Coleoptera,336,All,23,4,0,6
10,Hemiptera,24,All,23,4,0,6
10,Hymenoptera,12,All,23,4,0,6
10,Nematoda,9,All,23,4,0,6
11,Diptera,14,All,9,3,7,18
11,Lepidoptera,23,All,9,3,7,18
11,Hemiptera,13,All,9,3,7,18
11,Diptera,14,Rec,9,3,7,18
11,Lepidoptera,23,Rec,9,3,7,18
11,Hemiptera,13,Rec,9,3,7,18
12,Unknown,1,All,1,0,0,1
13,Lepidoptera,8,All,8,1,0,2
14,Lepidoptera,6,All,8,1,2,2
14,Lepidoptera,6,Rec,8,1,2,2
15,Unknown,1,All,1,0,1,1
15,Unknown,1,Rec,1,0,1,1
16,Unknown,1,All,1,0,1,1
16,Unknown,1,Rec,1,0,1,1
17,Coleoptera,45,All,9,2,0,1
17,Diptera,1,All,9,2,0,1
18,Coleoptera,1,All,1,2,1,3
18,Hemiptera,1,All,1,2,1,3
18,Coleoptera,1,Rec,1,2,1,3
18,Hemiptera,1,Rec,1,2,1,3
19,Unknown,1,All,1,0,0,1
20,Coleoptera,1,All,7,1,0,3
21,Unknown,1,All,4,0,0,2
22,Lepidoptera,1,All,1,1,2,2
22,Lepidoptera,1,Rec,1,1,2,2
23,Lepidoptera,1,All,1,1,1,1
23,Lepidoptera,1,Rec,1,1,1,1
24,Unknown,1,All,1,0,2,1
