Event,Tox_type,Dom_type,Host_type,Coeff,Coeff_type
2,Min,domain3,Orders,1,Simpson
2,Min,domain3,Species,1,Simpson
2,Min,domain3,Orders,0.2,Jaccard
2,Min,domain3,Species,0.015151515151515,Jaccard
2,Maj,domain3,Orders,1,Simpson
2,Maj,domain3,Species,1,Simpson
2,Maj,domain3,Orders,0.2,Jaccard
2,Maj,domain3,Species,0.015151515151515,Jaccard
6,Min,domain3,Orders,1,Simpson
6,Min,domain3,Species,0.5,Simpson
6,Min,domain3,Orders,1,Jaccard
6,Min,domain3,Species,0.166666666666667,Jaccard
8,Min,domain3,Orders,1,Simpson
8,Min,domain3,Species,1,Simpson
8,Min,domain3,Orders,1,Jaccard
8,Min,domain3,Species,1,Jaccard
8,Maj,domain3,Orders,0.666666666666667,Simpson
8,Maj,domain3,Species,0.714285714285714,Simpson
8,Maj,domain3,Orders,0.5,Jaccard
8,Maj,domain3,Species,0.357142857142857,Jaccard
13,Min,domain3,Orders,1,Simpson
13,Min,domain3,Species,1,Simpson
13,Min,domain3,Orders,1,Jaccard
13,Min,domain3,Species,1,Jaccard
14,Min,domain3,Orders,1,Simpson
14,Min,domain3,Species,1,Simpson
14,Min,domain3,Orders,1,Jaccard
14,Min,domain3,Species,0.992481203007519,Jaccard
14,Maj,domain3,Orders,1,Simpson
14,Maj,domain3,Species,1,Simpson
14,Maj,domain3,Orders,1,Jaccard
14,Maj,domain3,Species,1,Jaccard
17,Min,domain3,Orders,1,Simpson
17,Min,domain3,Species,1,Simpson
17,Min,domain3,Orders,1,Jaccard
17,Min,domain3,Species,1,Jaccard
17,Maj,domain3,Orders,1,Simpson
17,Maj,domain3,Species,1,Simpson
17,Maj,domain3,Orders,1,Jaccard
17,Maj,domain3,Species,1,Jaccard
19,Min,domain3,Orders,1,Simpson
19,Min,domain3,Species,1,Simpson
19,Min,domain3,Orders,0.2,Jaccard
19,Min,domain3,Species,0.022727272727273,Jaccard
19,Maj,domain3,Orders,1,Simpson
19,Maj,domain3,Species,1,Simpson
19,Maj,domain3,Orders,0.2,Jaccard
19,Maj,domain3,Species,0.022727272727273,Jaccard
22,Min,domain2,Orders,1,Simpson
22,Min,domain2,Species,0.5,Simpson
22,Min,domain2,Orders,0.4,Jaccard
22,Min,domain2,Species,0.014925373134328,Jaccard
23,Min,domain3,Orders,1,Simpson
23,Min,domain3,Species,1,Simpson
23,Min,domain3,Orders,0.666666666666667,Jaccard
23,Min,domain3,Species,0.222222222222222,Jaccard
23,Maj,domain3,Orders,1,Simpson
23,Maj,domain3,Species,0.5,Simpson
23,Maj,domain3,Orders,0.5,Jaccard
23,Maj,domain3,Species,0.166666666666667,Jaccard
24,Min,domain3,Orders,1,Simpson
24,Min,domain3,Species,1,Simpson
24,Min,domain3,Orders,0.2,Jaccard
24,Min,domain3,Species,0.022727272727273,Jaccard
24,Maj,domain3,Orders,1,Simpson
24,Maj,domain3,Species,1,Simpson
24,Maj,domain3,Orders,0.2,Jaccard
24,Maj,domain3,Species,0.022727272727273,Jaccard
27,Min,domain3,Orders,1,Simpson
27,Min,domain3,Species,1,Simpson
27,Min,domain3,Orders,0.5,Jaccard
27,Min,domain3,Species,0.5,Jaccard
27,Maj,domain3,Orders,1,Simpson
27,Maj,domain3,Species,1,Simpson
27,Maj,domain3,Orders,1,Jaccard
27,Maj,domain3,Species,1,Jaccard
29,Min,domain3,Orders,1,Simpson
29,Min,domain3,Species,0.8125,Simpson
29,Min,domain3,Orders,0.8,Jaccard
29,Min,domain3,Species,0.095588235294118,Jaccard
29,Maj,domain3,Orders,1,Simpson
29,Maj,domain3,Species,1,Simpson
29,Maj,domain3,Orders,0.2,Jaccard
29,Maj,domain3,Species,0.037593984962406,Jaccard
34,Min,domain1,Orders,1,Simpson
34,Min,domain1,Species,1,Simpson
34,Min,domain1,Orders,1,Jaccard
34,Min,domain1,Species,1,Jaccard
34,Maj,domain1,Orders,1,Simpson
34,Maj,domain1,Species,1,Simpson
34,Maj,domain1,Orders,1,Jaccard
34,Maj,domain1,Species,1,Jaccard
37,Min,domain3,Orders,1,Simpson
37,Min,domain3,Species,0,Simpson
37,Min,domain3,Orders,0.333333333333333,Jaccard
37,Min,domain3,Species,0,Jaccard
37,Maj,domain3,Orders,1,Simpson
37,Maj,domain3,Species,0.4,Simpson
37,Maj,domain3,Orders,0.333333333333333,Jaccard
37,Maj,domain3,Species,0.2,Jaccard
38,Min,domain1,Orders,1,Simpson
38,Min,domain1,Species,1,Simpson
38,Min,domain1,Orders,0.4,Jaccard
38,Min,domain1,Species,0.014598540145985,Jaccard
39,Min,domain3,Orders,1,Simpson
39,Min,domain3,Species,1,Simpson
39,Min,domain3,Orders,1,Jaccard
39,Min,domain3,Species,0.777777777777778,Jaccard
39,Maj,domain3,Orders,1,Simpson
39,Maj,domain3,Species,0.4,Simpson
39,Maj,domain3,Orders,0.333333333333333,Jaccard
39,Maj,domain3,Species,0.2,Jaccard
44,Min,domain3,Orders,1,Simpson
44,Min,domain3,Species,1,Simpson
44,Min,domain3,Orders,0.2,Jaccard
44,Min,domain3,Species,0.022727272727273,Jaccard
44,Maj,domain3,Orders,1,Simpson
44,Maj,domain3,Species,1,Simpson
44,Maj,domain3,Orders,0.2,Jaccard
44,Maj,domain3,Species,0.022727272727273,Jaccard
