ID,Rec_domain,Current_domain,Tox_type,evol_type,omega_b,omega_f,Num_tox,Num_rec_pars,Num_recs_pars_all,best_site_model,Site_model_type,Sites_pos,Sites_cons,Sites_rel,best_branc_site,Brsites_pos,Brsites_cons,Orders_flag,Simpson_species
0,domain3,domain3,Rec,non-signif,0.333,0.679,10,1,2,m8,positive,0,0,0,mB,0,0,NA,NA
0,domain3,domain3,Par,non-signif,0.333,0.685,10,1,2,m8,positive,0,0,0,mB,0,0,NA,NA
0,domain3,domain1,Rec,non-signif,0.162,4.12,7,1,2,m3,relaxation,0,0,1,mB,0,53,NA,NA
0,domain3,domain1,Par,non-signif,0.162,4.12,7,1,2,m3,relaxation,0,0,1,mB,0,53,NA,NA
0,domain3,domain2,Rec,non-signif,0.332,0.752,7,1,4,m8,positive,1,0,0,mB,0,0,NA,NA
2,domain3,domain3,Rec,non-signif,0.234,0.235,44,1,18,m8,positive,1,1,0,mB,0,53,Different,1
2,domain3,domain3,Par,purifying,0.216,0.407,44,17,18,m8,positive,1,1,0,mB,2,29,Different,1
2,domain3,domain2,Rec,purifying,0.157,0.205,12,1,4,m8,positive,2,0,0,mB,1,31,Different,1
2,domain3,domain2,Par,non-signif,0.159,0.244,12,3,4,m8,positive,2,0,0,mB,0,31,Different,1
3,domain3,domain3,Rec,purifying,0.546,0.159,8,1,2,m8,positive,1,0,0,mB,0,0,NA,NA
3,domain3,domain3,Par,purifying,0.548,0.127,8,1,2,m8,positive,1,0,0,mB,0,0,NA,NA
3,domain3,domain1,Rec,non-signif,0.2,99,8,1,2,m8,positive,1,0,0,mB,5,4,NA,NA
3,domain3,domain1,Par,non-signif,0.2,0.939,8,1,2,m8,positive,1,0,0,mB,3,0,NA,NA
3,domain3,domain2,Rec,non-signif,0.332,10.986,8,1,2,m8,positive,1,0,0,mB,0,27,NA,NA
3,domain3,domain2,Par,non-signif,0.326,99,8,1,2,m8,positive,1,0,0,mB,5,16,NA,NA
6,domain3,domain3,Rec,purifying,0.331,0.054,8,1,2,m8,positive,1,0,0,mB,150,0,Same,0
6,domain3,domain3,Par,purifying,0.327,0.03,8,1,2,m8,positive,1,0,0,mB,150,0,Same,0
6,domain3,domain1,Rec,non-signif,0.393,1.508,27,1,2,m8,positive,3,8,0,mB,0,49,Same,0
6,domain3,domain1,Par,non-signif,0.393,99,27,1,2,m8,positive,3,8,0,mB,2,47,Same,0
6,domain3,domain2,Rec,non-signif,0.473,1.637,8,1,2,m8,positive,3,0,0,mB,0,35,Same,0
6,domain3,domain2,Par,non-signif,0.497,0.618,8,1,2,m8,positive,3,0,0,mB,2,43,Same,0
8,domain3,domain3,Rec,non-signif,0.345,0.917,10,1,2,m8,positive,4,0,0,mB,168,0,Same,1
8,domain3,domain3,Par,non-signif,0.329,0.7,10,1,2,m8,positive,4,0,0,mB,1,45,Same,1
8,domain3,domain1,Rec,non-signif,0.277,1.296,10,1,2,m8,positive,1,0,0,mB,1,36,Same,1
8,domain3,domain1,Par,non-signif,0.277,1.54,10,1,2,m8,positive,1,0,0,mB,3,40,Same,1
8,domain3,domain2,Rec,non-signif,0.398,0.26,8,1,2,m8,positive,0,0,0,mB,3,22,Same,1
8,domain3,domain2,Par,purifying,0.405,0.23,8,1,2,m8,positive,0,0,0,mB,2,22,Same,1
10,domain3,domain3,Rec,non-signif,0.201,99,7,1,2,m3,relaxation,0,0,1,mB,147,0,NA,NA
10,domain3,domain3,Par,non-signif,0.143,1.053,7,1,2,m3,relaxation,0,0,1,mB,6,0,NA,NA
10,domain3,domain1,Rec,non-signif,0.151,99,7,1,2,m3,relaxation,0,0,1,mB,204,0,NA,NA
10,domain3,domain1,Par,non-signif,0.155,67.36,7,1,2,m3,relaxation,0,0,1,mB,0,0,NA,NA
10,domain3,domain2,Rec,non-signif,0.411,99,7,1,2,m8,positive,3,0,0,mB,230,0,NA,NA
10,domain3,domain2,Par,non-signif,0.414,99,7,1,2,m8,positive,3,0,0,mB,230,0,NA,NA
13,domain3,domain3,Rec,purifying,0.402,0.058,8,1,3,m8,positive,3,0,0,mB,0,0,NA,NA
13,domain3,domain3,Par,non-signif,0.381,0.386,8,2,3,m8,positive,3,0,0,mB,0,0,NA,NA
13,domain3,domain1,Rec,non-signif,0.36,2.306,8,1,2,m3,relaxation,0,0,0,mB,0,0,NA,NA
13,domain3,domain1,Par,non-signif,0.424,0.36,8,1,2,m3,relaxation,0,0,0,mB,0,0,NA,NA
13,domain3,domain2,Rec,non-signif,0.579,0.457,10,1,2,m3,relaxation,0,0,0,mA,0,0,NA,NA
13,domain3,domain2,Par,non-signif,0.595,0.334,10,1,2,m3,relaxation,0,0,0,mB,0,0,NA,NA
