tox,prot_type,domain1_length,domain1_ident,domain2_length,domain2_ident,domain3_length,domain3_ident
BT_Cry27Aa1,ref,597,50.9450501564349,567,49.248274978171,474,50.6957070472098
BT_Cry1Ab34,all,603,56.37144782364,597,53.5993176621406,441,55.1737312491116
NOV_Cry8Ha1_89.8_ATY50148.1,ref,594,53.6921749574296,630,50.0199787413309,411,52.3980718261077
NOV_Cry8Ma3_96.0_ATY50149.1,ref,612,52.4309477185403,579,49.5633731707848,426,50.3534138914233
NOV_Cry1Ab12_99.9_AEV45790.1,all,603,57.5996123387137,597,53.63317289196,441,55.1460935719689
BT_Cry30Ga2,all,633,50.8755607233978,546,49.2502589691014,462,51.5057917775716
BT_Cry1Bd2,all,603,53.846945400037,636,51.5841883330184,414,52.5602825042489
BT_Cry1Ic1,ref,597,55.1525219853112,630,52.4125679077407,411,55.2597768485018
BT_Cry32Ua1,ref,672,50.3741715927684,558,48.7330459062784,411,50.9926718431309
BT_Cry52Ca1,ref,591,51.0131746056798,606,49.1691099908647,396,50.1964567385762
BT_Cry1Cb1,ref,603,54.1055364168975,588,50.0189765330221,408,52.4976728224357
BT_Cry31Aa6,ref,687,50.1902305927116,585,48.8245154097318,396,49.4668978895459
NOV_Cry73Ba1_39.0_PEE63029.1,ref,678,50.089341636652,570,48.503238166955,405,50.6148512853568
NOV_Cry7Gb1_28.6_WP_103574454.1,ref,591,51.2487844688464,585,49.0683565834093,480,49.9370749495475
NOV_Cry7Ca1_86.8_AGM39664.1,ref,609,53.2852513192616,636,49.615419737007,432,50.7291891665179
BT_Cry1Aa7,all,603,57.4718320017054,573,51.1270414861507,411,55.6639322676765
BT_Cry7Ja1,ref,606,52.390253286768,654,49.4057943665449,450,50.3249574341492
BT_Cry2Ab9,all,579,55.1338793483748,615,51.4855713160481,423,53.8805838505263
NOV_Cry4Ca2_48.4_AZJ24771.1,ref,609,51.0080700923354,615,49.3962282685453,432,50.7881348592833
BT_Cry21Ea1,ref,774,48.1310820573002,636,48.3539626691751,390,50.0985535327971
BT_Cry1Ac27,all,603,57.6942812010308,603,53.8069756697704,417,52.7956499945301
NOV_Cry8Da1_99.6_CBL59394.1,all,606,54.5499553185774,666,50.1850134883599,417,52.820069074063
BT_Cry21Aa3,all,696,49.3020875730364,642,48.5056456641066,402,49.3732647681279
NOV_Cry1Ab12_99.5_ACB05714.1,all,603,57.5239467182689,597,53.5626268216264,441,55.1460935719689
BT_Cry1Ib2,all,603,55.7191189890284,630,52.4637286306596,411,55.5292722636413
BT_Cry1Aa2,all,603,57.4741781657354,591,51.4171237371628,444,55.1139617894281
BT_Cry1Gc1,ref,591,53.0832331711762,594,49.3805285742474,411,52.0560228677881
NOV_Cry28Aa2_99.6_ABB51653.1,all,615,51.1850076666643,597,49.3219331019668,426,50.784566195991
NOV_Cry29Aa1_96.4_OUC03129.1,ref,606,50.7409275187266,561,49.1372786993037,432,51.2665906963293
BT_Cry1Ib1,all,603,55.7107795744855,630,52.5225288714676,411,55.8050742602779
BT_Cry43Cc1,ref,600,53.8415093944647,600,49.2829830978336,411,50.5912543620515
BT_Cry4Ba3,ref,609,52.3740783510418,558,50.1129051365632,471,51.9874022572704
BT_Cry1Ia13,all,603,55.7995487950537,630,53.3216484412605,411,55.4544013864745
NOV_Cry21Ea1_36.9_AGS78123.2,ref,363,44.2152918112215,606,48.6001688458778,384,49.903505819735
BT_Cry1Ac36,all,603,57.6953672568944,603,53.7965274230988,417,52.7967748537697
NOV_Cry14Aa1_44.0_PGW42274.1,ref,678,48.9918466732191,678,48.0776527025756,426,48.7438316547689
NOV_Cry32Hb1_41.4_AQX37181.1,ref,627,51.4096741932058,624,47.926151950606,357,49.2445290570145
NOV_Cry9Ga1_58.0_AJS57594.1,ref,630,51.4459224341459,624,49.4385780813483,408,51.4122956271341
NOV_Cry68Aa1_46.2_ARJ25655.1,ref,633,50.6471059526904,609,49.2124229838466,408,50.070188179279
BT_Cry2Aa14,all,579,54.4091983353032,615,50.8316837306407,423,53.5930063179712
BT_Cry72Aa1,ref,576,51.3237423911522,615,48.8017613639766,465,49.5278732221515
NOV_Cry8Da1_99.7_CBL59393.1,all,606,54.6541490910296,666,50.1850134883599,417,52.820069074063
NOV_Cry11Aa1_98.9_ABW89739.1,all,549,50.6389653820715,681,48.2535693771697,450,49.9165247566395
BT_Cry8Qa1,ref,585,53.7429842677353,660,49.2295991238191,432,50.9769510385011
NOV_Cry14Ab1_42.4_PGW46196.1,ref,678,48.7792311562071,669,48.2518027225015,459,47.6133523175447
NOV_Cry21Aa2_95.4_WP_103655243.1,all,696,49.3148537958351,642,48.4276898637379,402,49.3910118499865
NOV_Cry1Ab12_98.5_AGI21848.1,all,603,56.7410894501059,597,53.63317289196,441,55.0483871858028
BT_Cry1Ag1,ref,603,57.2963659999304,573,51.3216442380855,438,54.5794603696966
BT_Cry58Aa1,ref,732,49.1205801037691,678,48.2023865889514,429,50.0304864049876
BT_Cry8Kb1,ref,597,53.1035054672616,645,49.4167025915366,417,51.8343990789677
NOV_Cry2Ad1_99.1_AYW33782.1,all,576,54.8701174902055,615,50.5144458860773,423,53.5206476332355
BT_Cry31Aa1,all,684,50.3026816934757,585,48.8322782803486,396,49.503028455523
BT_Cry70Aa1,ref,687,49.9666572600034,543,48.0193835785251,390,48.7509848221356
BT_Cry1Gb2,all,591,52.4301563182136,588,50.3668253303026,414,53.9835432486677
NOV_Cry1Ab12_99.5_ACU65108.1,all,603,57.6972353510596,597,53.3595598460876,438,54.9487195782904
BT_Cry2Ab14,all,579,55.2689558726368,615,51.5353464428603,423,53.5389977226623
NOV_Cry11Aa1_96.3_ABW89742.1,all,549,50.5289353786195,648,47.6649252573416,447,49.7221968187099
BT_Cry14Aa1,ref,672,50.0433740578514,600,48.2796625448171,432,50.7192774464268
BT_Cry1Ac25,all,603,57.589765715864,603,53.7375619648448,417,52.7956499945301
BT_Cry5Da1,ref,654,49.6377613285959,564,47.9717200551049,423,50.1513114110211
BT_Cry32Da1,ref,672,50.6983233374163,558,48.4884394609323,426,50.7110015490172
NOV_Cry68Aa1_99.9_AFU17323.1,all,627,51.0267900264644,621,48.8631887824695,393,50.4291480942892
NOV_Cry4Aa1_98.4_ABR12218.1,all,648,50.6356706337913,618,49.3576410480297,423,51.0240224749473
NOV_Cry8Fa1_99.7_AEA51184.1,all,588,53.9967413161972,663,49.2200126476216,414,51.6250671907529
NOV_Cry4Cc1_99.4_AFU17015.1,all,606,51.2500747116084,600,49.7434621343881,399,51.350307237644
BT_Cry2Ak1,ref,579,54.5078229960521,618,50.6740840507926,423,53.2412183386716
NOV_Cry7Gb1_94.1_AGM39662.1,ref,597,52.7719512277768,657,48.9760303198647,432,51.2283422609249
NOV_Cry7Cb1_60.4_OTY00887.1,ref,630,51.625966093238,636,49.4467663970278,429,49.6970534064675
BT_Cry5Ba3,all,714,50.0109375309443,687,48.5296152904679,399,48.6556498855888
BT_Cry39Aa1,ref,615,51.7502329662319,585,49.4267975663186,399,49.9070767427504
BT_Cry1Ia4,all,603,55.7995487950537,630,53.2719175926538,411,55.682797267621
NOV_Cry2Aa1_99.4_AIE37446.1,all,579,54.6311837940928,615,50.8978677482468,423,53.5930063179712
NOV_Cry2Ak1_76.8_AX513524.1,ref,573,52.9804507040794,597,49.4915805008322,423,52.7001956160042
BT_Cry1Bj1,ref,603,53.6667515522358,630,51.7681983204666,417,52.2483134611396
