Cry	id	dom_id	type_id	Cry_len	len	dom_len	type_len
BT_Cry10Aa4	51.0782836235042	domain1	all	BT_Cry10Aa4	621	domain1	all
BT_Cry11Aa1	50.6521793686131	domain1	all	BT_Cry11Aa1	546	domain1	all
BT_Cry11Ba1	50.1359046774225	domain1	all	BT_Cry11Ba1	537	domain1	all
BT_Cry11Bb1	49.839125310929	domain1	all	BT_Cry11Bb1	522	domain1	all
BT_Cry12Aa1	50.7978194854599	domain1	all	BT_Cry12Aa1	594	domain1	all
BT_Cry13Aa1	49.9557939930146	domain1	all	BT_Cry13Aa1	651	domain1	all
BT_Cry14Aa1	50.0433740578514	domain1	all	BT_Cry14Aa1	672	domain1	all
BT_Cry14Ab1	49.9723118553949	domain1	all	BT_Cry14Ab1	672	domain1	all
BT_Cry16Aa1	51.3427943737121	domain1	all	BT_Cry16Aa1	597	domain1	all
BT_Cry17Aa1	51.0041242126809	domain1	all	BT_Cry17Aa1	606	domain1	all
BT_Cry18Aa1	50.8293443626321	domain1	all	BT_Cry18Aa1	570	domain1	all
BT_Cry18Ba1	50.9648656759164	domain1	all	BT_Cry18Ba1	570	domain1	all
BT_Cry18Ca1	50.8405825284544	domain1	all	BT_Cry18Ca1	576	domain1	all
BT_Cry19Aa1	52.7973783103516	domain1	all	BT_Cry19Aa1	609	domain1	all
BT_Cry19Ba1	52.2040181156674	domain1	all	BT_Cry19Ba1	594	domain1	all
BT_Cry19Ca1	51.9570010994986	domain1	all	BT_Cry19Ca1	591	domain1	all
BT_Cry1A-like	45.7684217950134	domain1	all	BT_Cry1A-like	366	domain1	all
BT_Cry1Aa1	57.3813247419492	domain1	all	BT_Cry1Aa1	603	domain1	all
BT_Cry1Aa10	57.4785711232112	domain1	all	BT_Cry1Aa10	603	domain1	all
BT_Cry1Aa14	57.4718320017054	domain1	all	BT_Cry1Aa14	603	domain1	all
BT_Cry1Aa15	57.4718320017054	domain1	all	BT_Cry1Aa15	603	domain1	all
BT_Cry1Aa17	57.4718320017054	domain1	all	BT_Cry1Aa17	603	domain1	all
BT_Cry1Aa2	57.4741781657354	domain1	all	BT_Cry1Aa2	603	domain1	all
BT_Cry1Aa20	57.4741781657354	domain1	all	BT_Cry1Aa20	603	domain1	all
BT_Cry1Aa21	57.5117772469638	domain1	all	BT_Cry1Aa21	603	domain1	all
BT_Cry1Aa24	57.3890789020691	domain1	all	BT_Cry1Aa24	603	domain1	all
BT_Cry1Aa7	57.4718320017054	domain1	all	BT_Cry1Aa7	603	domain1	all
BT_Cry1Ab12	57.6972353510596	domain1	all	BT_Cry1Ab12	603	domain1	all
BT_Cry1Ab16	57.4036497723431	domain1	all	BT_Cry1Ab16	603	domain1	all
BT_Cry1Ab17	57.5972386494016	domain1	all	BT_Cry1Ab17	603	domain1	all
BT_Cry1Ab18	57.7062926841511	domain1	all	BT_Cry1Ab18	603	domain1	all
BT_Cry1Ab19	57.6972353510596	domain1	all	BT_Cry1Ab19	603	domain1	all
BT_Cry1Ab2	57.6433213767205	domain1	all	BT_Cry1Ab2	603	domain1	all
BT_Cry1Ab21	57.6972353510596	domain1	all	BT_Cry1Ab21	603	domain1	all
BT_Cry1Ab22	57.6119504075947	domain1	all	BT_Cry1Ab22	603	domain1	all
BT_Cry1Ab24	57.7062926841511	domain1	all	BT_Cry1Ab24	603	domain1	all
BT_Cry1Ab26	57.6293674661132	domain1	all	BT_Cry1Ab26	603	domain1	all
BT_Cry1Ab27	57.6972353510596	domain1	all	BT_Cry1Ab27	603	domain1	all
BT_Cry1Ab30	57.6972353510596	domain1	all	BT_Cry1Ab30	603	domain1	all
BT_Cry1Ab31	57.6972353510596	domain1	all	BT_Cry1Ab31	603	domain1	all
BT_Cry1Ab32	57.6972353510596	domain1	all	BT_Cry1Ab32	603	domain1	all
BT_Cry1Ab33	57.6370294763134	domain1	all	BT_Cry1Ab33	603	domain1	all
BT_Cry1Ab34	56.37144782364	domain1	all	BT_Cry1Ab34	603	domain1	all
BT_Cry1Ab6	57.6972353510596	domain1	all	BT_Cry1Ab6	603	domain1	all
BT_Cry1Ab7	57.6553227072871	domain1	all	BT_Cry1Ab7	603	domain1	all
BT_Cry1Ab8	57.6972353510596	domain1	all	BT_Cry1Ab8	603	domain1	all
BT_Cry1Ac12	57.6942812010308	domain1	all	BT_Cry1Ac12	603	domain1	all
BT_Cry1Ac13	57.6942812010308	domain1	all	BT_Cry1Ac13	603	domain1	all
BT_Cry1Ac15	57.6962942590615	domain1	all	BT_Cry1Ac15	603	domain1	all
BT_Cry1Ac18	57.6953672568944	domain1	all	BT_Cry1Ac18	603	domain1	all
BT_Cry1Ac19	57.5492368462146	domain1	all	BT_Cry1Ac19	603	domain1	all
BT_Cry1Ac20	57.6942812010308	domain1	all	BT_Cry1Ac20	603	domain1	all
BT_Cry1Ac22	57.6331851280425	domain1	all	BT_Cry1Ac22	603	domain1	all
BT_Cry1Ac24	57.3832653383189	domain1	all	BT_Cry1Ac24	603	domain1	all
BT_Cry1Ac25	57.589765715864	domain1	all	BT_Cry1Ac25	603	domain1	all
BT_Cry1Ac27	57.6942812010308	domain1	all	BT_Cry1Ac27	603	domain1	all
BT_Cry1Ac28	57.6962942590615	domain1	all	BT_Cry1Ac28	603	domain1	all
BT_Cry1Ac29	57.6942812010308	domain1	all	BT_Cry1Ac29	603	domain1	all
BT_Cry1Ac30	57.6962942590615	domain1	all	BT_Cry1Ac30	603	domain1	all
BT_Cry1Ac33	57.6953672568944	domain1	all	BT_Cry1Ac33	603	domain1	all
BT_Cry1Ac35	57.6953672568944	domain1	all	BT_Cry1Ac35	603	domain1	all
BT_Cry1Ac36	57.6953672568944	domain1	all	BT_Cry1Ac36	603	domain1	all
BT_Cry1Ac37	57.6953672568944	domain1	all	BT_Cry1Ac37	603	domain1	all
BT_Cry1Ac38	57.5859355554444	domain1	all	BT_Cry1Ac38	603	domain1	all
BT_Cry1Ac39	57.6962942590615	domain1	all	BT_Cry1Ac39	603	domain1	all
BT_Cry1Ac4	57.6942812010308	domain1	all	BT_Cry1Ac4	603	domain1	all
BT_Cry1Ac6	57.6942812010308	domain1	all	BT_Cry1Ac6	603	domain1	all
BT_Cry1Ac8	57.6792006735699	domain1	all	BT_Cry1Ac8	603	domain1	all
BT_Cry1Ac9	57.6962942590615	domain1	all	BT_Cry1Ac9	603	domain1	all
BT_Cry1Ad1	56.5330411586711	domain1	all	BT_Cry1Ad1	603	domain1	all
BT_Cry1Ad2	56.5330411586711	domain1	all	BT_Cry1Ad2	603	domain1	all
BT_Cry1Ae1	56.4201073853413	domain1	all	BT_Cry1Ae1	603	domain1	all
BT_Cry1Af1	56.6465593358659	domain1	all	BT_Cry1Af1	594	domain1	all
BT_Cry1Ag1	57.2963659999304	domain1	all	BT_Cry1Ag1	603	domain1	all
BT_Cry1Ah2	54.062290017191	domain1	all	BT_Cry1Ah2	603	domain1	all
BT_Cry1Ai1	57.4741781657354	domain1	all	BT_Cry1Ai1	603	domain1	all
BT_Cry1Ba1	53.7673150200646	domain1	all	BT_Cry1Ba1	603	domain1	all
BT_Cry1Ba6	53.5295923909689	domain1	all	BT_Cry1Ba6	603	domain1	all
BT_Cry1Ba7	53.7673150200646	domain1	all	BT_Cry1Ba7	603	domain1	all
BT_Cry1Bb1	53.846945400037	domain1	all	BT_Cry1Bb1	603	domain1	all
BT_Cry1Bd1	53.846945400037	domain1	all	BT_Cry1Bd1	603	domain1	all
BT_Cry1Bd2	53.846945400037	domain1	all	BT_Cry1Bd2	603	domain1	all
BT_Cry1Be1	53.5035126827188	domain1	all	BT_Cry1Be1	603	domain1	all
BT_Cry1Be3	53.3568811921463	domain1	all	BT_Cry1Be3	603	domain1	all
BT_Cry1Bf1	53.7571936488338	domain1	all	BT_Cry1Bf1	603	domain1	all
BT_Cry1Bg1	53.3382788798837	domain1	all	BT_Cry1Bg1	603	domain1	all
BT_Cry1Bh1	53.5376022626883	domain1	all	BT_Cry1Bh1	603	domain1	all
BT_Cry1Bi1	53.3382788798837	domain1	all	BT_Cry1Bi1	603	domain1	all
BT_Cry1Bj1	53.6667515522358	domain1	all	BT_Cry1Bj1	603	domain1	all
BT_Cry1Ca11	54.1086583634124	domain1	all	BT_Cry1Ca11	603	domain1	all
BT_Cry1Ca2	54.1086583634124	domain1	all	BT_Cry1Ca2	603	domain1	all
BT_Cry1Ca3	54.1086583634124	domain1	all	BT_Cry1Ca3	603	domain1	all
BT_Cry1Ca4	54.064143247213	domain1	all	BT_Cry1Ca4	603	domain1	all
BT_Cry1Cb1	54.1055364168975	domain1	all	BT_Cry1Cb1	603	domain1	all
BT_Cry1Da1	54.4109111696482	domain1	all	BT_Cry1Da1	603	domain1	all
BT_Cry1Da4	54.4109111696482	domain1	all	BT_Cry1Da4	603	domain1	all
BT_Cry1Db1	53.8358106299486	domain1	all	BT_Cry1Db1	603	domain1	all
BT_Cry1Ea10	54.5546195760352	domain1	all	BT_Cry1Ea10	603	domain1	all
BT_Cry1Ea2	54.4803707226335	domain1	all	BT_Cry1Ea2	603	domain1	all
BT_Cry1Ea4	54.5546195760352	domain1	all	BT_Cry1Ea4	603	domain1	all
BT_Cry1Ea7	54.5546195760352	domain1	all	BT_Cry1Ea7	603	domain1	all
BT_Cry1Eb1	54.6499823384602	domain1	all	BT_Cry1Eb1	597	domain1	all
BT_Cry1Fa1	53.4302014987738	domain1	all	BT_Cry1Fa1	603	domain1	all
BT_Cry1Fa3	53.4302014987738	domain1	all	BT_Cry1Fa3	603	domain1	all
BT_Cry1Fa4	53.4302014987738	domain1	all	BT_Cry1Fa4	603	domain1	all
BT_Cry1Fb1	53.1727928912061	domain1	all	BT_Cry1Fb1	603	domain1	all
BT_Cry1Fb3	53.1727928912061	domain1	all	BT_Cry1Fb3	603	domain1	all
BT_Cry1Fb6	53.1201109134292	domain1	all	BT_Cry1Fb6	603	domain1	all
BT_Cry1Ga2	52.510554655674	domain1	all	BT_Cry1Ga2	591	domain1	all
BT_Cry1Gb1	52.4301563182136	domain1	all	BT_Cry1Gb1	591	domain1	all
BT_Cry1Gb2	52.4301563182136	domain1	all	BT_Cry1Gb2	591	domain1	all
BT_Cry1Ha1	52.975247590253	domain1	all	BT_Cry1Ha1	588	domain1	all
BT_Cry1Hb1	52.7390561964102	domain1	all	BT_Cry1Hb1	588	domain1	all
BT_Cry1Ia11	55.7995487950537	domain1	all	BT_Cry1Ia11	603	domain1	all
BT_Cry1Ia12	55.745994668963	domain1	all	BT_Cry1Ia12	603	domain1	all
BT_Cry1Ia13	55.7995487950537	domain1	all	BT_Cry1Ia13	603	domain1	all
BT_Cry1Ia15	55.7323460941069	domain1	all	BT_Cry1Ia15	603	domain1	all
BT_Cry1Ia18	55.7179855336137	domain1	all	BT_Cry1Ia18	603	domain1	all
BT_Cry1Ia2	55.7995487950537	domain1	all	BT_Cry1Ia2	603	domain1	all
BT_Cry1Ia20	55.7482162094473	domain1	all	BT_Cry1Ia20	600	domain1	all
BT_Cry1Ia21	55.5938198614184	domain1	all	BT_Cry1Ia21	603	domain1	all
BT_Cry1Ia22	55.5581460700132	domain1	all	BT_Cry1Ia22	603	domain1	all
BT_Cry1Ia24	55.7995487950537	domain1	all	BT_Cry1Ia24	603	domain1	all
BT_Cry1Ia25	55.7995487950537	domain1	all	BT_Cry1Ia25	603	domain1	all
