Using: /root/.etetoolkit/ext_apps-latest/bin/Slr
Using: /root/.etetoolkit/ext_apps-latest/bin/codeml

Running CodeML/Slr (20 CPUs)
  - processing model M0 (M0~f85e15ac15882ecfc195b7eb92120509)
  - processing model M1 (M1~3dc14860a34bd6c829b7075de94ea083)
  - processing model M2 (M2~199faede56f2266f0949834f47e8b812)
  - processing model M3 (M3~1b8692015d2d91e042589f16f6ddb643)
  - processing model M7 (M7~d5504e727cf2ec2c2a4c81643cc41868)
  - processing model M8 (M8~35050b8b7acfbb6cf6aa8638771a72fe)

LRT

                                         Null model |                             Alternative model | p-value
   =================================================|===============================================|============
                M0~f85e15ac15882ecfc195b7eb92120509 |           M1~3dc14860a34bd6c829b7075de94ea083 | 0.000000**
                M0~f85e15ac15882ecfc195b7eb92120509 |           M2~199faede56f2266f0949834f47e8b812 | 0.000000**
                M0~f85e15ac15882ecfc195b7eb92120509 |           M3~1b8692015d2d91e042589f16f6ddb643 | 0.000000**
                M0~f85e15ac15882ecfc195b7eb92120509 |           M7~d5504e727cf2ec2c2a4c81643cc41868 | 0.000000**
                M0~f85e15ac15882ecfc195b7eb92120509 |           M8~35050b8b7acfbb6cf6aa8638771a72fe | 0.000000**
                M1~3dc14860a34bd6c829b7075de94ea083 |           M2~199faede56f2266f0949834f47e8b812 | 1.000000
                M1~3dc14860a34bd6c829b7075de94ea083 |           M3~1b8692015d2d91e042589f16f6ddb643 | 0.000030**
                M1~3dc14860a34bd6c829b7075de94ea083 |           M8~35050b8b7acfbb6cf6aa8638771a72fe | 0.000016**
                M2~199faede56f2266f0949834f47e8b812 |           M3~1b8692015d2d91e042589f16f6ddb643 | 0.000001**
                M7~d5504e727cf2ec2c2a4c81643cc41868 |           M2~199faede56f2266f0949834f47e8b812 | 1.000000
                M7~d5504e727cf2ec2c2a4c81643cc41868 |           M3~1b8692015d2d91e042589f16f6ddb643 | 0.316215
                M7~d5504e727cf2ec2c2a4c81643cc41868 |           M8~35050b8b7acfbb6cf6aa8638771a72fe | 0.370064
                M8~35050b8b7acfbb6cf6aa8638771a72fe |           M3~1b8692015d2d91e042589f16f6ddb643 | 0.213561

SUMMARY BY MODEL

 - Model M0
   * Average omega for all tree: 0.168

 - Model M1
   * Average omega for all tree: 0.326
   * Sites significantly caracterized
      codon position |   category
     -----------------------------------------------------------
            1-   3   |   Relaxed (probability > 0.95)
            4-   7   |   Relaxed (probability > 0.99)
                11   |   Relaxed (probability > 0.99)
                15   |   Relaxed (probability > 0.99)
           17-  19   |   Relaxed (probability > 0.99)
                22   |   Relaxed (probability > 0.95)
                24   |   Relaxed (probability > 0.95)
           26-  27   |   Relaxed (probability > 0.99)
           29-  31   |   Relaxed (probability > 0.99)
           33-  34   |   Relaxed (probability > 0.99)
                36   |   Relaxed (probability > 0.95)
                37   |   Relaxed (probability > 0.99)
                38   |   Relaxed (probability > 0.95)
           39-  41   |   Relaxed (probability > 0.99)
           44-  46   |   Relaxed (probability > 0.99)
                47   |   Relaxed (probability > 0.95)
           48-  49   |   Relaxed (probability > 0.99)
                50   |   Relaxed (probability > 0.95)
                52   |   Relaxed (probability > 0.99)
                53   |   Relaxed (probability > 0.95)
           55-  57   |   Relaxed (probability > 0.99)
                58   |   Relaxed (probability > 0.95)
                62   |   Relaxed (probability > 0.95)
                63   |   Relaxed (probability > 0.99)
           66-  67   |   Relaxed (probability > 0.95)
                68   |   Relaxed (probability > 0.99)
           70-  71   |   Relaxed (probability > 0.99)
                73   |   Relaxed (probability > 0.99)
                76   |   Relaxed (probability > 0.95)
                78   |   Relaxed (probability > 0.99)
           83-  84   |   Relaxed (probability > 0.99)
                86   |   Relaxed (probability > 0.95)
                87   |   Relaxed (probability > 0.99)
                90   |   Relaxed (probability > 0.95)
                93   |   Relaxed (probability > 0.95)
                94   |   Relaxed (probability > 0.99)
           96-  98   |   Relaxed (probability > 0.95)
           99- 101   |   Relaxed (probability > 0.99)
               102   |   Relaxed (probability > 0.95)
               103   |   Relaxed (probability > 0.99)
          107- 108   |   Relaxed (probability > 0.99)
          109- 110   |   Relaxed (probability > 0.95)
               111   |   Relaxed (probability > 0.99)
          113- 115   |   Relaxed (probability > 0.99)
          117- 128   |   Relaxed (probability > 0.99)
          129- 130   |   Relaxed (probability > 0.95)
          131- 132   |   Relaxed (probability > 0.99)
               133   |   Relaxed (probability > 0.95)
               135   |   Relaxed (probability > 0.95)
               136   |   Relaxed (probability > 0.99)
               138   |   Relaxed (probability > 0.99)
               143   |   Relaxed (probability > 0.99)
               145   |   Relaxed (probability > 0.95)
               149   |   Relaxed (probability > 0.99)
               150   |   Relaxed (probability > 0.95)
          151- 152   |   Relaxed (probability > 0.99)
               154   |   Relaxed (probability > 0.95)
               156   |   Relaxed (probability > 0.99)
               159   |   Relaxed (probability > 0.99)
          161- 163   |   Relaxed (probability > 0.99)
               165   |   Relaxed (probability > 0.99)
          167- 168   |   Relaxed (probability > 0.99)
          170- 171   |   Relaxed (probability > 0.99)
               172   |   Relaxed (probability > 0.95)
               208   |   Relaxed (probability > 0.95)
               210   |   Relaxed (probability > 0.95)
               211   |   Relaxed (probability > 0.99)
               213   |   Relaxed (probability > 0.99)
          215- 216   |   Relaxed (probability > 0.99)
               217   |   Relaxed (probability > 0.95)
          219- 223   |   Relaxed (probability > 0.99)
          224- 226   |   Relaxed (probability > 0.95)
          227- 229   |   Relaxed (probability > 0.99)
               231   |   Relaxed (probability > 0.95)
          234- 236   |   Relaxed (probability > 0.99)

 - Model M2
   * Average omega for all tree: 0.326
   * Sites significantly caracterized
      codon position |   category
     -----------------------------------------------------------
            1-   3   |   Conserved (probability > 0.95)
                 4   |   Conserved (probability > 0.99)
            6-   7   |   Conserved (probability > 0.99)
                 9   |   Conserved (probability > 0.95)
                11   |   Conserved (probability > 0.99)
                15   |   Conserved (probability > 0.99)
           17-  19   |   Conserved (probability > 0.99)
           26-  27   |   Conserved (probability > 0.99)
           29-  31   |   Conserved (probability > 0.99)
           33-  34   |   Conserved (probability > 0.99)
                36   |   Conserved (probability > 0.95)
           37-  41   |   Conserved (probability > 0.99)
           44-  49   |   Conserved (probability > 0.99)
                50   |   Conserved (probability > 0.95)
                52   |   Conserved (probability > 0.99)
                53   |   Conserved (probability > 0.95)
           55-  58   |   Conserved (probability > 0.99)
                62   |   Conserved (probability > 0.95)
                63   |   Conserved (probability > 0.99)
                64   |   Conserved (probability > 0.95)
                66   |   Conserved (probability > 0.95)
           67-  68   |   Conserved (probability > 0.99)
                70   |   Conserved (probability > 0.99)
                73   |   Conserved (probability > 0.99)
           75-  76   |   Conserved (probability > 0.95)
                78   |   Conserved (probability > 0.99)
                83   |   Conserved (probability > 0.99)
                86   |   Conserved (probability > 0.95)
                87   |   Conserved (probability > 0.99)
           90-  91   |   Conserved (probability > 0.95)
                94   |   Conserved (probability > 0.99)
                98   |   Conserved (probability > 0.95)
           99- 101   |   Conserved (probability > 0.99)
               102   |   Conserved (probability > 0.95)
               103   |   Conserved (probability > 0.99)
          107- 108   |   Conserved (probability > 0.99)
               109   |   Conserved (probability > 0.95)
          110- 111   |   Conserved (probability > 0.99)
               112   |   Conserved (probability > 0.95)
          113- 115   |   Conserved (probability > 0.99)
          117- 128   |   Conserved (probability > 0.99)
          129- 130   |   Conserved (probability > 0.95)
          131- 132   |   Conserved (probability > 0.99)
               133   |   Conserved (probability > 0.95)
               135   |   Conserved (probability > 0.95)
               136   |   Conserved (probability > 0.99)
               137   |   Conserved (probability > 0.95)
               138   |   Conserved (probability > 0.99)
          144- 145   |   Conserved (probability > 0.95)
               149   |   Conserved (probability > 0.99)
               150   |   Conserved (probability > 0.95)
          151- 152   |   Conserved (probability > 0.99)
               155   |   Conserved (probability > 0.95)
               156   |   Conserved (probability > 0.99)
               159   |   Conserved (probability > 0.99)
               160   |   Conserved (probability > 0.95)
          161- 163   |   Conserved (probability > 0.99)
               164   |   Conserved (probability > 0.95)
               165   |   Conserved (probability > 0.99)
          167- 168   |   Conserved (probability > 0.99)
               169   |   Conserved (probability > 0.95)
          170- 171   |   Conserved (probability > 0.99)
               175   |   Conserved (probability > 0.95)
               208   |   Conserved (probability > 0.95)
               210   |   Conserved (probability > 0.95)
               213   |   Conserved (probability > 0.99)
               216   |   Conserved (probability > 0.99)
               217   |   Conserved (probability > 0.95)
          219- 229   |   Conserved (probability > 0.99)
          231- 232   |   Conserved (probability > 0.95)
          234- 235   |   Conserved (probability > 0.99)

 - Model M3
   * Average omega for all tree: 0.233
   * Sites significantly caracterized
      codon position |   category
     -----------------------------------------------------------
            3-   7   |   Relaxed (probability > 0.95)
                11   |   Relaxed (probability > 0.95)
                15   |   Relaxed (probability > 0.95)
           29-  30   |   Relaxed (probability > 0.99)
                31   |   Relaxed (probability > 0.95)
           37-  38   |   Relaxed (probability > 0.95)
                39   |   Relaxed (probability > 0.99)
                41   |   Relaxed (probability > 0.99)
                47   |   Relaxed (probability > 0.95)
                48   |   Relaxed (probability > 0.99)
                52   |   Relaxed (probability > 0.99)
           57-  58   |   Relaxed (probability > 0.95)
                62   |   Relaxed (probability > 0.95)
           67-  68   |   Relaxed (probability > 0.95)
                71   |   Relaxed (probability > 0.95)
           83-  84   |   Relaxed (probability > 0.95)
                87   |   Relaxed (probability > 0.99)
               110   |   Relaxed (probability > 0.95)
               113   |   Relaxed (probability > 0.95)
               115   |   Relaxed (probability > 0.95)
               120   |   Relaxed (probability > 0.95)
               132   |   Relaxed (probability > 0.99)
               138   |   Relaxed (probability > 0.95)
               143   |   Relaxed (probability > 0.99)
               145   |   Relaxed (probability > 0.95)
               152   |   Relaxed (probability > 0.95)
               156   |   Relaxed (probability > 0.95)
          161- 162   |   Relaxed (probability > 0.95)
               165   |   Relaxed (probability > 0.95)
          167- 168   |   Relaxed (probability > 0.95)
               211   |   Relaxed (probability > 0.95)
               215   |   Relaxed (probability > 0.99)
               217   |   Relaxed (probability > 0.95)
               221   |   Relaxed (probability > 0.99)
               222   |   Relaxed (probability > 0.95)
               223   |   Relaxed (probability > 0.99)
          224- 226   |   Relaxed (probability > 0.95)
          235- 236   |   Relaxed (probability > 0.95)

 - Model M7
   * Average omega for all tree: 0.222

 - Model M8
   * Average omega for all tree: 0.241
