"Cry"	"Sector"	"Color"	"two_rank"	"one_rank"	"Tox_type"
"1"	"BT_Cry4Ca1"	0	"grey"	"Cry4C"	"Cry4"	"unaffected"
"2"	"NOV_Cry54Aa1_88.1_AFU17344.1"	1	"grey"	"Cry54A"	"Cry54"	"unaffected"
"3"	"NOV_Cry4Cb3_34.4_PEA86378.1"	2	"grey"	"Cry4C"	"Cry4"	"unaffected"
"4"	"NOV_Cry30Ga2_64.5_ARJ25665.1"	3	"#2980b9"	"Cry30G"	"Cry30"	"parent"
"5"	"NOV_Cry4Ca2_51.6_AZJ24420.1"	4	"grey"	"Cry4C"	"Cry4"	"unaffected"
"6"	"BT_Cry28Aa2"	5	"grey"	"Cry28A"	"Cry28"	"unaffected"
"7"	"NOV_Cry4Ba1_31.6_AUM94650.1"	6	"grey"	"Cry4B"	"Cry4"	"unaffected"
"8"	"BT_Cry54Ba1"	7	"grey"	"Cry54B"	"Cry54"	"unaffected"
"9"	"NOV_Cry4Ca2_48.4_AZJ24771.1"	8	"grey"	"Cry4C"	"Cry4"	"unaffected"
"10"	"BT_Cry54Aa1"	9	"grey"	"Cry54A"	"Cry54"	"unaffected"
"11"	"NOV_Cry40Aa1_67.9_CQ868314.1"	10	"grey"	"Cry40A"	"Cry40"	"unaffected"
"12"	"BT_Cry72Aa1"	11	"#2980b9"	"Cry72A"	"Cry72"	"parent"
"13"	"BT_Cry71Aa1"	12	"#a60b0b"	"Cry71A"	"Cry71"	"recombinant"
"14"	"NOV_Cry7Gb1_28.6_WP_103574454.1"	13	"grey"	"Cry7G"	"Cry7"	"unaffected"
"15"	"BT_Cry59Aa1"	14	"#2980b9"	"Cry59A"	"Cry59"	"parent"
"16"	"BT_Cry59Ba1"	15	"#a60b0b"	"Cry59B"	"Cry59"	"recombinant"
"17"	"NOV_Cry4Aa1_32.5_ADM64568.1"	16	"grey"	"Cry4A"	"Cry4"	"unaffected"
"18"	"NOV_Cry48Aa1_36.6_CAH33948.1"	17	"grey"	"Cry48A"	"Cry48"	"unaffected"
"19"	"NOV_Cry48Aa1_36.9_CAH33950.1"	18	"grey"	"Cry48A"	"Cry48"	"unaffected"
"20"	"BT_Cry29Aa1"	19	"grey"	"Cry29A"	"Cry29"	"unaffected"
"21"	"NOV_Cry29Aa1_96.4_OUC03129.1"	20	"grey"	"Cry29A"	"Cry29"	"unaffected"
"22"	"BT_Cry4Aa1"	21	"grey"	"Cry4A"	"Cry4"	"unaffected"
"23"	"NOV_Cry19Ba1_74.0_AGV55021.1"	22	"#a60b0b"	"Cry19B"	"Cry19"	"recombinant"
"24"	"BT_Cry19Ca1"	23	"#2980b9"	"Cry19C"	"Cry19"	"parent"
"25"	"BT_Cry8Ba1"	24	"grey"	"Cry8B"	"Cry8"	"unaffected"
"26"	"NOV_Cry8Ba1_88.6_AEP25412.1"	25	"#2980b9"	"Cry8B"	"Cry8"	"parent"
"27"	"BT_Cry8Fa2"	26	"#a60b0b"	"Cry8F"	"Cry8"	"recombinant"
"28"	"BT_Cry8Ga1"	27	"#2980b9"	"Cry8G"	"Cry8"	"parent"
"29"	"NOV_Cry2Ba1_29.9_AEX63666.1"	28	"grey"	"Cry2B"	"Cry2"	"unaffected"
"30"	"BT_Cry57Ab1"	29	"grey"	"Cry57A"	"Cry57"	"unaffected"
"31"	"NOV_Cry57Ab1_90.3_ACN87261.1"	30	"grey"	"Cry57A"	"Cry57"	"unaffected"
"32"	"BT_Cry48Ab1"	31	"grey"	"Cry48A"	"Cry48"	"unaffected"
"33"	"BT_Cry48Aa1"	32	"grey"	"Cry48A"	"Cry48"	"unaffected"
"34"	"NOV_Cry52Ca1_62.9_AZJ24464.1"	33	"#2980b9"	"Cry52C"	"Cry52"	"parent"
"35"	"BT_Cry19Ba1"	34	"#2980b9"	"Cry19B"	"Cry19"	"parent"
"36"	"BT_Cry17Aa1"	35	"grey"	"Cry17A"	"Cry17"	"unaffected"
"37"	"BT_Cry16Aa1"	36	"grey"	"Cry16A"	"Cry16"	"unaffected"
"38"	"NOV_Cry69Ab1_58.0_PEU83535.1"	37	"#a60b0b"	"Cry69A"	"Cry69"	"recombinant"
"39"	"BT_Cry69Aa1"	38	"#2980b9"	"Cry69A"	"Cry69"	"parent"
"40"	"BT_Cry69Ab1"	39	"#2980b9"	"Cry69A"	"Cry69"	"parent"
"41"	"NOV_Cry69Ab1_59.2_WP_103591619.1"	40	"#2980b9"	"Cry69A"	"Cry69"	"parent"
"42"	"NOV_Cry69Aa2_62.7_WP_103591151.1"	41	"#2980b9"	"Cry69A"	"Cry69"	"parent"
"43"	"NOV_Cry10Aa1_97.2_ABW89735.1"	42	"grey"	"Cry10A"	"Cry10"	"unaffected"
"44"	"NOV_Cry10Aa1_94.4_ABW89736.1"	43	"grey"	"Cry10A"	"Cry10"	"unaffected"
"45"	"NOV_Cry10Aa1_97.0_ABW89733.1"	44	"grey"	"Cry10A"	"Cry10"	"unaffected"
"46"	"NOV_Cry30Ca1_66.6_BAD00052.1"	45	"grey"	"Cry30C"	"Cry30"	"unaffected"
"47"	"BT_Cry27Aa1"	46	"grey"	"Cry27A"	"Cry27"	"unaffected"
"48"	"NOV_Cry27Aa1_80.8_AGV55018.1"	47	"grey"	"Cry27A"	"Cry27"	"unaffected"
"49"	"NOV_Cry19Aa1_29.2_PEA88281.1"	48	"grey"	"Cry19A"	"Cry19"	"unaffected"
"50"	"NOV_Cry11Aa1_99.2_AXJ97555.1"	49	"grey"	"Cry11A"	"Cry11"	"unaffected"
"51"	"NOV_Cry11Aa1_95.8_ABW89741.1"	50	"grey"	"Cry11A"	"Cry11"	"unaffected"
"52"	"BT_Cry11Bb1"	51	"grey"	"Cry11B"	"Cry11"	"unaffected"
"53"	"BT_Cry11Ba1"	52	"grey"	"Cry11B"	"Cry11"	"unaffected"
"54"	"NOV_Cry71Aa1_65.9_PEU78325.1"	53	"#2980b9"	"Cry71A"	"Cry71"	"parent"
"55"	"BT_Cry39Aa1"	54	"grey"	"Cry39A"	"Cry39"	"unaffected"
"56"	"BT_Cry53Aa1"	55	"grey"	"Cry53A"	"Cry53"	"unaffected"
"57"	"BT_Cry53Ab1"	56	"grey"	"Cry53A"	"Cry53"	"unaffected"
"58"	"BT_Cry43Ba1"	57	"grey"	"Cry43B"	"Cry43"	"unaffected"
"59"	"BT_Cry43Cc1"	58	"grey"	"Cry43C"	"Cry43"	"unaffected"
"60"	"BT_Cry43Ca1"	59	"grey"	"Cry43C"	"Cry43"	"unaffected"
"61"	"BT_Cry43Cb1"	60	"grey"	"Cry43C"	"Cry43"	"unaffected"
"62"	"BT_Cry43Aa1"	61	"grey"	"Cry43A"	"Cry43"	"unaffected"
"63"	"NOV_Cry43Cb1_43.9_PEA91147.1"	62	"grey"	"Cry43C"	"Cry43"	"unaffected"
"64"	"NOV_Cry56Aa2_56.0_AGV55019.1"	63	"#a60b0b"	"Cry56A"	"Cry56"	"recombinant"
"65"	"NOV_Cry56Aa4_56.4_PEU80288.1"	64	"#2980b9"	"Cry56A"	"Cry56"	"parent"
"66"	"NOV_Cry56Aa4_79.3_WP_103592286.1"	65	"#2980b9"	"Cry56A"	"Cry56"	"parent"
"67"	"BT_Cry56Aa1"	66	"#2980b9"	"Cry56A"	"Cry56"	"parent"
"68"	"NOV_Cry56Aa4_77.6_ARJ25668.1"	67	"#2980b9"	"Cry56A"	"Cry56"	"parent"
"69"	"NOV_Cry73Aa1_40.0_PQQ47537.1"	68	"grey"	"Cry73A"	"Cry73"	"unaffected"
"70"	"BT_Cry18Aa1"	69	"grey"	"Cry18A"	"Cry18"	"unaffected"
"71"	"BT_Cry18Ba1"	70	"grey"	"Cry18B"	"Cry18"	"unaffected"
"72"	"BT_Cry18Ca1"	71	"grey"	"Cry18C"	"Cry18"	"unaffected"
"73"	"BT_Cry2Ab12"	72	"#2980b9"	"Cry2A"	"Cry2"	"parent"
