Tox_type,Tox,Host_type,Group,Num_hosts
unaff,BT_Cry32Ea2,Species,Rank3,0
unaff,NOV_Cry8Ma2_96.0_WP_103622989.1,Species,Rank3,0
unaff,BT_Cry7Gd1,Species,Rank3,0
unaff,NOV_Cry4Ca2_51.6_AZJ24420.1,Species,Rank3,0
unaff,NOV_Cry21Ca2_65.9_AZR80774.1,Species,Rank3,0
unaff,BT_Cry32Ia1,Species,Rank3,0
unaff,NOV_Cry21Ea1_36.9_AGS78123.2,Species,Rank3,0
unaff,NOV_Cry10Aa1_97.0_ABW89733.1,Species,Rank3,3
unaff,BT_Cry11Bb1,Species,Rank3,5
unaff,BT_Cry32Ea1,Species,Rank3,0
unaff,BT_Cry5Ca1,Species,Rank3,2
unaff,NOV_Cry53Ab1_40.0_CAH33955.1,Species,Rank3,4
unaff,BT_Cry27Aa1,Species,Rank3,3
unaff,BT_Cry9Db1,Species,Rank3,1
unaff,BT_Cry24Ba1,Species,Rank3,0
unaff,NOV_Cry53Ab1_39.4_AFM37573.1,Species,Rank3,0
unaff,BT_Cry18Aa1,Species,Rank3,2
unaff,BT_Cry48Aa1,Species,Rank3,1
unaff,NOV_Cry73Aa1_88.4_AQM56942.1,Species,Rank3,0
unaff,BT_Cry8Ac1,Species,Rank3,0
unaff,NOV_Cry4Ca2_48.4_AZJ24771.1,Species,Rank3,0
unaff,BT_Cry1Hb1,Species,Rank3,2
unaff,BT_Cry20Ba2,Species,Rank3,1
unaff,BT_Cry57Aa1,Species,Rank3,0
unaff,BT_Cry43Ca1,Species,Rank3,2
unaff,NOV_Cry8Ma3_96.0_ATY50149.1,Species,Rank3,0
unaff,BT_Cry2Ak1,Species,Rank3,5
unaff,BT_Cry32Na1,Species,Rank3,0
unaff,BT_Cry54Ab1,Species,Rank3,1
unaff,NOV_Cry10Aa1_94.4_ABW89736.1,Species,Rank3,1
unaff,BT_Cry7Ab1,Species,Rank3,5
unaff,BT_Cry32Aa1,Species,Rank3,1
unaff,BT_Cry8Ta1,Species,Rank3,0
unaff,BT_Cry18Ca1,Species,Rank3,0
unaff,NOV_Cry4Aa1_32.5_ADM64568.1,Species,Rank3,0
unaff,BT_Cry31Ac1,Species,Rank3,1
unaff,BT_Cry32Cb1,Species,Rank3,0
unaff,BT_Cry18Ba1,Species,Rank3,0
unaff,BT_Cry58Aa1,Species,Rank3,0
unaff,BT_Cry70Ba1,Species,Rank3,1
unaff,NOV_Cry7Gb1_94.1_AGM39662.1,Species,Rank3,0
unaff,BT_Cry5Ba1,Species,Rank3,15
unaff,BT_Cry2Aa3,Species,Rank3,43
unaff,NOV_Cry8Kb1_73.3_APT36283.1,Species,Rank3,0
unaff,NOV_Cry53Ab1_40.9_APA45008.1,Species,Rank3,0
unaff,BT_Cry48Ab1,Species,Rank3,0
unaff,BT_Cry7Fb3,Species,Rank3,0
unaff,BT_Cry39Aa1,Species,Rank3,2
unaff,BT_Cry8Kb1,Species,Rank3,1
unaff,BT_Cry32La1,Species,Rank3,0
unaff,BT_Cry32Sa1,Species,Rank3,1
unaff,NOV_Cry53Aa1_40.7_WP_103591149.1,Species,Rank3,0
unaff,BT_Cry16Aa1,Species,Rank3,3
unaff,BT_Cry1Hc1,Species,Rank3,2
unaff,NOV_Cry2Ak1_76.8_AX513524.1,Species,Rank3,4
unaff,BT_Cry1La1,Species,Rank3,2
unaff,BT_Cry7Ab5,Species,Rank3,5
unaff,BT_Cry8Ib1,Species,Rank3,0
unaff,NOV_Cry21Ea1_40.3_AOM14729.1,Species,Rank3,0
unaff,BT_Cry43Cc1,Species,Rank3,0
unaff,BT_Cry43Ba1,Species,Rank3,1
unaff,BT_Cry7Fa1,Species,Rank3,0
unaff,NOV_Cry8Db1_49.9_WP_103653049.1,Species,Rank3,0
unaff,NOV_Cry24Aa1_98.3_WP_086403584.1,Species,Rank3,0
unaff,BT_Cry61Aa1,Species,Rank3,0
unaff,BT_Cry8Ka1,Species,Rank3,1
unaff,BT_Cry44Aa1,Species,Rank3,4
unaff,BT_Cry2Ad5,Species,Rank3,1
unaff,NOV_Cry29Aa1_96.4_OUC03129.1,Species,Rank3,1
unaff,BT_Cry17Aa1,Species,Rank3,0
unaff,NOV_Cry41Ca1_39.9_WP_001075423.1,Species,Rank3,0
unaff,BT_Cry11Ba1,Species,Rank3,5
unaff,BT_Cry28Aa2,Species,Rank3,0
unaff,BT_Cry5Ea2,Species,Rank3,0
unaff,NOV_Cry68Aa1_46.2_ARJ25655.1,Species,Rank3,0
unaff,NOV_Cry41Ca1_50.4_AZJ24166.1,Species,Rank3,0
unaff,NOV_Cry8Ab1_80.3_AFP44678.1,Species,Rank3,0
unaff,BT_Cry53Aa1,Species,Rank3,0
unaff,NOV_Cry11Aa1_99.2_AXJ97555.1,Species,Rank3,10
unaff,BT_Cry32Fa1,Species,Rank3,0
unaff,NOV_Cry32Hb1_41.4_AQX37181.1,Species,Rank3,0
unaff,BT_Cry73Aa1,Species,Rank3,0
unaff,BT_Cry9Fa1,Species,Rank3,0
unaff,BT_Cry7Da1,Species,Rank3,0
unaff,BT_Cry2Ae1,Species,Rank3,6
unaff,NOV_Cry19Aa1_29.2_PEA88281.1,Species,Rank3,0
unaff,BT_Cry12Aa1,Species,Rank3,2
unaff,BT_Cry32Ca1,Species,Rank3,1
unaff,NOV_Cry43Cb1_38.6_AGV55020.1,Species,Rank3,0
unaff,BT_Cry43Cb1,Species,Rank3,3
unaff,NOV_Cry70Bb1_67.1_OUB77817.1,Species,Rank3,0
unaff,BT_Cry1Ha1,Species,Rank3,0
unaff,BT_Cry7Aa1,Species,Rank3,3
unaff,BT_Cry63Aa1,Species,Rank3,1
unaff,BT_Cry31Aa6,Species,Rank3,1
unaff,BT_Cry5Ab1,Species,Rank3,3
unaff,BT_Cry8La1,Species,Rank3,0
unaff,NOV_Cry4Ba1_31.6_AUM94650.1,Species,Rank3,0
unaff,NOV_Cry32Ea2_45.2_WP_087949412.1,Species,Rank3,0
unaff,NOV_Cry21Ba1_28.9_PEZ39117.1,Species,Rank3,0
unaff,BT_Cry8Bb1,Species,Rank3,3
unaff,BT_Cry20Aa1,Species,Rank3,2
unaff,NOV_Cry2Ba1_29.9_AEX63666.1,Species,Rank3,1
unaff,NOV_Cry48Aa1_36.6_CAH33948.1,Species,Rank3,3
unaff,NOV_Cry25Aa1_97.8_OUB78400.1,Species,Rank3,0
unaff,BT_Cry21Fa1,Species,Rank3,2
unaff,BT_Cry54Ba1,Species,Rank3,0
unaff,NOV_Cry40Aa1_67.9_CQ868314.1,Species,Rank3,2
unaff,BT_Cry1Bh1,Species,Rank3,5
unaff,NOV_Cry11Aa1_95.8_ABW89741.1,Species,Rank3,10
unaff,BT_Cry32Ra1,Species,Rank3,0
unaff,NOV_Cry10Aa1_97.2_ABW89735.1,Species,Rank3,3
unaff,NOV_Cry1Ie2_23.3_ATF15267.1,Species,Rank3,0
unaff,NOV_Cry21Ea1_53.3_OTW62068.1,Species,Rank3,0
unaff,NOV_Cry73Ba1_39.0_PEE63029.1,Species,Rank3,0
unaff,BT_Cry70Aa1,Species,Rank3,1
unaff,BT_Cry2Af1,Species,Rank3,1
unaff,NOV_Cry27Aa1_80.8_AGV55018.1,Species,Rank3,0
unaff,NOV_Cry5Ba1_27.2_AZR80678.1,Species,Rank3,0
unaff,NOV_Cry20Ba2_80.0_AGV55017.1,Species,Rank3,1
unaff,BT_Cry7Kb1,Species,Rank3,0
unaff,NOV_Cry8Ja1_60.3_PEE68563.1,Species,Rank3,0
unaff,BT_Cry67Aa2,Species,Rank3,0
unaff,NOV_Cry43Cb1_43.9_PEA91147.1,Species,Rank3,0
unaff,BT_Cry7Ia1,Species,Rank3,0
unaff,NOV_Cry32Ea2_41.9_AQM56938.1,Species,Rank3,0
unaff,NOV_Cry1Ia24_22.2_CAP40039.1,Species,Rank3,0
unaff,BT_Cry57Ab1,Species,Rank3,2
unaff,BT_Cry9Dc1,Species,Rank3,0
unaff,BT_Cry31Ad1,Species,Rank3,1
unaff,BT_Cry8Na1,Species,Rank3,1
unaff,BT_Cry41Ba2,Species,Rank3,0
unaff,BT_Cry7Ka1,Species,Rank3,0
unaff,BT_Cry21Ha1,Species,Rank3,0
unaff,BT_Cry54Aa1,Species,Rank3,5
unaff,BT_Cry4Aa1,Species,Rank3,8
unaff,BT_Cry47Aa1,Species,Rank3,1
unaff,BT_Cry21Ca1,Species,Rank3,0
unaff,BT_Cry8Sa1,Species,Rank3,1
unaff,NOV_Cry21Ea1_42.1_AEH76823.1,Species,Rank3,0
unaff,BT_Cry7La1,Species,Rank3,0
