protein_name	source	nucl_accession	start	stop	strand	ipg_prot_id	ipg_prot_name	organism	strain	assembly
BT_Cry1Aa1	INSDC	M11250.1	527	4057	+	AAA22353.1	crystal protein	Bacillus thuringiensis		
--	PAT	N/A				AJN40602.1	Sequence 50 from patent US 8865428	Unknown		
--	PAT	N/A				ATK48404.1	Sequence 54 from patent US 9567381	Unknown		
BT_Cry1Aa2	INSDC	M10917.1	153	2955	+	AAA22552.1	insecticidal crystal protein	Bacillus thuringiensis		
--	Swiss-Prot	N/A				P0A369.1	Pesticidal crystal protein Cry1Aa	Bacillus thuringiensis serovar sotto		
--	PRF	N/A				1106181A	protein,insecticidal crystal	Bacillus thuringiensis serovar sotto		
--	PAT	N/A				AAB15032.1	Sequence 7 from patent US 5545565	Unknown		
--	PAT	N/A				AJN40603.1	Sequence 51 from patent US 8865428	Unknown		
--	PAT	N/A				ATK48412.1	Sequence 62 from patent US 9567381	Unknown		
BT_Cry1Aa3	INSDC	D00348.1	73	3603	+	BAA00257.1	unnamed protein product	Bacillus thuringiensis serovar aizawai	IPL7	
--	RefSeq	NC_017203.1	266970	270500	+	WP_000369823.1	pesticidal crystal protein cry1Aa	Bacillus thuringiensis serovar chinensis CT-43	CT-43	GCF_000193355.1
--	RefSeq	NC_020384.1	271198	274728	+	WP_000369823.1	pesticidal crystal protein cry1Aa	Bacillus thuringiensis serovar thuringiensis str. IS5056	IS5056	GCF_000341665.1
--	RefSeq	NZ_CP004861.1	234327	237857	+	WP_000369823.1	pesticidal crystal protein cry1Aa	Bacillus thuringiensis serovar kurstaki str. YBT-1520	YBT-1520	GCF_000688795.1
--	RefSeq	NZ_CP007615.1	207462	210992	+	WP_000369823.1	pesticidal crystal protein cry1Aa	Bacillus thuringiensis serovar kurstaki str. YBT-1520	YBT-1520	GCF_000747545.1
--	RefSeq	NZ_CP010091.1	248519	252049	+	WP_000369823.1	pesticidal crystal protein cry1Aa	Bacillus thuringiensis serovar galleriae	4G5	GCF_000803665.1
--	RefSeq	NZ_LABP01000045.1	21890	25420	+	WP_000369823.1	pesticidal crystal protein cry1Aa	Bacillus cereus	RIVM BC 934	GCF_001044855.1
--	RefSeq	NZ_LABV01000078.1	54170	57700	-	WP_000369823.1	pesticidal crystal protein cry1Aa	Bacillus cereus	6/27/S	GCF_001044955.1
--	RefSeq	NZ_NFDV01000214.1	21890	25420	+	WP_000369823.1	pesticidal crystal protein cry1Aa	Bacillus thuringiensis serovar aizawai	BGSC 4J2	GCF_002147155.1
--	RefSeq	NZ_NFDX01000152.1	8257	11787	-	WP_000369823.1	pesticidal crystal protein cry1Aa	Bacillus thuringiensis serovar aizawai	BGSC 4J4	GCF_002147235.1
--	RefSeq	NZ_NFEI01000129.1	273	3803	-	WP_000369823.1	pesticidal crystal protein cry1Aa	Bacillus thuringiensis serovar colmeri	BGSC 4X1	GCF_002147435.1
--	RefSeq	NZ_NFEO01000107.1	21890	25420	+	WP_000369823.1	pesticidal crystal protein cry1Aa	Bacillus thuringiensis serovar aizawai	T07005	GCF_002147575.1
--	RefSeq	NZ_NFEP01000092.1	273	3803	-	WP_000369823.1	pesticidal crystal protein cry1Aa	Bacillus thuringiensis serovar aizawai	T07019	GCF_002147565.1
--	RefSeq	NZ_NFER01000141.1	8257	11787	-	WP_000369823.1	pesticidal crystal protein cry1Aa	Bacillus thuringiensis serovar aizawai	T07128	GCF_002147635.1
--	RefSeq	NZ_NFEU01000196.1	21890	25420	+	WP_000369823.1	pesticidal crystal protein cry1Aa	Bacillus thuringiensis serovar aizawai	T07153	GCF_002147685.1
--	RefSeq	NZ_NUFO01000009.1	9974	13504	-	WP_000369823.1	pesticidal crystal protein cry1Aa	Bacillus thuringiensis	AFS057829	GCF_002574115.1
--	Swiss-Prot	N/A				P0A367.1	Pesticidal crystal protein Cry1Aa	Bacillus thuringiensis serovar aizawai		
--	INSDC	AF384211.1	1	3531	+	AAP80146.1	delta-endotoxin	Bacillus thuringiensis	ly30	
--	INSDC	CP001910.1	266970	270500	+	AEA19608.1	Pesticidal crystal protein cry1Aa	Bacillus thuringiensis serovar chinensis CT-43	CT-43	GCA_000193355.1
--	INSDC	CP004136.1	271198	274728	+	AGG05325.1	Insecticidal crystal protein Cry1Aa3	Bacillus thuringiensis serovar thuringiensis str. IS5056	IS5056	GCA_000341665.1
--	INSDC	CP004861.1	234327	237857	+	AHZ54991.1	Pesticidal crystal protein cry1Aa	Bacillus thuringiensis serovar kurstaki str. YBT-1520	YBT-1520	GCA_000688795.1
--	INSDC	CP007615.1	207462	210992	+	AIM34741.1	dipterans toxin crystal protein Cry1Aa3	Bacillus thuringiensis serovar kurstaki str. YBT-1520	YBT-1520	GCA_000747545.1
--	INSDC	CP010091.1	248519	252049	+	AJA23506.1	pesticidal protein	Bacillus thuringiensis serovar galleriae	HD-29	GCA_000803665.1
--	INSDC	LABP01000045.1	21890	25420	+	KMQ19863.1	pesticidal protein	Bacillus cereus	RIVM BC 934	GCA_001044855.1
--	INSDC	NFDX01000152.1	8257	11787	-	OTY98193.1	pesticidal crystal protein cry1Aa	Bacillus thuringiensis serovar aizawai	BGSC 4J4	GCA_002147235.1
--	INSDC	NFDV01000214.1	21890	25420	+	OTZ05476.1	pesticidal crystal protein cry1Aa	Bacillus thuringiensis serovar aizawai	BGSC 4J2	GCA_002147155.1
--	INSDC	NFEI01000129.1	273	3803	-	OTZ93984.1	pesticidal crystal protein cry1Aa	Bacillus thuringiensis serovar colmeri	BGSC 4X1	GCA_002147435.1
--	INSDC	NFEO01000107.1	21890	25420	+	OUA20999.1	pesticidal crystal protein cry1Aa	Bacillus thuringiensis serovar aizawai	T07005	GCA_002147575.1
--	INSDC	NFEP01000092.1	273	3803	-	OUA22636.1	pesticidal crystal protein cry1Aa	Bacillus thuringiensis serovar aizawai	T07019	GCA_002147565.1
--	INSDC	NFER01000141.1	8257	11787	-	OUA36886.1	pesticidal crystal protein cry1Aa	Bacillus thuringiensis serovar aizawai	T07128	GCA_002147635.1
--	INSDC	NFEU01000196.1	21890	25420	+	OUA67405.1	pesticidal crystal protein cry1Aa	Bacillus thuringiensis serovar aizawai	T07153	GCA_002147685.1
