depth	cry_list	cry_num	node	init_structure
#1	BT_Cry9Aa1,BT_Cry9Ga1	2	1	BT_Cry9Aa1; BT_Cry9Ga1
#1	BT_Cry3Ba1,BT_Cry3Bb1	2	2	BT_Cry3Ba1; BT_Cry3Bb1
#1	BT_Cry8Na1,BT_Cry8Ca1	2	3	BT_Cry8Na1; BT_Cry8Ca1
#1	BT_Cry8Ka3,BT_Cry8Ka1	2	4	BT_Cry8Ka3; BT_Cry8Ka1
#1	BT_Cry1Na1,BT_Cry1Nb1	2	5	BT_Cry1Na1; BT_Cry1Nb1
#1	BT_Cry1Fb1,BT_Cry1Fa1	2	6	BT_Cry1Fb1; BT_Cry1Fa1
#1	BT_Cry7Gb1,BT_Cry7Gc1	2	7	BT_Cry7Gb1; BT_Cry7Gc1
#1	BT_Cry7Ja1,BT_Cry7Da1	2	8	BT_Cry7Ja1; BT_Cry7Da1
#1	BT_Cry8Ib1,BT_Cry8Ia3	2	9	BT_Cry8Ib1; BT_Cry8Ia3
#1	BT_Cry7Kb1,BT_Cry7Ka1	2	10	BT_Cry7Kb1; BT_Cry7Ka1
#1	BT_Cry7Ab5,BT_Cry7Ab1	2	11	BT_Cry7Ab5; BT_Cry7Ab1
#1	BT_Cry8Ja1,BT_Cry8Ea2	2	12	BT_Cry8Ja1; BT_Cry8Ea2
#1	BT_Cry8Ac1,BT_Cry8Ab1	2	13	BT_Cry8Ac1; BT_Cry8Ab1
#1	BT_Cry8Ra1,BT_Cry8Ad1	2	14	BT_Cry8Ra1; BT_Cry8Ad1
#1	BT_Cry8Db1,BT_Cry8Da1	2	15	BT_Cry8Db1; BT_Cry8Da1
#1	BT_Cry1Id1,BT_Cry1Ma1	2	16	BT_Cry1Id1; BT_Cry1Ma1
#1	BT_Cry1Bi1,BT_Cry1Bg1	2	17	BT_Cry1Bi1; BT_Cry1Bg1
#1	BT_Cry1Be1,BT_Cry1Bj1	2	18	BT_Cry1Be1; BT_Cry1Bj1
#1	BT_Cry1Bf1,BT_Cry1Ba1	2	19	BT_Cry1Bf1; BT_Cry1Ba1
#1	BT_Cry1Bd1,BT_Cry1Bb1	2	20	BT_Cry1Bd1; BT_Cry1Bb1
#1	BT_Cry8Qa1,BT_Cry8Fa2	2	21	BT_Cry8Qa1; BT_Cry8Fa2
#1	BT_Cry9Bb1,BT_Cry9Ba1	2	22	BT_Cry9Bb1; BT_Cry9Ba1
#1	BT_Cry9Ed1,BT_Cry9Ec1	2	23	BT_Cry9Ed1; BT_Cry9Ec1
#1	BT_Cry9Fa1,BT_Cry9Eb1	2	24	BT_Cry9Fa1; BT_Cry9Eb1
#1	BT_Cry9Dc1,BT_Cry9Db1	2	25	BT_Cry9Dc1; BT_Cry9Db1
#1	BT_Cry5Ea2,BT_Cry5Ab1	2	26	BT_Cry5Ea2; BT_Cry5Ab1
#1	BT_Cry4Ba1,BT_Cry4Ba3	2	27	BT_Cry4Ba1; BT_Cry4Ba3
#1	BT_Cry1Ag1,BT_Cry1Aa10	2	28	BT_Cry1Ag1; BT_Cry1Aa10
#1	BT_Cry1Eb1,BT_Cry1Ea10	2	29	BT_Cry1Eb1; BT_Cry1Ea10
#1	BT_Cry1Ca11,BT_Cry1Cb1	2	30	BT_Cry1Ca11; BT_Cry1Cb1
#1	BT_Cry1Ia18,BT_Cry1Ic1	2	31	BT_Cry1Ia18; BT_Cry1Ic1
#1	BT_Cry21Da1,BT_Cry5Ca1	2	32	BT_Cry21Da1; BT_Cry5Ca1
#1	BT_Cry2Ac10,BT_Cry2Ai1	2	33	BT_Cry2Ac10; BT_Cry2Ai1
#1	BT_Cry4Ca1,BT_Cry28Aa2	2	34	BT_Cry4Ca1; BT_Cry28Aa2
#1	BT_Cry32La1,BT_Cry32Ba1	2	35	BT_Cry32La1; BT_Cry32Ba1
#1	BT_Cry32Ha1,BT_Cry32Hb1	2	36	BT_Cry32Ha1; BT_Cry32Hb1
#1	BT_Cry32Ea2,BT_Cry32Ea1	2	37	BT_Cry32Ea2; BT_Cry32Ea1
#1	BT_Cry32Ma1,BT_Cry32Mb1	2	38	BT_Cry32Ma1; BT_Cry32Mb1
#1	BT_Cry32Ua1,BT_Cry32Da1	2	39	BT_Cry32Ua1; BT_Cry32Da1
#1	BT_Cry41Ba2,BT_Cry32Pa1	2	40	BT_Cry41Ba2; BT_Cry32Pa1
#1	BT_Cry67Aa2,BT_Cry32Sa1	2	41	BT_Cry67Aa2; BT_Cry32Sa1
#1	BT_Cry32Cb1,BT_Cry32Ca1	2	42	BT_Cry32Cb1; BT_Cry32Ca1
#1	BT_Cry39Aa1,BT_Cry19Aa1	2	43	BT_Cry39Aa1; BT_Cry19Aa1
#1	BT_Cry40Ba1,BT_Cry40Ca1	2	44	BT_Cry40Ba1; BT_Cry40Ca1
#1	BT_Cry24Da1,BT_Cry24Ca1	2	45	BT_Cry24Da1; BT_Cry24Ca1
#1	BT_Cry53Aa1,BT_Cry53Ab1	2	46	BT_Cry53Aa1; BT_Cry53Ab1
#1	BT_Cry43Ca1,BT_Cry43Cc1	2	47	BT_Cry43Ca1; BT_Cry43Cc1
#1	BT_Cry43Aa1,BT_Cry43Ba1	2	48	BT_Cry43Aa1; BT_Cry43Ba1
#1	BT_Cry50Ba1,BT_Cry50Aa1	2	49	BT_Cry50Ba1; BT_Cry50Aa1
#1	BT_Cry52Ba1,BT_Cry52Aa1	2	50	BT_Cry52Ba1; BT_Cry52Aa1
#1	BT_Cry11Bb1,BT_Cry11Ba1	2	51	BT_Cry11Bb1; BT_Cry11Ba1
#1	BT_Cry21Aa1,BT_Cry21Ba1	2	52	BT_Cry21Aa1; BT_Cry21Ba1
#1	BT_Cry18Ca1,BT_Cry18Ba1	2	53	BT_Cry18Ca1; BT_Cry18Ba1
#1	BT_Cry2Aa13,BT_Cry2Ab12	2	54	BT_Cry2Aa13; BT_Cry2Ab12
#1	BT_Cry31Ab1,BT_Cry31Aa6	2	55	BT_Cry31Ab1; BT_Cry31Aa6
#1	BT_Cry69Aa1,BT_Cry69Ab1	2	56	BT_Cry69Aa1; BT_Cry69Ab1
#1	BT_Cry17Aa1,BT_Cry16Aa1	2	57	BT_Cry17Aa1; BT_Cry16Aa1
