Filtered for "filter_none" values in Rec column: 0 rows
rec_id	event_id	Rec	parent	parent_type	unknown	domain	similarity	count_Rec	count_parent
==================================
Filtered for "filter_none" values in parent column: 25 rows
rec_id	event_id	Rec	parent	parent_type	unknown	domain	similarity	count_Rec	count_parent
14	1	BT_Cry1Aa10;BT_Cry1Ab12;BT_Cry1Ab2;BT_Cry1Ac39;BT_Cry1Ad1;BT_Cry1Ag1;BT_Cry1Ai1;NOV_Cry1Ab12_91.4_AAK14338.1;NOV_Cry1Ab32_92.7_AAK14337.1;NOV_Cry1Ac23_90.7_CAQ03747.1	NOV_Cry1Ea10_93.2_AAX86871.1	minor	no	domain1	90.20530744599985	10	1
14	1	BT_Cry1A-like;BT_Cry1Aa10;BT_Cry1Ab12;BT_Cry1Ab2;BT_Cry1Ac39;BT_Cry1Ad1;BT_Cry1Ag1;BT_Cry1Ah2;BT_Cry1Ai1;NOV_Cry1Ab12_91.4_AAK14338.1;NOV_Cry1Ab32_92.7_AAK14337.1;NOV_Cry1Ac23_90.7_CAQ03747.1;NOV_Cry1Ad2_87.7_AIW52617.1	none	major	no	domain2	81.93748011685497	13	1
14	1	BT_Cry1A-like;BT_Cry1Aa10;BT_Cry1Ab12;BT_Cry1Ab2;BT_Cry1Ac39;BT_Cry1Ad1;BT_Cry1Ag1;BT_Cry1Ah2;BT_Cry1Ai1;BT_Cry1Bb1;BT_Cry1Bd1;BT_Cry1Bh1;BT_Cry1Bi1;BT_Cry1Bj1;BT_Cry1Fb1;BT_Cry1Ga2;BT_Cry1Gb1;BT_Cry1Ia11;BT_Cry1Ia18;BT_Cry1Ic1;BT_Cry1Id1;BT_Cry1Ie4;BT_Cry1Ja1;BT_Cry1Ma1;BT_Cry1Na1;BT_Cry1Nb1;BT_Cry9Ga1;NOV_Cry1Ab12_91.4_AAK14338.1;NOV_Cry1Ab32_92.7_AAK14337.1;NOV_Cry1Ac23_90.7_CAQ03747.1;NOV_Cry1Ad2_87.7_AIW52617.1;NOV_Cry1Da1_84.8_ABK35074.1;NOV_Cry1Ga1_77.9_AX098669.1;NOV_Cry1Ie5_79.3_PQQ47595.1	none	major	no	domain3	64.71244649905152	34	1
76	7	BT_Cry1Ac39;BT_Cry1Ah2;BT_Cry1Ai1;NOV_Cry1Ac23_90.7_CAQ03747.1	none	minor	yes	domain3	-49.91304400702944	4	1
76	7	BT_Cry1Ac39;BT_Cry1Ah2;NOV_Cry1Ac23_90.7_CAQ03747.1	BT_Cry1A-like	major	no	domain2	69.65301074525324	3	1
76	7	BT_Cry1Aa10;BT_Cry1Ab12;BT_Cry1Ab2;BT_Cry1Ac39;BT_Cry1Ad1;BT_Cry1Ag1;BT_Cry1Ah2;BT_Cry1Ai1;NOV_Cry1Ab12_91.4_AAK14338.1;NOV_Cry1Ab32_92.7_AAK14337.1;NOV_Cry1Ac23_90.7_CAQ03747.1;NOV_Cry1Ad2_87.7_AIW52617.1	BT_Cry1A-like	major	no	domain1	59.518971493153934	12	1
73	21	BT_Cry1Ai1	none	minor	no	domain3	50.321485237196796	1	1
73	21	BT_Cry1Ai1	BT_Cry1Aa10	major	yes	domain2	-49.75771539589128	1	1
73	21	BT_Cry1Ai1	none	major	yes	domain1	-53.93052157046937	1	1
62	40	BT_Cry1A-like;BT_Cry1Aa10;BT_Cry1Ab12;BT_Cry1Ab2;BT_Cry1Ac39;BT_Cry1Ad1;BT_Cry1Ag1;BT_Cry1Ah2;BT_Cry1Ai1;BT_Cry1Ba1;BT_Cry1Bb1;BT_Cry1Bd1;BT_Cry1Be1;BT_Cry1Bf1;BT_Cry1Bg1;BT_Cry1Bh1;BT_Cry1Bi1;BT_Cry1Bj1;BT_Cry1Cb1;BT_Cry1Eb1;BT_Cry1Fb1;BT_Cry1Ga2;BT_Cry1Gb1;BT_Cry1Ia11;BT_Cry1Ia18;BT_Cry1Ic1;BT_Cry1Id1;BT_Cry1Ie4;BT_Cry1Ja1;BT_Cry1Jb1;BT_Cry1La1;BT_Cry1Ma1;BT_Cry1Na1;BT_Cry1Nb1;BT_Cry9Aa1;BT_Cry9Ba1;BT_Cry9Bb1;BT_Cry9Ca1;BT_Cry9Da1;BT_Cry9Db1;BT_Cry9Dc1;BT_Cry9Ea10;BT_Cry9Eb1;BT_Cry9Ec1;BT_Cry9Ed1;BT_Cry9Ee1;BT_Cry9Fa1;BT_Cry9Ga1;NOV_Cry1Ab12_91.4_AAK14338.1;NOV_Cry1Ab32_92.7_AAK14337.1;NOV_Cry1Ac23_90.7_CAQ03747.1;NOV_Cry1Ad2_87.7_AIW52617.1;NOV_Cry1Da1_84.8_ABK35074.1;NOV_Cry1Ga1_77.9_AX098669.1;NOV_Cry1Ie5_79.3_PQQ47595.1	none	minor	no	domain3	62.52472556906026	55	1
62	40	BT_Cry1Ba1;BT_Cry1Bb1;BT_Cry1Bd1;BT_Cry1Be1;BT_Cry1Bf1;BT_Cry1Bg1;BT_Cry1Bh1;BT_Cry1Bi1;BT_Cry1Bj1;BT_Cry1Ia11;BT_Cry1Ia18;BT_Cry1Ic1;BT_Cry1Id1;BT_Cry1Ie4;BT_Cry1Ig1;BT_Cry1Ka2;BT_Cry1Ma1;NOV_Cry1Ie5_79.3_PQQ47595.1	BT_Cry47Aa1	major	no	domain1	57.377540027459744	18	1
62	40	BT_Cry1Ba1;BT_Cry1Bb1;BT_Cry1Bd1;BT_Cry1Be1;BT_Cry1Bf1;BT_Cry1Bg1;BT_Cry1Bh1;BT_Cry1Bi1;BT_Cry1Bj1;BT_Cry1Ia11;BT_Cry1Ia18;BT_Cry1Ic1;BT_Cry1Id1;BT_Cry1Ie4;BT_Cry1Ig1;BT_Cry1Ka2;BT_Cry1Ma1;NOV_Cry1Ie5_79.3_PQQ47595.1	BT_Cry47Aa1	major	no	domain2	53.66074115025986	18	1
28	5	BT_Cry1Ac39;BT_Cry1Ah2;BT_Cry1Ai1;BT_Cry1Bd1;BT_Cry1Bh1;BT_Cry1Bi1;BT_Cry1Bj1;NOV_Cry1Ac23_90.7_CAQ03747.1	none	minor	no	domain3	80.26126002519753	8	1
28	5	BT_Cry1Ba1;BT_Cry1Bb1;BT_Cry1Bd1;BT_Cry1Be1;BT_Cry1Bf1;BT_Cry1Bh1;BT_Cry1Bj1;BT_Cry1Ka2	BT_Cry1Bg1;BT_Cry1Bi1	major	no	domain1	78.15716132115205	8	2
28	5	BT_Cry1Bb1;BT_Cry1Bd1;BT_Cry1Be1;BT_Cry1Bh1;BT_Cry1Bj1	BT_Cry1Ba1;BT_Cry1Bf1;BT_Cry1Bg1;BT_Cry1Bi1	major	no	domain2	74.69604141687911	5	4
19	11	BT_Cry1Be1;BT_Cry1Bf1;BT_Cry1Bg1	BT_Cry1Eb1	minor	no	domain3	88.7096774193548	3	1
