Assembly,Level,Cry,ID,Prot_accession,Contig_accession
GCA_000161475.1,Chromosome,BT_Cry67Aa2,100,EEM19417.1,CM000746.1
GCA_000161475.1,Chromosome,BT_Cry7Ea2,100,EEM19403.1,CM000746.1
GCA_000161475.1,Chromosome,BT_Cry61Aa3,100,EEM19308.1,CM000746.1
GCA_000161475.1,Chromosome,BT_Cry7Fa2,100,EEM19090.1,CM000746.1
GCA_000161515.1,Chromosome,BT_Cry1Ab1,100,EEM32076.1,CM000748.1
GCA_000161515.1,Chromosome,BT_Cry1Ba1,100,EEM31561.1,CM000748.1
GCA_000161535.1,Chromosome,BT_Cry1Aa13,100,EEM38018.1,CM000749.1
GCA_000161555.1,Chromosome,BT_Cry5Ca1,100,EEM44869.1,CM000750.1
GCA_000161555.1,Chromosome,BT_Cry65Aa2,100,EEM44456.1,CM000750.1
GCA_000161555.1,Chromosome,BT_Cry5Da1,100,EEM44315.1,CM000750.1
GCA_000161555.1,Chromosome,BT_Cry5Ea2,100,EEM44256.1,CM000750.1
GCA_000161575.1,Chromosome,BT_Cry1Ac1,100,EEM50110.1,CM000751.1
GCA_000161595.1,Chromosome,NOV_Cry7Ab4_99.8_EEM55953.1,99.8,EEM55953.1,CM000752.1
GCA_000161615.1,Chromosome,BT_Cry1Ba1,100,EEM62552.1,CM000753.1
GCA_000161615.1,Chromosome,BT_Cry1Ab1,100,EEM62204.1,CM000753.1
GCA_000161635.1,Chromosome,BT_Cry41Ba2,100,EEM68667.1,CM000754.1
GCA_000161635.1,Chromosome,BT_Cry66Aa1,100,EEM68355.1,CM000754.1
GCA_000161695.1,Chromosome,BT_Cry8Ma2,100,EEM86551.1,CM000757.1
GCA_000161715.1,Chromosome,BT_Cry2Ad1,100,EEM93055.1,CM000758.1
GCA_000161715.1,Chromosome,NOV_Cry1Hb1_98.0_AMR88562.1,98,EEM92924.1,CM000758.1
GCA_000161715.1,Chromosome,NOV_Cry1Bb1_99.9_EEM92927.1,99.9,EEM92927.1,CM000758.1
GCA_000161715.1,Chromosome,BT_Cry1Ab18,100,EEM92934.1,CM000758.1
GCA_000161715.1,Chromosome,NOV_Cry1Nb1_99.0_AMR88570.1,99,EEM92941.1,CM000758.1
GCA_000161715.1,Chromosome,BT_Cry1Ja2,100,EEM92947.1,CM000758.1
GCA_000161715.1,Chromosome,BT_Cry1Id1,100,EEM92952.1,CM000758.1
GCA_000161715.1,Chromosome,NOV_Cry1Da3_99.9_AMR88578.1,99.9,EEM92953.1,CM000758.1
GCA_000161715.1,Chromosome,NOV_Cry8Aa1_47.1_EEM92570.1,100,EEM92570.1,CM000758.1
GCA_000161735.1,Chromosome,NOV_Cry10Aa3_99.0_EEM99282.1,99,EEM99282.1,CM000759.1
GCA_000161735.1,Chromosome,NOV_Cry11Aa4_99.0_EEM99034.1,99,EEM99034.1,CM000759.1
GCA_000190515.1,Complete Genome,NOV_Cry26Aa1_95.4_ABB51652.1,95.4,ADY24756.1,CP002509.1
GCA_000190515.1,Complete Genome,NOV_Cry28Aa2_99.7_ADY24870.1,99.7,ADY24870.1,CP002509.1
GCA_000190515.1,Complete Genome,NOV_Cry28Aa2_99.6_ADY25012.1,99.6,ADY25012.1,CP002510.1
GCA_000193355.1,Complete Genome,BT_Cry1Ba1,100,AEA19203.1,CP001908.1
GCA_000193355.1,Complete Genome,BT_Cry2Ab1,100,AEA19603.1,CP001910.1
GCA_000193355.1,Complete Genome,BT_Cry1Aa12,100,AEA19608.1,CP001910.1
GCA_000193355.1,Complete Genome,BT_Cry1Ia10,100,AEA19609.1,CP001910.1
GCA_000193355.1,Complete Genome,BT_Cry2Aa1,100,AEA19615.1,CP001910.1
GCA_000292455.1,Complete Genome,BT_Cry1Aa13,100,AFQ19845.1,CP003755.1
GCA_000292705.1,Complete Genome,BT_Cry4Ba1,100,AFQ30496.1,CP003766.1
GCA_000292705.1,Complete Genome,BT_Cry11Aa1,100,AFQ30505.1,CP003766.1
GCA_000292705.1,Complete Genome,BT_Cry4Aa2,100,AFQ30558.1,CP003766.1
GCA_000292705.1,Complete Genome,BT_Cry10Aa3,100,AFQ30560.1,CP003766.1
