Start,End,DonorLineage,RecipientStrain,log(BF),StrainName,Event_type
1,68,29,3,0.4,BT_Cry12Aa1,recent
307,461,17,3,5.3,BT_Cry12Aa1,recent
462,611,29,3,5,BT_Cry12Aa1,recent
796,812,11,3,17.7,BT_Cry12Aa1,recent
813,820,29,3,4.7,BT_Cry12Aa1,recent
821,825,17,3,7.5,BT_Cry12Aa1,recent
826,839,2,3,11.3,BT_Cry12Aa1,recent
840,881,15,3,2.9,BT_Cry12Aa1,recent
1142,1315,29,3,6.4,BT_Cry12Aa1,recent
1555,1625,27,3,23.9,BT_Cry12Aa1,recent
1751,1812,18,3,3.3,BT_Cry12Aa1,recent
1813,1813,2,3,2,BT_Cry12Aa1,recent
1997,2066,12,3,3.3,BT_Cry12Aa1,recent
2067,2079,16,3,12.1,BT_Cry12Aa1,recent
2080,2084,30,3,1.5,BT_Cry12Aa1,recent
2296,2661,29,3,17.6,BT_Cry12Aa1,recent
2662,2837,19,3,6.5,BT_Cry12Aa1,recent
2838,3034,11,3,7.7,BT_Cry12Aa1,recent
3042,3123,9,3,1.1,BT_Cry12Aa1,recent
3124,3440,29,3,1.3,BT_Cry12Aa1,recent
3624,3721,18,3,0.1,BT_Cry12Aa1,recent
4247,4345,16,3,2.7,BT_Cry12Aa1,recent
4407,4553,5,3,4.8,BT_Cry12Aa1,recent
1,27,28,4,0,BT_Cry13Aa1,recent
77,298,28,4,31.2,BT_Cry13Aa1,recent
477,484,17,4,7.6,BT_Cry13Aa1,recent
645,800,28,4,3.7,BT_Cry13Aa1,recent
1088,1098,28,4,4.9,BT_Cry13Aa1,recent
2771,2803,5,4,6.6,BT_Cry13Aa1,recent
4599,4643,28,4,1,BT_Cry13Aa1,recent
4838,5032,28,4,1,BT_Cry13Aa1,recent
45,174,28,7,11.2,BT_Cry16Aa1,recent
234,247,28,7,12.1,BT_Cry16Aa1,recent
248,272,17,7,0.8,BT_Cry16Aa1,recent
889,1022,21,7,0.4,BT_Cry16Aa1,recent
1023,1044,30,7,3,BT_Cry16Aa1,recent
1108,1137,15,7,11.4,BT_Cry16Aa1,recent
1167,1285,4,7,10,BT_Cry16Aa1,recent
1286,1495,19,7,20.3,BT_Cry16Aa1,recent
1520,1555,28,7,27.5,BT_Cry16Aa1,recent
1652,1751,27,7,1.9,BT_Cry16Aa1,recent
1795,1811,9,7,0.5,BT_Cry16Aa1,recent
1863,2037,28,7,16.3,BT_Cry16Aa1,recent
2277,2312,15,7,0.9,BT_Cry16Aa1,recent
2313,2391,14,7,5.5,BT_Cry16Aa1,recent
2440,2525,27,7,6.3,BT_Cry16Aa1,recent
2526,2715,28,7,5.6,BT_Cry16Aa1,recent
2716,2894,15,7,16.8,BT_Cry16Aa1,recent
2895,3078,18,7,17.3,BT_Cry16Aa1,recent
3079,3161,16,7,5.9,BT_Cry16Aa1,recent
3169,3204,9,7,0.9,BT_Cry16Aa1,recent
3467,3477,15,7,2.8,BT_Cry16Aa1,recent
3528,3553,28,7,1.7,BT_Cry16Aa1,recent
3603,3707,28,7,1.2,BT_Cry16Aa1,recent
4104,4148,30,7,1.8,BT_Cry16Aa1,recent
4149,4222,2,7,4.9,BT_Cry16Aa1,recent
5054,5087,5,7,0.7,BT_Cry16Aa1,recent
1,60,12,8,0.4,BT_Cry17Aa1,recent
1513,1548,28,8,16.8,BT_Cry17Aa1,recent
1549,1555,15,8,11.7,BT_Cry17Aa1,recent
1556,1626,18,8,24.1,BT_Cry17Aa1,recent
1627,1864,28,8,1.6,BT_Cry17Aa1,recent
3018,3129,28,8,3.6,BT_Cry17Aa1,recent
3163,3217,14,8,0.1,BT_Cry17Aa1,recent
3310,3322,1,8,6.1,BT_Cry17Aa1,recent
3407,3634,18,8,0.4,BT_Cry17Aa1,recent
3713,3713,26,8,1.9,BT_Cry17Aa1,recent
3714,3775,25,8,1.5,BT_Cry17Aa1,recent
3776,3852,28,8,1.4,BT_Cry17Aa1,recent
3853,3870,8,8,10.4,BT_Cry17Aa1,recent
3871,3900,7,8,8.9,BT_Cry17Aa1,recent
4035,4101,7,8,0.8,BT_Cry17Aa1,recent
3815,3826,4,11,23.9,BT_Cry18Ca1,recent
5004,5022,15,11,19.8,BT_Cry18Ca1,recent
1,71,14,12,3.9,BT_Cry19Aa1,recent
1813,3548,15,12,7.6,BT_Cry19Aa1,recent
4600,4671,28,12,4,BT_Cry19Aa1,recent
4674,4703,27,12,3.7,BT_Cry19Aa1,recent
4704,4722,14,12,0.3,BT_Cry19Aa1,recent
4723,4795,12,12,4.1,BT_Cry19Aa1,recent
4796,4837,20,12,1.1,BT_Cry19Aa1,recent
1958,1977,29,13,3.6,BT_Cry19Ba1,recent
4399,4406,14,13,1.4,BT_Cry19Ba1,recent
4412,4416,14,13,10.1,BT_Cry19Ba1,recent
4883,5079,24,18,8.8,BT_Cry1Ac39,recent
208,1019,26,21,27.8,BT_Cry1Ah2,recent
4883,5073,24,21,5.9,BT_Cry1Ah2,recent
4883,5073,24,22,7.1,BT_Cry1Ai1,recent
1089,1110,30,23,21.3,NOV_Cry1Ab20_69.9_AAK14339.1,recent
1153,1189,30,23,8.7,NOV_Cry1Ab20_69.9_AAK14339.1,recent
1426,1647,30,23,30,NOV_Cry1Ab20_69.9_AAK14339.1,recent
2055,2082,30,23,35.4,NOV_Cry1Ab20_69.9_AAK14339.1,recent
4155,5014,21,24,3.7,BT_Cry1Ba1,recent
3817,3998,22,26,4.2,BT_Cry1Bd1,recent
4240,4829,22,26,6.2,BT_Cry1Bd1,recent
3817,3996,22,30,2.7,BT_Cry1Bh1,recent
4240,4829,22,30,6,BT_Cry1Bh1,recent
3818,3946,22,31,5.4,BT_Cry1Bi1,recent
4237,4785,22,31,8.8,BT_Cry1Bi1,recent
3810,3946,22,32,6.3,BT_Cry1Bj1,recent
4237,4763,22,32,9.2,BT_Cry1Bj1,recent
4364,4410,30,33,6.2,BT_Cry1Ca11,recent
222,290,22,35,17.5,BT_Cry1Da1,recent
428,1023,22,35,10.6,BT_Cry1Da1,recent
221,655,22,36,12.8,BT_Cry1Db1,recent
823,1034,22,36,2.6,BT_Cry1Db1,recent
222,1135,22,37,24,BT_Cry1Ea10,recent
223,1125,22,38,14.8,BT_Cry1Eb1,recent
1,54,22,39,3.2,BT_Cry1Fa1,recent
1,55,22,40,1.2,BT_Cry1Fb1,recent
3355,3429,30,41,5.8,BT_Cry1Ga2,recent
4065,5043,25,50,2.2,BT_Cry1Ig1,recent
1798,1842,25,55,9.9,BT_Cry1Ka2,recent
2273,2750,29,55,9.2,BT_Cry1Ka2,recent
3969,5079,25,55,0.3,BT_Cry1Ka2,recent
2310,2407,7,56,1.1,BT_Cry1La1,recent
1820,1842,25,57,16.7,BT_Cry1Ma1,recent
2275,2779,29,57,9.6,BT_Cry1Ma1,recent
1,1558,29,58,7.7,BT_Cry1Na1,recent
1,1580,29,59,13.7,BT_Cry1Nb1,recent
3152,3163,21,59,12.2,BT_Cry1Nb1,recent
1925,2308,30,62,11.4,BT_Cry21Aa1,recent
2309,2410,16,62,2.8,BT_Cry21Aa1,recent
2411,2567,29,62,6.3,BT_Cry21Aa1,recent
2776,2940,1,62,6.8,BT_Cry21Aa1,recent
2941,3054,9,62,3.5,BT_Cry21Aa1,recent
4538,4604,17,62,0.7,BT_Cry21Aa1,recent
1914,2241,30,63,23.2,BT_Cry21Ba1,recent
2532,2617,16,63,1.4,BT_Cry21Ba1,recent
2763,3048,9,63,13.3,BT_Cry21Ba1,recent
4537,4606,21,63,0.5,BT_Cry21Ba1,recent
351,476,23,65,3.2,BT_Cry21Da1,recent
1710,1723,21,65,0.4,BT_Cry21Da1,recent
1757,1801,18,65,1.5,BT_Cry21Da1,recent
1802,1834,16,65,13.4,BT_Cry21Da1,recent
2690,3016,30,65,14.7,BT_Cry21Da1,recent
3647,3775,30,65,1.3,BT_Cry21Da1,recent
4383,4413,29,65,4.2,BT_Cry21Da1,recent
4612,4698,20,65,3.7,BT_Cry21Da1,recent
2115,2119,30,66,10.9,BT_Cry21Fa1,recent
2198,2285,30,66,2.7,BT_Cry21Fa1,recent
2518,2673,30,66,7.5,BT_Cry21Fa1,recent
2674,2746,26,66,1.6,BT_Cry21Fa1,recent
2778,2915,1,66,6.2,BT_Cry21Fa1,recent
2929,3050,14,66,5.1,BT_Cry21Fa1,recent
4499,4549,5,66,0.2,BT_Cry21Fa1,recent
4875,4959,12,66,2.5,BT_Cry21Fa1,recent
4960,5082,30,66,5.1,BT_Cry21Fa1,recent
1,55,19,67,0.4,BT_Cry21Ga1,recent
323,437,6,67,4.5,BT_Cry21Ga1,recent
457,580,29,67,5.1,BT_Cry21Ga1,recent
818,871,29,67,15.8,BT_Cry21Ga1,recent
872,872,7,67,1.9,BT_Cry21Ga1,recent
1810,1829,30,67,29.1,BT_Cry21Ga1,recent
1830,1855,18,67,4.2,BT_Cry21Ga1,recent
