Cry	Sector_from	Sector_to	Color
NOV_Cry8Ab1_80.0_AMR06151.1	10	14	#DC143C
NOV_Cry8Ab1_80.0_AMR06151.1	13	14	#556B2F
BT_Cry9Ee1	22	29	#DC143C
BT_Cry9Ee1	28	29	#556B2F
BT_Cry9Ee1	27	29	#556B2F
BT_Cry9Ca1	66	30	#DC143C
BT_Cry9Ca1	25	30	#DC143C
BT_Cry9Ca1	28	30	#DDA0DD
BT_Cry9Ca1	27	30	#DDA0DD
NOV_Cry8Aa1_47.1_EEM92570.1	96	32	#EEE8AA
NOV_Cry8Aa1_47.1_EEM92570.1	65	32	#DC143C
NOV_Cry8Aa1_47.1_EEM92570.1	81	32	#DC143C
NOV_Cry8Aa1_47.1_EEM92570.1	79	32	#DC143C
NOV_Cry8Aa1_47.1_EEM92570.1	365	32	#DC143C
NOV_Cry8Aa1_47.1_EEM92570.1	366	32	#DC143C
NOV_Cry8Aa1_47.1_EEM92570.1	18	32	#DC143C
NOV_Cry8Aa1_47.1_EEM92570.1	91	32	#DC143C
NOV_Cry8Aa1_47.1_EEM92570.1	88	32	#DC143C
NOV_Cry8Aa1_47.1_EEM92570.1	90	32	#DC143C
NOV_Cry8Aa1_47.1_EEM92570.1	89	32	#DC143C
NOV_Cry8Aa1_47.1_EEM92570.1	31	32	#DDA0DD
BT_Cry1Cb1	77	33	#DC143C
BT_Cry1Cb1	76	33	#DC143C
BT_Cry1Cb1	74	33	#DC143C
BT_Cry1Cb1	55	33	#DC143C
BT_Cry1Cb1	34	33	#556B2F
BT_Cry1Db1	38	37	#EEE8AA
BT_Cry1Db1	40	37	#CD853F
BT_Cry1Db1	39	37	#DDA0DD
NOV_Cry1Da1_84.8_ABK35074.1	51	40	#EEE8AA
NOV_Cry1Da1_84.8_ABK35074.1	50	40	#EEE8AA
NOV_Cry1Da1_84.8_ABK35074.1	48	40	#EEE8AA
NOV_Cry1Da1_84.8_ABK35074.1	37	40	#EEE8AA
NOV_Cry1Da1_84.8_ABK35074.1	56	40	#EEE8AA
NOV_Cry1Da1_84.8_ABK35074.1	55	40	#EEE8AA
NOV_Cry1Da1_84.8_ABK35074.1	49	40	#EEE8AA
NOV_Cry1Da1_84.8_ABK35074.1	38	40	#EEE8AA
NOV_Cry1Da1_84.8_ABK35074.1	54	40	#EEE8AA
NOV_Cry1Da1_84.8_ABK35074.1	39	40	#556B2F
NOV_Cry1Da1_84.8_ABK35074.1	45	40	#5F9EA0
NOV_Cry1Da1_84.8_ABK35074.1	52	40	#5F9EA0
NOV_Cry1Da1_84.8_ABK35074.1	44	40	#5F9EA0
NOV_Cry1Da1_84.8_ABK35074.1	43	40	#5F9EA0
NOV_Cry1Da1_84.8_ABK35074.1	47	40	#5F9EA0
NOV_Cry1Da1_84.8_ABK35074.1	53	40	#5F9EA0
NOV_Cry1Da1_84.8_ABK35074.1	42	40	#5F9EA0
NOV_Cry1Da1_84.8_ABK35074.1	41	40	#5F9EA0
NOV_Cry1Da1_84.8_ABK35074.1	46	40	#5F9EA0
BT_Cry1Fa1	81	65	#DC143C
BT_Cry1Fa1	79	65	#DC143C
BT_Cry1Fa1	64	65	#556B2F
BT_Cry1Jd1	69	68	#CD853F
BT_Cry1Jd1	66	68	#556B2F
BT_Cry1Bj1	77	72	black
BT_Cry1Bj1	75	72	#EEE8AA
BT_Cry1Bj1	76	72	#EEE8AA
BT_Cry1Bj1	70	72	#CD853F
BT_Cry1Bj1	45	72	#DC143C
BT_Cry1Bj1	52	72	#DC143C
BT_Cry1Bj1	44	72	#DC143C
BT_Cry1Bj1	43	72	#DC143C
BT_Cry1Bj1	47	72	#DC143C
BT_Cry1Bj1	53	72	#DC143C
BT_Cry1Bj1	64	72	#DC143C
BT_Cry1Bj1	62	72	#DC143C
BT_Cry1Bj1	61	72	#DC143C
BT_Cry1Bj1	82	72	#DC143C
BT_Cry1Bj1	86	72	#DC143C
BT_Cry1Bj1	85	72	#DC143C
BT_Cry1Bj1	80	72	#DC143C
BT_Cry1Bj1	83	72	#DC143C
BT_Cry1Bj1	69	72	#DC143C
BT_Cry1Bj1	87	72	#DC143C
BT_Cry1Bj1	35	72	#DC143C
BT_Cry1Bj1	36	72	#DC143C
BT_Cry1Bj1	124	72	#DC143C
BT_Cry1Bj1	42	72	#DC143C
BT_Cry1Bj1	41	72	#DC143C
BT_Cry1Bj1	46	72	#DC143C
BT_Cry1Bj1	40	72	#DC143C
BT_Cry1Bj1	63	72	#DC143C
BT_Cry1Bj1	84	72	#DC143C
BT_Cry1Bj1	78	72	#DDA0DD
BT_Cry1Be1	72	77	black
BT_Cry1Be1	75	77	#EEE8AA
BT_Cry1Be1	76	77	#EEE8AA
BT_Cry1Be1	70	77	#CD853F
BT_Cry1Be1	45	77	#DC143C
BT_Cry1Be1	52	77	#DC143C
BT_Cry1Be1	44	77	#DC143C
BT_Cry1Be1	43	77	#DC143C
BT_Cry1Be1	47	77	#DC143C
BT_Cry1Be1	53	77	#DC143C
BT_Cry1Be1	64	77	#DC143C
BT_Cry1Be1	62	77	#DC143C
BT_Cry1Be1	61	77	#DC143C
BT_Cry1Be1	82	77	#DC143C
BT_Cry1Be1	86	77	#DC143C
BT_Cry1Be1	85	77	#DC143C
BT_Cry1Be1	80	77	#DC143C
BT_Cry1Be1	83	77	#DC143C
BT_Cry1Be1	69	77	#DC143C
BT_Cry1Be1	87	77	#DC143C
BT_Cry1Be1	35	77	#DC143C
BT_Cry1Be1	36	77	#DC143C
BT_Cry1Be1	124	77	#DC143C
BT_Cry1Be1	42	77	#DC143C
BT_Cry1Be1	41	77	#DC143C
BT_Cry1Be1	46	77	#DC143C
BT_Cry1Be1	40	77	#DC143C
BT_Cry1Be1	63	77	#DC143C
BT_Cry1Be1	84	77	#DC143C
BT_Cry1Be1	78	77	#DDA0DD
BT_Cry1Ig1	86	81	#EEE8AA
BT_Cry1Ig1	85	81	#EEE8AA
BT_Cry1Ig1	83	81	#EEE8AA
BT_Cry1Ig1	84	81	#EEE8AA
BT_Cry1Ig1	79	81	#DC143C
BT_Cry1Ig1	82	81	#556B2F
BT_Cry8Pa1	96	95	#EEE8AA
BT_Cry8Pa1	97	95	#EEE8AA
BT_Cry8Pa1	92	95	#CD853F
BT_Cry8Ja1	359	97	#DC143C
BT_Cry8Ja1	96	97	#556B2F
BT_Cry8Fa2	344	101	#DC143C
BT_Cry8Fa2	100	101	#556B2F
NOV_Cry40Da1_65.0_CAH33957.1	112	113	#EEE8AA
NOV_Cry40Da1_65.0_CAH33957.1	111	113	#CD853F
NOV_Cry40Da1_65.0_CAH33957.1	110	113	#CD853F
NOV_Cry40Da1_65.0_CAH33957.1	109	113	#CD853F
BT_Cry59Ba1	117	120	#EEE8AA
BT_Cry59Ba1	118	120	#EEE8AA
BT_Cry59Ba1	111	120	#EEE8AA
BT_Cry59Ba1	113	120	#EEE8AA
BT_Cry59Ba1	112	120	#EEE8AA
BT_Cry59Ba1	110	120	#EEE8AA
BT_Cry59Ba1	109	120	#EEE8AA
BT_Cry59Ba1	119	120	#DDA0DD
NOV_Cry9Ga1_57.2_PEU81077.1	126	122	#DC143C
NOV_Cry9Ga1_57.2_PEU81077.1	128	122	#DC143C
NOV_Cry9Ga1_57.2_PEU81077.1	127	122	#DC143C
NOV_Cry9Ga1_57.2_PEU81077.1	123	122	#556B2F
BT_Cry9Ga1	62	124	#DC143C
BT_Cry9Ga1	61	124	#DC143C
BT_Cry9Ga1	125	124	#556B2F
BT_Cry24Ca1	117	132	#DC143C
BT_Cry24Ca1	133	132	#556B2F
NOV_Cry69Ab1_58.0_PEU83535.1	138	139	#EEE8AA
NOV_Cry69Ab1_58.0_PEU83535.1	140	139	#DC143C
NOV_Cry69Ab1_58.0_PEU83535.1	141	139	#DC143C
NOV_Cry69Ab1_58.0_PEU83535.1	137	139	#556B2F
BT_Cry65Aa2	145	144	#DC143C
NOV_Cry2Ab4_93.2_AIT70915.1	157	149	#EEE8AA
NOV_Cry2Ab4_93.2_AIT70915.1	151	149	#CD853F
NOV_Cry2Ab4_93.2_AIT70915.1	150	149	#DDA0DD
NOV_Cry2Ab4_93.2_AIT70915.1	152	149	#DDA0DD
BT_Cry2Ai1	159	155	#EEE8AA
BT_Cry2Ai1	154	155	#DDA0DD
BT_Cry13Aa1	174	173	#DC143C
BT_Cry14Ab1	176	175	#EEE8AA
BT_Cry14Ab1	177	175	#DDA0DD
NOV_Cry14Ab1_42.4_PGW46196.1	178	179	#EEE8AA
NOV_Cry14Ab1_42.4_PGW46196.1	180	179	#DDA0DD
NOV_Cry21Aa2_44.6_AZR80772.1	181	200	#DC143C
NOV_Cry21Aa2_44.6_AZR80772.1	182	200	#DC143C
NOV_Cry32Ta1_48.0_AQX37180.1	229	222	#DC143C
NOV_Cry32Ta1_48.0_AQX37180.1	228	222	#DC143C
NOV_Cry32Ta1_48.0_AQX37180.1	223	222	#DC143C
NOV_Cry32Ta1_48.0_AQX37180.1	221	222	#DC143C
NOV_Cry32Ta1_48.0_AQX37180.1	237	222	#DDA0DD
NOV_Cry32Ta1_48.0_AQX37180.1	238	222	#DDA0DD
NOV_Cry32Ta1_48.0_AQX37180.1	218	222	#5F9EA0
BT_Cry32Hb1	229	228	black
BT_Cry32Hb1	223	228	#DC143C
BT_Cry32Hb1	230	228	#556B2F
BT_Cry32Ha1	228	229	black
BT_Cry32Ha1	223	229	#DC143C
BT_Cry32Ha1	230	229	#556B2F
BT_Cry32Wa1	260	246	#DC143C
BT_Cry32Wa1	245	246	#556B2F
BT_Cry32Wa1	244	246	#556B2F
NOV_Cry41Ba2_43.6_BAD35163.1	257	256	#DC143C
NOV_Cry41Ba2_43.6_BAD35163.1	255	256	#556B2F
NOV_Cry19Ba1_74.0_AGV55021.1	268	269	#EEE8AA
NOV_Cry19Ba1_74.0_AGV55021.1	274	269	#CD853F
NOV_Cry19Ba1_74.0_AGV55021.1	267	269	#DDA0DD
BT_Cry52Aa1	116	270	#DC143C
BT_Cry52Aa1	273	270	#556B2F
BT_Cry52Aa1	272	270	#DDA0DD
BT_Cry52Ba1	116	271	#DC143C
BT_Cry52Ba1	273	271	#556B2F
BT_Cry52Ba1	272	271	#DDA0DD
BT_Cry52Ca1	270	272	#EEE8AA
BT_Cry52Ca1	271	272	#EEE8AA
BT_Cry52Ca1	116	272	#DC143C
BT_Cry52Ca1	273	272	#556B2F
BT_Cry19Aa1	267	274	#CD853F
BT_Cry19Aa1	45	274	#DC143C
BT_Cry19Aa1	52	274	#DC143C
BT_Cry19Aa1	44	274	#DC143C
BT_Cry19Aa1	43	274	#DC143C
BT_Cry19Aa1	47	274	#DC143C
BT_Cry19Aa1	53	274	#DC143C
BT_Cry19Aa1	78	274	#DC143C
BT_Cry19Aa1	64	274	#DC143C
BT_Cry19Aa1	62	274	#DC143C
BT_Cry19Aa1	61	274	#DC143C
BT_Cry19Aa1	82	274	#DC143C
BT_Cry19Aa1	86	274	#DC143C
BT_Cry19Aa1	85	274	#DC143C
BT_Cry19Aa1	80	274	#DC143C
BT_Cry19Aa1	83	274	#DC143C
BT_Cry19Aa1	69	274	#DC143C
BT_Cry19Aa1	87	274	#DC143C
BT_Cry19Aa1	124	274	#DC143C
BT_Cry19Aa1	42	274	#DC143C
BT_Cry19Aa1	41	274	#DC143C
BT_Cry19Aa1	46	274	#DC143C
BT_Cry19Aa1	40	274	#DC143C
BT_Cry19Aa1	63	274	#DC143C
BT_Cry19Aa1	84	274	#DC143C
BT_Cry19Aa1	35	274	#5F9EA0
BT_Cry19Aa1	36	274	#5F9EA0
NOV_Cry4Ba1_63.8_OUB35623.1	298	294	black
NOV_Cry4Ba1_63.8_OUB35623.1	296	294	black
NOV_Cry4Ba1_63.8_OUB35623.1	297	294	black
NOV_Cry4Ba1_63.8_OUB35623.1	299	294	black
