Cry,Tox_type
BT_Cry4Ca1,unaffected
BT_Cry54Ab1,unaffected
NOV_Cry4Cb3_34.4_PEA86378.1,unaffected
NOV_Cry30Ga2_64.5_ARJ25665.1,parent
NOV_Cry4Ca2_51.6_AZJ24420.1,unaffected
BT_Cry28Aa2,unaffected
NOV_Cry4Ba1_31.6_AUM94650.1,unaffected
BT_Cry54Ba1,unaffected
NOV_Cry4Ca2_48.4_AZJ24771.1,unaffected
BT_Cry54Aa1,unaffected
NOV_Cry40Aa1_67.9_CQ868314.1,unaffected
BT_Cry72Aa1,parent
BT_Cry71Aa1,recombinant
NOV_Cry7Gb1_28.6_WP_103574454.1,unaffected
BT_Cry59Aa1,parent
BT_Cry59Ba1,recombinant
NOV_Cry4Aa1_32.5_ADM64568.1,unaffected
NOV_Cry48Aa1_36.6_CAH33948.1,unaffected
NOV_Cry48Aa1_36.9_CAH33950.1,unaffected
BT_Cry29Aa1,unaffected
NOV_Cry29Aa1_96.4_OUC03129.1,unaffected
BT_Cry4Aa1,unaffected
NOV_Cry19Ba1_74.0_AGV55021.1,recombinant
BT_Cry4Da1,parent
BT_Cry8Ba1,unaffected
NOV_Cry8Ba1_88.6_AEP25412.1,parent
BT_Cry8Fa2,recombinant
BT_Cry8Ga1,parent
NOV_Cry2Ba1_29.9_AEX63666.1,unaffected
BT_Cry57Ab1,unaffected
BT_Cry57Aa1,unaffected
BT_Cry48Ab1,unaffected
BT_Cry48Aa1,unaffected
NOV_Cry52Ca1_62.9_AZJ24464.1,parent
BT_Cry19Ba1,parent
BT_Cry17Aa1,unaffected
BT_Cry16Aa1,unaffected
NOV_Cry69Ab1_58.0_PER42111.1,recombinant
BT_Cry69Aa1,parent
BT_Cry69Ab1,parent
NOV_Cry69Ab1_59.2_WP_103591619.1,parent
NOV_Cry69Aa2_62.7_WP_103591151.1,parent
NOV_Cry10Aa1_97.2_ABW89735.1,unaffected
NOV_Cry10Aa1_94.4_ABW89736.1,unaffected
NOV_Cry10Aa1_97.0_ABW89733.1,unaffected
BT_Cry30Ba1,unaffected
BT_Cry27Aa1,unaffected
NOV_Cry27Aa1_80.8_AGV55018.1,unaffected
NOV_Cry19Aa1_29.2_PEA88281.1,unaffected
NOV_Cry11Aa1_99.2_AXJ97555.1,unaffected
NOV_Cry11Aa1_95.8_ABW89741.1,unaffected
BT_Cry11Bb1,unaffected
BT_Cry11Ba1,unaffected
NOV_Cry71Aa1_65.9_PER41598.1,parent
BT_Cry39Aa1,unaffected
BT_Cry53Aa1,unaffected
BT_Cry53Ab1,unaffected
BT_Cry43Ba1,unaffected
BT_Cry43Cc1,unaffected
BT_Cry43Ca1,unaffected
BT_Cry43Cb1,unaffected
BT_Cry43Aa1,unaffected
NOV_Cry43Cb1_43.9_PEA91147.1,unaffected
NOV_Cry56Aa2_56.0_AGV55019.1,recombinant
NOV_Cry56Aa4_56.4_PER37538.1,parent
NOV_Cry56Aa4_79.3_WP_103592286.1,parent
BT_Cry56Aa1,parent
NOV_Cry56Aa4_77.6_ARJ25668.1,parent
NOV_Cry73Aa1_40.0_PQQ47537.1,unaffected
BT_Cry18Aa1,unaffected
BT_Cry18Ba1,unaffected
BT_Cry18Ca1,unaffected
BT_Cry2Ab10,parent
BT_Cry2Ag1,parent
BT_Cry2Ab15,parent
BT_Cry2Am1,recombinant
BT_Cry2Ad5,unaffected
BT_Cry2Af1,unaffected
BT_Cry2Aa13,parent
BT_Cry2Ai1,recombinant
BT_Cry2Al1,parent
BT_Cry2Aa3,unaffected
BT_Cry2Ak1,unaffected
BT_Cry2Ah3,unaffected
BT_Cry2Ae1,unaffected
BT_Cry2Ba2,unaffected
NOV_Cry2Ak1_76.8_AX513524.1,unaffected
BT_Cry2Ac10,parent
NOV_Cry68Aa1_46.2_ARJ25655.1,unaffected
NOV_Cry70Aa1_77.7_WP_098222608.1,unaffected
BT_Cry70Aa1,unaffected
BT_Cry70Ba1,unaffected
BT_Cry70Bb1,unaffected
NOV_Cry70Bb1_67.1_OUB77817.1,unaffected
NOV_Cry65Aa2_55.6_PDY37670.1,parent
BT_Cry65Aa2,recombinant
NOV_Cry1Jc1_99.1_AAS93799.1,unaffected
BT_Cry1Jd1,recombinant
BT_Cry8Ka1,unaffected
BT_Cry8Ka3,unaffected
BT_Cry8Na1,unaffected
NOV_Cry8Ma2_96.0_WP_103622989.1,unaffected
NOV_Cry8Ma3_96.0_ATY50149.1,unaffected
BT_Cry8Bb1,unaffected
BT_Cry7Cb1,recombinant
NOV_Cry7Cb1_60.4_OTY00887.1,parent
BT_Cry8Sa1,unaffected
BT_Cry8La1,unaffected
BT_Cry8Ia3,unaffected
BT_Cry8Ib1,unaffected
BT_Cry8Ta1,unaffected
NOV_Cry8Ja1_60.3_PEE68563.1,unaffected
BT_Cry8Ca1,parent
BT_Cry8Ja1,both
NOV_Cry8Kb1_73.3_APT36283.1,unaffected
BT_Cry32Cb1,unaffected
BT_Cry32Ca1,unaffected
BT_Cry62Aa1,unaffected
BT_Cry21Ga1,unaffected
NOV_Cry1Ie2_23.3_ATF15267.1,unaffected
BT_Cry63Aa1,unaffected
NOV_Cry5Ba1_27.2_AZR80678.1,unaffected
BT_Cry21Ha1,unaffected
NOV_Cry1Ia24_22.2_CAP40039.1,unaffected
BT_Cry40Da1,parent
NOV_Cry40Da1_66.9_PER55269.1,parent
NOV_Cry40Da1_81.5_AIN76756.1,parent
NOV_Cry40Da1_77.3_ARJ25823.1,parent
BT_Cry40Ca1,parent
NOV_Cry40Da1_65.0_CAH33957.1,both
BT_Cry24Da1,parent
BT_Cry44Aa1,unaffected
BT_Cry52Ba1,both
BT_Cry52Aa1,both
BT_Cry52Ca1,both
BT_Cry40Aa1,parent
NOV_Cry53Aa1_40.7_WP_103591149.1,unaffected
NOV_Cry53Ab1_40.9_APA45008.1,unaffected
