Rec	Min_par	Maj_par	Unknown_flag	Type	start	stop	d1_start	d1_stop	d2_start	d2_stop	d3_start	d3_stop	Pval	rec_tree_cons:f|1|2|3	min_tree_cons	maj_tree_cons	rec_a	rec_1	rec_2	rec_3	min_a	min_1	min_2	min_3	maj_a	maj_1	maj_2	maj_3	r_min_a	r_min_1	r_min_2	r_min_3	r_min_1_pair	r_min_2_pair	r_min_3_pair	r_maj_a	r_maj_1	r_maj_2	r_maj_3	r_maj_1_pair	r_maj_2_pair	r_maj_3_pair	max_min_a	max_min_1	max_min_2	max_min_3	max_min_1_pair	max_min_2_pair	max_min_3_pair
BT_Cry8Ja1	BT_Cry8Ca1	BT_Cry8Ea2	no	domain3	1258	1714	1	598	622	1234	1276	1714	6.66117351324255e-96	100;100;100;100	100;100;100;100	100;100;100;100	100	100	100	100	100	100	100	100	100	100	100	100	70.22761415644763	59.5744680851064	51.1083743842365	100.0	59.57 (BT_Cry8Ca1|BT_Cry8Ja1)	51.11 (BT_Cry8Ca1|BT_Cry8Ja1)	100.0 (BT_Cry8Ca1|BT_Cry8Ja1)	82.6633024950939	100.0	99.0243902439024	48.9655172413793	100.0 (BT_Cry8Ea2|BT_Cry8Ja1)	99.02 (BT_Cry8Ea2|BT_Cry8Ja1)	48.97 (BT_Cry8Ea2|BT_Cry8Ja1)	53.154164850525966	59.5744680851064	50.9225092250922	48.9655172413793	59.57 (BT_Cry8Ca1|BT_Cry8Ea2)	50.92 (BT_Cry8Ca1|BT_Cry8Ea2)	48.97 (BT_Cry8Ca1|BT_Cry8Ea2)
BT_Cry1Ac39;BT_Cry1Aa10;BT_Cry1Ab12;BT_Cry1Ab2;BT_Cry1Ad1;BT_Cry1Ag1;BT_Cry1Ai1;NOV_Cry1Ab12_91.4_AAK14338.1;NOV_Cry1Ab32_92.7_AAK14337.1;NOV_Cry1Ac23_90.7_CAQ03747.1	NOV_Cry1Ea10_93.2_AAX86871.1;BT_Cry1Aa10;BT_Cry1Ag1;NOV_Cry1Ab32_92.7_AAK14337.1	BT_Cry1Ah2	no	domain1	1	489	1	604	628	1234	1264	1678	6.69632611551971e-106	76.92;71.43;76.92;3.97	76.92;71.43;76.92;3.97	100;100;100;100	79.89697394838926	88.81159856771514	77.71693479952815	73.16238847792451	77.323299595729	93.95495719553278	63.684873876051	74.3300677156032	100	100	100	100	76.51157131469091	90.20530744599989	69.2670588909794	70.06234760709346	99.34 (BT_Cry1Aa10|BT_Cry1Ai1)	97.68 (BT_Cry1Aa10|BT_Cry1Ai1)	100.0 (BT_Cry1Ab12|NOV_Cry1Ab32_92.7_AAK14337.1)	70.88000549925047	65.99008988184491	81.93748011685497	64.71244649905152	70.34 (BT_Cry1Ad1|BT_Cry1Ah2)	96.59 (BT_Cry1Ac39|BT_Cry1Ah2)	100.0 (BT_Cry1Ah2|BT_Cry1Ai1)	61.89861648009683	66.30287630914238	68.9230929822188	50.4698801489293	68.2 (BT_Cry1Ah2|NOV_Cry1Ab32_92.7_AAK14337.1)	88.68 (BT_Cry1Ah2|NOV_Cry1Ab32_92.7_AAK14337.1)	50.83 (BT_Cry1Ah2|NOV_Cry1Ea10_93.2_AAX86871.1)
NOV_Cry1Da1_84.8_ABK35074.1	BT_Cry1A-like;NOV_Cry1Ad2_87.7_AIW52617.1	BT_Cry1Da1;BT_Cry1Db1;NOV_Cry1Da1_83.2_AIW52615.1	no	domain3	1292	1636	1	601	625	1201	1228	1639	5.00736297597416e-78	100;100;100;100	25.0;25.0;50.0;10.0	25.0;25.0;50.0;10.0	100	100	100	100	65.95170694445507	47.2644376899696	56.9364161849711	93.6542669584245	78.16528101478376	78.91364355779096	75.47878609742267	80.10341338913763	61.55410943905564	52.14343271555195	48.75099127676445	83.7679043248505	57.25 (NOV_Cry1Ad2_87.7_AIW52617.1|NOV_Cry1Da1_84.8_ABK35074.1)	50.39 (NOV_Cry1Ad2_87.7_AIW52617.1|NOV_Cry1Da1_84.8_ABK35074.1)	85.62 (BT_Cry1A-like|NOV_Cry1Da1_84.8_ABK35074.1)	68.95341286444365	65.22588555787753	82.89169767310587	58.74265536234757	69.44 (BT_Cry1Da1|NOV_Cry1Da1_84.8_ABK35074.1)	94.59 (BT_Cry1Da1|NOV_Cry1Da1_84.8_ABK35074.1)	58.86 (BT_Cry1Db1|NOV_Cry1Da1_84.8_ABK35074.1)	51.8316782475916	53.41038673081678	48.93365159085023	53.15099642110777	58.89 (BT_Cry1Da1|NOV_Cry1Ad2_87.7_AIW52617.1)	50.39 (BT_Cry1Db1|NOV_Cry1Ad2_87.7_AIW52617.1)	54.7 (BT_Cry1A-like|NOV_Cry1Da1_83.2_AIW52615.1)
NOV_Cry7Ba1_84.3_AFI42043.1	BT_Cry7Ac1	BT_Cry7Ba1	no	domain3	1391	1711	1	598	628	1264	1288	1711	1.56635601892342e-73	100;100;100;100	100;100;100;100	100;100;100;100	100	100	100	100	100	100	100	100	100	100	100	100	64.25026258619823	55.46875	50.3640776699029	86.9179600886918	55.47 (BT_Cry7Ac1|NOV_Cry7Ba1_84.3_AFI42043.1)	50.36 (BT_Cry7Ac1|NOV_Cry7Ba1_84.3_AFI42043.1)	86.92 (BT_Cry7Ac1|NOV_Cry7Ba1_84.3_AFI42043.1)	78.38955713225434	88.9240506329114	87.7218934911243	58.5227272727273	88.92 (BT_Cry7Ba1|NOV_Cry7Ba1_84.3_AFI42043.1)	87.72 (BT_Cry7Ba1|NOV_Cry7Ba1_84.3_AFI42043.1)	58.52 (BT_Cry7Ba1|NOV_Cry7Ba1_84.3_AFI42043.1)	54.42845522471384	56.6929133858268	51.2851897184823	55.3072625698324	56.69 (BT_Cry7Ac1|BT_Cry7Ba1)	51.29 (BT_Cry7Ac1|BT_Cry7Ba1)	55.31 (BT_Cry7Ac1|BT_Cry7Ba1)
BT_Cry1Bb1	BT_Cry1Ja1	BT_Cry1Bd1;BT_Cry1Bh1;BT_Cry1Bj1	no	domain3	1304	1699	1	604	628	1264	1294	1699	3.62097223861279e-71	100;100;100;100	100;100;100;100	11.11;50.0;50.0;50.0	100	100	100	100	100	100	100	100	81.08083721363602	79.70819681345996	77.72168291387267	85.81263191357543	60.2286192730614	53.2401524777637	49.8141263940521	77.6315789473684	53.24 (BT_Cry1Bb1|BT_Cry1Ja1)	49.81 (BT_Cry1Bb1|BT_Cry1Ja1)	77.63 (BT_Cry1Bb1|BT_Cry1Ja1)	75.93182621822609	89.1913641913642	85.04388101305703	53.56023345025703	100.0 (BT_Cry1Bb1|BT_Cry1Bd1)	99.69 (BT_Cry1Bb1|BT_Cry1Bd1)	54.24 (BT_Cry1Bb1|BT_Cry1Bd1)	52.15963311616948	52.981191510331904	49.93819760326237	53.55951023491417	53.24 (BT_Cry1Bd1|BT_Cry1Ja1)	50.19 (BT_Cry1Bh1|BT_Cry1Ja1)	53.95 (BT_Cry1Bd1|BT_Cry1Ja1)
BT_Cry1Bj1;BT_Cry1Bd1;BT_Cry1Bh1	BT_Cry1Ah2	BT_Cry1Be1;BT_Cry1Bf1;BT_Cry1Bg1	no	domain3	1276	1699	1	604	628	1258	1282	1699	7.02839897405829e-70	37.5;30.0;60.0;37.5	100;100;100;100	37.5;30.0;60.0;37.5	81.08083721363602	79.70819681345996	77.72168291387267	85.81263191357543	100	100	100	100	87.05640935795489	86.2777945350627	74.89143353880196	100.0	61.54885822270498	53.957670024531566	50.427644618385834	80.26126002519753	54.22 (BT_Cry1Ah2|BT_Cry1Bd1)	51.1 (BT_Cry1Ah2|BT_Cry1Bd1)	84.51 (BT_Cry1Ah2|BT_Cry1Bj1)	68.23047934404961	78.15716132115205	74.69604141687911	51.838235294117666	91.13 (BT_Cry1Be1|BT_Cry1Bj1)	99.05 (BT_Cry1Be1|BT_Cry1Bj1)	52.21 (BT_Cry1Be1|BT_Cry1Bj1)	51.88499089524355	53.04683362091453	50.1219512195122	52.4861878453039	53.44 (BT_Cry1Ah2|BT_Cry1Be1)	50.37 (BT_Cry1Ah2|BT_Cry1Be1)	52.49 (BT_Cry1Ah2|BT_Cry1Be1)
BT_Cry24Ca1	BT_Cry40Ba1	BT_Cry24Da1	no	domain3	1369	1732	1	634	658	1306	1333	1732	3.75861913117583e-66	100;100;100;100	100;100;100;100	100;100;100;100	100	100	100	100	100	100	100	100	100	100	100	100	65.0834173177972	52.6881720430108	51.4563106796116	91.1057692307692	52.69 (BT_Cry24Ca1|BT_Cry40Ba1)	51.46 (BT_Cry24Ca1|BT_Cry40Ba1)	91.11 (BT_Cry24Ca1|BT_Cry40Ba1)	76.29922157024794	87.0014771048745	86.7435158501441	55.1526717557252	87.0 (BT_Cry24Ca1|BT_Cry24Da1)	86.74 (BT_Cry24Ca1|BT_Cry24Da1)	55.15 (BT_Cry24Ca1|BT_Cry24Da1)	52.50556966888343	52.6881720430108	50.5428226779252	54.2857142857143	52.69 (BT_Cry24Da1|BT_Cry40Ba1)	50.54 (BT_Cry24Da1|BT_Cry40Ba1)	54.29 (BT_Cry24Da1|BT_Cry40Ba1)
BT_Cry1Ah2;BT_Cry1Ac39;NOV_Cry1Ac23_90.7_CAQ03747.1	NOV_Cry1Ad2_87.7_AIW52617.1	BT_Cry1A-like	minor	domain3	1243	1672	1	604	628	1231	1255	1672	1.54242440468008e-65	100.0;18.75;100.0;75.0	100;100;100;100	100;100;100;100	86.67745049758324	67.42841609278727	95.90739663824877	96.69653876171367	100	100	100	100	100	100	100	100	62.422932262952784	70.63812157409993	66.717631207729	49.913044007029434	92.04 (BT_Cry1Ah2|NOV_Cry1Ad2_87.7_AIW52617.1)	67.46 (BT_Cry1Ah2|NOV_Cry1Ad2_87.7_AIW52617.1)	50.26 (BT_Cry1Ah2|NOV_Cry1Ad2_87.7_AIW52617.1)	59.8409533237895	59.518971493153934	69.65301074525324	50.35087773296133	70.33 (BT_Cry1A-like|NOV_Cry1Ac23_90.7_CAQ03747.1)	71.23 (BT_Cry1A-like|BT_Cry1Ac39)	50.53 (BT_Cry1A-like|BT_Cry1Ah2)	65.95170694445507	47.2644376899696	56.9364161849711	93.6542669584245	47.26 (BT_Cry1A-like|NOV_Cry1Ad2_87.7_AIW52617.1)	56.94 (BT_Cry1A-like|NOV_Cry1Ad2_87.7_AIW52617.1)	93.65 (BT_Cry1A-like|NOV_Cry1Ad2_87.7_AIW52617.1)
BT_Cry71Aa1	BT_Cry72Aa1	NOV_Cry71Aa1_65.9_PEU78325.1	no	domain3	1370	1774	1	601	625	1276	1306	1774	1.59387043178865e-65	100;100;100;100	100;100;100;100	100;100;100;100	100	100	100	100	100	100	100	100	100	100	100	100	61.223888117311034	52.3316062176166	49.4687131050767	81.8713450292398	52.33 (BT_Cry71Aa1|BT_Cry72Aa1)	49.47 (BT_Cry71Aa1|BT_Cry72Aa1)	81.87 (BT_Cry71Aa1|BT_Cry72Aa1)	68.5165463156887	68.5240963855422	85.734664764622	51.2908777969019	68.52 (BT_Cry71Aa1|NOV_Cry71Aa1_65.9_PEU78325.1)	85.73 (BT_Cry71Aa1|NOV_Cry71Aa1_65.9_PEU78325.1)	51.29 (BT_Cry71Aa1|NOV_Cry71Aa1_65.9_PEU78325.1)	50.184149755333266	50.8264462809917	49.4687131050767	50.2572898799314	50.83 (BT_Cry72Aa1|NOV_Cry71Aa1_65.9_PEU78325.1)	49.47 (BT_Cry72Aa1|NOV_Cry71Aa1_65.9_PEU78325.1)	50.26 (BT_Cry72Aa1|NOV_Cry71Aa1_65.9_PEU78325.1)
BT_Cry1Ja1	BT_Cry1Fb1	BT_Cry1Jd1;NOV_Cry1Jc1_99.1_AAS93799.1	no	domain3	1253	1636	1	604	628	1201	1231	1636	5.48805453968244e-63	100;100;100;100	100;100;100;100	25.0;25.0;50.0;50.0	100	100	100	100	100	100	100	100	80.59100536252407	94.8303715670436	89.3155258764608	57.6271186440678	67.23467202169026	59.946949602122	51.1688311688312	90.5882352941176	59.95 (BT_Cry1Fb1|BT_Cry1Ja1)	51.17 (BT_Cry1Fb1|BT_Cry1Ja1)	90.59 (BT_Cry1Fb1|BT_Cry1Ja1)	70.33372930720135	81.63021363750805	78.26699335377569	51.103980930320304	82.45 (BT_Cry1Ja1|BT_Cry1Jd1)	78.96 (BT_Cry1Ja1|NOV_Cry1Jc1_99.1_AAS93799.1)	51.66 (BT_Cry1Ja1|NOV_Cry1Jc1_99.1_AAS93799.1)	53.47073225749437	58.26798910862615	51.8704850361197	50.27372262773725	58.48 (BT_Cry1Fb1|BT_Cry1Jd1)	52.37 (BT_Cry1Fb1|NOV_Cry1Jc1_99.1_AAS93799.1)	50.55 (BT_Cry1Fb1|BT_Cry1Jd1)
