Group	Accession	Num	Dataset	Mode
ref_no_rec	BGSC 4AW1	7	Strains	soft
ref_no_rec	FBG25	1	Strains	strict
ref_no_rec	BtMC28	7	Strains	soft
ref_no_rec	FBG25	1	Strains	soft
ref_no_rec	ARP239	1	Strains	strict
ref_no_rec	HYD-3	1	Strains	strict
ref_no_rec	ARP239	1	Strains	soft
ref_no_rec	HYD-3	1	Strains	soft
ref_no_rec	LTS-290	1	Strains	strict
ref_no_rec	LTS-290	1	Strains	soft
ref_no_rec	XL6	7	Strains	soft
ref_no_rec	Sbt009	4	Strains	soft
ref_no_rec	HD868	4	Strains	soft
ref_no_rec	GCA_000161475.1	4	Assemblies	soft
ref_no_rec	GCA_000774075.2	6	Assemblies	soft
ref_no_rec	GCA_000774075.2	6	Assemblies	soft
ref_no_rec	ARP011	1	Strains	strict
ref_no_rec	ARP011	1	Strains	soft
ref_no_rec	ATX 13026	11	Strains	soft
ref_no_rec	1218	2	Strains	strict
ref_no_rec	1218	2	Strains	soft
ref_no_rec	BGSC 4BR1	2	Strains	soft
ref_no_rec	NB176	1	Strains	soft
ref_no_rec	VKPM B-3276	1	Strains	soft
ref_no_rec	INTA Mo4-4	1	Strains	soft
ref_no_rec	Bt22	1	Strains	soft
ref_no_rec	4K5	1	Strains	soft
ref_no_rec	BGSC 4AA1	2	Strains	soft
ref_no_rec	EG2158	1	Strains	soft
ref_no_rec	NB176	1	Strains	soft
ref_no_rec	YM-03	1	Strains	soft
ref_no_rec	886	1	Strains	soft
ref_no_rec	Mm2	1	Strains	soft
ref_no_rec	UTD-001	1	Strains	soft
ref_no_rec	GCA_002146785.1	2	Assemblies	soft
ref_no_rec	GCA_003719805.1	1	Assemblies	soft
ref_no_rec	F14-1	1	Strains	strict
ref_no_rec	GCA_004368515.1	1	Assemblies	strict
ref_no_rec	F14-1	1	Strains	soft
ref_no_rec	GCA_004368515.1	1	Assemblies	soft
ref_no_rec	4S3	2	Strains	strict
ref_no_rec	HD521	3	Strains	strict
ref_no_rec	BTIPP003	2	Strains	strict
ref_no_rec	ARP103	1	Strains	strict
ref_no_rec	GCA_001183785.1	3	Assemblies	strict
ref_no_rec	4S3	2	Strains	soft
ref_no_rec	HD521	3	Strains	soft
ref_no_rec	BTIPP003	2	Strains	soft
ref_no_rec	ARP103	1	Strains	soft
ref_no_rec	GCA_001183785.1	3	Assemblies	soft
ref_no_rec	BTy41	6	Strains	soft
ref_no_rec	SK700	3	Strains	soft
ref_no_rec	Mfbjulcb3	1	Strains	strict
ref_no_rec	AM1195	1	Strains	strict
ref_no_rec	AM370	1	Strains	strict
ref_no_rec	Mfbjulcb3	1	Strains	soft
ref_no_rec	AM1195	1	Strains	soft
ref_no_rec	AM370	1	Strains	soft
ref_no_rec	ARP114	1	Strains	strict
ref_no_rec	ARP114	1	Strains	soft
ref_no_rec	AFS099341	1	Strains	strict
ref_no_rec	GCA_002552915.1	1	Assemblies	strict
ref_no_rec	AFS099341	1	Strains	soft
ref_no_rec	GCA_002552915.1	1	Assemblies	soft
ref_no_rec	ARP050	1	Strains	strict
ref_no_rec	ARP050	1	Strains	soft
ref_no_rec	LBIT-597	1	Strains	strict
ref_no_rec	S811	1	Strains	strict
ref_no_rec	QHW7-2	2	Strains	soft
ref_no_rec	LBIT-597	1	Strains	soft
ref_no_rec	S811	1	Strains	soft
ref_no_rec	CAA890	1	Strains	strict
ref_no_rec	CAA890	1	Strains	soft
ref_no_rec	ARP171	1	Strains	strict
ref_no_rec	BGSC 4BP1	3	Strains	soft
ref_no_rec	ARP171	1	Strains	soft
ref_no_rec	GCA_002146755.1	3	Assemblies	soft
ref_no_rec	ARP052	1	Strains	strict
ref_no_rec	ARP052	1	Strains	soft
ref_no_rec	DAB-Bt6	4	Strains	soft
ref_no_rec	mogi K4	5	Strains	soft
ref_no_rec	IBL 4222	2	Strains	strict
ref_no_rec	4H5	2	Strains	strict
ref_no_rec	147	2	Strains	strict
ref_no_rec	Root11	2	Strains	strict
ref_no_rec	BB56-3	3	Strains	strict
ref_no_rec	BRC-LLP29	3	Strains	strict
ref_no_rec	Root131	2	Strains	strict
ref_no_rec	18_483	2	Strains	strict
ref_no_rec	AG102	2	Strains	strict
ref_no_rec	BS-pTAND672-2	2	Strains	strict
ref_no_rec	DE0030	2	Strains	strict
ref_no_rec	18_484	2	Strains	strict
ref_no_rec	GPL-O901	2	Strains	strict
ref_no_rec	TAND672	2	Strains	strict
ref_no_rec	IBL 4222	2	Strains	strict
ref_no_rec	GCA_000161735.1	2	Assemblies	strict
ref_no_rec	DAB-Bt2	3	Strains	soft
ref_no_rec	BR58	3	Strains	soft
ref_no_rec	AM65-52	4	Strains	soft
ref_no_rec	HD-789	4	Strains	soft
ref_no_rec	T0139	4	Strains	soft
ref_no_rec	T0131	4	Strains	soft
ref_no_rec	T0137	4	Strains	soft
ref_no_rec	JW-1	4	Strains	soft
ref_no_rec	BT-59	4	Strains	soft
ref_no_rec	KNU-26	4	Strains	soft
ref_no_rec	1.24	4	Strains	soft
ref_no_rec	FDAARGOS_796	4	Strains	soft
ref_no_rec	BMP144	4	Strains	soft
ref_no_rec	IBL00427	4	Strains	soft
ref_no_rec	Bti	4	Strains	soft
ref_no_rec	AK8	4	Strains	soft
ref_no_rec	BGSC 4AX1	4	Strains	soft
ref_no_rec	HD522	4	Strains	soft
ref_no_rec	IBL 4222	2	Strains	soft
ref_no_rec	4H5	2	Strains	soft
ref_no_rec	147	2	Strains	soft
ref_no_rec	Root11	2	Strains	soft
ref_no_rec	BB56-3	3	Strains	soft
ref_no_rec	BRC-LLP29	3	Strains	soft
ref_no_rec	Root131	2	Strains	soft
ref_no_rec	18_483	2	Strains	soft
ref_no_rec	AG102	2	Strains	soft
ref_no_rec	BS-pTAND672-2	2	Strains	soft
ref_no_rec	DE0030	2	Strains	soft
ref_no_rec	18_484	2	Strains	soft
ref_no_rec	GPL-O901	2	Strains	soft
ref_no_rec	BGSC 4Q1	3	Strains	soft
ref_no_rec	TAND672	2	Strains	soft
ref_no_rec	1.24	4	Strains	soft
ref_no_rec	HD522	4	Strains	soft
ref_no_rec	IBL 4222	2	Strains	soft
ref_no_rec	DAB-Bt3	4	Strains	soft
ref_no_rec	DAB-Bt5	4	Strains	soft
ref_no_rec	DAB-Bt4	4	Strains	soft
ref_no_rec	DAB-Bt1	3	Strains	soft
ref_no_rec	BGSC 4Q1	3	Strains	soft
ref_no_rec	GCA_000161735.1	2	Assemblies	soft
ref_no_rec	GCA_000292705.1	4	Assemblies	soft
ref_no_rec	GCA_001402735.1	3	Assemblies	soft
ref_no_rec	GCA_002146615.1	4	Assemblies	soft
ref_no_rec	GCA_004194435.2	4	Assemblies	soft
ref_no_rec	GCA_004354265.1	4	Assemblies	soft
ref_no_rec	ARP012	1	Strains	strict
ref_no_rec	BGSC 4BP1	3	Strains	soft
ref_no_rec	ARP012	1	Strains	soft
ref_no_rec	GCA_002146755.1	3	Assemblies	soft
ref_no_rec	ARP112	1	Strains	strict
ref_no_rec	Sbt011	1	Strains	strict
ref_no_rec	BGSC 4BC1	2	Strains	soft
ref_no_rec	SCG04-02	2	Strains	soft
ref_no_rec	BGSC 4BG1	2	Strains	soft
ref_no_rec	BGSC 4BB1	2	Strains	soft
ref_no_rec	BGSC 4AL1	2	Strains	soft
ref_no_rec	ARP112	1	Strains	soft
ref_no_rec	BGSC 4BT1	2	Strains	soft
ref_no_rec	SCG04-02	2	Strains	soft
ref_no_rec	Sbt011	1	Strains	soft
ref_no_rec	GCA_002146505.1	2	Assemblies	soft
ref_no_rec	GCA_002146605.1	2	Assemblies	soft
ref_no_rec	GCA_002146655.1	2	Assemblies	soft
ref_no_rec	GCA_002146815.1	2	Assemblies	soft
ref_no_rec	GCA_002147025.1	2	Assemblies	soft
ref_no_rec	GCA_002173755.1	2	Assemblies	soft
ref_no_rec	DB27	3	Strains	strict
ref_no_rec	GCA_000530375.1	2	Assemblies	strict
ref_no_rec	DB27	3	Strains	soft
ref_no_rec	BGSC 4AA1	2	Strains	soft
ref_no_rec	GCA_000530375.1	2	Assemblies	soft
ref_no_rec	GS27	1	Strains	strict
ref_no_rec	SC6H8	5	Strains	soft
ref_no_rec	GS27	1	Strains	soft
ref_no_rec	K1	3	Strains	soft
ref_no_rec	SC6H8	5	Strains	soft
ref_no_rec	C006	1	Strains	soft
ref_no_rec	K1	3	Strains	soft
ref_no_rec	Bt18247	1	Strains	strict
ref_no_rec	GCA_001721165.1	1	Assemblies	strict
ref_no_rec	Bt18247	1	Strains	soft
ref_no_rec	GCA_001721165.1	1	Assemblies	soft
ref_no_rec	C15	5	Strains	soft
ref_no_rec	GCA_003991175.1	5	Assemblies	soft
ref_no_rec	BtPGI245	1	Strains	strict
ref_no_rec	BtPGI245	1	Strains	soft
ref_no_rec	ARP140	1	Strains	strict
ref_no_rec	HD521	3	Strains	strict
ref_no_rec	BTIPP003	2	Strains	strict
ref_no_rec	LH-2	1	Strains	strict
ref_no_rec	GCA_001183785.1	3	Assemblies	strict
ref_no_rec	ARP140	1	Strains	soft
ref_no_rec	HD521	3	Strains	soft
ref_no_rec	BTIPP003	2	Strains	soft
ref_no_rec	LH-2	1	Strains	soft
ref_no_rec	GCA_001183785.1	3	Assemblies	soft
ref_no_rec	BGSC 4BD1	1	Strains	strict
ref_no_rec	F4	2	Strains	strict
ref_no_rec	BGSC 4BD1	1	Strains	soft
ref_no_rec	F4	2	Strains	soft
ref_no_rec	ARP262	1	Strains	strict
ref_no_rec	ARP262	1	Strains	soft
ref_no_rec	HS18-1	10	Strains	soft
ref_no_rec	S2160-1	7	Strains	soft
ref_no_rec	HS18-1	10	Strains	soft
ref_no_rec	GCA_001182785.1	9	Assemblies	soft
ref_no_rec	O-V84.2	3	Strains	strict
ref_no_rec	O-V84.2	3	Strains	soft
ref_no_rec	AFS089089	3	Strains	strict
ref_no_rec	GCA_002551615.1	3	Assemblies	strict
ref_no_rec	AFS089089	3	Strains	soft
ref_no_rec	GCA_002551615.1	3	Assemblies	soft
ref_no_rec	C15	5	Strains	soft
ref_no_rec	GCA_003991175.1	5	Assemblies	soft
ref_no_rec	dakota	2	Strains	strict
ref_no_rec	dakota	2	Strains	soft
ref_no_rec	ARP227	1	Strains	strict
ref_no_rec	ARP227	1	Strains	soft
ref_no_rec	JF21-1	1	Strains	strict
ref_no_rec	JF21-1	1	Strains	soft
ref_no_rec	ATX 13026	11	Strains	soft
ref_no_rec	BA04	2	Strains	soft
ref_no_rec	GCA_002969075.1	2	Assemblies	soft
ref_no_rec	4S3	2	Strains	strict
ref_no_rec	HD521	3	Strains	strict
ref_no_rec	HD521	3	Strains	strict
ref_no_rec	HD521	3	Strains	strict
ref_no_rec	ARP162	1	Strains	strict
ref_no_rec	GCA_001183785.1	3	Assemblies	strict
ref_no_rec	4S3	2	Strains	soft
ref_no_rec	HD521	3	Strains	soft
ref_no_rec	HD521	3	Strains	soft
ref_no_rec	HD521	3	Strains	soft
ref_no_rec	ARP162	1	Strains	soft
ref_no_rec	GCA_001183785.1	3	Assemblies	soft
ref_no_rec	S976	1	Strains	strict
ref_no_rec	LBIT-976	1	Strains	strict
ref_no_rec	ARP192	1	Strains	strict
ref_no_rec	S976	1	Strains	soft
ref_no_rec	LBIT-976	1	Strains	soft
ref_no_rec	BGSC 4AU1	2	Strains	soft
ref_no_rec	ARP192	1	Strains	soft
ref_no_rec	higo	4	Strains	soft
ref_no_rec	GCA_002147895.1	2	Assemblies	soft
ref_no_rec	dakota	2	Strains	strict
ref_no_rec	dakota	2	Strains	soft
ref_no_rec	BGSC 4BZ1	1	Strains	strict
ref_no_rec	G25-6	1	Strains	strict
ref_no_rec	Sbt053	2	Strains	strict
ref_no_rec	GCA_002148065.1	1	Assemblies	strict
ref_no_rec	BGSC 4BZ1	1	Strains	soft
ref_no_rec	G25-6	1	Strains	soft
ref_no_rec	Sbt053	2	Strains	soft
ref_no_rec	GCA_002148065.1	1	Assemblies	soft
ref_no_rec	ARP055	1	Strains	strict
ref_no_rec	ARP055	1	Strains	soft
ref_no_rec	ARP252	1	Strains	strict
ref_no_rec	ARP252	1	Strains	soft
ref_no_rec	LBIT-979	1	Strains	strict
ref_no_rec	LBIT-979	1	Strains	soft
ref_no_rec	PS50C(b)	1	Strains	strict
ref_no_rec	BGSC 4BU1	1	Strains	strict
ref_no_rec	GCA_002147955.1	1	Assemblies	strict
ref_no_rec	GCA_002147955.1	1	Assemblies	strict
ref_no_rec	GCA_002147955.1	1	Assemblies	strict
ref_no_rec	GCA_002147955.1	1	Assemblies	strict
ref_no_rec	PS50C(b)	1	Strains	soft
ref_no_rec	BGSC 4BU1	1	Strains	soft
ref_no_rec	GCA_002147955.1	1	Assemblies	soft
ref_no_rec	GCA_002147955.1	1	Assemblies	soft
ref_no_rec	GCA_002147955.1	1	Assemblies	soft
ref_no_rec	GCA_002147955.1	1	Assemblies	soft
ref_no_rec	BGSC 4CD1	3	Strains	strict
ref_no_rec	G25-7	2	Strains	strict
ref_no_rec	Sbt072	3	Strains	strict
ref_no_rec	GCA_002146885.1	3	Assemblies	strict
ref_no_rec	BGSC 4CD1	3	Strains	soft
ref_no_rec	G25-7	2	Strains	soft
ref_no_rec	Sbt072	3	Strains	soft
ref_no_rec	GCA_002146885.1	3	Assemblies	soft
ref_no_rec	C18	1	Strains	soft
ref_no_rec	BBT2-5	1	Strains	strict
ref_no_rec	BBT2-5	1	Strains	soft
ref_no_rec	BGSC 4CF1	3	Strains	strict
ref_no_rec	SBS Bt 48	1	Strains	strict
ref_no_rec	GCA_002148045.1	2	Assemblies	strict
ref_no_rec	BGSC 4CF1	3	Strains	soft
ref_no_rec	jegathesan 367	5	Strains	soft
ref_no_rec	SBS Bt 48	1	Strains	soft
ref_no_rec	GCA_002148045.1	2	Assemblies	soft
ref_no_rec	Semadara	2	Strains	strict
ref_no_rec	popilliae Hime	1	Strains	strict
ref_no_rec	Semadara	2	Strains	soft
ref_no_rec	popilliae Hime	1	Strains	soft
ref_no_rec	XL6	7	Strains	soft
ref_no_rec	HD868	4	Strains	soft
ref_no_rec	Sbt009	4	Strains	soft
ref_no_rec	GCA_000161475.1	4	Assemblies	soft
ref_no_rec	GCA_000774075.2	6	Assemblies	soft
ref_no_rec	GCA_000774075.2	6	Assemblies	soft
ref_no_rec	INA288	2	Strains	strict
ref_no_rec	INA288	2	Strains	soft
ref_no_rec	DB27	3	Strains	strict
ref_no_rec	G25-87	2	Strains	strict
ref_no_rec	G25-78	2	Strains	strict
ref_no_rec	GCA_000530375.1	2	Assemblies	strict
ref_no_rec	DB27	3	Strains	soft
ref_no_rec	G25-87	2	Strains	soft
ref_no_rec	G25-78	2	Strains	soft
ref_no_rec	GCA_000530375.1	2	Assemblies	soft
ref_no_rec	Sbt029	2	Strains	strict
ref_no_rec	GCA_002147935.1	1	Assemblies	strict
ref_no_rec	Sbt029	2	Strains	soft
ref_no_rec	BGSC 4BV1	3	Strains	soft
ref_no_rec	GCA_002147935.1	1	Assemblies	soft
ref_no_rec	higo	4	Strains	soft
ref_no_rec	ARP260	1	Strains	strict
ref_no_rec	ARP260	1	Strains	soft
ref_no_rec	YBT-1518	1	Strains	strict
ref_no_rec	G25-43	1	Strains	strict
ref_no_rec	G25-41	1	Strains	strict
ref_no_rec	AFS063736	2	Strains	strict
ref_no_rec	G25-50	1	Strains	strict
ref_no_rec	AFS022504	3	Strains	strict
ref_no_rec	AFS056009	1	Strains	strict
ref_no_rec	zjfc85	1	Strains	strict
ref_no_rec	PS86Q3	2	Strains	strict
ref_no_rec	GCA_000497525.2	1	Assemblies	strict
ref_no_rec	GCA_002560695.1	3	Assemblies	strict
ref_no_rec	GCA_002571105.1	2	Assemblies	strict
ref_no_rec	GCA_002574895.1	1	Assemblies	strict
ref_no_rec	YBT-1518	1	Strains	soft
ref_no_rec	G25-43	1	Strains	soft
ref_no_rec	AFS098399	2	Strains	soft
ref_no_rec	AFS050081	3	Strains	soft
ref_no_rec	G25-41	1	Strains	soft
ref_no_rec	AFS063736	2	Strains	soft
ref_no_rec	G25-50	1	Strains	soft
ref_no_rec	AFS022504	3	Strains	soft
ref_no_rec	AFS056009	1	Strains	soft
ref_no_rec	zjfc85	1	Strains	soft
ref_no_rec	PS86Q3	2	Strains	soft
ref_no_rec	GCA_000497525.2	1	Assemblies	soft
ref_no_rec	GCA_002550215.1	2	Assemblies	soft
ref_no_rec	GCA_002560695.1	3	Assemblies	soft
ref_no_rec	GCA_002571105.1	2	Assemblies	soft
ref_no_rec	GCA_002576585.1	3	Assemblies	soft
ref_no_rec	GCA_002574895.1	1	Assemblies	soft
ref_no_rec	BGSC 4CE1	5	Strains	soft
ref_no_rec	FCC41	5	Strains	soft
ref_no_rec	IBL02897	9	Strains	soft
ref_no_rec	BGSC 4N1	9	Strains	soft
ref_no_rec	IBL00090	9	Strains	soft
ref_no_rec	IBL00171	9	Strains	soft
ref_no_rec	IBL 200	10	Strains	soft
ref_no_rec	HD12	11	Strains	soft
ref_no_rec	WBT-2	10	Strains	soft
ref_no_rec	GR007	10	Strains	soft
ref_no_rec	G25-97	11	Strains	soft
ref_no_rec	G25-93	10	Strains	soft
ref_no_rec	BGSC 4O1	7	Strains	soft
ref_no_rec	HD12	11	Strains	soft
ref_no_rec	morrisoni BF190	2	Strains	soft
ref_no_rec	WBT-2	10	Strains	soft
ref_no_rec	GCA_000161715.1	9	Assemblies	soft
ref_no_rec	GCA_001598095.1	9	Assemblies	soft
ref_no_rec	GCA_002147315.1	9	Assemblies	soft
ref_no_rec	GCA_002147325.1	7	Assemblies	soft
ref_no_rec	GCA_002893565.1	10	Assemblies	soft
ref_no_rec	mogi K4	5	Strains	soft
ref_no_rec	ARP220	1	Strains	soft
ref_no_rec	NRRL B-21934	1	Strains	strict
ref_no_rec	K3	2	Strains	soft
ref_no_rec	PS158C2	2	Strains	soft
ref_no_rec	NRRL B-21934	1	Strains	soft
ref_no_rec	ARP191	1	Strains	strict
ref_no_rec	ARP191	1	Strains	soft
ref_no_rec	31-5	1	Strains	strict
ref_no_rec	B0195	2	Strains	strict
ref_no_rec	31-5	1	Strains	soft
ref_no_rec	B0195	2	Strains	soft
ref_no_rec	96-OK-85-24	3	Strains	soft
ref_no_rec	BRI-326	1	Strains	strict
ref_no_rec	BRI-326	1	Strains	soft
ref_no_rec	BGSC 4CC1	1	Strains	strict
ref_no_rec	Sbt030	2	Strains	strict
ref_no_rec	BGSC 4CC1	1	Strains	strict
ref_no_rec	BT62	3	Strains	strict
ref_no_rec	GCA_000161695.1	1	Assemblies	strict
ref_no_rec	GCA_002146905.1	3	Assemblies	strict
ref_no_rec	BGSC 4CE1	5	Strains	soft
ref_no_rec	BGSC 4CC1	1	Strains	soft
ref_no_rec	Sbt030	2	Strains	soft
ref_no_rec	BGSC 4CC1	1	Strains	soft
ref_no_rec	BT62	3	Strains	soft
ref_no_rec	IPPBIOTSUC-C9F1	2	Strains	soft
ref_no_rec	GCA_000161695.1	1	Assemblies	soft
ref_no_rec	GCA_002146905.1	3	Assemblies	soft
ref_no_rec	BGSC 4U1	5	Strains	soft
ref_no_rec	Sbt029	2	Strains	strict
ref_no_rec	Sbt029	2	Strains	soft
ref_no_rec	ARP193	1	Strains	strict
ref_no_rec	BRC-ZQL3	1	Strains	strict
ref_no_rec	B5	1	Strains	strict
ref_no_rec	GS3	1	Strains	strict
ref_no_rec	GS72	1	Strains	strict
ref_no_rec	HYW-8	1	Strains	strict
ref_no_rec	BTS01099E	2	Strains	strict
ref_no_rec	ARP193	1	Strains	soft
ref_no_rec	BRC-ZQL3	1	Strains	soft
ref_no_rec	SC6H8	5	Strains	soft
ref_no_rec	B5	1	Strains	soft
ref_no_rec	GS3	1	Strains	soft
ref_no_rec	GS72	1	Strains	soft
ref_no_rec	HYW-8	1	Strains	soft
ref_no_rec	BTS01099E	2	Strains	soft
ref_no_rec	kenyae	1	Strains	soft
ref_no_rec	V4	3	Strains	soft
ref_no_rec	SVBS18-01	3	Strains	soft
ref_no_rec	4F4	5	Strains	soft
ref_no_rec	BGSC 4J5	4	Strains	soft
ref_no_rec	HD5	4	Strains	soft
ref_no_rec	4F1	5	Strains	soft
ref_no_rec	IMBL-B9	5	Strains	soft
ref_no_rec	4F3	3	Strains	soft
ref_no_rec	2124	2	Strains	soft
ref_no_rec	PS81F	1	Strains	soft
ref_no_rec	BGSC 4M3	1	Strains	soft
ref_no_rec	4M4	1	Strains	soft
ref_no_rec	4M1	1	Strains	soft
ref_no_rec	4M2	1	Strains	soft
ref_no_rec	BfR-BA-01318	1	Strains	soft
ref_no_rec	BRC-XQ12	1	Strains	soft
ref_no_rec	YBT-032	1	Strains	soft
ref_no_rec	G25-18	1	Strains	soft
ref_no_rec	FB	4	Strains	soft
ref_no_rec	S6	2	Strains	soft
ref_no_rec	Pasteur Institute Standard strain	3	Strains	soft
ref_no_rec	BfR-BA-01393	2	Strains	soft
ref_no_rec	HZM2	1	Strains	soft
ref_no_rec	LBIT-147	1	Strains	soft
ref_no_rec	BR64	1	Strains	soft
ref_no_rec	GCA_001548175.1	3	Assemblies	soft
ref_no_rec	GCA_002147255.1	4	Assemblies	soft
ref_no_rec	GCA_002147495.1	1	Assemblies	soft
ref_no_rec	GCA_002147535.1	4	Assemblies	soft
ref_no_rec	O-V84.2	3	Strains	strict
ref_no_rec	O-V84.2	3	Strains	soft
ref_no_rec	Bt2-56	2	Strains	strict
ref_no_rec	Bt2-56	2	Strains	soft
ref_no_rec	CH18	2	Strains	strict
ref_no_rec	CH18	2	Strains	soft
ref_no_rec	BT62	3	Strains	strict
ref_no_rec	BT62	3	Strains	strict
ref_no_rec	BT62	3	Strains	soft
ref_no_rec	BT62	3	Strains	soft
ref_no_rec	xl6-1	1	Strains	strict
ref_no_rec	XL6	7	Strains	soft
ref_no_rec	HD868	4	Strains	soft
ref_no_rec	xl6-1	1	Strains	soft
ref_no_rec	Sbt009	4	Strains	soft
ref_no_rec	GCA_000161475.1	4	Assemblies	soft
ref_no_rec	GCA_000774075.2	6	Assemblies	soft
ref_no_rec	GCA_000774075.2	6	Assemblies	soft
ref_no_rec	SK-758	1	Strains	strict
ref_no_rec	C81	1	Strains	strict
ref_no_rec	SK-758	1	Strains	soft
ref_no_rec	C81	1	Strains	soft
ref_no_rec	FCC41	5	Strains	soft
ref_no_rec	BGSC 4U1	5	Strains	soft
ref_no_rec	ARP104	1	Strains	strict
ref_no_rec	ARP104	1	Strains	soft
ref_no_rec	Bun1-14	4	Strains	soft
ref_no_rec	O-V84.2	3	Strains	strict
ref_no_rec	O-V84.2	3	Strains	soft
ref_no_rec	S6	2	Strains	soft
ref_no_rec	LY-99	1	Strains	soft
ref_no_rec	BT8	1	Strains	soft
ref_no_rec	S2480-1	1	Strains	strict
ref_no_rec	S2480-1	1	Strains	soft
ref_no_rec	HD511	1	Strains	strict
ref_no_rec	HQ122	1	Strains	strict
ref_no_rec	HQ122	1	Strains	strict
