Cry	Sector	Color	two_rank	one_rank
BT_Cry7Ka1	0	grey	Cry7K	Cry7
BT_Cry7Kb1	1	grey	Cry7K	Cry7
BT_Cry7Ha1	2	#2980b9	Cry7H	Cry7
BT_Cry7Ab1	3	grey	Cry7A	Cry7
BT_Cry7Ac1	4	#2980b9	Cry7A	Cry7
BT_Cry7Ab5	5	grey	Cry7A	Cry7
BT_Cry7Aa1	6	grey	Cry7A	Cry7
BT_Cry7Da1	7	grey	Cry7D	Cry7
BT_Cry7Ia1	8	grey	Cry7I	Cry7
BT_Cry8Ta1	9	grey	Cry8T	Cry8
BT_Cry8Ra1	10	#2980b9	Cry8R	Cry8
NOV_Cry8Ab1_80.3_AFP44678.1	11	grey	Cry8A	Cry8
BT_Cry8Ac1	12	grey	Cry8A	Cry8
BT_Cry8Ab1	13	#2980b9	Cry8A	Cry8
NOV_Cry8Ab1_80.0_AMR06151.1	14	#a60b0b	Cry8A	Cry8
BT_Cry8Aa1	15	grey	Cry8A	Cry8
BT_Cry8Ad1	16	grey	Cry8A	Cry8
BT_Cry8Db1	17	grey	Cry8D	Cry8
BT_Cry8Da1	18	#2980b9	Cry8D	Cry8
BT_Cry9Dc1	19	grey	Cry9D	Cry9
BT_Cry9Db1	20	grey	Cry9D	Cry9
BT_Cry9Da1	21	grey	Cry9D	Cry9
BT_Cry9Bb1	22	#2980b9	Cry9B	Cry9
BT_Cry9Ba1	23	grey	Cry9B	Cry9
BT_Cry9Eb1	24	grey	Cry9E	Cry9
BT_Cry9Ea10	25	#2980b9	Cry9E	Cry9
BT_Cry9Fa1	26	grey	Cry9F	Cry9
BT_Cry9Ed1	27	#2980b9	Cry9E	Cry9
BT_Cry9Ec1	28	#2980b9	Cry9E	Cry9
BT_Cry9Ee1	29	#a60b0b	Cry9E	Cry9
BT_Cry9Ca1	30	#a60b0b	Cry9C	Cry9
NOV_Cry8Da1_43.7_ANC11094.1	31	#2980b9	Cry8D	Cry8
NOV_Cry8Aa1_47.1_EEM92570.1	32	#a60b0b	Cry8A	Cry8
BT_Cry1Cb1	33	#a60b0b	Cry1C	Cry1
BT_Cry1Ca11	34	#2980b9	Cry1C	Cry1
BT_Cry1Na1	35	#2980b9	Cry1N	Cry1
BT_Cry1Nb1	36	#2980b9	Cry1N	Cry1
BT_Cry1Db1	37	#bdbd00	Cry1D	Cry1
NOV_Cry1Da1_83.2_AIW52615.1	38	#2980b9	Cry1D	Cry1
BT_Cry1Da1	39	#2980b9	Cry1D	Cry1
NOV_Cry1Da1_84.8_ABK35074.1	40	#bdbd00	Cry1D	Cry1
NOV_Cry1Ab32_92.7_AAK14337.1	41	#2980b9	Cry1A	Cry1
NOV_Cry1Ab12_91.4_AAK14338.1	42	#2980b9	Cry1A	Cry1
BT_Cry1Ab2	43	#2980b9	Cry1A	Cry1
BT_Cry1Ab12	44	#2980b9	Cry1A	Cry1
BT_Cry1A-like	45	#2980b9	Cry1A-like	Cry1A-like
NOV_Cry1Ad2_87.7_AIW52617.1	46	#2980b9	Cry1A	Cry1
BT_Cry1Ad1	47	#2980b9	Cry1A	Cry1
BT_Cry1Ai1	48	#2980b9	Cry1A	Cry1
