ID,Rec,Min_par,Maj_par,parent_1,parent_2,parent_3,Min_par_new,Maj_par_new,Unknown_flag,Type,start,stop,d1_start,d1_stop,d2_start,d2_stop,d3_start,d3_stop,Pval,r_min_1,r_min_2,r_min_3,r_maj_1,r_maj_2,r_maj_3
0,BT_Cry8Ja1,BT_Cry8Ca1,BT_Cry8Ea2,BT_Cry8Ea2,BT_Cry8Ea2,BT_Cry8Ca1,BT_Cry8Ca1,BT_Cry8Ea2,no,domain3,1258,1714,1,598,622,1234,1276,1714,6.66117351324255E-96,59.5744680851064,51.1083743842365,100,100,99.0243902439024,48.9655172413793
2,BT_Cry1Dc1,NOV_Cry1Ab20_69.9_AAK14339.1;BT_Cry1Aj1,BT_Cry1Da1;BT_Cry1Db1;BT_Cry1Dd1,NOV_Cry1Ab20_69.9_AAK14339.1;BT_Cry1Aa10;BT_Cry1Ab1;BT_Cry1Ab2;BT_Cry1Ac39;BT_Cry1Ad1;BT_Cry1Ag1;BT_Cry1Ah2;BT_Cry1Ai1;BT_Cry1Da1;BT_Cry1Db1;BT_Cry1Ea10;BT_Cry1Eb1;NOV_Cry1Ab12_91.4_AAK14338.1;NOV_Cry1Ab32_92.7_AAK14337.1;NOV_Cry1Ac23_90.7_CAQ03747.1;BT_Cry1Aj1;BT_Cry1Dd1;NOV_Cry1Ea10_93.2_AAX86871.1,BT_Cry1Da1,NOV_Cry1Ab20_69.9_AAK14339.1;BT_Cry1Aa10;BT_Cry1Ab1;BT_Cry1Ab2;BT_Cry1Ad1;BT_Cry1Ag1;NOV_Cry1Ab12_91.4_AAK14338.1;NOV_Cry1Ab32_92.7_AAK14337.1;BT_Cry1Aj1,NOV_Cry1Ab32_92.7_AAK14337.1;BT_Cry1Ab12;BT_Cry1Aa10;BT_Cry1Ad1;BT_Cry1Ag1;NOV_Cry1Ab12_91.4_AAK14338.1;BT_Cry1A-like;NOV_Cry1Ad2_87.7_AIW52617.1;BT_Cry1Ab2,BT_Cry1Da1,no,domain3,1292,1636,1,601,625,1201,1228,1639,5.00736297597416E-78,52.143432715552,48.7509912767645,83.7679043248505,65.2258855578775,82.8916976731059,58.7426553623476
3,NOV_Cry7Ba1_84.3_AFI42043.1,BT_Cry7Ac1,BT_Cry7Ba1,BT_Cry7Ba1,BT_Cry7Ba1,BT_Cry7Ac1,BT_Cry7Ac1,BT_Cry7Ba1,no,domain3,1391,1711,1,598,628,1264,1288,1711,1.56635601892342E-73,55.46875,50.3640776699029,86.9179600886918,88.9240506329114,87.7218934911243,58.5227272727273
6,BT_Cry24Ca1,BT_Cry40Ba1,BT_Cry24Da1,BT_Cry24Da1,BT_Cry24Da1,BT_Cry40Ba1,BT_Cry40Ba1,BT_Cry24Da1,no,domain3,1369,1732,1,634,658,1306,1333,1732,3.75861913117583E-66,52.6881720430108,51.4563106796116,91.1057692307692,87.0014771048745,86.7435158501441,55.1526717557252
8,BT_Cry71Aa1,BT_Cry72Aa1,NOV_Cry71Aa1_65.9_PER41598.1,NOV_Cry71Aa1_65.9_PER41598.1,NOV_Cry71Aa1_65.9_PER41598.1,BT_Cry72Aa1,BT_Cry72Aa1,NOV_Cry71Aa1_65.9_PEU78325.1,no,domain3,1370,1774,1,601,625,1276,1306,1774,1.59387043178865E-65,52.3316062176166,49.4687131050767,81.8713450292398,68.5240963855422,85.734664764622,51.2908777969019
10,NOV_Cry7Ca1_86.8_AGM39664.1,BT_Cry7Ha1,BT_Cry7Ca1,BT_Cry7Ca1,BT_Cry7Ca1,BT_Cry7Ha1,BT_Cry7Ha1,NOV_Cry7Ca1_99.7_ABR67863.2,no,domain3,1300,1643,1,610,634,1270,1300,1732,1.38880405186517E-79,56.2337662337662,51.8564356435644,80.2494802494803,99.3453355155483,99.3730407523511,50.8137432188065
13,NOV_Cry4Ba1_63.7_AJW76684.1,BT_Cry50Ba1,NOV_Cry4Ba1_63.8_OUB35623.1,NOV_Cry4Ba1_63.8_OUB35623.1,NOV_Cry4Ba1_63.8_OUB35623.1,BT_Cry50Ba1,BT_Cry50Ba1,NOV_Cry4Ba1_63.8_OUB35623.1,no,domain3,1285,1714,1,619,667,1222,1252,1714,2.07402718023579E-54,51.4851485148515,78.7539936102236,92.7685950413223,90.1538461538462,91.2820512820513,64.7368421052632
14,BT_Cry1Cb1,BT_Cry1Eb1,BT_Cry1Ca11,BT_Cry1Ca11,BT_Cry1Ca11,BT_Cry1Be1;BT_Cry1Bf1;BT_Cry1Bg1;BT_Cry1Eb1,BT_Cry1Bf1;BT_Cry1Eb1;BT_Cry1Be1;BT_Cry1Bg1,BT_Cry1Ca11,no,domain3,1224,1557,1,604,637,1225,1252,1660,2.52746788663148E-54,58.9403973509934,53.5340314136126,86.7276887871854,90.521327014218,90.9090909090909,54.3636363636364
17,BT_Cry1Fa1,BT_Cry1Ig1,BT_Cry1Fb1,BT_Cry1Fb1,BT_Cry1Fb1,BT_Cry1Ig1;BT_Cry1Ka2,BT_Cry1Ka2;BT_Cry1Ig1,BT_Cry1Fb1,no,domain3,1231,1660,1,604,628,1219,1249,1660,2.09675279194536E-51,52.0807061790668,52.2443890274314,77.1855010660981,94.2028985507247,95.6953642384106,60.3143418467583
19,BT_Cry9Ga1,BT_Cry1Gb1,BT_Cry9Aa1,BT_Cry9Aa1,BT_Cry9Aa1,BT_Cry1Ga2;BT_Cry1Gb1,BT_Cry1Gb1;BT_Cry1Ga2,BT_Cry9Aa1,no,domain3,1336,1744,1,637,661,1303,1336,1744,1.75834688357883E-50,49.2700729927007,49.6350364963504,69.8347107438017,97.8227060653188,87.719298245614,54.5283018867925
22,BT_Cry8Pa1,NOV_Cry8Ba1_88.6_AEP25412.1,BT_Cry8Ba1,event_74(BT_Cry8Ea2;BT_Cry8Ja1),NOV_Cry8Ba1_88.6_AEP25412.1,event_74(unknown),NOV_Cry8Ba1_88.6_AEP25412.1,unknown,major,domain2,542,1185,1,604,628,1291,1297,1714,1.80982229435009E-47,75.4716981132076,93.75,47.2837022132797,74.7109826589595,71.0353866317169,49.1891891891892
23,BT_Cry52Ba1,BT_Cry40Aa1,NOV_Cry52Ca1_62.9_AZJ24464.1,NOV_Cry52Ca1_62.9_AZJ24464.1,BT_Cry52Ca1;NOV_Cry52Ca1_62.9_AZJ24464.1,BT_Cry40Aa1;BT_Cry52Ca1,BT_Cry52Ca1;BT_Cry40Aa1,NOV_Cry52Ca1_62.9_AZJ24464.1,no,domain3,1363,1702,1,610,652,1288,1312,1702,2.50297015500022E-45,49.3039443155452,49.2647058823529,74.2152466367713,77.4962742175857,62.778505897772,50.278293135436
24,BT_Cry1Ig1,BT_Cry1Ka2,BT_Cry1Ia11;BT_Cry1Ia18;BT_Cry1Ic1;BT_Cry1Id1;BT_Cry1Ie4,BT_Cry1Ia11;BT_Cry1Ia18;BT_Cry1Ic1;BT_Cry1Ie4;NOV_Cry1Ie5_79.3_PQQ47595.1,BT_Cry1Ia11,BT_Cry1Ka2,BT_Cry1Ka2,BT_Cry1Ia11,no,domain3,1263,1696,1,604,628,1258,1276,1696,4.41858193216353E-43,60.8,58.1749049429658,80.9110629067245,77.1604119645054,89.1357369619024,57.5635400979383
27,BT_Cry41Ab1,NOV_Cry32Ma1_57.7_AXY11484.1,BT_Cry41Aa1,BT_Cry41Aa1,BT_Cry41Aa1,NOV_Cry32Ma1_57.7_AXY11484.1,NOV_Cry32Ma1_57.7_AXY11484.1,NOV_Cry41Ba2_47.9_BAD35157.1,no,domain3,1321,1786,1,703,727,1336,1360,1786,2.35967624962378E-37,54.5652173913043,54.0436456996149,68.7128712871287,100,98.694942903752,53.0499075785582
28,BT_Cry7Cb1,NOV_Cry7Cb1_60.4_OTY00887.1,BT_Cry7Ca1;NOV_Cry7Ca1_86.8_AGM39664.1;NOV_Cry7Ea2_99.9_AFI42038.1,NOV_Cry7Ca1_86.8_AGM39664.1;BT_Cry7Ca1,NOV_Cry7Ca1_86.8_AGM39664.1;BT_Cry7Ca1;NOV_Cry7Ea2_99.9_AFI42038.1,NOV_Cry7Cb1_60.4_OTY00887.1,NOV_Cry7Cb1_60.4_OTY00887.1,NOV_Cry7Ca1_99.7_ABR67863.2;NOV_Cry7Ca1_86.8_AGM39664.1,no,domain3,1282,1759,1,610,634,1297,1327,1759,9.86245315490051E-37,55.6532663316583,52.2860492379836,69.488188976378,85.0536207765979,68.6166398339852,50.5278736293229
29,BT_Cry50Ba1;BT_Cry4Ba1;BT_Cry4Ba3;BT_Cry50Aa1;NOV_Cry4Ba1_63.8_OUB35623.1,BT_Cry30Fa1;BT_Cry30Aa1;BT_Cry30Ca1;BT_Cry30Ea1;BT_Cry30Ga1,BT_Cry19Aa1,BT_Cry19Aa1,BT_Cry19Aa1,BT_Cry30Aa1;BT_Cry30Ca1;BT_Cry30Ea1;BT_Cry30Fa1;BT_Cry30Ga1,BT_Cry30Ga1;BT_Cry30Ea1;BT_Cry30Fa1;BT_Cry30Ca1;BT_Cry30Aa1,BT_Cry19Aa1,no,domain3,1295,1711,1,607,655,1219,1240,1711,1.50083416362365E-36,51.775969529846,52.4828013745197,66.1115131201831,54.5637743238232,51.6387217810142,50.2616759263408
32,BT_Cry7Bb1,BT_Cry7Ac1,BT_Cry7Ba1,BT_Cry7Ba1;NOV_Cry7Ba1_84.3_AFI42043.1,BT_Cry7Ba1;NOV_Cry7Ba1_84.3_AFI42043.1,BT_Cry7Ac1;NOV_Cry7Ba1_84.3_AFI42043.1,BT_Cry7Ac1;NOV_Cry7Ba1_84.3_AFI42043.1,NOV_Cry7Ba1_84.3_AFI42043.1;BT_Cry7Ba1,no,domain3,1397,1700,1,604,634,1267,1291,1717,7.02393361187483E-35,53.6491677336748,50.9157509157509,71.2550607287449,70.697012802276,73.4246575342466,59.0909090909091
34,NOV_Cry14Ab1_42.4_PGW46196.1,NOV_Cry14Aa1_44.0_PGW42274.1,NOV_Cry14Aa1_41.1_PGW46198.1,NOV_Cry14Aa1_44.0_PGW42274.1,NOV_Cry14Aa1_41.1_PGW46198.1,NOV_Cry14Aa1_41.1_PGW46198.1,NOV_Cry14Aa1_44.0_PGW42274.1,NOV_Cry14Aa1_41.1_PGW46198.1,no,domain1,1,738,1,679,697,1366,1372,1831,2.07932203031603E-34,77.7195281782438,58.0985915492958,54.1811846689896,55.6571428571429,90.5982905982906,80.3536345776032
36,BT_Cry73Ba1,BT_Cry32Pa1,BT_Cry32Ma1;BT_Cry32Mb1,BT_Cry32Ma1;BT_Cry32Mb1,BT_Cry32Ma1;BT_Cry32Mb1,BT_Cry32Pa1,BT_Cry32Pa1,BT_Cry32Ma1;BT_Cry32Mb1,no,domain3,1291,1707,1,685,715,1282,1315,1711,1.13020844595917E-33,54.5454545454545,49.4267515923567,66.6666666666667,85.4916106827283,85.7495103431623,55.1825134840402
37,BT_Cry52Ca1,BT_Cry40Aa1,NOV_Cry52Ca1_62.9_AZJ24464.1,BT_Cry52Aa1;BT_Cry52Ba1;NOV_Cry52Ca1_62.9_AZJ24464.1,event_107(NOV_Cry52Ca1_62.9_AZJ24464.1),BT_Cry40Aa1,BT_Cry40Aa1,NOV_Cry52Ca1_62.9_AZJ24464.1,no,domain3,1331,1663,1,592,631,1237,1267,1663,5.3227085765619E-33,50.5338078291815,48.8721804511278,67.6659528907923,69.753979739508,82.2556390977444,51.9553072625698
