tox,ident,species,prot_type
BT_Cry27Aa1,100,Bacillus thuringiensis,ref
NOV_Cry8Ha1_89.8_ATY50148.1,89.8,Bacillus thuringiensis,ref
NOV_Cry8Ma3_96.0_ATY50149.1,96,Bacillus thuringiensis,ref
BT_Cry1Ic1,100,Bacillus thuringiensis,ref
BT_Cry32Ua1,100,Bacillus thuringiensis,ref
BT_Cry52Ca1,100,Bacillus thuringiensis,ref
BT_Cry1Cb1,100,Bacillus thuringiensis,ref
BT_Cry31Aa6,100,Bacillus thuringiensis,ref
NOV_Cry73Ba1_39.0_PEE63029.1,39,Bacillus thuringiensis,ref
NOV_Cry7Gb1_28.6_WP_103574454.1,28.6,Bacillus thuringiensis,ref
NOV_Cry7Ca1_86.8_AGM39664.1,86.8,Bacillus thuringiensis,ref
BT_Cry7Ja1,100,Bacillus thuringiensis,ref
NOV_Cry4Ca2_48.4_AZJ24771.1,48.4,Bacillus wiedmannii bv. thuringiensis,ref
BT_Cry21Ea1,100,Bacillus thuringiensis,ref
BT_Cry1Gc1,100,Bacillus thuringiensis,ref
NOV_Cry29Aa1_96.4_OUC03129.1,96.4,Bacillus thuringiensis,ref
BT_Cry43Cc1,100,Bacillus thuringiensis,ref
BT_Cry4Ba3,100,Bacillus thuringiensis,ref
NOV_Cry21Ea1_36.9_AGS78123.2,36.9,Bacillus thuringiensis,ref
NOV_Cry14Aa1_44.0_PGW42274.1,44,Bacillus thuringiensis,ref
NOV_Cry32Hb1_41.4_AQX37181.1,41.4,Bacillus thuringiensis,ref
NOV_Cry9Ga1_58.0_AJS57594.1,58,Paenibacillus sp. IHBB 10380,ref
NOV_Cry68Aa1_46.2_ARJ25655.1,46.2,Bacillus mycoides,ref
BT_Cry72Aa1,100,Bacillus thuringiensis,ref
BT_Cry8Qa1,100,Bacillus thuringiensis,ref
NOV_Cry14Ab1_42.4_PGW46196.1,42.4,Bacillus thuringiensis,ref
BT_Cry1Ag1,100,Bacillus thuringiensis,ref
BT_Cry58Aa1,100,Bacillus thuringiensis,ref
BT_Cry8Kb1,100,Bacillus thuringiensis,ref
BT_Cry70Aa1,100,Bacillus thuringiensis,ref
BT_Cry14Aa1,100,Bacillus thuringiensis,ref
BT_Cry5Da1,100,Bacillus thuringiensis,ref
BT_Cry32Da1,100,Bacillus thuringiensis,ref
BT_Cry2Ak1,100,Bacillus thuringiensis,ref
NOV_Cry7Gb1_94.1_AGM39662.1,94.1,Bacillus thuringiensis,ref
NOV_Cry7Cb1_60.4_OTY00887.1,60.4,Bacillus thuringiensis,ref
BT_Cry39Aa1,100,Bacillus thuringiensis,ref
NOV_Cry2Ak1_76.8_AX513524.1,76.8,Bacillus thuringiensis,ref
BT_Cry1Bj1,100,Bacillus thuringiensis,ref
NOV_Cry7Ba1_84.3_AFI42043.1,84.3,Bacillus thuringiensis,ref
NOV_Cry8Da1_43.7_ANC11094.1,43.7,Bacillus cereus,ref
BT_Cry63Aa1,100,Bacillus thuringiensis,ref
NOV_Cry8Ja1_60.3_PEE68563.1,60.3,Bacillus thuringiensis,ref
NOV_Cry21Ba1_28.9_PEZ39117.1,28.9,Bacillus thuringiensis,ref
BT_Cry1Bb1,100,Bacillus thuringiensis,ref
BT_Cry21Da1,100,Bacillus thuringiensis,ref
NOV_Cry8Db1_49.9_WP_103653049.1,49.9,Bacillus thuringiensis,ref
BT_Cry1La1,100,Bacillus thuringiensis,ref
BT_Cry32Pa1,100,Bacillus thuringiensis,ref
NOV_Cry8Aa1_47.1_EEM92570.1,47.1,Bacillus thuringiensis,ref
BT_Cry2Ai1,100,Bacillus thuringiensis,ref
NOV_Cry20Ba2_80.0_AGV55017.1,80,Bacillus thuringiensis,ref
BT_Cry8Da1,100,Bacillus thuringiensis,ref
BT_Cry1Ha1,100,Bacillus thuringiensis,ref
BT_Cry8Ra1,100,Bacillus thuringiensis,ref
BT_Cry30Ba1,100,Bacillus thuringiensis,ref
NOV_Cry32Ea2_41.9_AQM56938.1,41.9,Bacillus thuringiensis,ref
NOV_Cry4Ba1_31.6_AUM94650.1,31.6,Clostridium botulinum,ref
BT_Cry8Ka1,100,Bacillus thuringiensis,ref
BT_Cry9Ca1,100,Bacillus thuringiensis,ref
BT_Cry7Ab5,100,Bacillus thuringiensis,ref
NOV_Cry10Aa1_94.4_ABW89736.1,94.4,Bacillus thuringiensis,ref
BT_Cry42Aa1,100,Bacillus thuringiensis,ref
NOV_Cry43Cb1_38.6_AGV55020.1,38.6,Bacillus thuringiensis,ref
NOV_Cry11Aa1_99.2_AXJ97555.1,99.2,Bacillus thuringiensis,ref
BT_Cry1Ka2,100,Bacillus thuringiensis,ref
BT_Cry2Ae1,100,Bacillus thuringiensis,ref
NOV_Cry1Ea10_93.2_AAX86871.1,93.2,Bacillus thuringiensis,ref
BT_Cry32Oa1,100,Bacillus thuringiensis,ref
BT_Cry32Na1,100,Bacillus thuringiensis,ref
BT_Cry8La1,100,Bacillus thuringiensis,ref
BT_Cry32Ia1,100,Bacillus thuringiensis,ref
NOV_Cry21Ea1_40.3_AOM14729.1,40.3,Bacillus thuringiensis,ref
BT_Cry8Db1,100,Bacillus thuringiensis,ref
NOV_Cry5Ba1_27.2_AZR80678.1,27.2,Bacillus thuringiensis,ref
NOV_Cry4Ba1_63.7_AJW76684.1,63.7,Bacillus thuringiensis,ref
BT_Cry18Aa1,100,Paenibacillus popilliae,ref
BT_Cry32Mb1,100,Bacillus thuringiensis,ref
BT_Cry32Ra1,100,Bacillus thuringiensis,ref
BT_Cry4Ca1,100,Bacillus thuringiensis,ref
BT_Cry65Aa2,100,Bacillus thuringiensis,ref
BT_Cry31Ac1,100,Bacillus thuringiensis,ref
BT_Cry9Ba1,100,Bacillus thuringiensis,ref
BT_Cry7Ac1,100,Bacillus thuringiensis,ref
BT_Cry7Ga2,100,Bacillus thuringiensis,ref
BT_Cry29Aa1,100,Bacillus thuringiensis,ref
BT_Cry2Aa3,100,Bacillus thuringiensis,ref
BT_Cry32Ja1,100,Bacillus thuringiensis,ref
BT_Cry8Ta1,100,Bacillus thuringiensis,ref
BT_Cry9Ec1,100,Bacillus thuringiensis,ref
NOV_Cry1Ab12_91.4_AAK14338.1,91.4,Bacillus thuringiensis,ref
BT_Cry24Ba1,100,Bacillus thuringiensis,ref
BT_Cry14Ab1,100,Bacillus thuringiensis,ref
BT_Cry30Db1,100,Bacillus thuringiensis,ref
NOV_Cry10Aa1_97.0_ABW89733.1,97,Bacillus thuringiensis,ref
BT_Cry9Ga1,100,Bacillus thuringiensis,ref
BT_Cry2Ah3,100,Bacillus thuringiensis,ref
BT_Cry7Ab1,100,Bacillus thuringiensis,ref
BT_Cry9Da1,100,Bacillus thuringiensis,ref
BT_Cry53Ab1,100,Bacillus thuringiensis,ref
BT_Cry7Ia1,100,Bacillus thuringiensis,ref
NOV_Cry27Aa1_80.8_AGV55018.1,80.8,Bacillus thuringiensis,ref
BT_Cry8Aa1,100,Bacillus thuringiensis,ref
BT_Cry1Hc1,100,Bacillus thuringiensis,ref
NOV_Cry8Ha1_89.4_ABB29866.1,89.4,Bacillus thuringiensis,ref
BT_Cry1Ca11,100,Bacillus thuringiensis,ref
BT_Cry8Ja1,100,Bacillus thuringiensis,ref
BT_Cry41Aa1,100,Bacillus thuringiensis,ref
NOV_Cry69Aa2_62.7_WP_103591151.1,62.7,Bacillus thuringiensis,ref
NOV_Cry4Cb3_34.4_PEA86378.1,34.4,Bacillus thuringiensis,ref
NOV_Cry7Ea2_99.9_AFI42038.1,99.9,Bacillus thuringiensis,ref
BT_Cry43Aa1,100,Paenibacillus lentimorbus,ref
NOV_Cry52Ca1_62.9_AZJ24464.1,62.9,Bacillus wiedmannii bv. thuringiensis,ref
NOV_Cry48Aa1_36.6_CAH33948.1,36.6,Bacillus thuringiensis,ref
NOV_Cry43Cb1_43.9_PEA91147.1,43.9,Bacillus thuringiensis,ref
BT_Cry1Gb1,100,Bacillus thuringiensis,ref
BT_Cry31Ad1,100,Bacillus thuringiensis,ref
NOV_Cry40Aa1_67.9_CQ868314.1,67.9,Bacillus thuringiensis,ref
BT_Cry32Ha1,100,Bacillus thuringiensis,ref
BT_Cry8Na1,100,Bacillus thuringiensis,ref
BT_Cry8Hb1,100,Bacillus thuringiensis,ref
BT_Cry1Aa10,100,Bacillus thuringiensis,ref
