Accession,Dataset,MGE_type,MGE_num_glob,Cry_num,Rec_num,Cry_mge,Rec_mge
GCA_002893505.1,cry,GIs,13,2,0,0,0
GCA_002893505.1,cry,IS,87,2,0,0,0
GCA_002268645.2,rec,GIs,8,5,1,0,0
GCA_002268645.2,rec,IS,78,5,1,0,0
GCA_002147055.1,rec,GIs,13,3,1,0,0
GCA_002147055.1,rec,IS,41,3,1,0,0
GCA_002559825.1,cry,GIs,8,1,0,0,0
GCA_002559825.1,cry,IS,34,1,0,0,0
GCA_001182785.1,rec,GIs,20,9,3,7,3
GCA_001182785.1,rec,IS,85,9,3,0,0
GCA_002147535.1,cry,GIs,17,4,0,2,0
GCA_002147535.1,cry,IS,178,4,0,0,0
GCA_001548175.1,cry,GIs,25,3,0,3,0
GCA_001548175.1,cry,IS,206,3,0,0,0
GCA_002147685.1,rec,GIs,9,6,1,4,1
GCA_002147685.1,rec,IS,187,6,1,0,0
GCA_000161615.1,rec,GIs,13,2,2,0,0
GCA_000161615.1,rec,IS,50,2,2,0,0
GCA_001598095.1,rec,GIs,17,9,2,4,0
GCA_001598095.1,rec,IS,130,9,2,0,0
GCA_002583285.1,cry,GIs,5,1,0,1,0
GCA_002583285.1,cry,IS,30,1,0,0,0
GCA_002550215.1,rec,GIs,4,2,1,0,0
GCA_002550215.1,rec,IS,104,2,1,0,0
GCA_001968805.1,rec,GIs,13,3,1,0,0
GCA_001968805.1,rec,IS,37,3,1,0,0
GCA_002148155.1,cry,GIs,19,2,0,0,0
GCA_002148155.1,cry,IS,249,2,0,0,0
GCA_000387405.2,cry,GIs,15,5,0,0,0
GCA_000387405.2,cry,IS,65,5,0,0,0
GCA_001420855.1,cry,GIs,17,2,0,1,0
GCA_001420855.1,cry,IS,125,2,0,0,0
GCA_002560645.1,cry,GIs,9,1,0,0,0
GCA_002560645.1,cry,IS,40,1,0,0,0
GCA_002563205.1,cry,GIs,8,1,0,0,0
GCA_002563205.1,cry,IS,38,1,0,0,0
GCA_000300475.1,rec,GIs,23,9,1,8,0
GCA_000300475.1,rec,IS,58,9,1,0,0
GCA_000747545.1,cry,GIs,19,6,0,3,0
GCA_000747545.1,cry,IS,156,6,0,0,0
GCA_000468995.3,rec,GIs,13,6,2,0,0
GCA_000468995.3,rec,IS,50,6,2,0,0
GCA_000292455.1,cry,GIs,12,1,0,0,0
GCA_000292455.1,cry,IS,61,1,0,0,0
GCA_000161735.1,cry,GIs,7,2,0,0,0
GCA_000161735.1,cry,IS,46,2,0,0,0
GCA_002893565.1,rec,GIs,8,10,3,0,0
GCA_002893565.1,rec,IS,60,10,3,0,0
GCA_002568285.1,cry,GIs,9,1,0,0,0
GCA_002568285.1,cry,IS,45,1,0,0,0
GCA_001880125.1,cry,GIs,7,3,0,2,0
GCA_001880125.1,cry,IS,70,3,0,0,0
GCA_002561825.1,cry,GIs,7,1,0,0,0
GCA_002561825.1,cry,IS,106,1,0,0,0
