ID,Domain,Rec_comps,Rec_tox,Min_comps,Min_tox,Min_jac,Maj_comps,Maj_tox,Maj_jac,Inter_par_jac
0,domain3,107,BT_Cry8Ja1(107),9,BT_Cry8Ca1(9),0,9,BT_Cry8Ea2(9),0,1
2,domain3,127,BT_Cry1Dc1(127),0; 147; 163; 164,BT_Cry1Aa10(0); BT_Cry1Aj1(0); BT_Cry1Ad1(0); BT_Cry1Ab1(0); NOV_Cry1Ab32_92.7_AAK14337.1(163); NOV_Cry1Ab20_69.9_AAK14339.1(147); BT_Cry1Ab2(0); NOV_Cry1Ab12_91.4_AAK14338.1(164),0,0,BT_Cry1Da1(0),0,0.25
3,domain3,7,NOV_Cry7Ba1_84.3_AFI42043.1(7),24,BT_Cry7Ac1(24),0,14,BT_Cry7Ba1(14),0,0
6,domain3,57,BT_Cry24Ca1(57),132,BT_Cry40Ba1(132),0,125,BT_Cry24Da1(125),0,0
8,domain3,4,BT_Cry71Aa1(4),4,BT_Cry72Aa1(4),1,11,NOV_Cry71Aa1_65.9_PER41598.1(11),0,0
10,domain3,85,NOV_Cry7Ca1_86.8_AGM39664.1(85),31,BT_Cry7Ha1(31),0,138,BT_Cry7Ca1(138),0,0
13,domain3,4,NOV_Cry4Ba1_63.7_AJW76684.1(4),4,BT_Cry50Ba1(4),1,91,NOV_Cry4Ba1_63.8_OUB35623.1(91),0,0
14,domain3,0,BT_Cry1Cb1(0),0; 117; 146,BT_Cry1Be1(0); BT_Cry1Bf1(146); BT_Cry1Eb1(117),0.333333333333333,0,BT_Cry1Ca11(0),1,0.333333333333333
17,domain3,0,BT_Cry1Fa1(0),0; 93,BT_Cry1Ka2(0); BT_Cry1Ig1(93),0.5,0,BT_Cry1Fb1(0),1,0.5
19,domain3,106,BT_Cry9Ga1(106),0,BT_Cry1Gb1(0); BT_Cry1Ga2(0),0,0,BT_Cry9Aa1(0),0,1
22,domain2,95,BT_Cry8Pa1(95),0,NOV_Cry8Ba1_88.6_AEP25412.1(0),0,,,,
23,domain3,28,BT_Cry52Ba1(28),4; 132,BT_Cry40Aa1(132); BT_Cry52Ca1(4),0,57,NOV_Cry52Ca1_62.9_AZJ24464.1(57),0,0
24,domain3,93,BT_Cry1Ig1(93),0,BT_Cry1Ka2(0),0,0,BT_Cry1Ia11(0),0,1
27,domain3,41,BT_Cry41Ab1(41),87,NOV_Cry32Ma1_57.7_AXY11484.1(87),0,41,BT_Cry41Aa1(41),1,0
28,domain3,7,BT_Cry7Cb1(7),38,NOV_Cry7Cb1_60.4_OTY00887.1(38),0,85; 138,NOV_Cry7Ca1_86.8_AGM39664.1(85); BT_Cry7Ca1(138),0,0
29,domain3,0; 4; 34; 91,BT_Cry50Ba1(4); BT_Cry4Ba1(0); BT_Cry4Ba3(0); BT_Cry50Aa1(34); NOV_Cry4Ba1_63.8_OUB35623.1(91),4; 11; 34; 75,BT_Cry30Ea1(4); BT_Cry30Ga1(4); BT_Cry30Aa1(75); BT_Cry30Ca1(34); BT_Cry30Fa1(11),0.333333333333333,34,BT_Cry19Aa1(34),0.25,0.25
32,domain3,71,BT_Cry7Bb1(71),7; 24,NOV_Cry7Ba1_84.3_AFI42043.1(7); BT_Cry7Ac1(24),0,7; 14,BT_Cry7Ba1(14); NOV_Cry7Ba1_84.3_AFI42043.1(7),0,0.333333333333333
34,domain1,18,NOV_Cry14Ab1_42.4_PGW46196.1(18),18,NOV_Cry14Aa1_44.0_PGW42274.1(18),1,18,NOV_Cry14Aa1_41.1_PGW46198.1(18),1,1
36,domain3,87,BT_Cry73Ba1(87),63,BT_Cry32Pa1(63),0,15; 30,BT_Cry32Ma1(30); BT_Cry32Mb1(15),0,0
37,domain3,4,BT_Cry52Ca1(4),132,BT_Cry40Aa1(132),0,57,NOV_Cry52Ca1_62.9_AZJ24464.1(57),0,0
38,domain1,28,BT_Cry59Ba1(28),0; 4; 11; 54; 58; 126; 132,NOV_Cry40Da1_81.5_AIN76756.1(58); NOV_Cry40Da1_65.0_CAH33957.1(0); NOV_Cry40Da1_66.9_PER55269.1(11); BT_Cry40Ca1(4); BT_Cry40Da1(126); NOV_Cry40Da1_77.3_ARJ25823.1(54); BT_Cry40Ba1(132),0,157,BT_Cry59Aa1(157),0,0
39,domain3,4,BT_Cry52Aa1(4),4; 132,BT_Cry40Aa1(132); BT_Cry52Ca1(4),0.5,57,NOV_Cry52Ca1_62.9_AZJ24464.1(57),0,0
44,domain3,0,BT_Cry9Ee1(0),109,BT_Cry9Bb1(109),0,22; 144,BT_Cry9Ec1(144); BT_Cry9Ed1(22),0,0
45,domain1,0,NOV_Cry40Da1_65.0_CAH33957.1(0),11,NOV_Cry40Da1_66.9_PER55269.1(11),0,,,,
47,domain1,111,BT_Cry2Ai1(111),0,BT_Cry2Ac10(0),0,0,BT_Cry2Aa13(0),0,1
49,domain3,9,NOV_Cry8Ab1_80.0_AMR06151.1(9),105,BT_Cry8Ra1(105),0,103,BT_Cry8Ab1(103),0,0
51,domain3,9,BT_Cry8Fa2(9),37,BT_Cry8Ga1(37),0,95,BT_Cry8Qa1(95),0,0
