ID,Domain,Tox_type,Tox,Common_accession,Dataset_type,Assembly,Strain,
8,domain3,rec,BT_Cry71Aa,CP012101.1,Plasmids,GCA_001182785.1,HS18-1,
8,domain3,min,BT_Cry72Aa,CP012101.1,Plasmids,GCA_001182785.1,HS18-1,
29,domain3,min,BT_Cry30Ea,CP012101.1,Plasmids,GCA_001182785.1,HS18-1 (S2160-1, 96-OK-85-24)
29,domain3,rec,BT_Cry50Ba,CP012101.1,Plasmids,GCA_001182785.1,HS18-1 (S2160-1, 96-OK-85-24)
29,domain3,min,BT_Cry30Ga,CP012101.1,Plasmids,GCA_001182785.1,HS18-1 (S2160-1, 96-OK-85-24)
73,domain3,min,NOV_Cry13Aa1_50.1_ANS46780.1,CP015350.1,Chromosomes,GCA_001685565.1,MYBT18246 (G25-44),
73,domain3,rec,BT_Cry13Aa,CP015350.1,Chromosomes,GCA_001685565.1,MYBT18246 (G25-44),
34,domain1,rec,NOV_Cry14Ab1_42.4_PGW46196.1,NUNU01000061.1,Contig,GCA_002584205.1,AFS034708,
34,domain1,maj,NOV_Cry14Aa1_41.1_PGW46198.1,NUNU01000061.1,Contig,GCA_002584205.1,AFS034708,
34,domain1,min,NOV_Cry14Aa1_44.0_PGW42274.1,GCA_002584205.1,Assemblies,GCA_002584205.1,AFS034708,
52,domain3,min,NOV_Cry68Aa1_80.1_PER38368.1,GCA_002558525.1,Assemblies,,AFS013213,
52,domain3,rec,NOV_Cry9Ga1_57.2_PER39584.1,GCA_002558525.1,Assemblies,,AFS013213,
52,domain3,min,NOV_Cry68Aa1_80.1_PER38368.1,GCA_002564505.1,Assemblies,,AFS088016,
52,domain3,rec,NOV_Cry9Ga1_57.2_PER39584.1,GCA_002564505.1,Assemblies,,AFS088016,
52,domain3,min,NOV_Cry68Aa1_80.1_PER38368.1,GCA_002558015.1,Assemblies,,AFS005140,
52,domain3,rec,NOV_Cry9Ga1_57.2_PER39584.1,GCA_002558015.1,Assemblies,,AFS005140,
104,domain3,min,BT_Cry21Aa,GCA_003991175.1,Assemblies,,C15,
104,domain3,rec,NOV_Cry21Aa2_44.6_AZR80772.1,GCA_003991175.1,Assemblies,,C15,
