ID,Domain,Curr_domain,Rec,Par,Par_type,Num_mism,Aln_length,Mism_rate
0,domain3,domain3,BT_Cry8Ja1,BT_Cry8Ca1,Minor,0,438,0
0,domain3,domain1,BT_Cry8Ja1,BT_Cry8Ea2,Major,0,597,0
0,domain3,domain2,BT_Cry8Ja1,BT_Cry8Ea2,Major,3,612,0.004901960784314
2,domain3,domain3,BT_Cry1Dc1,BT_Cry1Ad1,Minor,61,438,0.139269406392694
2,domain3,domain3,BT_Cry1Dc1,NOV_Cry1Ab12_91.4_AAK14338.1,Minor,63,441,0.142857142857143
2,domain3,domain3,BT_Cry1Dc1,BT_Cry1Aj1,Minor,72,444,0.162162162162162
2,domain3,domain3,BT_Cry1Dc1,BT_Cry1Aa10,Minor,63,444,0.141891891891892
2,domain3,domain3,BT_Cry1Dc1,BT_Cry1Ab2,Minor,59,438,0.134703196347032
2,domain3,domain3,BT_Cry1Dc1,NOV_Cry1Ab32_92.7_AAK14337.1,Minor,59,441,0.133786848072562
2,domain3,domain3,BT_Cry1Dc1,BT_Cry1Ab1,Minor,59,441,0.133786848072562
2,domain3,domain3,BT_Cry1Dc1,BT_Cry1Ag1,Minor,69,444,0.155405405405405
2,domain3,domain3,BT_Cry1Dc1,NOV_Cry1Ab20_69.9_AAK14339.1,Minor,61,441,0.138321995464853
2,domain3,domain1,BT_Cry1Dc1,BT_Cry1Da1,Major,141,606,0.232673267326733
2,domain3,domain2,BT_Cry1Dc1,BT_Cry1Da1,Major,17,576,0.029513888888889
3,domain3,domain3,NOV_Cry7Ba1_84.3_AFI42043.1,BT_Cry7Ac1,Minor,37,427,0.086651053864169
3,domain3,domain1,NOV_Cry7Ba1_84.3_AFI42043.1,BT_Cry7Ba1,Major,37,597,0.061976549413735
3,domain3,domain2,NOV_Cry7Ba1_84.3_AFI42043.1,BT_Cry7Ba1,Major,46,636,0.072327044025157
6,domain3,domain3,BT_Cry24Ca1,BT_Cry40Ba1,Minor,23,402,0.057213930348259
6,domain3,domain1,BT_Cry24Ca1,BT_Cry24Da1,Major,51,636,0.080188679245283
6,domain3,domain2,BT_Cry24Ca1,BT_Cry24Da1,Major,52,649,0.080123266563945
8,domain3,domain3,BT_Cry71Aa1,BT_Cry72Aa1,Minor,59,471,0.125265392781316
8,domain3,domain1,BT_Cry71Aa1,NOV_Cry71Aa1_65.9_PER41598.1,Major,180,604,0.298013245033113
8,domain3,domain2,BT_Cry71Aa1,NOV_Cry71Aa1_65.9_PER41598.1,Major,58,651,0.089093701996928
10,domain3,domain3,NOV_Cry7Ca1_86.8_AGM39664.1,BT_Cry7Ha1,Minor,54,435,0.124137931034483
10,domain3,domain1,NOV_Cry7Ca1_86.8_AGM39664.1,BT_Cry7Ca1,Major,2,609,0.003284072249589
10,domain3,domain2,NOV_Cry7Ca1_86.8_AGM39664.1,BT_Cry7Ca1,Major,2,636,0.00314465408805
13,domain3,domain3,NOV_Cry4Ba1_63.7_AJW76684.1,BT_Cry50Ba1,Minor,26,474,0.054852320675106
13,domain3,domain1,NOV_Cry4Ba1_63.7_AJW76684.1,NOV_Cry4Ba1_63.8_OUB35623.1,Major,36,618,0.058252427184466
13,domain3,domain2,NOV_Cry4Ba1_63.7_AJW76684.1,NOV_Cry4Ba1_63.8_OUB35623.1,Major,36,564,0.063829787234043
14,domain3,domain3,BT_Cry1Cb1,BT_Cry1Bf1,Minor,44,412,0.106796116504854
14,domain3,domain3,BT_Cry1Cb1,BT_Cry1Bg1,Minor,44,412,0.106796116504854
14,domain3,domain3,BT_Cry1Cb1,BT_Cry1Be1,Minor,44,412,0.106796116504854
14,domain3,domain3,BT_Cry1Cb1,BT_Cry1Eb1,Minor,31,408,0.075980392156863
14,domain3,domain1,BT_Cry1Cb1,BT_Cry1Ca11,Major,31,603,0.051409618573798
14,domain3,domain2,BT_Cry1Cb1,BT_Cry1Ca11,Major,30,588,0.051020408163265
17,domain3,domain3,BT_Cry1Fa1,BT_Cry1Ka2,Minor,67,417,0.160671462829736
17,domain3,domain3,BT_Cry1Fa1,BT_Cry1Ig1,Minor,67,423,0.15839243498818
17,domain3,domain1,BT_Cry1Fa1,BT_Cry1Fb1,Major,19,603,0.03150912106136
17,domain3,domain2,BT_Cry1Fa1,BT_Cry1Fb1,Major,13,591,0.021996615905245
19,domain3,domain3,BT_Cry9Ga1,BT_Cry1Gb1,Minor,87,414,0.210144927536232
19,domain3,domain3,BT_Cry9Ga1,BT_Cry1Ga2,Minor,120,420,0.285714285714286
19,domain3,domain1,BT_Cry9Ga1,BT_Cry9Aa1,Major,7,636,0.011006289308176
19,domain3,domain2,BT_Cry9Ga1,BT_Cry9Aa1,Major,42,642,0.065420560747664
23,domain3,domain3,BT_Cry52Ba1,BT_Cry52Ca1,Minor,111,404,0.274752475247525
23,domain3,domain3,BT_Cry52Ba1,BT_Cry40Aa1,Minor,73,399,0.182957393483709
23,domain3,domain1,BT_Cry52Ba1,NOV_Cry52Ca1_62.9_AZJ24464.1,Major,102,609,0.167487684729064
23,domain3,domain2,BT_Cry52Ba1,NOV_Cry52Ca1_62.9_AZJ24464.1,Major,204,642,0.317757009345794
24,domain3,domain3,BT_Cry1Ig1,BT_Cry1Ka2,Minor,51,422,0.12085308056872
24,domain3,domain1,BT_Cry1Ig1,BT_Cry1Ia11,Major,86,603,0.142620232172471
24,domain3,domain2,BT_Cry1Ig1,BT_Cry1Ia11,Major,14,630,0.022222222222222
