ID,Rec,Unknown_flag,Type,Min_par,Num_min_par,Min_par_new,Num_min_par_new,Maj_par,Num_maj_par,Maj_par_new,Num_maj_par_new,Par_all_init,Par_new,parent_1,parent_2,parent_3,parent1_num,parent2_num,parent3_num
0,BT_Cry8Ja1,no,domain3,BT_Cry8Ca1,1,BT_Cry8Ca1,1,BT_Cry8Ea2,1,BT_Cry8Ea2,1,2,2,BT_Cry8Ea2,BT_Cry8Ea2,BT_Cry8Ca1,1,1,1
2,BT_Cry1Dc1,no,domain3,NOV_Cry1Ab20_69.9_AAK14339.1;BT_Cry1Aj1,2,NOV_Cry1Ab32_92.7_AAK14337.1;BT_Cry1Ab1;BT_Cry1Aa10;BT_Cry1Ad1;BT_Cry1Ag1;NOV_Cry1Ab12_91.4_AAK14338.1;NOV_Cry1Ab20_69.9_AAK14339.1;BT_Cry1Aj1;BT_Cry1Ab2,9,BT_Cry1Da1;BT_Cry1Db1;BT_Cry1Dd1,3,BT_Cry1Da1,1,5,28,NOV_Cry1Ab20_69.9_AAK14339.1;BT_Cry1Aa10;BT_Cry1Ab1;BT_Cry1Ab2;BT_Cry1Ac39;BT_Cry1Ad1;BT_Cry1Ag1;BT_Cry1Ah2;BT_Cry1Ai1;BT_Cry1Da1;BT_Cry1Db1;BT_Cry1Ea10;BT_Cry1Eb1;NOV_Cry1Ab12_91.4_AAK14338.1;NOV_Cry1Ab32_92.7_AAK14337.1;NOV_Cry1Ac23_90.7_CAQ03747.1;BT_Cry1Aj1;BT_Cry1Dd1;NOV_Cry1Ea10_93.2_AAX86871.1,BT_Cry1Da1,NOV_Cry1Ab20_69.9_AAK14339.1;BT_Cry1Aa10;BT_Cry1Ab1;BT_Cry1Ab2;BT_Cry1Ad1;BT_Cry1Ag1;NOV_Cry1Ab12_91.4_AAK14338.1;NOV_Cry1Ab32_92.7_AAK14337.1;BT_Cry1Aj1,19,1,9
3,NOV_Cry7Ba1_84.3_AFI42043.1,no,domain3,BT_Cry7Ac1,1,BT_Cry7Ac1,1,BT_Cry7Ba1,1,BT_Cry7Ba1,1,2,2,BT_Cry7Ba1,BT_Cry7Ba1,BT_Cry7Ac1,1,1,1
6,BT_Cry24Ca1,no,domain3,BT_Cry40Ba1,1,BT_Cry40Ba1,1,BT_Cry24Da1,1,BT_Cry24Da1,1,2,2,BT_Cry24Da1,BT_Cry24Da1,BT_Cry40Ba1,1,1,1
8,BT_Cry71Aa1,no,domain3,BT_Cry72Aa1,1,BT_Cry72Aa1,1,NOV_Cry71Aa1_65.9_PER41598.1,1,NOV_Cry71Aa1_65.9_PER41598.1,1,2,2,NOV_Cry71Aa1_65.9_PER41598.1,NOV_Cry71Aa1_65.9_PER41598.1,BT_Cry72Aa1,1,1,1
10,NOV_Cry7Ca1_86.8_AGM39664.1,no,domain3,BT_Cry7Ha1,1,BT_Cry7Ha1,1,BT_Cry7Ca1,1,BT_Cry7Ca1,1,2,2,BT_Cry7Ca1,BT_Cry7Ca1,BT_Cry7Ha1,1,1,1
13,NOV_Cry4Ba1_63.7_AJW76684.1,no,domain3,BT_Cry50Ba1,1,BT_Cry50Ba1,1,NOV_Cry4Ba1_63.8_OUB35623.1,1,NOV_Cry4Ba1_63.8_OUB35623.1,1,2,2,NOV_Cry4Ba1_63.8_OUB35623.1,NOV_Cry4Ba1_63.8_OUB35623.1,BT_Cry50Ba1,1,1,1
14,BT_Cry1Cb1,no,domain3,BT_Cry1Eb1,1,BT_Cry1Bf1;BT_Cry1Eb1;BT_Cry1Be1;BT_Cry1Bg1,4,BT_Cry1Ca11,1,BT_Cry1Ca11,1,2,5,BT_Cry1Ca11,BT_Cry1Ca11,BT_Cry1Be1;BT_Cry1Bf1;BT_Cry1Bg1;BT_Cry1Eb1,1,1,4
17,BT_Cry1Fa1,no,domain3,BT_Cry1Ig1,1,BT_Cry1Ka2;BT_Cry1Ig1,2,BT_Cry1Fb1,1,BT_Cry1Fb1,1,2,3,BT_Cry1Fb1,BT_Cry1Fb1,BT_Cry1Ig1;BT_Cry1Ka2,1,1,2
19,BT_Cry9Ga1,no,domain3,BT_Cry1Gb1,1,BT_Cry1Gb1;BT_Cry1Ga2,2,BT_Cry9Aa1,1,BT_Cry9Aa1,1,2,3,BT_Cry9Aa1,BT_Cry9Aa1,BT_Cry1Ga2;BT_Cry1Gb1,1,1,2
22,BT_Cry8Pa1,major,domain2,NOV_Cry8Ba1_88.6_AEP25412.1,1,NOV_Cry8Ba1_88.6_AEP25412.1,1,BT_Cry8Ba1,0,unknown,0,1,4,event_74(BT_Cry8Ea2;BT_Cry8Ja1),NOV_Cry8Ba1_88.6_AEP25412.1,event_74(unknown),2,1,0
23,BT_Cry52Ba1,no,domain3,BT_Cry40Aa1,1,BT_Cry52Ca1;BT_Cry40Aa1,2,NOV_Cry52Ca1_62.9_AZJ24464.1,1,NOV_Cry52Ca1_62.9_AZJ24464.1,1,2,4,NOV_Cry52Ca1_62.9_AZJ24464.1,BT_Cry52Ca1;NOV_Cry52Ca1_62.9_AZJ24464.1,BT_Cry40Aa1;BT_Cry52Ca1,1,2,2
24,BT_Cry1Ig1,no,domain3,BT_Cry1Ka2,1,BT_Cry1Ka2,1,BT_Cry1Ia11;BT_Cry1Ia17;BT_Cry1Ic1;BT_Cry1Id1;BT_Cry1Ie4,5,BT_Cry1Ia11,1,6,6,BT_Cry1Ia11;BT_Cry1Ia17;BT_Cry1Ic1;BT_Cry1Ie4;NOV_Cry1Ie5_79.3_PQQ47595.1,BT_Cry1Ia11,BT_Cry1Ka2,5,1,1
27,BT_Cry41Ab1,no,domain3,NOV_Cry32Ma1_57.7_AXY11484.1,1,NOV_Cry32Ma1_57.7_AXY11484.1,1,BT_Cry41Aa1,1,BT_Cry41Aa1,1,2,2,BT_Cry41Aa1,BT_Cry41Aa1,NOV_Cry32Ma1_57.7_AXY11484.1,1,1,1
28,BT_Cry7Cb1,no,domain3,NOV_Cry7Cb1_60.4_OTY00887.1,1,NOV_Cry7Cb1_60.4_OTY00887.1,1,BT_Cry7Ca1;NOV_Cry7Ca1_86.8_AGM39664.1;NOV_Cry7Ea2_99.9_AFI42038.1,3,BT_Cry7Ca1;NOV_Cry7Ca1_86.8_AGM39664.1,2,4,4,NOV_Cry7Ca1_86.8_AGM39664.1;BT_Cry7Ca1,NOV_Cry7Ca1_86.8_AGM39664.1;BT_Cry7Ca1;NOV_Cry7Ea2_99.9_AFI42038.1,NOV_Cry7Cb1_60.4_OTY00887.1,2,3,1
29,BT_Cry50Ba1;BT_Cry4Ba1;BT_Cry4Ba3;BT_Cry50Aa1;NOV_Cry4Ba1_63.8_OUB35623.1,no,domain3,BT_Cry30Fa1;BT_Cry30Aa1;BT_Cry30Ca1;BT_Cry30Ea1;BT_Cry30Ga1,5,BT_Cry30Ga1;BT_Cry30Ea1;BT_Cry30Fa1;BT_Cry30Ca1;BT_Cry30Aa1,5,BT_Cry19Aa1,1,BT_Cry19Aa1,1,6,6,BT_Cry19Aa1,BT_Cry19Aa1,BT_Cry30Aa1;BT_Cry30Ca1;BT_Cry30Ea1;BT_Cry30Fa1;BT_Cry30Ga1,1,1,5
32,BT_Cry7Bb1,no,domain3,BT_Cry7Ac1,1,BT_Cry7Ac1;NOV_Cry7Ba1_84.3_AFI42043.1,2,BT_Cry7Ba1,1,NOV_Cry7Ba1_84.3_AFI42043.1;BT_Cry7Ba1,2,2,4,BT_Cry7Ba1;NOV_Cry7Ba1_84.3_AFI42043.1,BT_Cry7Ba1;NOV_Cry7Ba1_84.3_AFI42043.1,BT_Cry7Ac1;NOV_Cry7Ba1_84.3_AFI42043.1,2,2,2
