Tox_type,Accession,Host_type,Group,Mode,Num_hosts,Trim_flag
unaff,GCA_003991175.1,Species,Rank4,Assemblies,7,Trimmed
unaff,GCA_003991175.1,Species,Rank4,Assemblies,7,Untrimmed
unaff,GCA_002893505.1,Species,Rank4,Assemblies,3,Trimmed
unaff,GCA_002893505.1,Species,Rank4,Assemblies,3,Untrimmed
unaff,GCA_002893585.1,Species,Rank4,Assemblies,3,Trimmed
unaff,GCA_002893585.1,Species,Rank4,Assemblies,3,Untrimmed
unaff,GCA_002146785.1,Species,Rank3,Assemblies,31,Untrimmed
unaff,GCA_002574895.1,Species,Rank3,Assemblies,15,Untrimmed
unaff,GCA_002550215.1,Species,Rank3,Assemblies,15,Untrimmed
unaff,GCA_002146315.1,Species,Rank3,Assemblies,26,Trimmed
unaff,GCA_002146315.1,Species,Rank3,Assemblies,73,Untrimmed
unaff,GCA_003991175.1,Species,Rank3,Assemblies,7,Trimmed
unaff,GCA_003991175.1,Species,Rank3,Assemblies,7,Untrimmed
unaff,GCA_002146905.1,Species,Rank3,Assemblies,1,Trimmed
unaff,GCA_002146905.1,Species,Rank3,Assemblies,1,Untrimmed
unaff,GCA_002571305.1,Species,Rank3,Assemblies,4,Trimmed
unaff,GCA_002571305.1,Species,Rank3,Assemblies,4,Untrimmed
unaff,GCA_002571105.1,Species,Rank3,Assemblies,15,Untrimmed
unaff,GCA_002146405.1,Species,Rank3,Assemblies,28,Trimmed
unaff,GCA_002146405.1,Species,Rank3,Assemblies,28,Untrimmed
unaff,GCA_000161715.1,Species,Rank3,Assemblies,18,Trimmed
unaff,GCA_000161715.1,Species,Rank3,Assemblies,63,Untrimmed
unaff,GCA_002146445.1,Species,Rank3,Assemblies,20,Trimmed
unaff,GCA_002146445.1,Species,Rank3,Assemblies,20,Untrimmed
unaff,GCA_000497525.2,Species,Rank3,Assemblies,15,Untrimmed
unaff,GCA_002146655.1,Species,Rank3,Assemblies,1,Trimmed
unaff,GCA_002146655.1,Species,Rank3,Assemblies,1,Untrimmed
unaff,GCA_002147375.1,Species,Rank3,Assemblies,26,Trimmed
unaff,GCA_002147375.1,Species,Rank3,Assemblies,73,Untrimmed
unaff,GCA_002558015.1,Species,Rank3,Assemblies,7,Trimmed
unaff,GCA_002558015.1,Species,Rank3,Assemblies,7,Untrimmed
unaff,GCA_002893565.1,Species,Rank3,Assemblies,20,Trimmed
unaff,GCA_002893565.1,Species,Rank3,Assemblies,65,Untrimmed
unaff,GCA_002564505.1,Species,Rank3,Assemblies,7,Trimmed
unaff,GCA_002564505.1,Species,Rank3,Assemblies,7,Untrimmed
unaff,GCA_002146545.1,Species,Rank3,Assemblies,20,Trimmed
unaff,GCA_002146545.1,Species,Rank3,Assemblies,20,Untrimmed
unaff,GCA_002146495.1,Species,Rank3,Assemblies,5,Trimmed
unaff,GCA_002146495.1,Species,Rank3,Assemblies,5,Untrimmed
unaff,GCA_002560695.1,Species,Rank3,Assemblies,7,Trimmed
unaff,GCA_002560695.1,Species,Rank3,Assemblies,17,Untrimmed
unaff,GCA_002146505.1,Species,Rank3,Assemblies,1,Trimmed
unaff,GCA_002146505.1,Species,Rank3,Assemblies,1,Untrimmed
unaff,GCA_002146605.1,Species,Rank3,Assemblies,1,Trimmed
unaff,GCA_002146605.1,Species,Rank3,Assemblies,1,Untrimmed
unaff,GCA_002146615.1,Species,Rank3,Assemblies,14,Trimmed
unaff,GCA_002146615.1,Species,Rank3,Assemblies,14,Untrimmed
unaff,GCA_001182785.1,Species,Rank3,Assemblies,5,Trimmed
unaff,GCA_001182785.1,Species,Rank3,Assemblies,5,Untrimmed
unaff,GCA_002148155.1,Species,Rank3,Assemblies,5,Trimmed
unaff,GCA_002148155.1,Species,Rank3,Assemblies,5,Untrimmed
unaff,GCA_002576585.1,Species,Rank3,Assemblies,7,Trimmed
unaff,GCA_002576585.1,Species,Rank3,Assemblies,17,Untrimmed
unaff,GCA_002173755.1,Species,Rank3,Assemblies,1,Trimmed
unaff,GCA_002173755.1,Species,Rank3,Assemblies,1,Untrimmed
unaff,GCA_002147895.1,Species,Rank3,Assemblies,3,Trimmed
unaff,GCA_002147895.1,Species,Rank3,Assemblies,3,Untrimmed
unaff,GCA_002146325.1,Species,Rank3,Assemblies,5,Trimmed
unaff,GCA_002146325.1,Species,Rank3,Assemblies,5,Untrimmed
unaff,GCA_002147025.1,Species,Rank3,Assemblies,1,Trimmed
unaff,GCA_002147025.1,Species,Rank3,Assemblies,1,Untrimmed
unaff,GCA_002147055.1,Species,Rank3,Assemblies,4,Trimmed
unaff,GCA_002147055.1,Species,Rank3,Assemblies,4,Untrimmed
unaff,GCA_002893505.1,Species,Rank3,Assemblies,3,Trimmed
unaff,GCA_002893505.1,Species,Rank3,Assemblies,3,Untrimmed
unaff,GCA_004354265.1,Species,Rank3,Assemblies,14,Trimmed
unaff,GCA_004354265.1,Species,Rank3,Assemblies,14,Untrimmed
unaff,GCA_000161735.1,Species,Rank3,Assemblies,11,Trimmed
unaff,GCA_000161735.1,Species,Rank3,Assemblies,11,Untrimmed
unaff,GCA_002147085.1,Species,Rank3,Assemblies,26,Trimmed
unaff,GCA_002147085.1,Species,Rank3,Assemblies,73,Untrimmed
unaff,GCA_000161595.1,Species,Rank3,Assemblies,5,Trimmed
unaff,GCA_000161595.1,Species,Rank3,Assemblies,5,Untrimmed
unaff,GCA_000161555.1,Species,Rank3,Assemblies,3,Trimmed
unaff,GCA_000161555.1,Species,Rank3,Assemblies,3,Untrimmed
unaff,GCA_000878525.1,Species,Rank3,Assemblies,3,Trimmed
unaff,GCA_000878525.1,Species,Rank3,Assemblies,3,Untrimmed
unaff,GCA_000292705.1,Species,Rank3,Assemblies,14,Trimmed
unaff,GCA_000292705.1,Species,Rank3,Assemblies,14,Untrimmed
unaff,GCA_001968805.1,Species,Rank3,Assemblies,4,Trimmed
unaff,GCA_001968805.1,Species,Rank3,Assemblies,4,Untrimmed
unaff,GCA_000530375.1,Species,Rank3,Assemblies,2,Trimmed
unaff,GCA_000530375.1,Species,Rank3,Assemblies,2,Untrimmed
unaff,GCA_002147315.1,Species,Rank3,Assemblies,18,Trimmed
unaff,GCA_002147315.1,Species,Rank3,Assemblies,63,Untrimmed
unaff,GCA_002147325.1,Species,Rank3,Assemblies,11,Trimmed
unaff,GCA_002147325.1,Species,Rank3,Assemblies,63,Untrimmed
unaff,GCA_002558525.1,Species,Rank3,Assemblies,7,Trimmed
unaff,GCA_002558525.1,Species,Rank3,Assemblies,7,Untrimmed
unaff,GCA_002586085.1,Species,Rank3,Assemblies,4,Trimmed
unaff,GCA_002586085.1,Species,Rank3,Assemblies,4,Untrimmed
unaff,GCA_002147105.1,Species,Rank3,Assemblies,26,Trimmed
unaff,GCA_002147105.1,Species,Rank3,Assemblies,73,Untrimmed
unaff,GCA_002893585.1,Species,Rank3,Assemblies,3,Trimmed
unaff,GCA_002893585.1,Species,Rank3,Assemblies,3,Untrimmed
unaff,GCA_002146425.1,Species,Rank3,Assemblies,28,Trimmed
unaff,GCA_002146425.1,Species,Rank3,Assemblies,28,Untrimmed
unaff,GCA_002148045.1,Species,Rank3,Assemblies,5,Trimmed
unaff,GCA_002148045.1,Species,Rank3,Assemblies,5,Untrimmed
unaff,GCA_001402735.1,Species,Rank3,Assemblies,13,Trimmed
unaff,GCA_001402735.1,Species,Rank3,Assemblies,13,Untrimmed
unaff,GCA_002147955.1,Species,Rank3,Assemblies,5,Trimmed
unaff,GCA_002147955.1,Species,Rank3,Assemblies,5,Untrimmed
unaff,GCA_000300475.1,Species,Rank3,Assemblies,6,Trimmed
unaff,GCA_000300475.1,Species,Rank3,Assemblies,6,Untrimmed
unaff,GCA_004009875.1,Species,Rank3,Assemblies,2,Trimmed
unaff,GCA_004009875.1,Species,Rank3,Assemblies,2,Untrimmed
unaff,GCA_002146815.1,Species,Rank3,Assemblies,1,Trimmed
unaff,GCA_002146815.1,Species,Rank3,Assemblies,1,Untrimmed
unaff,GCA_000600315.1,Species,Rank3,Assemblies,26,Trimmed
unaff,GCA_000600315.1,Species,Rank3,Assemblies,73,Untrimmed
unaff,GCA_002147415.1,Species,Rank3,Assemblies,5,Trimmed
unaff,GCA_002147415.1,Species,Rank3,Assemblies,5,Untrimmed
unaff,GCA_004194435.2,Species,Rank3,Assemblies,14,Trimmed
unaff,GCA_004194435.2,Species,Rank3,Assemblies,14,Untrimmed
unaff,GCA_001598095.1,Species,Rank3,Assemblies,19,Trimmed
unaff,GCA_001598095.1,Species,Rank3,Assemblies,64,Untrimmed
rec,GCA_002564505.1,Species,Rank4,Assemblies,7,Trimmed
rec,GCA_002564505.1,Species,Rank4,Assemblies,7,Untrimmed
rec,GCA_002571305.1,Species,Rank4,Assemblies,4,Trimmed
