ID	Rec_min	Min_par	Maj1_par	Rec_maj1	Maj2_par	Rec_maj2	Type	Unknown_flag	Rec_len	Min_len	Maj1_len	Maj2_len	Min_evol	Maj1_evol	Maj2_evol
0	BT_Cry8Ja1	BT_Cry8Ca1	BT_Cry8Ea2	BT_Cry8Ja1	BT_Cry8Ea2;NOV_Cry8Ea3_99.9_ABB29863.1;NOV_Cry8Ea3_99.9_AEA51183.1	BT_Cry8Ja1	domain3	no	1	2	2	2	10	7	7
2	NOV_Cry1Da1_84.8_ABK35074.1	BT_Cry1A-like;BT_Cry1Aa10;BT_Cry1Aa14;BT_Cry1Ab12;BT_Cry1Ab19;BT_Cry1Ab2;BT_Cry1Ab24;BT_Cry1Ab27;BT_Cry1Ab6;BT_Cry1Ad1;BT_Cry1Ag1;NOV_Cry1Aa12_99.5_AFX69046.1;NOV_Cry1Aa12_99.7_AEB21634.1;NOV_Cry1Aa12_99.9_OUA40850.1;NOV_Cry1Ab12_91.4_AAK14338.1;NOV_Cry1Ab32_92.7_AAK14337.1;NOV_Cry1Ad2_87.7_AIW52617.1	BT_Cry1A-like;BT_Cry1Aa1;BT_Cry1Aa10;BT_Cry1Ab12;BT_Cry1Ab2;BT_Cry1Ab24;BT_Cry1Ab7;BT_Cry1Ac12;BT_Cry1Ac39;BT_Cry1Ad1;BT_Cry1Ag1;BT_Cry1Ah2;BT_Cry1Ai1;BT_Cry1Da1;BT_Cry1Db1;BT_Cry1Ea10;BT_Cry1Eb1;NOV_Cry1Aa11_99.8_AER40296.1;NOV_Cry1Aa12_99.5_AFX69046.1;NOV_Cry1Aa12_99.9_OUA40850.1;NOV_Cry1Ab12_91.4_AAK14338.1;NOV_Cry1Ab12_99.3_ACU65107.1;NOV_Cry1Ab12_99.5_ACB05714.1;NOV_Cry1Ab32_92.7_AAK14337.1;NOV_Cry1Ac10_99.0_AKJ79185.1;NOV_Cry1Ac10_99.8_ADB44078.1;NOV_Cry1Ac13_97.5_AXE42971.1;NOV_Cry1Ac23_90.7_CAQ03747.1;NOV_Cry1Ad2_87.7_AIW52617.1;NOV_Cry1Da1_83.2_AIW52615.1;NOV_Cry1Ea10_93.2_AAX86871.1	NOV_Cry1Da1_84.8_ABK35074.1	BT_Cry1Da1;BT_Cry1Da4;NOV_Cry1Da3_99.9_OTZ53868.1	NOV_Cry1Da1_84.8_ABK35074.1	domain3	no	1	10	29	2	44	83	12
3	NOV_Cry7Ba1_84.3_AFI42043.1	BT_Cry7Ac1	BT_Cry7Ba1	NOV_Cry7Ba1_84.3_AFI42043.1	BT_Cry7Ba1	NOV_Cry7Ba1_84.3_AFI42043.1	domain3	no	1	2	2	2	8	8	8
6	BT_Cry24Ca1	BT_Cry40Ba1	BT_Cry24Da1	BT_Cry24Ca1	BT_Cry24Da1	BT_Cry24Ca1	domain3	no	1	2	2	2	8	27	8
8	BT_Cry71Aa1	BT_Cry72Aa1	NOV_Cry71Aa1_65.9_PEU78325.1	BT_Cry71Aa1	NOV_Cry71Aa1_65.9_PEU78325.1	BT_Cry71Aa1	domain3	no	1	2	2	2	10	10	8
10	NOV_Cry7Ca1_86.8_AGM39664.1	BT_Cry7Ha1	NOV_Cry7Ca1_99.7_ABR67863.2	NOV_Cry7Ca1_86.8_AGM39664.1	NOV_Cry7Ca1_99.7_ABR67863.2	NOV_Cry7Ca1_86.8_AGM39664.1	domain3	no	1	2	2	2	7	7	7
13	NOV_Cry4Ba1_63.7_AJW76684.1	BT_Cry50Ba1;NOV_Cry50Ba2_97.6_AFI42042.1	NOV_Cry4Ba1_63.8_OUB35623.1	NOV_Cry4Ba1_63.7_AJW76684.1	NOV_Cry4Ba1_63.8_OUB35623.1	NOV_Cry4Ba1_63.7_AJW76684.1	domain3	no	1	2	2	2	8	8	10
14	BT_Cry1Cb1	BT_Cry1Be1;BT_Cry1Bf1;BT_Cry1Bg1;BT_Cry1Eb1	BT_Cry1Ca11;NOV_Cry1Ca2_99.9_CAA00882.1;NOV_Cry1Ca4_99.9_QBO56621.1	BT_Cry1Cb1	BT_Cry1Ca11;BT_Cry1Ca3;NOV_Cry1Ca2_99.9_CAA00882.1	BT_Cry1Cb1	domain3	no	1	5	2	2	19	8	12
17	BT_Cry1Fa1	BT_Cry1Ig1;BT_Cry1Ka2	BT_Cry1Fb1	BT_Cry1Fa1	BT_Cry1Fb1;BT_Cry1Fb3	BT_Cry1Fa1	domain3	no	1	3	2	2	11	41	32
19	BT_Cry9Ga1	BT_Cry1Ga2;BT_Cry1Gb1	BT_Cry9Aa1	BT_Cry9Ga1	BT_Cry9Aa1	BT_Cry9Ga1	domain3	no	1	19	2	2	44	14	8
22	BT_Cry8Pa1	NOV_Cry8Ba1_88.6_AEP25412.1	unknown	BT_Cry8Pa1	unknown	BT_Cry8Pa1	domain2	major	1	2	3	0	8	8	8
23	BT_Cry52Ba1	BT_Cry40Aa1;BT_Cry52Ca1	NOV_Cry52Ca1_62.9_AZJ24464.1	BT_Cry52Ba1	BT_Cry52Ca1;NOV_Cry52Ca1_62.9_AZJ24464.1	BT_Cry52Ba1	domain3	no	1	12	3	8	25	10	16
24	BT_Cry1Ig1	BT_Cry1Ka2	BT_Cry1Ia11;BT_Cry1Ia15;BT_Cry1Ia18;BT_Cry1Ia29;BT_Cry1Ia30;BT_Cry1Ib1;BT_Cry1Ib2;BT_Cry1Ib4;BT_Cry1Ib8;BT_Cry1Ic1;BT_Cry1Ie3;BT_Cry1Ie4;NOV_Cry1Ia14_99.2_WP_079246652.1;NOV_Cry1Ie5_79.3_PQQ47595.1	BT_Cry1Ig1	BT_Cry1Ia11;BT_Cry1Ia20;BT_Cry1Ia24;BT_Cry1Ia6;BT_Cry1Ia8	BT_Cry1Ig1	domain3	no	1	2	6	2	11	30	9
27	NOV_Cry41Ba2_43.6_BAD35163.1	NOV_Cry32Ma1_57.7_AXY11484.1	NOV_Cry41Ba2_47.9_BAD35157.1	NOV_Cry41Ba2_43.6_BAD35163.1	NOV_Cry41Ba2_47.9_BAD35157.1	NOV_Cry41Ba2_43.6_BAD35163.1	domain3	no	1	2	2	2	8	12	7
28	BT_Cry7Cb1	NOV_Cry7Cb1_60.4_OTY00887.1	NOV_Cry7Ca1_86.8_AGM39664.1;NOV_Cry7Ca1_99.7_ABR67863.2	BT_Cry7Cb1	NOV_Cry7Ca1_86.8_AGM39664.1;NOV_Cry7Ca1_99.7_ABR67863.2;NOV_Cry7Ea2_99.9_AFI42038.1	BT_Cry7Cb1	domain3	no	1	2	3	4	7	8	7
29	BT_Cry4Ba1;BT_Cry4Ba3;BT_Cry50Aa1;BT_Cry50Ba1;NOV_Cry4Ba1_63.8_OUB35623.1;NOV_Cry4Ba1_98.1_ABR22240.1;NOV_Cry4Ba1_98.5_ABR22238.1;NOV_Cry4Ba1_98.9_ABR22236.1;NOV_Cry4Ba1_98.9_ABR22237.1;NOV_Cry50Ba2_97.6_AFI42042.1	BT_Cry30Aa1;BT_Cry30Ca1;BT_Cry30Ea1;BT_Cry30Fa1;BT_Cry30Ga1	BT_Cry19Aa1	BT_Cry4Ba1;BT_Cry4Ba3;BT_Cry50Aa1;BT_Cry50Ba1;NOV_Cry4Ba1_63.8_OUB35623.1;NOV_Cry4Ba1_98.1_ABR22240.1;NOV_Cry4Ba1_98.5_ABR22238.1;NOV_Cry4Ba1_98.9_ABR22236.1;NOV_Cry4Ba1_98.9_ABR22237.1;NOV_Cry50Ba2_97.6_AFI42042.1	BT_Cry19Aa1	BT_Cry4Ba1;BT_Cry4Ba3;BT_Cry50Aa1;BT_Cry50Ba1;NOV_Cry4Ba1_63.8_OUB35623.1;NOV_Cry4Ba1_98.1_ABR22240.1;NOV_Cry4Ba1_98.5_ABR22238.1;NOV_Cry4Ba1_98.9_ABR22236.1;NOV_Cry4Ba1_98.9_ABR22237.1;NOV_Cry50Ba2_97.6_AFI42042.1	domain3	no	368	368	345	361	368	345	361
32	BT_Cry7Bb1	BT_Cry7Ac1;NOV_Cry7Ba1_84.3_AFI42043.1	BT_Cry7Ba1;NOV_Cry7Ba1_84.3_AFI42043.1	BT_Cry7Bb1	BT_Cry7Ba1;NOV_Cry7Ba1_84.3_AFI42043.1	BT_Cry7Bb1	domain3	no	1	6	3	3	8	7	7
34	NOV_Cry14Ab1_42.4_PGW46196.1	NOV_Cry14Aa1_44.0_PGW42274.1	NOV_Cry14Aa1_41.1_PGW46198.1	NOV_Cry14Ab1_42.4_PGW46196.1	NOV_Cry14Aa1_41.1_PGW46198.1	NOV_Cry14Ab1_42.4_PGW46196.1	domain1	no	1	2	2	2	8	8	10
36	BT_Cry32Wa1	BT_Cry32Pa1	BT_Cry32Ma1;BT_Cry32Mb1	BT_Cry32Wa1	BT_Cry32Ma1;BT_Cry32Mb1	BT_Cry32Wa1	domain3	no	1	2	3	5	8	7	10
37	BT_Cry52Ca1	BT_Cry40Aa1	BT_Cry52Aa1;BT_Cry52Ba1;NOV_Cry52Ca1_62.9_AZJ24464.1	BT_Cry52Ca1	NOV_Cry52Ca1_62.9_AZJ24464.1	BT_Cry52Ca1	domain3	no	1	2	4	2	12	10	8
38	BT_Cry59Ba1	BT_Cry40Ba1;BT_Cry40Ca1;BT_Cry40Da1;NOV_Cry40Da1_65.0_CAH33957.1;NOV_Cry40Da1_66.9_PEU78339.1;NOV_Cry40Da1_77.3_ARJ25823.1;NOV_Cry40Da1_81.5_AIN76756.1	BT_Cry59Aa1	BT_Cry59Ba1	BT_Cry59Aa1	BT_Cry59Ba1	domain1	no	1	10	2	2	22	8	8
39	BT_Cry52Aa1	BT_Cry40Aa1;BT_Cry52Ca1	NOV_Cry52Ca1_62.9_AZJ24464.1	BT_Cry52Aa1	BT_Cry52Ca1;NOV_Cry52Ca1_62.9_AZJ24464.1	BT_Cry52Aa1	domain3	no	1	12	3	8	28	10	16
44	BT_Cry9Ee1	BT_Cry9Bb1	BT_Cry9Ec1;BT_Cry9Ed1	BT_Cry9Ee1	BT_Cry9Ec1;BT_Cry9Ed1	BT_Cry9Ee1	domain3	no	1	2	4	4	15	11	8
45	NOV_Cry40Da1_65.0_CAH33957.1	NOV_Cry40Da1_66.9_PEU78339.1	BT_Cry40Da1;NOV_Cry40Da1_77.3_ARJ25823.1;NOV_Cry40Da1_81.5_AIN76756.1	NOV_Cry40Da1_65.0_CAH33957.1	unknown	NOV_Cry40Da1_65.0_CAH33957.1	domain1	no	1	2	4	0	10	10	12
47	BT_Cry2Ai1	BT_Cry2Ac10;BT_Cry2Ac11;BT_Cry2Ac12;BT_Cry2Ac7;NOV_Cry2Ac6_99.7_ACA52278.1	BT_Cry2Aa13;BT_Cry2Aa17;BT_Cry2Aa5;BT_Cry2Aa8;NOV_Cry2Aa1_99.2_AJA30268.1	BT_Cry2Ai1	BT_Cry2Aa13;BT_Cry2Aa5;NOV_Cry2Aa1_97.8_ALV82138.1;NOV_Cry2Aa1_99.2_AJA30268.1	BT_Cry2Ai1	domain1	no	1	2	2	2	31	32	31
49	NOV_Cry8Ab1_80.0_AMR06151.1	BT_Cry8Ra1	BT_Cry8Ab1	NOV_Cry8Ab1_80.0_AMR06151.1	BT_Cry8Ab1	NOV_Cry8Ab1_80.0_AMR06151.1	domain3	no	1	2	4	2	9	8	9
51	BT_Cry8Fa2	BT_Cry8Ga1	BT_Cry8Qa1	BT_Cry8Fa2	BT_Cry8Qa1	BT_Cry8Fa2;BT_Cry8Fa3	domain3	no	1	2	2	2	7	8	7
52	NOV_Cry9Ga1_57.2_PEU81077.1	BT_Cry68Aa1;NOV_Cry68Aa1_74.8_WP_103592020.1;NOV_Cry68Aa1_80.1_PEU91245.1	NOV_Cry9Ga1_58.0_AJS57594.1	NOV_Cry9Ga1_57.2_PEU81077.1	NOV_Cry9Ga1_58.0_AJS57594.1	NOV_Cry9Ga1_57.2_PEU81077.1	domain3	no	1	4	4	4	10	14	8
53	BT_Cry1Jd1	unknown	BT_Cry1Jb1	BT_Cry1Jd1	BT_Cry1Ja1;BT_Cry1Jb1	BT_Cry1Jd1	domain3	minor	1	0	3	4	9	8	29
56	BT_Cry9Ca1	unknown	BT_Cry9Ec1;BT_Cry9Ed1	BT_Cry9Ca1	BT_Cry1Jb1;BT_Cry9Ea10;BT_Cry9Ea5;BT_Cry9Ec1;BT_Cry9Ed1	BT_Cry9Ca1	domain1	minor	1	0	4	14	7	8	31
60	BT_Cry32Ha1;BT_Cry32Hb1	BT_Cry32Ka1	BT_Cry32Oa1	BT_Cry32Ha1;BT_Cry32Hb1	BT_Cry32Oa1	BT_Cry32Ha1;BT_Cry32Hb1	domain3	no	2	3	3	3	7	8	7
62	BT_Cry1Db1	NOV_Cry1Da1_83.2_AIW52615.1	BT_Cry1Da1;BT_Cry1Da4;NOV_Cry1Da1_84.8_ABK35074.1;NOV_Cry1Da3_99.9_OTZ53868.1	BT_Cry1Db1	BT_Cry1Da1;NOV_Cry1Da3_99.9_OTZ53868.1	BT_Cry1Db1	domain1	no	1	2	4	2	31	12	7
65	BT_Cry30Da1;BT_Cry30Db1	unknown	NOV_Cry30Ga2_64.5_ARJ25665.1	BT_Cry30Da1;BT_Cry30Db1	NOV_Cry30Ga2_64.5_ARJ25665.1	BT_Cry30Da1;BT_Cry30Db1	domain2	minor	2	0	4	368	9	9	368
