ID,Domain,Curr_domain,Rec,Par,Par_type,Dom_type,Dataset,Ident
0,domain3,domain3,BT_Cry8Ja1,BT_Cry8Ca1,Minor,Transferred,filt_tree,100
0,domain3,domain1,BT_Cry8Ja1,BT_Cry8Ca1,Minor,Non_transferred,filt_tree,59.5744680851064
0,domain3,domain2,BT_Cry8Ja1,BT_Cry8Ca1,Minor,Non_transferred,filt_tree,51.1083743842365
0,domain3,domain3,BT_Cry8Ja1,BT_Cry8Ea2,Major,Non_transferred,filt_tree,48.9655172413793
0,domain3,domain1,BT_Cry8Ja1,BT_Cry8Ea2,Major,Transferred,filt_tree,100
0,domain3,domain2,BT_Cry8Ja1,BT_Cry8Ea2,Major,Transferred,filt_tree,99.0243902439024
2,domain3,domain3,BT_Cry1Dc1,NOV_Cry1Ab32_92.7_AAK14337.1,Minor,Transferred,filt_tree,99.4219653179191
2,domain3,domain1,BT_Cry1Dc1,NOV_Cry1Ab32_92.7_AAK14337.1,Minor,Non_transferred,filt_tree,62.1293800539084
2,domain3,domain2,BT_Cry1Dc1,NOV_Cry1Ab32_92.7_AAK14337.1,Minor,Non_transferred,filt_tree,48.6692015209125
2,domain3,domain3,BT_Cry1Dc1,BT_Cry1Aa10,Minor,Transferred,filt_tree,99.4219653179191
2,domain3,domain1,BT_Cry1Dc1,BT_Cry1Aa10,Minor,Non_transferred,filt_tree,62.3481781376518
2,domain3,domain2,BT_Cry1Dc1,BT_Cry1Aa10,Minor,Non_transferred,filt_tree,50.5806451612903
2,domain3,domain3,BT_Cry1Dc1,BT_Cry1Ab2,Minor,Transferred,filt_tree,97.9827089337176
2,domain3,domain1,BT_Cry1Dc1,BT_Cry1Ab2,Minor,Non_transferred,filt_tree,62.5675675675676
2,domain3,domain2,BT_Cry1Dc1,BT_Cry1Ab2,Minor,Non_transferred,filt_tree,50.379746835443
2,domain3,domain3,BT_Cry1Dc1,BT_Cry1Ad1,Minor,Transferred,filt_tree,94.9152542372881
2,domain3,domain1,BT_Cry1Dc1,BT_Cry1Ad1,Minor,Non_transferred,filt_tree,60.4
2,domain3,domain2,BT_Cry1Dc1,BT_Cry1Ad1,Minor,Non_transferred,filt_tree,49.6173469387755
2,domain3,domain3,BT_Cry1Dc1,BT_Cry1Ab1,Minor,Transferred,filt_tree,99.4219653179191
2,domain3,domain1,BT_Cry1Dc1,BT_Cry1Ab1,Minor,Non_transferred,filt_tree,62.5675675675676
2,domain3,domain2,BT_Cry1Dc1,BT_Cry1Ab1,Minor,Non_transferred,filt_tree,49.8084291187739
