Rec,Min_par,Maj_par,Unknown_flag,Type,start,stop,d1_start,d1_stop,d2_start,d2_stop,d3_start,d3_stop,Pval,r_min_1,r_min_2,r_min_3,r_maj_1,r_maj_2,r_maj_3
BT_Cry8Ja1,BT_Cry8Ca1,BT_Cry8Ea2,no,domain3,1258,1714,1,598,622,1234,1276,1714,6.66117351324255E-96,59.5744680851064,51.1083743842365,100,100,99.0243902439024,48.9655172413793
BT_Cry1Ac39;BT_Cry1Aa10;BT_Cry1Ab1;BT_Cry1Ab2;BT_Cry1Ad1;BT_Cry1Ag1;BT_Cry1Ai1;NOV_Cry1Ab12_91.4_AAK14338.1;NOV_Cry1Ab32_92.7_AAK14337.1;NOV_Cry1Ac23_90.7_CAQ03747.1,NOV_Cry1Ea10_93.2_AAX86871.1;BT_Cry1Aa10;BT_Cry1Ag1;NOV_Cry1Ab32_92.7_AAK14337.1,BT_Cry1Ah2,no,domain1,1,489,1,604,628,1234,1264,1678,6.69632611551971E-106,90.2053074459999,69.2670588909794,70.0623476070935,65.9900898818449,81.937480116855,64.7124464990515
BT_Cry1Dc1,NOV_Cry1Ab20_69.9_AAK14339.1;BT_Cry1Aj1,BT_Cry1Da1;BT_Cry1Db1;BT_Cry1Dd1,no,domain3,1292,1636,1,601,625,1201,1228,1639,5.00736297597416E-78,52.143432715552,48.7509912767645,83.7679043248505,65.2258855578775,82.8916976731059,58.7426553623476
NOV_Cry7Ba1_84.3_AFI42043.1,BT_Cry7Ac1,BT_Cry7Ba1,no,domain3,1391,1711,1,598,628,1264,1288,1711,1.56635601892342E-73,55.46875,50.3640776699029,86.9179600886918,88.9240506329114,87.7218934911243,58.5227272727273
BT_Cry1Bb1,BT_Cry1Ja1,BT_Cry1Bd1;BT_Cry1Bh1;BT_Cry1Bj1,no,domain3,1304,1699,1,604,628,1264,1294,1699,3.62097223861279E-71,53.2401524777637,49.8141263940521,77.6315789473684,89.1913641913642,85.043881013057,53.560233450257
BT_Cry1Bj1;BT_Cry1Bd1;BT_Cry1Bh1,BT_Cry1Ah2,BT_Cry1Be1;BT_Cry1Bf1;BT_Cry1Bg1,no,domain3,1276,1699,1,604,628,1258,1282,1699,7.02839897405829E-70,53.9576700245316,50.4276446183858,80.2612600251975,78.157161321152,74.6960414168791,51.8382352941177
BT_Cry24Ca1,BT_Cry40Ba1,BT_Cry24Da1,no,domain3,1369,1732,1,634,658,1306,1333,1732,3.75861913117583E-66,52.6881720430108,51.4563106796116,91.1057692307692,87.0014771048745,86.7435158501441,55.1526717557252
BT_Cry1Ah2;BT_Cry1Ac39;NOV_Cry1Ac23_90.7_CAQ03747.1,BT_Cry1Aj1,NOV_Cry1Ab20_69.9_AAK14339.1,minor,domain3,1243,1672,1,604,628,1231,1255,1672,1.54242440468008E-65,70.6381215740999,66.717631207729,49.9130440070294,59.5189714931539,69.6530107452532,50.3508777329613
BT_Cry71Aa1,BT_Cry72Aa1,NOV_Cry71Aa1_65.9_PER41598.1,no,domain3,1370,1774,1,601,625,1276,1306,1774,1.59387043178865E-65,52.3316062176166,49.4687131050767,81.8713450292398,68.5240963855422,85.734664764622,51.2908777969019
BT_Cry1Ja1,BT_Cry1Fb1,BT_Cry1Jd1;NOV_Cry1Jc1_99.1_AAS93799.1,no,domain3,1253,1636,1,604,628,1201,1231,1636,5.48805453968244E-63,59.946949602122,51.1688311688312,90.5882352941176,81.630213637508,78.2669933537757,51.1039809303203
NOV_Cry7Ca1_86.8_AGM39664.1,BT_Cry7Ha1,BT_Cry7Ca1,no,domain3,1300,1643,1,610,634,1270,1300,1732,1.38880405186517E-79,56.2337662337662,51.8564356435644,80.2494802494803,99.3453355155483,99.3730407523511,50.8137432188065
BT_Cry1Bf1;BT_Cry1Be1;BT_Cry1Bg1,BT_Cry1Eb1,BT_Cry1Ba1,no,domain3,1284,1620,1,604,628,1261,1285,1696,2.41691845092023E-58,52.9965617319432,50.1860243242501,88.7096774193548,89.7952966097242,81.7667362276762,53.9325842696629
BT_Cry30Ba1,BT_Cry50Ba1;NOV_Cry4Ba1_63.7_AJW76684.1,BT_Cry30Fa1;BT_Cry30Aa1;BT_Cry30Ca1;BT_Cry30Ea1,minor,domain3,1336,1705,1,634,658,1276,1306,1705,2.59715993854095E-56,51.6470946061231,52.9247311827957,53.8735555162212,72.1890118054257,77.2379006407404,55.7065311032026
NOV_Cry4Ba1_63.7_AJW76684.1,BT_Cry50Ba1,NOV_Cry4Ba1_63.8_OUB35623.1,no,domain3,1285,1714,1,619,667,1222,1252,1714,2.07402718023579E-54,51.4851485148515,78.7539936102236,92.7685950413223,90.1538461538462,91.2820512820513,64.7368421052632
BT_Cry1Cb1,BT_Cry1Eb1,BT_Cry1Ca11,no,domain3,1224,1557,1,604,637,1225,1252,1660,2.52746788663148E-54,58.9403973509934,53.5340314136126,86.7276887871854,90.521327014218,90.9090909090909,54.3636363636364
NOV_Cry30Ga2_64.5_ARJ25665.1,BT_Cry50Ba1;BT_Cry50Aa1,BT_Cry30Ga1;BT_Cry30Da1;BT_Cry30Db1,minor,domain3,1336,1708,1,631,655,1273,1303,1708,8.16876698354932E-62,51.2863394250256,53.6202692405385,51.6871055651176,84.342867607057,74.6194669661223,53.3983528945737
BT_Cry9Eb1,BT_Cry9Da1,BT_Cry9Ea10,no,domain3,1312,1693,1,616,643,1252,1282,1693,1.71214889638686E-51,68.3127572016461,52.7075812274368,95.4976303317536,71.7877094972067,92.7215189873418,57.4427480916031
BT_Cry1Fa1,BT_Cry1Ig1,BT_Cry1Fb1,no,domain3,1231,1660,1,604,628,1219,1249,1660,2.09675279194536E-51,52.0807061790668,52.2443890274314,77.1855010660981,94.2028985507247,95.6953642384106,60.3143418467583
NOV_Cry40Aa1_67.9_CQ868314.1,BT_Cry52Ba1;BT_Cry52Aa1,BT_Cry40Aa1,minor,domain3,1355,1774,1,673,697,1279,1312,1774,1.46621184649191E-50,49.5630388238071,49.8157245376135,48.1689042664653,89.3408134642356,77.4390243902439,50.2654867256637
BT_Cry9Ga1,BT_Cry1Gb1,BT_Cry9Aa1,no,domain3,1336,1744,1,637,661,1303,1336,1744,1.75834688357883E-50,49.2700729927007,49.6350364963504,69.8347107438017,97.8227060653188,87.719298245614,54.5283018867925
BT_Cry1Dc1,BT_Cry1Ha1;BT_Cry1Hb1;BT_Cry1Hc1,BT_Cry1Da1;BT_Cry1Db1,no,domain1_partial,1,351,1,601,625,1201,1228,1639,3.36370979928136E-50,75.5856143122053,53.8703535200351,56.990449368638,66.0020936429387,90.9558338826631,58.702218337639
BT_Cry1Ai1,BT_Cry1Aa10;BT_Cry1Ab1;BT_Cry1Ab2;BT_Cry1Ad1;BT_Cry1Ag1;NOV_Cry1Ab20_69.9_AAK14339.1;NOV_Cry1Ab12_91.4_AAK14338.1;NOV_Cry1Ab32_92.7_AAK14337.1;BT_Cry1Aj1,BT_Cry1Id1;BT_Cry1Ia11;BT_Cry1Ia17;BT_Cry1Ic1;BT_Cry1Ie4;BT_Cry1Ma1,major,domain3,1254,1672,1,604,628,1231,1255,1672,1.55530760822966E-57,86.8948395504508,76.1132194043089,50.3214852371968,53.9305215704694,49.7577153958913,53.1414982040244
BT_Cry8Pa1,NOV_Cry8Ba1_88.6_AEP25412.1,BT_Cry8Ba1,major,domain2,542,1185,1,604,628,1291,1297,1714,1.80982229435009E-47,75.4716981132076,93.75,47.2837022132797,74.7109826589595,71.0353866317169,49.1891891891892
BT_Cry52Ba1,BT_Cry40Aa1,NOV_Cry52Ca1_62.9_AZJ24464.1,no,domain3,1363,1702,1,610,652,1288,1312,1702,2.50297015500022E-45,49.3039443155452,49.2647058823529,74.2152466367713,77.4962742175857,62.778505897772,50.278293135436
BT_Cry1Ig1,BT_Cry1Ka2,BT_Cry1Ia11;BT_Cry1Ia17;BT_Cry1Ic1;BT_Cry1Id1;BT_Cry1Ie4,no,domain3,1263,1696,1,604,628,1258,1276,1696,4.41858193216353E-43,60.8,58.1749049429658,80.9110629067245,77.1604119645054,89.1357369619024,57.5635400979383
BT_Cry8Db1,BT_Cry8Ha1;BT_Cry8Hb1;NOV_Cry8Ha1_89.4_ABB29866.1;NOV_Cry8Ha1_89.8_ATY50148.1,BT_Cry8Da1,minor,domain3,1336,1756,1,607,631,1297,1324,1756,9.40734750779638E-43,57.4804505691837,51.8028220643173,51.8824663891077,100,97.0802919708029,50.8021390374332
NOV_Cry1Ab20_69.9_AAK14339.1,NOV_Cry1Ea10_93.2_AAX86871.1,BT_Cry1Aj1,no,domain1_partial,1,401,1,367,715,1210,1216,1657,1.97077318827763E-42,59.0834697217676,47.5476839237057,54.6788990825688,47.2644376899696,56.9364161849711,93.6542669584245
BT_Cry41Ab1,NOV_Cry32Ma1_57.7_AXY11484.1,BT_Cry41Aa1,no,domain3,1321,1786,1,703,727,1336,1360,1786,2.35967624962378E-37,54.5652173913043,54.0436456996149,68.7128712871287,100,98.694942903752,53.0499075785582
BT_Cry7Cb1,NOV_Cry7Cb1_60.4_OTY00887.1,BT_Cry7Ca1;NOV_Cry7Ca1_86.8_AGM39664.1;NOV_Cry7Ea2_99.9_AFI42038.1,no,domain3,1282,1759,1,610,634,1297,1327,1759,9.86245315490051E-37,55.6532663316583,52.2860492379836,69.488188976378,85.0536207765979,68.6166398339852,50.5278736293229
BT_Cry50Ba1;BT_Cry4Ba1;BT_Cry4Ba3;BT_Cry50Aa1;NOV_Cry4Ba1_63.8_OUB35623.1,BT_Cry30Fa1;BT_Cry30Aa1;BT_Cry30Ca1;BT_Cry30Ea1;BT_Cry30Ga1,BT_Cry19Aa1,no,domain3,1295,1711,1,607,655,1219,1240,1711,1.50083416362365E-36,51.775969529846,52.4828013745197,66.1115131201831,54.5637743238232,51.6387217810142,50.2616759263408
BT_Cry9Aa1,BT_Cry68Aa1;NOV_Cry68Aa1_74.8_WP_103592020.1;NOV_Cry68Aa1_80.1_PER38368.1,NOV_Cry9Ga1_57.2_PER39584.1,minor,domain3,1342,1740,1,637,661,1303,1330,1741,8.86180421075058E-36,52.8378248876435,54.9352827384266,50.3755819391388,68.9747003994674,64.9805447470817,51.1363636363636
BT_Cry1Eb1,BT_Cry1Ca11,BT_Cry1Ea10;NOV_Cry1Ea10_93.2_AAX86871.1,minor,domain3,1218,1645,1,598,625,1210,1237,1645,1.41138510586425E-51,58.311345646438,53.3333333333333,53.5262206148282,78.9423780690665,81.5789473684211,54.2857142857143
BT_Cry7Bb1,BT_Cry7Ac1,BT_Cry7Ba1,no,domain3,1397,1700,1,604,634,1267,1291,1717,7.02393361187483E-35,53.6491677336748,50.9157509157509,71.2550607287449,70.697012802276,73.4246575342466,59.0909090909091
NOV_Cry8Ab1_80.3_AFP44678.1,BT_Cry8Qa1;BT_Cry8Fa2,BT_Cry8Ac1;BT_Cry8Ab1;NOV_Cry8Ab1_80.0_AMR06151.1,minor,domain3,1296,1738,1,604,628,1291,1321,1738,9.82434536911455E-35,60.634916292811,51.0285874767427,51.4985458591142,91.782744717756,88.6032966310908,50.80419224206
NOV_Cry14Ab1_42.4_PGW46196.1,NOV_Cry14Aa1_44.0_PGW42274.1,NOV_Cry14Aa1_41.1_PGW46198.1,no,domain1,1,738,1,679,697,1366,1372,1831,2.07932203031603E-34,77.7195281782438,58.0985915492958,54.1811846689896,55.6571428571429,90.5982905982906,80.3536345776032
BT_Cry1Ka2,BT_Cry1Bb1;BT_Cry1Bd1;BT_Cry1Bh1,BT_Cry1Ma1,no,domain1,1,622,1,604,628,1246,1270,1684,4.22072942699121E-34,88.9296068994952,55.2749578948995,53.5064889406754,61.4457831325301,76.0683760683761,58.6206896551724
BT_Cry73Ba1,BT_Cry32Pa1,BT_Cry32Ma1;BT_Cry32Mb1,no,domain3,1291,1707,1,685,715,1282,1315,1711,1.13020844595917E-33,54.5454545454545,49.4267515923567,66.6666666666667,85.4916106827283,85.7495103431623,55.1825134840402
BT_Cry52Ca1,BT_Cry40Aa1,NOV_Cry52Ca1_62.9_AZJ24464.1,no,domain3,1331,1663,1,592,631,1237,1267,1663,5.3227085765619E-33,50.5338078291815,48.8721804511278,67.6659528907923,69.753979739508,82.2556390977444,51.9553072625698
BT_Cry59Ba1,NOV_Cry40Da1_81.5_AIN76756.1;BT_Cry40Ca1;BT_Cry40Da1;NOV_Cry40Da1_65.0_CAH33957.1;NOV_Cry40Da1_77.3_ARJ25823.1,BT_Cry59Aa1,no,domain1,1,684,1,649,673,1306,1339,1723,2.13845294697327E-32,70.8467939285334,52.133436402509,51.5396027249803,53.9722572509458,85.9030837004405,85.5072463768116
BT_Cry52Aa1,BT_Cry40Aa1,NOV_Cry52Ca1_62.9_AZJ24464.1,no,domain3,1380,1705,1,616,658,1297,1321,1705,2.17926948594395E-32,49.6527777777778,49.4492044063647,65.0963597430407,74.4897959183674,61.6883116883117,51.6981132075472
BT_Cry1Ie4;BT_Cry1Ba1;BT_Cry1Bb1;BT_Cry1Bd1;BT_Cry1Be1;BT_Cry1Bf1;BT_Cry1Bg1;BT_Cry1Bh1;BT_Cry1Bi1;BT_Cry1Bj1;BT_Cry1Ia11;BT_Cry1Ia17;BT_Cry1Ic1;BT_Cry1Id1;BT_Cry1Ma1;NOV_Cry1Ie5_79.3_PQQ47595.1,BT_Cry1Gb1,BT_Cry47Aa1,no,domain3,1256,1705,1,604,628,1264,1294,1705,1.20514183415445E-30,51.2174760361275,51.1057721937601,62.5247255690603,57.3775400274598,53.6607411502599,52.0518609112642
BT_Cry8Kb1,BT_Cry8Ka1;BT_Cry8Ka3,BT_Cry9Da1;BT_Cry9Ed1,no,domain3,1313,1679,1,598,622,1267,1288,1705,3.3888559414003E-70,98.1776859504133,96.0490850257412,56.6699604743083,53.9106501988425,50.4293539441531,51.6188889862949
BT_Cry9Dc1,BT_Cry9Da1,BT_Cry9Db1,minor,domain3_partial,1454,1736,1,613,640,1303,1321,1738,6.00686937624872E-30,93.0599369085173,56.5680473372781,64.8809523809524,96.1538461538462,89.9713467048711,71.516393442623
BT_Cry8Na1,BT_Cry8Sa1,BT_Cry8Ka3;BT_Cry8Ka1;NOV_Cry8Kb1_73.3_APT36283.1,no,domain2,630,1301,1,604,628,1267,1291,1717,2.34550178975237E-33,55.6566970091027,77.9020979020979,51.0791366906475,60.9962647404697,49.6504851731887,56.5560508709364
BT_Cry9Ee1,BT_Cry9Bb1,BT_Cry9Ec1;BT_Cry9Ed1,no,domain3,1234,1705,1,616,643,1261,1285,1705,2.65031811680995E-29,65.5313351498638,53.6319612590799,77.3305084745763,85.6782511210762,67.3669734863765,57.2777406417112
NOV_Cry40Da1_65.0_CAH33957.1,NOV_Cry40Da1_66.9_PER55269.1,BT_Cry40Da1;NOV_Cry40Da1_81.5_AIN76756.1,no,domain1,1,549,1,625,649,1237,1267,1669,4.49334253419359E-28,95.3051643192488,69.3409742120344,66.0377358490566,68.8251336898396,84.2126115605972,64.8421052631579
NOV_Cry24Aa1_98.3_WP_086403584.1,NOV_Cry41Ca1_50.4_AZJ24166.1,BT_Cry24Ba1,no,domain3,1229,1657,1,547,571,1228,1252,1657,3.34984124294575E-26,46.3495575221239,48.7747957992999,61.0337972166998,81.7880794701987,77.1428571428572,51.6666666666667
BT_Cry2Ai1,BT_Cry2Ac10,BT_Cry2Aa13,no,domain1,1,502,1,580,595,1210,1249,1672,1.92524661821035E-35,97.6109215017065,69.1983122362869,79.7441364605544,81.2206572769953,98.7075928917609,98.5915492957747
BT_Cry54Ab1,NOV_Cry4Ca2_48.4_AZJ24771.1,BT_Cry54Aa1,minor,domain3_partial,1495,1759,1,685,709,1291,1342,1759,6.22120408979771E-25,53.7455410225922,52.0965692503177,54.6448087431694,100,99.3150684931507,54.7309833024119
NOV_Cry8Ab1_80.0_AMR06151.1,BT_Cry8Ra1,BT_Cry8Ab1,no,domain3,1329,1729,1,604,628,1291,1315,1729,1.01016599863632E-29,65.8108108108108,57.0588235294118,63.3136094674556,89.4984326018809,93.2944606413994,55.3072625698324
BT_Cry32Ta1,BT_Cry32Va1,NOV_Cry32Va1_61.0_WP_134996253.1,major,domain3,1304,1708,1,655,682,1288,1312,1729,4.168806577578E-24,54.6650717703349,52.9055690072639,73.0290456431535,55.2220888355342,53.836784409257,62.4277456647399
BT_Cry8Fa2,BT_Cry8Ga1,BT_Cry8Qa1,no,domain3,1366,1716,1,589,613,1276,1306,1720,4.67220349521785E-24,56.7460317460318,50.8690614136732,64.4,78.5388127853881,67.2566371681416,54.9450549450549
NOV_Cry9Ga1_57.2_PER39584.1,NOV_Cry68Aa1_74.8_WP_103592020.1;BT_Cry68Aa1;NOV_Cry68Aa1_80.1_PER38368.1,NOV_Cry9Ga1_58.0_AJS57594.1,no,domain3,1382,1707,1,634,658,1288,1321,1708,1.08442857230131E-23,52.4753559693319,55.8240081653457,70.6799678935902,71.8367346938775,73.4439834024896,57.1146245059289
BT_Cry1Jd1,BT_Cry9Ca1;BT_Cry9Ea10;BT_Cry9Ec1;BT_Cry9Ed1;BT_Cry9Fa1,BT_Cry1Jb1,minor,domain3,1218,1639,1,604,628,1195,1219,1639,1.54859688549621E-23,53.1361983957167,48.9068802153387,51.0845997326449,91.7329093799682,74.8466257668712,48.932384341637
BT_Cry1Jb1,BT_Cry9Ec1;BT_Cry9Ea10;BT_Cry9Ed1,NOV_Cry1Jc1_99.1_AAS93799.1,no,domain3,1229,1639,1,604,628,1201,1222,1639,1.74286816637781E-23,53.9181497995311,48.4996757601217,55.3279478226194,90.2208201892745,74.8466257668712,49.4623655913979
BT_Cry50Ba1;BT_Cry50Aa1,NOV_Cry4Ba1_63.7_AJW76684.1;NOV_Cry4Ba1_63.8_OUB35623.1,BT_Cry66Aa1,no,domain2,604,1285,1,607,655,1219,1240,1711,4.28960308570913E-40,51.3458911117984,71.7587535163546,71.8341265461663,48.0701135395609,48.1014231151572,52.5134115956993
BT_Cry9Ca1,BT_Cry9Ea10,BT_Cry9Ed1;BT_Cry9Ec1,minor,domain1,1,510,1,607,634,1252,1282,1711,1.06244605411994E-25,58.984375,61.4473684210526,57.8651685393258,58.8810041449935,74.4573272770738,61.8604852623752
BT_Cry9Bb1;BT_Cry9Ba1,BT_Cry9Db1;BT_Cry9Dc1,BT_Cry9Da1,major,domain2,710,1326,1,601,625,1276,1306,1723,9.75874137584839E-23,60.1368986666355,57.4798855079509,62.4009219507024,61.5762518833957,54.583773483295,62.6470588235294
BT_Cry40Ca1,BT_Cry40Ba1,BT_Cry40Aa1,no,domain1,46,513,1,643,667,1249,1273,1660,4.97477302595779E-22,83.072546230441,64.1666666666667,53.5294117647059,68.1528662420382,78.2542113323124,71.6186252771619
