Strain,Cry,Num
14-1,BT_Cry2Ab7,1
ARP050,BT_Cry32Ua1,1
MHB10.6,NOV_Cry8Da1_99.6_CBL59394.1,1
NRRL B-18679,BT_Cry14Aa1,3
NRRL B-18679,NOV_Cry21Aa2_95.4_WP_103655243.1,3
NRRL B-18679,BT_Cry21Aa2,3
G25-46,NOV_Cry21Aa2_95.4_WP_103655243.1,2
G25-46,BT_Cry14Aa1,2
AFS020602,NOV_Cry8Aa1_46.1_OTZ58098.1,1
IBL02897,BT_Cry1Bb1,9
IBL02897,NOV_Cry1Da3_99.9_AMR88578.1,9
IBL02897,NOV_Cry1Hb1_98.0_AMR88562.1,9
IBL02897,NOV_Cry8Aa1_46.1_OTZ58098.1,9
IBL02897,BT_Cry1Id1,9
IBL02897,BT_Cry2Ad1,9
IBL02897,BT_Cry1Ab18,9
IBL02897,BT_Cry1Ja2,9
IBL02897,NOV_Cry1Nb1_99.0_AMR88570.1,9
BGSC 4N1,BT_Cry1Bb1,9
BGSC 4N1,NOV_Cry1Da3_99.9_AMR88578.1,9
BGSC 4N1,NOV_Cry1Hb1_98.0_AMR88562.1,9
BGSC 4N1,NOV_Cry8Aa1_46.1_OTZ58098.1,9
BGSC 4N1,BT_Cry1Id1,9
BGSC 4N1,BT_Cry2Ad1,9
BGSC 4N1,BT_Cry1Ab18,9
BGSC 4N1,BT_Cry1Ja2,9
BGSC 4N1,NOV_Cry1Nb1_99.0_AMR88570.1,9
AFS057244,NOV_Cry8Aa1_46.1_OTZ58098.1,1
IBL00090,BT_Cry1Bb1,9
IBL00090,NOV_Cry1Da3_99.9_AMR88578.1,9
IBL00090,NOV_Cry1Hb1_98.0_AMR88562.1,9
IBL00090,NOV_Cry8Aa1_46.1_OTZ58098.1,9
IBL00090,BT_Cry1Id1,9
IBL00090,BT_Cry2Ad1,9
IBL00090,BT_Cry1Ab18,9
IBL00090,BT_Cry1Ja2,9
IBL00090,NOV_Cry1Nb1_99.0_AMR88570.1,9
IBL00171,BT_Cry1Bb1,9
IBL00171,NOV_Cry1Da3_99.9_AMR88578.1,9
IBL00171,NOV_Cry1Hb1_98.0_AMR88562.1,9
IBL00171,NOV_Cry8Aa1_46.1_OTZ58098.1,9
IBL00171,BT_Cry1Id1,9
IBL00171,BT_Cry2Ad1,9
IBL00171,BT_Cry1Ab18,9
IBL00171,BT_Cry1Ja2,9
IBL00171,NOV_Cry1Nb1_99.0_AMR88570.1,9
AFS065666,NOV_Cry8Aa1_46.1_OTZ58098.1,1
IBL 200,BT_Cry1Bb1,11
IBL 200,NOV_Cry1Da3_99.9_AMR88578.1,11
IBL 200,NOV_Cry1Hb1_98.0_AMR88562.1,11
